logs/18890bca-ea9e-4da5-88ef-74091bffd00d.txt
begin training
  2%|█▉                                                                                                                   | 30/1771 [00:55<07:21,  3.94it/s]
step:0/1770 val_loss:10.8261 train_time:15ms step_avg:14.61ms
step:1/1770 train_time:1659ms step_avg:1658.81ms
step:2/1770 train_time:1917ms step_avg:958.58ms
step:3/1770 train_time:2172ms step_avg:723.89ms
step:4/1770 train_time:2429ms step_avg:607.32ms
step:5/1770 train_time:2686ms step_avg:537.13ms
step:6/1770 train_time:2940ms step_avg:490.00ms
step:7/1770 train_time:3190ms step_avg:455.77ms
step:8/1770 train_time:3445ms step_avg:430.62ms
step:9/1770 train_time:3700ms step_avg:411.12ms
step:10/1770 train_time:3956ms step_avg:395.59ms
step:11/1770 train_time:4211ms step_avg:382.84ms
step:12/1770 train_time:4465ms step_avg:372.05ms
step:13/1770 train_time:4720ms step_avg:363.04ms
step:14/1770 train_time:4974ms step_avg:355.27ms
step:15/1770 train_time:5228ms step_avg:348.55ms
step:16/1770 train_time:5479ms step_avg:342.46ms
step:17/1770 train_time:5734ms step_avg:337.29ms
step:18/1770 train_time:5992ms step_avg:332.90ms
step:19/1770 train_time:6244ms step_avg:328.62ms
step:20/1770 train_time:6499ms step_avg:324.93ms
step:21/1770 train_time:6756ms step_avg:321.70ms
step:22/1770 train_time:7011ms step_avg:318.68ms
step:23/1770 train_time:7266ms step_avg:315.92ms
step:24/1770 train_time:7524ms step_avg:313.50ms
step:25/1770 train_time:7776ms step_avg:311.03ms
step:26/1770 train_time:8029ms step_avg:308.81ms
step:27/1770 train_time:8284ms step_avg:306.82ms
step:28/1770 train_time:8541ms step_avg:305.03ms
step:29/1770 train_time:8792ms step_avg:303.17ms
step:30/1770 train_time:9044ms step_avg:301.47ms
step:31/1770 train_time:9304ms step_avg:300.12ms
step:32/1770 train_time:9558ms step_avg:298.70ms
step:33/1770 train_time:9815ms step_avg:297.42ms
step:34/1770 train_time:10076ms step_avg:296.34ms
step:35/1770 train_time:10334ms step_avg:295.27ms
step:36/1770 train_time:10583ms step_avg:293.99ms
step:37/1770 train_time:10839ms step_avg:292.94ms
step:38/1770 train_time:11093ms step_avg:291.91ms
step:39/1770 train_time:11347ms step_avg:290.96ms
step:40/1770 train_time:11603ms step_avg:290.06ms
step:41/1770 train_time:11864ms step_avg:289.37ms
step:42/1770 train_time:12119ms step_avg:288.54ms
step:43/1770 train_time:12374ms step_avg:287.76ms
step:44/1770 train_time:12630ms step_avg:287.06ms
step:45/1770 train_time:12888ms step_avg:286.40ms
step:46/1770 train_time:13143ms step_avg:285.71ms
step:47/1770 train_time:13397ms step_avg:285.05ms
step:48/1770 train_time:13665ms step_avg:284.70ms
step:49/1770 train_time:13910ms step_avg:283.89ms
step:50/1770 train_time:14165ms step_avg:283.30ms
step:50/1770 val_loss:8.0129 train_time:14193ms step_avg:283.86ms
step:51/1770 train_time:14620ms step_avg:286.66ms
step:52/1770 train_time:14883ms step_avg:286.22ms
