logs/128a0dcc-1be3-48a8-b9d6-71e2c6cc5ad6.txt
begin training
  2%|█▉                                                                                                                   | 30/1771 [00:23<04:15,  6.81it/s]
step:0/1770 val_loss:10.8261 train_time:1ms step_avg:0.77ms
step:1/1770 train_time:210ms step_avg:209.61ms
step:2/1770 train_time:353ms step_avg:176.30ms
step:3/1770 train_time:514ms step_avg:171.40ms
step:4/1770 train_time:658ms step_avg:164.53ms
step:5/1770 train_time:790ms step_avg:157.92ms
step:6/1770 train_time:943ms step_avg:157.17ms
step:7/1770 train_time:1082ms step_avg:154.59ms
step:8/1770 train_time:1219ms step_avg:152.38ms
step:9/1770 train_time:1354ms step_avg:150.46ms
step:10/1770 train_time:1485ms step_avg:148.51ms
step:11/1770 train_time:1617ms step_avg:146.98ms
step:12/1770 train_time:1756ms step_avg:146.37ms
step:13/1770 train_time:1893ms step_avg:145.62ms
step:14/1770 train_time:2024ms step_avg:144.59ms
step:15/1770 train_time:2153ms step_avg:143.53ms
step:16/1770 train_time:2290ms step_avg:143.11ms
step:17/1770 train_time:2438ms step_avg:143.40ms
step:18/1770 train_time:2677ms step_avg:148.74ms
step:19/1770 train_time:2930ms step_avg:154.22ms
step:20/1770 train_time:4030ms step_avg:201.49ms
step:21/1770 train_time:4359ms step_avg:207.56ms
step:22/1770 train_time:4483ms step_avg:203.79ms
step:23/1770 train_time:4617ms step_avg:200.74ms
step:24/1770 train_time:4754ms step_avg:198.08ms
step:25/1770 train_time:4883ms step_avg:195.33ms
step:26/1770 train_time:5014ms step_avg:192.84ms
step:27/1770 train_time:5144ms step_avg:190.52ms
step:28/1770 train_time:5278ms step_avg:188.51ms
step:29/1770 train_time:5416ms step_avg:186.77ms
step:30/1770 train_time:5554ms step_avg:185.12ms
step:31/1770 train_time:5689ms step_avg:183.52ms
step:32/1770 train_time:5821ms step_avg:181.92ms
step:33/1770 train_time:5951ms step_avg:180.34ms
step:34/1770 train_time:6088ms step_avg:179.05ms
step:35/1770 train_time:6226ms step_avg:177.88ms
