logs/c3067d2c-def0-4504-831a-f6022ca25b5c.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [02:49<06:34,  4.42it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:1.08ms
step:1/1770 train_time:219ms step_avg:219.47ms
step:2/1770 train_time:409ms step_avg:204.39ms
step:3/1770 train_time:645ms step_avg:215.10ms
step:4/1770 train_time:871ms step_avg:217.69ms
step:5/1770 train_time:1101ms step_avg:220.25ms
step:6/1770 train_time:1339ms step_avg:223.24ms
step:7/1770 train_time:1556ms step_avg:222.24ms
step:8/1770 train_time:1779ms step_avg:222.36ms
step:9/1770 train_time:1994ms step_avg:221.55ms
step:10/1770 train_time:2233ms step_avg:223.31ms
step:11/1770 train_time:2472ms step_avg:224.69ms
step:12/1770 train_time:2690ms step_avg:224.19ms
step:13/1770 train_time:2929ms step_avg:225.27ms
step:14/1770 train_time:3148ms step_avg:224.82ms
step:15/1770 train_time:3396ms step_avg:226.37ms
step:16/1770 train_time:3613ms step_avg:225.78ms
step:17/1770 train_time:3827ms step_avg:225.14ms
step:18/1770 train_time:4048ms step_avg:224.89ms
step:19/1770 train_time:4284ms step_avg:225.47ms
step:20/1770 train_time:4491ms step_avg:224.53ms
step:21/1770 train_time:4728ms step_avg:225.14ms
step:22/1770 train_time:4966ms step_avg:225.74ms
step:23/1770 train_time:5180ms step_avg:225.20ms
step:24/1770 train_time:5395ms step_avg:224.79ms
step:25/1770 train_time:5611ms step_avg:224.45ms
step:26/1770 train_time:5839ms step_avg:224.57ms
step:27/1770 train_time:6067ms step_avg:224.70ms
step:28/1770 train_time:6300ms step_avg:225.01ms
step:29/1770 train_time:6501ms step_avg:224.18ms
step:30/1770 train_time:6739ms step_avg:224.65ms
step:31/1770 train_time:6968ms step_avg:224.76ms
step:32/1770 train_time:7177ms step_avg:224.27ms
step:33/1770 train_time:7412ms step_avg:224.60ms
step:34/1770 train_time:7644ms step_avg:224.82ms
step:35/1770 train_time:7872ms step_avg:224.91ms
step:36/1770 train_time:8103ms step_avg:225.09ms
step:37/1770 train_time:8327ms step_avg:225.06ms
step:38/1770 train_time:8539ms step_avg:224.70ms
step:39/1770 train_time:8771ms step_avg:224.90ms
step:40/1770 train_time:8991ms step_avg:224.78ms
step:41/1770 train_time:9234ms step_avg:225.21ms
step:42/1770 train_time:9450ms step_avg:225.00ms
step:43/1770 train_time:9685ms step_avg:225.22ms
step:44/1770 train_time:9898ms step_avg:224.96ms
step:45/1770 train_time:10122ms step_avg:224.94ms
step:46/1770 train_time:10357ms step_avg:225.16ms
step:47/1770 train_time:10575ms step_avg:225.00ms
step:48/1770 train_time:10810ms step_avg:225.21ms
step:49/1770 train_time:11034ms step_avg:225.18ms
step:50/1770 train_time:11263ms step_avg:225.26ms
step:50/1770 val_loss:8.2386 train_time:11386ms step_avg:227.73ms
step:51/1770 train_time:11532ms step_avg:226.13ms
step:52/1770 train_time:11665ms step_avg:224.32ms
step:53/1770 train_time:11804ms step_avg:222.71ms
step:54/1770 train_time:11955ms step_avg:221.38ms
step:55/1770 train_time:12098ms step_avg:219.96ms
step:56/1770 train_time:12259ms step_avg:218.90ms
step:57/1770 train_time:12414ms step_avg:217.79ms
step:58/1770 train_time:12551ms step_avg:216.39ms
step:59/1770 train_time:12708ms step_avg:215.39ms
step:60/1770 train_time:12858ms step_avg:214.30ms
step:61/1770 train_time:13000ms step_avg:213.12ms
step:62/1770 train_time:13156ms step_avg:212.20ms
step:63/1770 train_time:13298ms step_avg:211.08ms
step:64/1770 train_time:13439ms step_avg:209.98ms
step:65/1770 train_time:13580ms step_avg:208.92ms
step:66/1770 train_time:13720ms step_avg:207.87ms
step:67/1770 train_time:13870ms step_avg:207.01ms
step:68/1770 train_time:14046ms step_avg:206.56ms
step:69/1770 train_time:14197ms step_avg:205.75ms
step:70/1770 train_time:14346ms step_avg:204.95ms
step:71/1770 train_time:14489ms step_avg:204.07ms
step:72/1770 train_time:14655ms step_avg:203.55ms
step:73/1770 train_time:14793ms step_avg:202.65ms
step:74/1770 train_time:14943ms step_avg:201.93ms
step:75/1770 train_time:15086ms step_avg:201.15ms
step:76/1770 train_time:15233ms step_avg:200.43ms
step:77/1770 train_time:15395ms step_avg:199.94ms
step:78/1770 train_time:15542ms step_avg:199.26ms
step:79/1770 train_time:15694ms step_avg:198.66ms
step:80/1770 train_time:15833ms step_avg:197.92ms
step:81/1770 train_time:15993ms step_avg:197.44ms
step:82/1770 train_time:16153ms step_avg:196.99ms
step:83/1770 train_time:16296ms step_avg:196.34ms
step:84/1770 train_time:16466ms step_avg:196.03ms
step:85/1770 train_time:16604ms step_avg:195.34ms
step:86/1770 train_time:16736ms step_avg:194.60ms
step:87/1770 train_time:16867ms step_avg:193.87ms
step:88/1770 train_time:17014ms step_avg:193.34ms
step:89/1770 train_time:17148ms step_avg:192.68ms
step:90/1770 train_time:17294ms step_avg:192.15ms
step:91/1770 train_time:17436ms step_avg:191.61ms
step:92/1770 train_time:17576ms step_avg:191.04ms
step:93/1770 train_time:17723ms step_avg:190.57ms
step:94/1770 train_time:17871ms step_avg:190.12ms
step:95/1770 train_time:18017ms step_avg:189.66ms
step:96/1770 train_time:18179ms step_avg:189.37ms
step:97/1770 train_time:18337ms step_avg:189.04ms
step:98/1770 train_time:18481ms step_avg:188.58ms
step:99/1770 train_time:18624ms step_avg:188.13ms
step:100/1770 train_time:18767ms step_avg:187.67ms
step:100/1770 val_loss:7.0635 train_time:18819ms step_avg:188.19ms
step:101/1770 train_time:18947ms step_avg:187.59ms
step:102/1770 train_time:19097ms step_avg:187.22ms
step:103/1770 train_time:19230ms step_avg:186.70ms
step:104/1770 train_time:19445ms step_avg:186.97ms
step:105/1770 train_time:19574ms step_avg:186.42ms
step:106/1770 train_time:19722ms step_avg:186.05ms
step:107/1770 train_time:19868ms step_avg:185.68ms
step:108/1770 train_time:20066ms step_avg:185.80ms
step:109/1770 train_time:20277ms step_avg:186.03ms
step:110/1770 train_time:20460ms step_avg:186.00ms
step:111/1770 train_time:20647ms step_avg:186.01ms
step:112/1770 train_time:20806ms step_avg:185.76ms
step:113/1770 train_time:20975ms step_avg:185.62ms
step:114/1770 train_time:21126ms step_avg:185.31ms
step:115/1770 train_time:21314ms step_avg:185.34ms
step:116/1770 train_time:21521ms step_avg:185.53ms
step:117/1770 train_time:21721ms step_avg:185.65ms
step:118/1770 train_time:21922ms step_avg:185.78ms
step:119/1770 train_time:22064ms step_avg:185.41ms
step:120/1770 train_time:22231ms step_avg:185.26ms
step:121/1770 train_time:22440ms step_avg:185.46ms
step:122/1770 train_time:22610ms step_avg:185.33ms
step:123/1770 train_time:22735ms step_avg:184.84ms
step:124/1770 train_time:22909ms step_avg:184.75ms
step:125/1770 train_time:23105ms step_avg:184.84ms
step:126/1770 train_time:23301ms step_avg:184.93ms
step:127/1770 train_time:23485ms step_avg:184.92ms
step:128/1770 train_time:23659ms step_avg:184.84ms
step:129/1770 train_time:23838ms step_avg:184.79ms
step:130/1770 train_time:24021ms step_avg:184.78ms
step:131/1770 train_time:24197ms step_avg:184.71ms
step:132/1770 train_time:24403ms step_avg:184.87ms
step:133/1770 train_time:24596ms step_avg:184.93ms
step:134/1770 train_time:24782ms step_avg:184.94ms
step:135/1770 train_time:24988ms step_avg:185.09ms
step:136/1770 train_time:25195ms step_avg:185.26ms
step:137/1770 train_time:25360ms step_avg:185.11ms
step:138/1770 train_time:25525ms step_avg:184.97ms
step:139/1770 train_time:25735ms step_avg:185.14ms
step:140/1770 train_time:25892ms step_avg:184.94ms
step:141/1770 train_time:26107ms step_avg:185.15ms
step:142/1770 train_time:26308ms step_avg:185.27ms
step:143/1770 train_time:26494ms step_avg:185.27ms
step:144/1770 train_time:26673ms step_avg:185.23ms
step:145/1770 train_time:26874ms step_avg:185.34ms
step:146/1770 train_time:27074ms step_avg:185.44ms
step:147/1770 train_time:27281ms step_avg:185.59ms
step:148/1770 train_time:27459ms step_avg:185.54ms
step:149/1770 train_time:27682ms step_avg:185.79ms
step:150/1770 train_time:27873ms step_avg:185.82ms
step:150/1770 val_loss:6.9284 train_time:28006ms step_avg:186.71ms
step:151/1770 train_time:28148ms step_avg:186.41ms
step:152/1770 train_time:28311ms step_avg:186.26ms
step:153/1770 train_time:28500ms step_avg:186.28ms
step:154/1770 train_time:28688ms step_avg:186.29ms
step:155/1770 train_time:28890ms step_avg:186.38ms
step:156/1770 train_time:29043ms step_avg:186.17ms
step:157/1770 train_time:29253ms step_avg:186.33ms
step:158/1770 train_time:29436ms step_avg:186.30ms
step:159/1770 train_time:29621ms step_avg:186.29ms
step:160/1770 train_time:29797ms step_avg:186.23ms
step:161/1770 train_time:29959ms step_avg:186.08ms
step:162/1770 train_time:30183ms step_avg:186.32ms
step:163/1770 train_time:30345ms step_avg:186.17ms
step:164/1770 train_time:30584ms step_avg:186.49ms
step:165/1770 train_time:30736ms step_avg:186.28ms
step:166/1770 train_time:30964ms step_avg:186.53ms
step:167/1770 train_time:31142ms step_avg:186.48ms
step:168/1770 train_time:31332ms step_avg:186.50ms
step:169/1770 train_time:31543ms step_avg:186.65ms
step:170/1770 train_time:31721ms step_avg:186.60ms
step:171/1770 train_time:31965ms step_avg:186.93ms
step:172/1770 train_time:32157ms step_avg:186.96ms
step:173/1770 train_time:32316ms step_avg:186.80ms
step:174/1770 train_time:32448ms step_avg:186.48ms
step:175/1770 train_time:32671ms step_avg:186.69ms
step:176/1770 train_time:32861ms step_avg:186.71ms
step:177/1770 train_time:33036ms step_avg:186.65ms
step:178/1770 train_time:33232ms step_avg:186.70ms
step:179/1770 train_time:33420ms step_avg:186.70ms
step:180/1770 train_time:33615ms step_avg:186.75ms
step:181/1770 train_time:33774ms step_avg:186.60ms
step:182/1770 train_time:34003ms step_avg:186.83ms
step:183/1770 train_time:34162ms step_avg:186.68ms
step:184/1770 train_time:34393ms step_avg:186.92ms
step:185/1770 train_time:34543ms step_avg:186.72ms
step:186/1770 train_time:34743ms step_avg:186.79ms
step:187/1770 train_time:34904ms step_avg:186.65ms
step:188/1770 train_time:35079ms step_avg:186.59ms
step:189/1770 train_time:35259ms step_avg:186.55ms
step:190/1770 train_time:35458ms step_avg:186.62ms
step:191/1770 train_time:35633ms step_avg:186.56ms
step:192/1770 train_time:35830ms step_avg:186.62ms
step:193/1770 train_time:36012ms step_avg:186.59ms
step:194/1770 train_time:36208ms step_avg:186.64ms
step:195/1770 train_time:36392ms step_avg:186.63ms
step:196/1770 train_time:36592ms step_avg:186.69ms
step:197/1770 train_time:36756ms step_avg:186.58ms
step:198/1770 train_time:36935ms step_avg:186.54ms
step:199/1770 train_time:37120ms step_avg:186.53ms
step:200/1770 train_time:37303ms step_avg:186.51ms
step:200/1770 val_loss:6.7143 train_time:37410ms step_avg:187.05ms
step:201/1770 train_time:37546ms step_avg:186.79ms
step:202/1770 train_time:37690ms step_avg:186.58ms
step:203/1770 train_time:37826ms step_avg:186.34ms
step:204/1770 train_time:37959ms step_avg:186.07ms
step:205/1770 train_time:38094ms step_avg:185.83ms
step:206/1770 train_time:38235ms step_avg:185.60ms
step:207/1770 train_time:38368ms step_avg:185.35ms
step:208/1770 train_time:38505ms step_avg:185.12ms
step:209/1770 train_time:38637ms step_avg:184.87ms
step:210/1770 train_time:38769ms step_avg:184.61ms
step:211/1770 train_time:38905ms step_avg:184.38ms
step:212/1770 train_time:39035ms step_avg:184.13ms
step:213/1770 train_time:39178ms step_avg:183.93ms
step:214/1770 train_time:39309ms step_avg:183.69ms
step:215/1770 train_time:39441ms step_avg:183.45ms
step:216/1770 train_time:39578ms step_avg:183.23ms
step:217/1770 train_time:39713ms step_avg:183.01ms
step:218/1770 train_time:39852ms step_avg:182.81ms
step:219/1770 train_time:39991ms step_avg:182.61ms
step:220/1770 train_time:40126ms step_avg:182.39ms
step:221/1770 train_time:40263ms step_avg:182.19ms
step:222/1770 train_time:40399ms step_avg:181.98ms
step:223/1770 train_time:40530ms step_avg:181.75ms
step:224/1770 train_time:40660ms step_avg:181.52ms
step:225/1770 train_time:40795ms step_avg:181.31ms
step:226/1770 train_time:40927ms step_avg:181.09ms
step:227/1770 train_time:41068ms step_avg:180.92ms
step:228/1770 train_time:41205ms step_avg:180.73ms
step:229/1770 train_time:41343ms step_avg:180.54ms
step:230/1770 train_time:41480ms step_avg:180.35ms
step:231/1770 train_time:41640ms step_avg:180.26ms
step:232/1770 train_time:41872ms step_avg:180.48ms
step:233/1770 train_time:42114ms step_avg:180.75ms
step:234/1770 train_time:42294ms step_avg:180.74ms
step:235/1770 train_time:42432ms step_avg:180.56ms
step:236/1770 train_time:42570ms step_avg:180.38ms
step:237/1770 train_time:42706ms step_avg:180.19ms
step:238/1770 train_time:42846ms step_avg:180.02ms
step:239/1770 train_time:42986ms step_avg:179.86ms
step:240/1770 train_time:43126ms step_avg:179.69ms
step:241/1770 train_time:43257ms step_avg:179.49ms
step:242/1770 train_time:43393ms step_avg:179.31ms
step:243/1770 train_time:43537ms step_avg:179.16ms
step:244/1770 train_time:43676ms step_avg:179.00ms
step:245/1770 train_time:43811ms step_avg:178.82ms
step:246/1770 train_time:43945ms step_avg:178.64ms
step:247/1770 train_time:44080ms step_avg:178.46ms
step:248/1770 train_time:44216ms step_avg:178.29ms
step:249/1770 train_time:44348ms step_avg:178.10ms
step:250/1770 train_time:44484ms step_avg:177.94ms
step:250/1770 val_loss:6.6258 train_time:44485ms step_avg:177.94ms
step:251/1770 train_time:44611ms step_avg:177.73ms
step:252/1770 train_time:44810ms step_avg:177.82ms
step:253/1770 train_time:45035ms step_avg:178.00ms
step:254/1770 train_time:45253ms step_avg:178.16ms
step:255/1770 train_time:45490ms step_avg:178.39ms
step:256/1770 train_time:45708ms step_avg:178.55ms
step:257/1770 train_time:45943ms step_avg:178.77ms
step:258/1770 train_time:46163ms step_avg:178.93ms
step:259/1770 train_time:46388ms step_avg:179.10ms
step:260/1770 train_time:46623ms step_avg:179.32ms
step:261/1770 train_time:46840ms step_avg:179.46ms
step:262/1770 train_time:47075ms step_avg:179.67ms
step:263/1770 train_time:47294ms step_avg:179.82ms
step:264/1770 train_time:47524ms step_avg:180.01ms
step:265/1770 train_time:47740ms step_avg:180.15ms
step:266/1770 train_time:47970ms step_avg:180.34ms
step:267/1770 train_time:48196ms step_avg:180.51ms
step:268/1770 train_time:48423ms step_avg:180.68ms
step:269/1770 train_time:48651ms step_avg:180.86ms
step:270/1770 train_time:48880ms step_avg:181.04ms
step:271/1770 train_time:49120ms step_avg:181.26ms
step:272/1770 train_time:49342ms step_avg:181.40ms
step:273/1770 train_time:49568ms step_avg:181.57ms
step:274/1770 train_time:49789ms step_avg:181.71ms
step:275/1770 train_time:50016ms step_avg:181.88ms
step:276/1770 train_time:50246ms step_avg:182.05ms
step:277/1770 train_time:50477ms step_avg:182.23ms
step:278/1770 train_time:50705ms step_avg:182.39ms
step:279/1770 train_time:50935ms step_avg:182.56ms
step:280/1770 train_time:51166ms step_avg:182.74ms
step:281/1770 train_time:51393ms step_avg:182.89ms
step:282/1770 train_time:51625ms step_avg:183.07ms
step:283/1770 train_time:51844ms step_avg:183.19ms
step:284/1770 train_time:52057ms step_avg:183.30ms
step:285/1770 train_time:52287ms step_avg:183.46ms
step:286/1770 train_time:52539ms step_avg:183.70ms
step:287/1770 train_time:52738ms step_avg:183.75ms
step:288/1770 train_time:52974ms step_avg:183.94ms
step:289/1770 train_time:53207ms step_avg:184.11ms
step:290/1770 train_time:53422ms step_avg:184.21ms
step:291/1770 train_time:53646ms step_avg:184.35ms
step:292/1770 train_time:53910ms step_avg:184.62ms
step:293/1770 train_time:54128ms step_avg:184.74ms
step:294/1770 train_time:54328ms step_avg:184.79ms
step:295/1770 train_time:54574ms step_avg:185.00ms
step:296/1770 train_time:54775ms step_avg:185.05ms
step:297/1770 train_time:55013ms step_avg:185.23ms
step:298/1770 train_time:55237ms step_avg:185.36ms
step:299/1770 train_time:55464ms step_avg:185.50ms
step:300/1770 train_time:55693ms step_avg:185.64ms
step:300/1770 val_loss:6.5094 train_time:55819ms step_avg:186.06ms
step:301/1770 train_time:55957ms step_avg:185.90ms
step:302/1770 train_time:56138ms step_avg:185.89ms
step:303/1770 train_time:56367ms step_avg:186.03ms
step:304/1770 train_time:56593ms step_avg:186.16ms
step:305/1770 train_time:56814ms step_avg:186.28ms
step:306/1770 train_time:57042ms step_avg:186.41ms
step:307/1770 train_time:57276ms step_avg:186.57ms
step:308/1770 train_time:57502ms step_avg:186.69ms
step:309/1770 train_time:57733ms step_avg:186.84ms
step:310/1770 train_time:57960ms step_avg:186.97ms
step:311/1770 train_time:58185ms step_avg:187.09ms
step:312/1770 train_time:58409ms step_avg:187.21ms
step:313/1770 train_time:58647ms step_avg:187.37ms
step:314/1770 train_time:58873ms step_avg:187.49ms
step:315/1770 train_time:59102ms step_avg:187.63ms
step:316/1770 train_time:59334ms step_avg:187.76ms
step:317/1770 train_time:59557ms step_avg:187.88ms
step:318/1770 train_time:59795ms step_avg:188.03ms
step:319/1770 train_time:60012ms step_avg:188.13ms
step:320/1770 train_time:60238ms step_avg:188.24ms
step:321/1770 train_time:60469ms step_avg:188.38ms
step:322/1770 train_time:60701ms step_avg:188.51ms
step:323/1770 train_time:60924ms step_avg:188.62ms
step:324/1770 train_time:61153ms step_avg:188.74ms
step:325/1770 train_time:61379ms step_avg:188.86ms
step:326/1770 train_time:61609ms step_avg:188.99ms
step:327/1770 train_time:61832ms step_avg:189.09ms
step:328/1770 train_time:62067ms step_avg:189.23ms
step:329/1770 train_time:62297ms step_avg:189.35ms
step:330/1770 train_time:62529ms step_avg:189.48ms
step:331/1770 train_time:62751ms step_avg:189.58ms
step:332/1770 train_time:62983ms step_avg:189.71ms
step:333/1770 train_time:63207ms step_avg:189.81ms
step:334/1770 train_time:63434ms step_avg:189.92ms
step:335/1770 train_time:63667ms step_avg:190.05ms
step:336/1770 train_time:63895ms step_avg:190.16ms
step:337/1770 train_time:64110ms step_avg:190.24ms
step:338/1770 train_time:64356ms step_avg:190.40ms
step:339/1770 train_time:64582ms step_avg:190.51ms
step:340/1770 train_time:64809ms step_avg:190.62ms
step:341/1770 train_time:65036ms step_avg:190.72ms
step:342/1770 train_time:65258ms step_avg:190.81ms
step:343/1770 train_time:65485ms step_avg:190.92ms
step:344/1770 train_time:65712ms step_avg:191.02ms
step:345/1770 train_time:65940ms step_avg:191.13ms
step:346/1770 train_time:66171ms step_avg:191.25ms
step:347/1770 train_time:66402ms step_avg:191.36ms
step:348/1770 train_time:66625ms step_avg:191.45ms
step:349/1770 train_time:66851ms step_avg:191.55ms
step:350/1770 train_time:67090ms step_avg:191.69ms
step:350/1770 val_loss:6.4280 train_time:67216ms step_avg:192.05ms
step:351/1770 train_time:67351ms step_avg:191.88ms
step:352/1770 train_time:67534ms step_avg:191.86ms
step:353/1770 train_time:67759ms step_avg:191.95ms
step:354/1770 train_time:67991ms step_avg:192.07ms
step:355/1770 train_time:68216ms step_avg:192.16ms
step:356/1770 train_time:68448ms step_avg:192.27ms
step:357/1770 train_time:68666ms step_avg:192.34ms
step:358/1770 train_time:68896ms step_avg:192.45ms
step:359/1770 train_time:69120ms step_avg:192.53ms
step:360/1770 train_time:69348ms step_avg:192.63ms
step:361/1770 train_time:69565ms step_avg:192.70ms
step:362/1770 train_time:69797ms step_avg:192.81ms
step:363/1770 train_time:70025ms step_avg:192.91ms
step:364/1770 train_time:70250ms step_avg:192.99ms
step:365/1770 train_time:70474ms step_avg:193.08ms
step:366/1770 train_time:70703ms step_avg:193.18ms
step:367/1770 train_time:70923ms step_avg:193.25ms
step:368/1770 train_time:71152ms step_avg:193.35ms
step:369/1770 train_time:71374ms step_avg:193.43ms
step:370/1770 train_time:71607ms step_avg:193.53ms
step:371/1770 train_time:71842ms step_avg:193.64ms
step:372/1770 train_time:72069ms step_avg:193.73ms
step:373/1770 train_time:72287ms step_avg:193.80ms
step:374/1770 train_time:72508ms step_avg:193.87ms
step:375/1770 train_time:72738ms step_avg:193.97ms
step:376/1770 train_time:72968ms step_avg:194.06ms
step:377/1770 train_time:73182ms step_avg:194.12ms
step:378/1770 train_time:73420ms step_avg:194.23ms
step:379/1770 train_time:73640ms step_avg:194.30ms
step:380/1770 train_time:73868ms step_avg:194.39ms
step:381/1770 train_time:74112ms step_avg:194.52ms
step:382/1770 train_time:74326ms step_avg:194.57ms
step:383/1770 train_time:74552ms step_avg:194.65ms
step:384/1770 train_time:74782ms step_avg:194.75ms
step:385/1770 train_time:74999ms step_avg:194.80ms
step:386/1770 train_time:75230ms step_avg:194.90ms
step:387/1770 train_time:75457ms step_avg:194.98ms
step:388/1770 train_time:75679ms step_avg:195.05ms
step:389/1770 train_time:75915ms step_avg:195.15ms
step:390/1770 train_time:76148ms step_avg:195.25ms
step:391/1770 train_time:76366ms step_avg:195.31ms
step:392/1770 train_time:76591ms step_avg:195.39ms
step:393/1770 train_time:76814ms step_avg:195.45ms
step:394/1770 train_time:77048ms step_avg:195.55ms
step:395/1770 train_time:77298ms step_avg:195.69ms
step:396/1770 train_time:77520ms step_avg:195.76ms
step:397/1770 train_time:77746ms step_avg:195.83ms
step:398/1770 train_time:77996ms step_avg:195.97ms
step:399/1770 train_time:78209ms step_avg:196.01ms
step:400/1770 train_time:78439ms step_avg:196.10ms
step:400/1770 val_loss:6.3443 train_time:78541ms step_avg:196.35ms
step:401/1770 train_time:78671ms step_avg:196.19ms
step:402/1770 train_time:78802ms step_avg:196.02ms
step:403/1770 train_time:78951ms step_avg:195.91ms
step:404/1770 train_time:79102ms step_avg:195.80ms
step:405/1770 train_time:79229ms step_avg:195.63ms
step:406/1770 train_time:79386ms step_avg:195.53ms
step:407/1770 train_time:79537ms step_avg:195.42ms
step:408/1770 train_time:79687ms step_avg:195.31ms
step:409/1770 train_time:79840ms step_avg:195.21ms
step:410/1770 train_time:79984ms step_avg:195.08ms
step:411/1770 train_time:80132ms step_avg:194.97ms
step:412/1770 train_time:80277ms step_avg:194.85ms
step:413/1770 train_time:80426ms step_avg:194.74ms
step:414/1770 train_time:80578ms step_avg:194.63ms
step:415/1770 train_time:80718ms step_avg:194.50ms
step:416/1770 train_time:80882ms step_avg:194.43ms
step:417/1770 train_time:81041ms step_avg:194.34ms
step:418/1770 train_time:81197ms step_avg:194.25ms
step:419/1770 train_time:81358ms step_avg:194.17ms
step:420/1770 train_time:81492ms step_avg:194.03ms
step:421/1770 train_time:81642ms step_avg:193.92ms
