logs/af7b75a5-9710-48ee-84bc-4c47bcee0831.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:19<06:39,  4.36it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:1.19ms
step:1/1770 train_time:194ms step_avg:193.53ms
step:2/1770 train_time:324ms step_avg:161.99ms
step:3/1770 train_time:454ms step_avg:151.42ms
step:4/1770 train_time:581ms step_avg:145.32ms
step:5/1770 train_time:716ms step_avg:143.16ms
step:6/1770 train_time:851ms step_avg:141.86ms
step:7/1770 train_time:983ms step_avg:140.41ms
step:8/1770 train_time:1118ms step_avg:139.73ms
step:9/1770 train_time:1256ms step_avg:139.61ms
step:10/1770 train_time:1393ms step_avg:139.31ms
step:11/1770 train_time:1527ms step_avg:138.84ms
step:12/1770 train_time:1666ms step_avg:138.80ms
step:13/1770 train_time:1795ms step_avg:138.05ms
step:14/1770 train_time:1987ms step_avg:141.96ms
step:15/1770 train_time:2215ms step_avg:147.64ms
step:16/1770 train_time:2448ms step_avg:152.99ms
step:17/1770 train_time:2674ms step_avg:157.29ms
step:18/1770 train_time:2911ms step_avg:161.74ms
step:19/1770 train_time:3140ms step_avg:165.26ms
step:20/1770 train_time:3370ms step_avg:168.50ms
step:21/1770 train_time:3602ms step_avg:171.52ms
step:22/1770 train_time:3828ms step_avg:174.02ms
step:23/1770 train_time:4062ms step_avg:176.60ms
step:24/1770 train_time:4293ms step_avg:178.86ms
step:25/1770 train_time:4522ms step_avg:180.89ms
step:26/1770 train_time:4754ms step_avg:182.83ms
step:27/1770 train_time:4981ms step_avg:184.47ms
step:28/1770 train_time:5214ms step_avg:186.22ms
step:29/1770 train_time:5440ms step_avg:187.60ms
step:30/1770 train_time:5670ms step_avg:189.00ms
step:31/1770 train_time:5904ms step_avg:190.46ms
step:32/1770 train_time:6131ms step_avg:191.61ms
step:33/1770 train_time:6371ms step_avg:193.06ms
step:34/1770 train_time:6604ms step_avg:194.23ms
step:35/1770 train_time:6827ms step_avg:195.06ms
step:36/1770 train_time:7060ms step_avg:196.10ms
step:37/1770 train_time:7281ms step_avg:196.79ms
step:38/1770 train_time:7518ms step_avg:197.84ms
step:39/1770 train_time:7741ms step_avg:198.49ms
step:40/1770 train_time:7970ms step_avg:199.25ms
step:41/1770 train_time:8196ms step_avg:199.90ms
step:42/1770 train_time:8426ms step_avg:200.61ms
step:43/1770 train_time:8658ms step_avg:201.34ms
step:44/1770 train_time:8887ms step_avg:201.99ms
step:45/1770 train_time:9120ms step_avg:202.68ms
step:46/1770 train_time:9351ms step_avg:203.28ms
step:47/1770 train_time:9573ms step_avg:203.68ms
step:48/1770 train_time:9811ms step_avg:204.40ms
step:49/1770 train_time:10035ms step_avg:204.79ms
step:50/1770 train_time:10280ms step_avg:205.60ms
step:50/1770 val_loss:8.3948 train_time:10408ms step_avg:208.16ms
step:51/1770 train_time:10568ms step_avg:207.21ms
step:52/1770 train_time:10762ms step_avg:206.97ms
step:53/1770 train_time:10975ms step_avg:207.08ms
step:54/1770 train_time:11210ms step_avg:207.60ms
step:55/1770 train_time:11451ms step_avg:208.20ms
step:56/1770 train_time:11676ms step_avg:208.51ms
step:57/1770 train_time:11901ms step_avg:208.79ms
step:58/1770 train_time:12110ms step_avg:208.79ms
step:59/1770 train_time:12341ms step_avg:209.17ms
step:60/1770 train_time:12574ms step_avg:209.57ms
step:61/1770 train_time:12800ms step_avg:209.84ms
step:62/1770 train_time:13063ms step_avg:210.70ms
step:63/1770 train_time:13274ms step_avg:210.69ms
step:64/1770 train_time:13503ms step_avg:210.99ms
step:65/1770 train_time:13728ms step_avg:211.21ms
step:66/1770 train_time:13954ms step_avg:211.43ms
step:67/1770 train_time:14181ms step_avg:211.66ms
step:68/1770 train_time:14417ms step_avg:212.01ms
step:69/1770 train_time:14638ms step_avg:212.14ms
step:70/1770 train_time:14861ms step_avg:212.29ms
step:71/1770 train_time:15087ms step_avg:212.50ms
step:72/1770 train_time:15322ms step_avg:212.81ms
step:73/1770 train_time:15546ms step_avg:212.96ms
step:74/1770 train_time:15774ms step_avg:213.16ms
step:75/1770 train_time:16013ms step_avg:213.50ms
step:76/1770 train_time:16270ms step_avg:214.08ms
step:77/1770 train_time:16492ms step_avg:214.19ms
step:78/1770 train_time:16711ms step_avg:214.25ms
step:79/1770 train_time:16940ms step_avg:214.43ms
step:80/1770 train_time:17190ms step_avg:214.87ms
step:81/1770 train_time:17411ms step_avg:214.95ms
step:82/1770 train_time:17623ms step_avg:214.92ms
step:83/1770 train_time:17874ms step_avg:215.35ms
step:84/1770 train_time:18084ms step_avg:215.29ms
step:85/1770 train_time:18305ms step_avg:215.35ms
step:86/1770 train_time:18557ms step_avg:215.77ms
