logs/4e51d637-2ad0-4748-aaff-47bbf2c43892.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:26<04:37,  6.27it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:0.90ms
step:1/1770 train_time:202ms step_avg:201.86ms
step:2/1770 train_time:357ms step_avg:178.27ms
step:3/1770 train_time:506ms step_avg:168.71ms
step:4/1770 train_time:664ms step_avg:166.09ms
step:5/1770 train_time:826ms step_avg:165.21ms
step:6/1770 train_time:978ms step_avg:162.95ms
step:7/1770 train_time:1141ms step_avg:162.94ms
step:8/1770 train_time:1304ms step_avg:163.00ms
step:9/1770 train_time:1468ms step_avg:163.10ms
step:10/1770 train_time:1612ms step_avg:161.20ms
step:11/1770 train_time:1758ms step_avg:159.78ms
step:12/1770 train_time:1912ms step_avg:159.32ms
step:13/1770 train_time:2074ms step_avg:159.53ms
step:14/1770 train_time:2228ms step_avg:159.12ms
step:15/1770 train_time:2373ms step_avg:158.17ms
step:16/1770 train_time:2517ms step_avg:157.31ms
step:17/1770 train_time:2686ms step_avg:158.02ms
step:18/1770 train_time:2854ms step_avg:158.56ms
step:19/1770 train_time:3001ms step_avg:157.93ms
step:20/1770 train_time:3161ms step_avg:158.05ms
step:21/1770 train_time:3324ms step_avg:158.29ms
step:22/1770 train_time:3473ms step_avg:157.85ms
step:23/1770 train_time:3638ms step_avg:158.16ms
step:24/1770 train_time:3783ms step_avg:157.62ms
step:25/1770 train_time:3934ms step_avg:157.35ms
step:26/1770 train_time:4099ms step_avg:157.64ms
step:27/1770 train_time:4263ms step_avg:157.87ms
step:28/1770 train_time:4415ms step_avg:157.68ms
step:29/1770 train_time:4572ms step_avg:157.67ms
step:30/1770 train_time:4737ms step_avg:157.90ms
step:31/1770 train_time:4891ms step_avg:157.77ms
step:32/1770 train_time:5045ms step_avg:157.67ms
step:33/1770 train_time:5197ms step_avg:157.48ms
step:34/1770 train_time:5361ms step_avg:157.67ms
step:35/1770 train_time:5520ms step_avg:157.72ms
step:36/1770 train_time:5674ms step_avg:157.60ms
step:37/1770 train_time:5839ms step_avg:157.80ms
step:38/1770 train_time:6000ms step_avg:157.89ms
step:39/1770 train_time:6166ms step_avg:158.10ms
step:40/1770 train_time:6318ms step_avg:157.96ms
step:41/1770 train_time:6465ms step_avg:157.69ms
step:42/1770 train_time:6619ms step_avg:157.59ms
step:43/1770 train_time:6776ms step_avg:157.58ms
step:44/1770 train_time:6932ms step_avg:157.54ms
step:45/1770 train_time:7086ms step_avg:157.46ms
step:46/1770 train_time:7229ms step_avg:157.15ms
step:47/1770 train_time:7394ms step_avg:157.31ms
step:48/1770 train_time:7545ms step_avg:157.19ms
step:49/1770 train_time:7697ms step_avg:157.08ms
step:50/1770 train_time:7869ms step_avg:157.38ms
step:50/1770 val_loss:8.4968 train_time:7884ms step_avg:157.68ms
step:51/1770 train_time:8028ms step_avg:157.42ms
step:52/1770 train_time:8195ms step_avg:157.61ms
step:53/1770 train_time:8354ms step_avg:157.62ms
step:54/1770 train_time:8524ms step_avg:157.84ms
step:55/1770 train_time:8676ms step_avg:157.74ms
step:56/1770 train_time:8834ms step_avg:157.75ms
step:57/1770 train_time:8997ms step_avg:157.85ms
step:58/1770 train_time:9165ms step_avg:158.01ms
step:59/1770 train_time:9322ms step_avg:157.99ms
step:60/1770 train_time:9484ms step_avg:158.07ms
step:61/1770 train_time:9637ms step_avg:157.99ms
step:62/1770 train_time:9782ms step_avg:157.77ms
step:63/1770 train_time:9946ms step_avg:157.87ms
step:64/1770 train_time:10106ms step_avg:157.90ms
step:65/1770 train_time:10274ms step_avg:158.06ms
step:66/1770 train_time:10438ms step_avg:158.15ms
step:67/1770 train_time:10593ms step_avg:158.11ms
step:68/1770 train_time:10758ms step_avg:158.21ms
step:69/1770 train_time:10903ms step_avg:158.01ms
step:70/1770 train_time:11062ms step_avg:158.03ms
step:71/1770 train_time:11226ms step_avg:158.11ms
step:72/1770 train_time:11382ms step_avg:158.09ms
step:73/1770 train_time:11541ms step_avg:158.10ms
step:74/1770 train_time:11692ms step_avg:158.00ms
step:75/1770 train_time:11852ms step_avg:158.02ms
step:76/1770 train_time:11998ms step_avg:157.87ms
step:77/1770 train_time:12148ms step_avg:157.76ms
step:78/1770 train_time:12305ms step_avg:157.75ms
step:79/1770 train_time:12456ms step_avg:157.67ms
step:80/1770 train_time:12614ms step_avg:157.67ms
step:81/1770 train_time:12774ms step_avg:157.71ms
step:82/1770 train_time:12945ms step_avg:157.86ms
step:83/1770 train_time:13105ms step_avg:157.89ms
step:84/1770 train_time:13263ms step_avg:157.90ms
step:85/1770 train_time:13432ms step_avg:158.03ms
step:86/1770 train_time:13600ms step_avg:158.14ms
step:87/1770 train_time:13761ms step_avg:158.17ms
step:88/1770 train_time:13923ms step_avg:158.22ms
step:89/1770 train_time:14085ms step_avg:158.26ms
step:90/1770 train_time:14257ms step_avg:158.41ms
step:91/1770 train_time:14402ms step_avg:158.26ms
step:92/1770 train_time:14567ms step_avg:158.34ms
step:93/1770 train_time:14712ms step_avg:158.19ms
step:94/1770 train_time:14871ms step_avg:158.20ms
step:95/1770 train_time:15030ms step_avg:158.21ms
step:96/1770 train_time:15180ms step_avg:158.13ms
step:97/1770 train_time:15332ms step_avg:158.06ms
step:98/1770 train_time:15487ms step_avg:158.03ms
step:99/1770 train_time:15638ms step_avg:157.96ms
step:100/1770 train_time:15801ms step_avg:158.01ms
step:100/1770 val_loss:7.5204 train_time:15819ms step_avg:158.19ms
step:101/1770 train_time:15969ms step_avg:158.11ms
step:102/1770 train_time:16119ms step_avg:158.03ms
step:103/1770 train_time:16281ms step_avg:158.07ms
step:104/1770 train_time:16449ms step_avg:158.16ms
step:105/1770 train_time:16606ms step_avg:158.15ms
step:106/1770 train_time:16761ms step_avg:158.12ms
step:107/1770 train_time:16927ms step_avg:158.19ms
step:108/1770 train_time:17079ms step_avg:158.13ms
step:109/1770 train_time:17261ms step_avg:158.36ms
step:110/1770 train_time:17425ms step_avg:158.41ms
step:111/1770 train_time:17583ms step_avg:158.40ms
step:112/1770 train_time:17736ms step_avg:158.36ms
step:113/1770 train_time:17887ms step_avg:158.30ms
step:114/1770 train_time:18057ms step_avg:158.40ms
step:115/1770 train_time:18225ms step_avg:158.47ms
step:116/1770 train_time:18380ms step_avg:158.45ms
step:117/1770 train_time:18553ms step_avg:158.57ms
step:118/1770 train_time:18679ms step_avg:158.30ms
step:119/1770 train_time:18842ms step_avg:158.33ms
step:120/1770 train_time:18992ms step_avg:158.27ms
step:121/1770 train_time:19179ms step_avg:158.50ms
step:122/1770 train_time:19370ms step_avg:158.77ms
step:123/1770 train_time:19575ms step_avg:159.15ms
step:124/1770 train_time:19777ms step_avg:159.49ms
step:125/1770 train_time:19951ms step_avg:159.61ms
step:126/1770 train_time:20156ms step_avg:159.97ms
step:127/1770 train_time:20344ms step_avg:160.19ms
step:128/1770 train_time:20537ms step_avg:160.45ms
step:129/1770 train_time:20736ms step_avg:160.74ms
step:130/1770 train_time:20940ms step_avg:161.08ms
step:131/1770 train_time:21132ms step_avg:161.32ms
step:132/1770 train_time:21352ms step_avg:161.75ms
step:133/1770 train_time:21546ms step_avg:162.00ms
step:134/1770 train_time:21738ms step_avg:162.23ms
step:135/1770 train_time:21930ms step_avg:162.44ms
step:136/1770 train_time:22105ms step_avg:162.54ms
step:137/1770 train_time:22307ms step_avg:162.82ms
step:138/1770 train_time:22540ms step_avg:163.33ms
step:139/1770 train_time:22723ms step_avg:163.47ms
step:140/1770 train_time:22911ms step_avg:163.65ms
step:141/1770 train_time:23104ms step_avg:163.86ms
step:142/1770 train_time:23347ms step_avg:164.42ms
step:143/1770 train_time:23568ms step_avg:164.81ms
step:144/1770 train_time:23771ms step_avg:165.08ms
step:145/1770 train_time:23970ms step_avg:165.31ms
step:146/1770 train_time:24168ms step_avg:165.53ms
step:147/1770 train_time:24370ms step_avg:165.78ms
step:148/1770 train_time:24544ms step_avg:165.84ms
step:149/1770 train_time:24744ms step_avg:166.07ms
step:150/1770 train_time:24973ms step_avg:166.49ms
step:150/1770 val_loss:7.3755 train_time:25000ms step_avg:166.67ms
step:151/1770 train_time:25218ms step_avg:167.00ms
step:152/1770 train_time:25376ms step_avg:166.95ms
step:153/1770 train_time:25634ms step_avg:167.54ms
