logs/63ff47b4-b29c-4b78-bb71-668065149735.txt
begin training
  2%|▏         | 31/1771 [00:06<05:29,  5.29it/s]
step:1/1770 train_time:233ms step_avg:232.89ms
step:2/1770 train_time:458ms step_avg:228.90ms
step:3/1770 train_time:670ms step_avg:223.44ms
step:4/1770 train_time:920ms step_avg:229.91ms
step:5/1770 train_time:1100ms step_avg:220.08ms
step:6/1770 train_time:1371ms step_avg:228.52ms
step:7/1770 train_time:1545ms step_avg:220.77ms
step:8/1770 train_time:1806ms step_avg:225.74ms
step:9/1770 train_time:2008ms step_avg:223.16ms
step:10/1770 train_time:2277ms step_avg:227.73ms
step:11/1770 train_time:2463ms step_avg:223.93ms
step:12/1770 train_time:2728ms step_avg:227.34ms
step:13/1770 train_time:2912ms step_avg:223.99ms
step:14/1770 train_time:3169ms step_avg:226.37ms
step:15/1770 train_time:3376ms step_avg:225.06ms
step:16/1770 train_time:3595ms step_avg:224.66ms
step:17/1770 train_time:3773ms step_avg:221.93ms
step:18/1770 train_time:3974ms step_avg:220.79ms
step:19/1770 train_time:4185ms step_avg:220.26ms
step:20/1770 train_time:4431ms step_avg:221.55ms
step:21/1770 train_time:4599ms step_avg:219.00ms
step:22/1770 train_time:4779ms step_avg:217.23ms
step:23/1770 train_time:4983ms step_avg:216.64ms
step:24/1770 train_time:5215ms step_avg:217.29ms
step:25/1770 train_time:5387ms step_avg:215.47ms
step:26/1770 train_time:5650ms step_avg:217.30ms
step:27/1770 train_time:5827ms step_avg:215.82ms
step:28/1770 train_time:6075ms step_avg:216.96ms
step:29/1770 train_time:6228ms step_avg:214.75ms
step:30/1770 train_time:6456ms step_avg:215.19ms
step:31/1770 train_time:6603ms step_avg:212.99ms
step:32/1770 train_time:6827ms step_avg:213.36ms
step:33/1770 train_time:6981ms step_avg:211.53ms
step:34/1770 train_time:7185ms step_avg:211.34ms
step:35/1770 train_time:7345ms step_avg:209.87ms
step:36/1770 train_time:7614ms step_avg:211.50ms
step:37/1770 train_time:7818ms step_avg:211.31ms
step:38/1770 train_time:8069ms step_avg:212.34ms
step:39/1770 train_time:8239ms step_avg:211.25ms
step:40/1770 train_time:8515ms step_avg:212.87ms
step:41/1770 train_time:8696ms step_avg:212.09ms
step:42/1770 train_time:8943ms step_avg:212.92ms
step:43/1770 train_time:9110ms step_avg:211.85ms
step:44/1770 train_time:9372ms step_avg:212.99ms
step:45/1770 train_time:9562ms step_avg:212.50ms
step:46/1770 train_time:9820ms step_avg:213.49ms
step:47/1770 train_time:9991ms step_avg:212.57ms
step:48/1770 train_time:10247ms step_avg:213.48ms
step:49/1770 train_time:10399ms step_avg:212.22ms
step:50/1770 train_time:10667ms step_avg:213.34ms
step:51/1770 train_time:10847ms step_avg:212.70ms
step:52/1770 train_time:11122ms step_avg:213.89ms
step:53/1770 train_time:11269ms step_avg:212.62ms
step:54/1770 train_time:11525ms step_avg:213.43ms
step:55/1770 train_time:11701ms step_avg:212.74ms
step:56/1770 train_time:11952ms step_avg:213.42ms
step:57/1770 train_time:12124ms step_avg:212.71ms
step:58/1770 train_time:12373ms step_avg:213.33ms
step:59/1770 train_time:12523ms step_avg:212.25ms
step:60/1770 train_time:12745ms step_avg:212.42ms
step:61/1770 train_time:12940ms step_avg:212.13ms
step:62/1770 train_time:13204ms step_avg:212.97ms
step:63/1770 train_time:13405ms step_avg:212.78ms
step:64/1770 train_time:13648ms step_avg:213.26ms
step:65/1770 train_time:13811ms step_avg:212.47ms
step:66/1770 train_time:14005ms step_avg:212.19ms
step:67/1770 train_time:14213ms step_avg:212.13ms
step:68/1770 train_time:14404ms step_avg:211.82ms
step:69/1770 train_time:14621ms step_avg:211.90ms
step:70/1770 train_time:14811ms step_avg:211.59ms
step:71/1770 train_time:15018ms step_avg:211.52ms
step:72/1770 train_time:15216ms step_avg:211.33ms
step:73/1770 train_time:15389ms step_avg:210.81ms
step:74/1770 train_time:15573ms step_avg:210.45ms
step:75/1770 train_time:15770ms step_avg:210.27ms
step:76/1770 train_time:15964ms step_avg:210.05ms
step:77/1770 train_time:16167ms step_avg:209.96ms
step:78/1770 train_time:16372ms step_avg:209.89ms
step:79/1770 train_time:16564ms step_avg:209.67ms
step:80/1770 train_time:16765ms step_avg:209.57ms
step:81/1770 train_time:16982ms step_avg:209.65ms
