logs/a4247984-c155-40f7-bdca-7522d4237010.txt
begin training
  2%|▏         | 31/1771 [00:07<07:04,  4.10it/s]
step:1/1770 train_time:263ms step_avg:262.95ms
step:2/1770 train_time:473ms step_avg:236.67ms
step:3/1770 train_time:716ms step_avg:238.54ms
step:4/1770 train_time:961ms step_avg:240.23ms
step:5/1770 train_time:1205ms step_avg:241.10ms
step:6/1770 train_time:1449ms step_avg:241.54ms
step:7/1770 train_time:1695ms step_avg:242.12ms
step:8/1770 train_time:1936ms step_avg:242.04ms
step:9/1770 train_time:2178ms step_avg:242.02ms
step:10/1770 train_time:2423ms step_avg:242.32ms
step:11/1770 train_time:2668ms step_avg:242.55ms
step:12/1770 train_time:2914ms step_avg:242.83ms
step:13/1770 train_time:3153ms step_avg:242.56ms
step:14/1770 train_time:3399ms step_avg:242.76ms
step:15/1770 train_time:3644ms step_avg:242.93ms
step:16/1770 train_time:3888ms step_avg:242.98ms
step:17/1770 train_time:4135ms step_avg:243.26ms
step:18/1770 train_time:4378ms step_avg:243.22ms
step:19/1770 train_time:4623ms step_avg:243.30ms
step:20/1770 train_time:4864ms step_avg:243.18ms
step:21/1770 train_time:5105ms step_avg:243.08ms
step:22/1770 train_time:5352ms step_avg:243.25ms
step:23/1770 train_time:5594ms step_avg:243.20ms
step:24/1770 train_time:5841ms step_avg:243.36ms
step:25/1770 train_time:6080ms step_avg:243.21ms
step:26/1770 train_time:6321ms step_avg:243.11ms
step:27/1770 train_time:6570ms step_avg:243.32ms
step:28/1770 train_time:6810ms step_avg:243.21ms
step:29/1770 train_time:7057ms step_avg:243.33ms
step:30/1770 train_time:7302ms step_avg:243.39ms
step:31/1770 train_time:7544ms step_avg:243.35ms
step:32/1770 train_time:7789ms step_avg:243.41ms
step:33/1770 train_time:8030ms step_avg:243.33ms
step:34/1770 train_time:8277ms step_avg:243.43ms
step:35/1770 train_time:8518ms step_avg:243.37ms
step:36/1770 train_time:8930ms step_avg:248.05ms
step:37/1770 train_time:9337ms step_avg:252.35ms
step:38/1770 train_time:9668ms step_avg:254.41ms
step:39/1770 train_time:9951ms step_avg:255.16ms
step:40/1770 train_time:10105ms step_avg:252.63ms
step:41/1770 train_time:10330ms step_avg:251.95ms
step:42/1770 train_time:10714ms step_avg:255.10ms
step:43/1770 train_time:11088ms step_avg:257.86ms
step:44/1770 train_time:11270ms step_avg:256.13ms
step:45/1770 train_time:11542ms step_avg:256.48ms
step:46/1770 train_time:11863ms step_avg:257.90ms
step:47/1770 train_time:12246ms step_avg:260.55ms
step:48/1770 train_time:12404ms step_avg:258.42ms
step:49/1770 train_time:12565ms step_avg:256.42ms
step:50/1770 train_time:12713ms step_avg:254.26ms
step:51/1770 train_time:12881ms step_avg:252.56ms
step:52/1770 train_time:13041ms step_avg:250.79ms
step:53/1770 train_time:13218ms step_avg:249.39ms
step:54/1770 train_time:13380ms step_avg:247.78ms
step:55/1770 train_time:13523ms step_avg:245.87ms
step:56/1770 train_time:13687ms step_avg:244.40ms
step:57/1770 train_time:13856ms step_avg:243.08ms
step:58/1770 train_time:14020ms step_avg:241.72ms
step:59/1770 train_time:14181ms step_avg:240.35ms
step:60/1770 train_time:14342ms step_avg:239.04ms
step:61/1770 train_time:14513ms step_avg:237.92ms
step:62/1770 train_time:14684ms step_avg:236.85ms
step:63/1770 train_time:14850ms step_avg:235.72ms
step:64/1770 train_time:15025ms step_avg:234.76ms
step:65/1770 train_time:15191ms step_avg:233.70ms
step:66/1770 train_time:15350ms step_avg:232.58ms
step:67/1770 train_time:15510ms step_avg:231.50ms
step:68/1770 train_time:15690ms step_avg:230.73ms
step:69/1770 train_time:15842ms step_avg:229.59ms
step:70/1770 train_time:16011ms step_avg:228.73ms
step:71/1770 train_time:16178ms step_avg:227.86ms
step:72/1770 train_time:16347ms step_avg:227.04ms
step:73/1770 train_time:16519ms step_avg:226.29ms
step:74/1770 train_time:16675ms step_avg:225.34ms
step:75/1770 train_time:16846ms step_avg:224.62ms
step:76/1770 train_time:17014ms step_avg:223.87ms
step:77/1770 train_time:17183ms step_avg:223.16ms
step:78/1770 train_time:17343ms step_avg:222.34ms
step:79/1770 train_time:17519ms step_avg:221.75ms
step:80/1770 train_time:17687ms step_avg:221.09ms
step:81/1770 train_time:17860ms step_avg:220.49ms
step:82/1770 train_time:18025ms step_avg:219.82ms
step:83/1770 train_time:18190ms step_avg:219.16ms
step:84/1770 train_time:18363ms step_avg:218.60ms
step:85/1770 train_time:18528ms step_avg:217.98ms
step:86/1770 train_time:18694ms step_avg:217.37ms
step:87/1770 train_time:18846ms step_avg:216.63ms
step:88/1770 train_time:19010ms step_avg:216.02ms
step:89/1770 train_time:19183ms step_avg:215.54ms
step:90/1770 train_time:19354ms step_avg:215.05ms
step:91/1770 train_time:19531ms step_avg:214.63ms
step:92/1770 train_time:19697ms step_avg:214.10ms
step:93/1770 train_time:19862ms step_avg:213.58ms
step:94/1770 train_time:20013ms step_avg:212.91ms
step:95/1770 train_time:20178ms step_avg:212.40ms
step:96/1770 train_time:20350ms step_avg:211.98ms
step:97/1770 train_time:20503ms step_avg:211.38ms
step:98/1770 train_time:20666ms step_avg:210.88ms
step:99/1770 train_time:20845ms step_avg:210.55ms
step:100/1770 train_time:21014ms step_avg:210.14ms
step:101/1770 train_time:21188ms step_avg:209.78ms
step:102/1770 train_time:21351ms step_avg:209.33ms
step:103/1770 train_time:21518ms step_avg:208.91ms
step:104/1770 train_time:21692ms step_avg:208.58ms
step:105/1770 train_time:21862ms step_avg:208.20ms
step:106/1770 train_time:22030ms step_avg:207.83ms
step:107/1770 train_time:22195ms step_avg:207.43ms
step:108/1770 train_time:22365ms step_avg:207.09ms
step:109/1770 train_time:22529ms step_avg:206.69ms
step:110/1770 train_time:22693ms step_avg:206.30ms
step:111/1770 train_time:22868ms step_avg:206.02ms
step:112/1770 train_time:23034ms step_avg:205.66ms
step:113/1770 train_time:23204ms step_avg:205.34ms
step:114/1770 train_time:23369ms step_avg:205.00ms
step:115/1770 train_time:23539ms step_avg:204.68ms
step:116/1770 train_time:23695ms step_avg:204.27ms
step:117/1770 train_time:23865ms step_avg:203.97ms
step:118/1770 train_time:24033ms step_avg:203.67ms
step:119/1770 train_time:24201ms step_avg:203.37ms
step:120/1770 train_time:24374ms step_avg:203.12ms
step:121/1770 train_time:24540ms step_avg:202.81ms
step:122/1770 train_time:24713ms step_avg:202.57ms
step:123/1770 train_time:24859ms step_avg:202.10ms
step:124/1770 train_time:25029ms step_avg:201.85ms
step:125/1770 train_time:25189ms step_avg:201.51ms
step:126/1770 train_time:25357ms step_avg:201.24ms
step:127/1770 train_time:25535ms step_avg:201.07ms
step:128/1770 train_time:25684ms step_avg:200.66ms
step:129/1770 train_time:25856ms step_avg:200.43ms
step:130/1770 train_time:26006ms step_avg:200.04ms
step:131/1770 train_time:26169ms step_avg:199.77ms
step:132/1770 train_time:26340ms step_avg:199.54ms
step:133/1770 train_time:26515ms step_avg:199.36ms
step:134/1770 train_time:26689ms step_avg:199.17ms
step:135/1770 train_time:26858ms step_avg:198.95ms
step:136/1770 train_time:27013ms step_avg:198.63ms
step:137/1770 train_time:27189ms step_avg:198.46ms
step:138/1770 train_time:27345ms step_avg:198.16ms
step:139/1770 train_time:27501ms step_avg:197.85ms
step:140/1770 train_time:27666ms step_avg:197.61ms
step:141/1770 train_time:27835ms step_avg:197.41ms
step:142/1770 train_time:27999ms step_avg:197.17ms
step:143/1770 train_time:28166ms step_avg:196.96ms
step:144/1770 train_time:28333ms step_avg:196.75ms
step:145/1770 train_time:28502ms step_avg:196.57ms
step:146/1770 train_time:28678ms step_avg:196.43ms
step:147/1770 train_time:28844ms step_avg:196.22ms
step:148/1770 train_time:28998ms step_avg:195.93ms
step:149/1770 train_time:29161ms step_avg:195.71ms
step:150/1770 train_time:29325ms step_avg:195.50ms
step:151/1770 train_time:29491ms step_avg:195.30ms
step:152/1770 train_time:29668ms step_avg:195.19ms
step:153/1770 train_time:29844ms step_avg:195.06ms
step:154/1770 train_time:30015ms step_avg:194.90ms
step:155/1770 train_time:30175ms step_avg:194.67ms
step:156/1770 train_time:30345ms step_avg:194.52ms
step:157/1770 train_time:30521ms step_avg:194.40ms
step:158/1770 train_time:30687ms step_avg:194.22ms
step:159/1770 train_time:30834ms step_avg:193.92ms
step:160/1770 train_time:31004ms step_avg:193.77ms
step:161/1770 train_time:31184ms step_avg:193.69ms
step:162/1770 train_time:31333ms step_avg:193.42ms
step:163/1770 train_time:31499ms step_avg:193.24ms
step:164/1770 train_time:31675ms step_avg:193.14ms
step:165/1770 train_time:31827ms step_avg:192.89ms
step:166/1770 train_time:31989ms step_avg:192.71ms
step:167/1770 train_time:32156ms step_avg:192.55ms
step:168/1770 train_time:32334ms step_avg:192.47ms
step:169/1770 train_time:32503ms step_avg:192.33ms
step:170/1770 train_time:32674ms step_avg:192.20ms
step:171/1770 train_time:32834ms step_avg:192.01ms
step:172/1770 train_time:33007ms step_avg:191.90ms
step:173/1770 train_time:33150ms step_avg:191.62ms
step:174/1770 train_time:33319ms step_avg:191.49ms
step:175/1770 train_time:33509ms step_avg:191.48ms
step:176/1770 train_time:33709ms step_avg:191.53ms
step:177/1770 train_time:33925ms step_avg:191.67ms
step:178/1770 train_time:34111ms step_avg:191.64ms
step:179/1770 train_time:34312ms step_avg:191.69ms
step:180/1770 train_time:34510ms step_avg:191.72ms
step:181/1770 train_time:34709ms step_avg:191.76ms
step:182/1770 train_time:34918ms step_avg:191.85ms
step:183/1770 train_time:35113ms step_avg:191.88ms
step:184/1770 train_time:35336ms step_avg:192.04ms
step:185/1770 train_time:35551ms step_avg:192.17ms
step:186/1770 train_time:35757ms step_avg:192.24ms
step:187/1770 train_time:35950ms step_avg:192.25ms
step:188/1770 train_time:36153ms step_avg:192.30ms
step:189/1770 train_time:36350ms step_avg:192.33ms
step:190/1770 train_time:36565ms step_avg:192.45ms
step:191/1770 train_time:36740ms step_avg:192.36ms
step:192/1770 train_time:36875ms step_avg:192.06ms
step:193/1770 train_time:37084ms step_avg:192.15ms
step:194/1770 train_time:37286ms step_avg:192.19ms
step:195/1770 train_time:37493ms step_avg:192.27ms
step:196/1770 train_time:37721ms step_avg:192.46ms
step:197/1770 train_time:37932ms step_avg:192.55ms
step:198/1770 train_time:38113ms step_avg:192.49ms
step:199/1770 train_time:38356ms step_avg:192.75ms
step:200/1770 train_time:38577ms step_avg:192.88ms
step:201/1770 train_time:38793ms step_avg:193.00ms
step:202/1770 train_time:39012ms step_avg:193.13ms
step:203/1770 train_time:39234ms step_avg:193.27ms
step:204/1770 train_time:39463ms step_avg:193.45ms
step:205/1770 train_time:39661ms step_avg:193.47ms
step:206/1770 train_time:39906ms step_avg:193.72ms
step:207/1770 train_time:40113ms step_avg:193.78ms
step:208/1770 train_time:40300ms step_avg:193.75ms
step:209/1770 train_time:40498ms step_avg:193.77ms
step:210/1770 train_time:40649ms step_avg:193.57ms
step:211/1770 train_time:40829ms step_avg:193.50ms
step:212/1770 train_time:41014ms step_avg:193.46ms
step:213/1770 train_time:41240ms step_avg:193.61ms
step:214/1770 train_time:41455ms step_avg:193.71ms
step:215/1770 train_time:41813ms step_avg:194.48ms
step:216/1770 train_time:42085ms step_avg:194.84ms
step:217/1770 train_time:42316ms step_avg:195.01ms
step:218/1770 train_time:42807ms step_avg:196.36ms
step:219/1770 train_time:43867ms step_avg:200.31ms
step:220/1770 train_time:44474ms step_avg:202.16ms
step:221/1770 train_time:44758ms step_avg:202.53ms
step:222/1770 train_time:45009ms step_avg:202.74ms
step:223/1770 train_time:45250ms step_avg:202.92ms
step:224/1770 train_time:45584ms step_avg:203.50ms
step:225/1770 train_time:45811ms step_avg:203.60ms
step:226/1770 train_time:46019ms step_avg:203.62ms
step:227/1770 train_time:46231ms step_avg:203.66ms
step:228/1770 train_time:46437ms step_avg:203.67ms
step:229/1770 train_time:46676ms step_avg:203.82ms
step:230/1770 train_time:46844ms step_avg:203.67ms
step:231/1770 train_time:47031ms step_avg:203.60ms
step:232/1770 train_time:47238ms step_avg:203.61ms
step:233/1770 train_time:47487ms step_avg:203.81ms
step:234/1770 train_time:47670ms step_avg:203.72ms
step:235/1770 train_time:47920ms step_avg:203.91ms
step:236/1770 train_time:48139ms step_avg:203.98ms
step:237/1770 train_time:48386ms step_avg:204.16ms
step:238/1770 train_time:48600ms step_avg:204.20ms
step:239/1770 train_time:48848ms step_avg:204.39ms
step:240/1770 train_time:49046ms step_avg:204.36ms
step:241/1770 train_time:49275ms step_avg:204.46ms
step:242/1770 train_time:49473ms step_avg:204.43ms
step:243/1770 train_time:49691ms step_avg:204.49ms
step:244/1770 train_time:49879ms step_avg:204.42ms
step:245/1770 train_time:50057ms step_avg:204.31ms
step:246/1770 train_time:50198ms step_avg:204.06ms
step:247/1770 train_time:50398ms step_avg:204.04ms
step:248/1770 train_time:50546ms step_avg:203.81ms
step:249/1770 train_time:50805ms step_avg:204.04ms
step:250/1770 train_time:50993ms step_avg:203.97ms
step:251/1770 train_time:51243ms step_avg:204.16ms
step:252/1770 train_time:51423ms step_avg:204.06ms
step:253/1770 train_time:51693ms step_avg:204.32ms
step:254/1770 train_time:51885ms step_avg:204.27ms
step:255/1770 train_time:52149ms step_avg:204.51ms
step:256/1770 train_time:52324ms step_avg:204.39ms
step:257/1770 train_time:52553ms step_avg:204.48ms
step:258/1770 train_time:52761ms step_avg:204.50ms
step:259/1770 train_time:52977ms step_avg:204.55ms
step:260/1770 train_time:53176ms step_avg:204.52ms
step:261/1770 train_time:53415ms step_avg:204.65ms
step:262/1770 train_time:53594ms step_avg:204.56ms
step:263/1770 train_time:53797ms step_avg:204.55ms
step:264/1770 train_time:54029ms step_avg:204.66ms
step:265/1770 train_time:54237ms step_avg:204.67ms
