logs/b233ba88-482f-462f-bd59-1c8648b44743.txt
begin training
  2%|▏         | 31/1771 [00:04<06:44,  4.30it/s]
step:1/1770 train_time:229ms step_avg:228.83ms
step:2/1770 train_time:335ms step_avg:167.71ms
step:3/1770 train_time:472ms step_avg:157.50ms
step:4/1770 train_time:606ms step_avg:151.56ms
step:5/1770 train_time:737ms step_avg:147.48ms
step:6/1770 train_time:881ms step_avg:146.84ms
step:7/1770 train_time:1014ms step_avg:144.90ms
step:8/1770 train_time:1149ms step_avg:143.59ms
step:9/1770 train_time:1281ms step_avg:142.28ms
step:10/1770 train_time:1414ms step_avg:141.36ms
step:11/1770 train_time:1546ms step_avg:140.53ms
step:12/1770 train_time:1682ms step_avg:140.14ms
step:13/1770 train_time:1817ms step_avg:139.80ms
step:14/1770 train_time:1949ms step_avg:139.24ms
step:15/1770 train_time:2085ms step_avg:139.01ms
step:16/1770 train_time:2214ms step_avg:138.36ms
step:17/1770 train_time:2346ms step_avg:137.98ms
step:18/1770 train_time:2479ms step_avg:137.75ms
step:19/1770 train_time:2621ms step_avg:137.93ms
step:20/1770 train_time:2750ms step_avg:137.50ms
step:21/1770 train_time:2890ms step_avg:137.61ms
step:22/1770 train_time:3021ms step_avg:137.32ms
step:23/1770 train_time:3154ms step_avg:137.12ms
step:24/1770 train_time:3285ms step_avg:136.90ms
step:25/1770 train_time:3419ms step_avg:136.76ms
step:26/1770 train_time:3650ms step_avg:140.39ms
step:27/1770 train_time:3903ms step_avg:144.54ms
step:28/1770 train_time:4150ms step_avg:148.21ms
step:29/1770 train_time:4398ms step_avg:151.66ms
step:30/1770 train_time:4647ms step_avg:154.92ms
step:31/1770 train_time:4889ms step_avg:157.72ms
step:32/1770 train_time:5140ms step_avg:160.62ms
step:33/1770 train_time:5386ms step_avg:163.21ms
step:34/1770 train_time:5635ms step_avg:165.72ms
step:35/1770 train_time:5883ms step_avg:168.09ms
step:36/1770 train_time:6126ms step_avg:170.18ms
step:37/1770 train_time:6375ms step_avg:172.29ms
step:38/1770 train_time:6620ms step_avg:174.22ms
step:39/1770 train_time:6866ms step_avg:176.05ms
step:40/1770 train_time:7109ms step_avg:177.73ms
step:41/1770 train_time:7361ms step_avg:179.54ms
step:42/1770 train_time:7610ms step_avg:181.19ms
step:43/1770 train_time:7856ms step_avg:182.69ms
step:44/1770 train_time:8103ms step_avg:184.17ms
step:45/1770 train_time:8350ms step_avg:185.56ms
step:46/1770 train_time:8600ms step_avg:186.96ms
step:47/1770 train_time:8845ms step_avg:188.20ms
step:48/1770 train_time:9092ms step_avg:189.41ms
step:49/1770 train_time:9345ms step_avg:190.72ms
step:50/1770 train_time:9593ms step_avg:191.87ms
step:51/1770 train_time:9841ms step_avg:192.95ms
step:52/1770 train_time:10086ms step_avg:193.96ms
step:53/1770 train_time:10333ms step_avg:194.95ms
step:54/1770 train_time:10581ms step_avg:195.95ms
step:55/1770 train_time:10833ms step_avg:196.97ms
step:56/1770 train_time:11084ms step_avg:197.93ms
step:57/1770 train_time:11335ms step_avg:198.85ms
step:58/1770 train_time:11576ms step_avg:199.59ms
step:59/1770 train_time:11825ms step_avg:200.43ms
step:60/1770 train_time:12071ms step_avg:201.19ms
step:61/1770 train_time:12638ms step_avg:207.18ms
step:62/1770 train_time:13054ms step_avg:210.54ms
step:63/1770 train_time:13422ms step_avg:213.05ms
step:64/1770 train_time:13749ms step_avg:214.82ms
step:65/1770 train_time:14068ms step_avg:216.43ms
step:66/1770 train_time:14382ms step_avg:217.91ms
step:67/1770 train_time:14684ms step_avg:219.16ms
step:68/1770 train_time:14988ms step_avg:220.41ms
step:69/1770 train_time:15261ms step_avg:221.18ms
step:70/1770 train_time:15527ms step_avg:221.81ms
