logs/e036101c-b00d-4060-813d-53441e6ece56.txt
begin training
  2%|▏         | 31/1771 [00:06<06:52,  4.22it/s]
step:1/1770 train_time:279ms step_avg:278.56ms
step:2/1770 train_time:393ms step_avg:196.45ms
step:3/1770 train_time:524ms step_avg:174.68ms
step:4/1770 train_time:656ms step_avg:163.97ms
step:5/1770 train_time:789ms step_avg:157.73ms
step:6/1770 train_time:921ms step_avg:153.45ms
step:7/1770 train_time:1053ms step_avg:150.42ms
step:8/1770 train_time:1184ms step_avg:148.05ms
step:9/1770 train_time:1316ms step_avg:146.17ms
step:10/1770 train_time:1444ms step_avg:144.44ms
step:11/1770 train_time:1576ms step_avg:143.28ms
step:12/1770 train_time:1776ms step_avg:147.97ms
step:13/1770 train_time:2013ms step_avg:154.81ms
step:14/1770 train_time:2256ms step_avg:161.18ms
step:15/1770 train_time:2495ms step_avg:166.36ms
step:16/1770 train_time:2729ms step_avg:170.57ms
step:17/1770 train_time:2968ms step_avg:174.61ms
step:18/1770 train_time:3202ms step_avg:177.91ms
step:19/1770 train_time:3446ms step_avg:181.39ms
step:20/1770 train_time:3676ms step_avg:183.78ms
step:21/1770 train_time:3914ms step_avg:186.38ms
step:22/1770 train_time:4156ms step_avg:188.90ms
step:23/1770 train_time:4390ms step_avg:190.87ms
step:24/1770 train_time:4627ms step_avg:192.81ms
step:25/1770 train_time:4863ms step_avg:194.54ms
step:26/1770 train_time:5107ms step_avg:196.43ms
step:27/1770 train_time:5346ms step_avg:198.01ms
step:28/1770 train_time:5581ms step_avg:199.32ms
step:29/1770 train_time:5821ms step_avg:200.72ms
step:30/1770 train_time:6057ms step_avg:201.91ms
step:31/1770 train_time:6293ms step_avg:203.01ms
step:32/1770 train_time:6531ms step_avg:204.11ms
step:33/1770 train_time:6769ms step_avg:205.11ms
step:34/1770 train_time:7009ms step_avg:206.14ms
step:35/1770 train_time:7245ms step_avg:207.00ms
step:36/1770 train_time:7483ms step_avg:207.86ms
step:37/1770 train_time:7720ms step_avg:208.65ms
step:38/1770 train_time:7962ms step_avg:209.52ms
step:39/1770 train_time:8201ms step_avg:210.28ms
step:40/1770 train_time:8437ms step_avg:210.94ms
step:41/1770 train_time:8679ms step_avg:211.69ms
step:42/1770 train_time:8920ms step_avg:212.39ms
step:43/1770 train_time:9184ms step_avg:213.59ms
step:44/1770 train_time:9431ms step_avg:214.35ms
step:45/1770 train_time:9678ms step_avg:215.08ms
step:46/1770 train_time:9877ms step_avg:214.73ms
step:47/1770 train_time:10011ms step_avg:213.00ms
step:48/1770 train_time:10364ms step_avg:215.92ms
step:49/1770 train_time:10737ms step_avg:219.11ms
step:50/1770 train_time:11042ms step_avg:220.85ms
step:51/1770 train_time:11202ms step_avg:219.64ms
step:52/1770 train_time:11523ms step_avg:221.59ms
step:53/1770 train_time:11858ms step_avg:223.73ms
step:54/1770 train_time:12127ms step_avg:224.57ms
step:55/1770 train_time:12282ms step_avg:223.30ms
step:56/1770 train_time:12442ms step_avg:222.18ms
step:57/1770 train_time:12610ms step_avg:221.24ms
step:58/1770 train_time:12776ms step_avg:220.27ms
step:59/1770 train_time:12940ms step_avg:219.32ms
step:60/1770 train_time:13106ms step_avg:218.43ms
step:61/1770 train_time:13275ms step_avg:217.63ms
step:62/1770 train_time:13446ms step_avg:216.87ms
step:63/1770 train_time:13611ms step_avg:216.04ms
step:64/1770 train_time:13767ms step_avg:215.10ms
step:65/1770 train_time:13926ms step_avg:214.25ms
step:66/1770 train_time:14095ms step_avg:213.57ms
step:67/1770 train_time:14270ms step_avg:212.99ms
step:68/1770 train_time:14441ms step_avg:212.36ms
step:69/1770 train_time:14612ms step_avg:211.76ms
step:70/1770 train_time:14785ms step_avg:211.22ms
step:71/1770 train_time:14952ms step_avg:210.59ms
step:72/1770 train_time:15116ms step_avg:209.94ms
step:73/1770 train_time:15283ms step_avg:209.36ms
step:74/1770 train_time:15450ms step_avg:208.79ms
step:75/1770 train_time:15616ms step_avg:208.21ms
step:76/1770 train_time:15781ms step_avg:207.64ms
step:77/1770 train_time:15951ms step_avg:207.16ms
step:78/1770 train_time:16107ms step_avg:206.51ms
