logs/ce5354ae-0224-4f5f-83a6-9a4da1379d4b.txt
begin training
  2%|▏         | 31/1771 [00:08<06:51,  4.23it/s]
step:1/1770 train_time:1515ms step_avg:1515.07ms
step:2/1770 train_time:1719ms step_avg:859.49ms
step:3/1770 train_time:1956ms step_avg:652.16ms
step:4/1770 train_time:2193ms step_avg:548.21ms
step:5/1770 train_time:2431ms step_avg:486.24ms
step:6/1770 train_time:2668ms step_avg:444.61ms
step:7/1770 train_time:2905ms step_avg:414.96ms
step:8/1770 train_time:3138ms step_avg:392.25ms
step:9/1770 train_time:3371ms step_avg:374.59ms
step:10/1770 train_time:3608ms step_avg:360.79ms
step:11/1770 train_time:3846ms step_avg:349.60ms
step:12/1770 train_time:4083ms step_avg:340.29ms
step:13/1770 train_time:4320ms step_avg:332.32ms
step:14/1770 train_time:4557ms step_avg:325.49ms
step:15/1770 train_time:4793ms step_avg:319.53ms
step:16/1770 train_time:5032ms step_avg:314.48ms
step:17/1770 train_time:5268ms step_avg:309.90ms
step:18/1770 train_time:5510ms step_avg:306.12ms
step:19/1770 train_time:5741ms step_avg:302.17ms
step:20/1770 train_time:5980ms step_avg:298.98ms
step:21/1770 train_time:6218ms step_avg:296.08ms
step:22/1770 train_time:6457ms step_avg:293.48ms
step:23/1770 train_time:6695ms step_avg:291.10ms
step:24/1770 train_time:6931ms step_avg:288.78ms
step:25/1770 train_time:7170ms step_avg:286.80ms
step:26/1770 train_time:7406ms step_avg:284.85ms
step:27/1770 train_time:7641ms step_avg:282.99ms
step:28/1770 train_time:7876ms step_avg:281.27ms
step:29/1770 train_time:8117ms step_avg:279.90ms
step:30/1770 train_time:8354ms step_avg:278.48ms
step:31/1770 train_time:8589ms step_avg:277.06ms
step:32/1770 train_time:8827ms step_avg:275.85ms
step:33/1770 train_time:9063ms step_avg:274.64ms
step:34/1770 train_time:9302ms step_avg:273.58ms
step:35/1770 train_time:9539ms step_avg:272.56ms
step:36/1770 train_time:9774ms step_avg:271.51ms
step:37/1770 train_time:10015ms step_avg:270.66ms
step:38/1770 train_time:10248ms step_avg:269.70ms
step:39/1770 train_time:10488ms step_avg:268.92ms
step:40/1770 train_time:10723ms step_avg:268.07ms
step:41/1770 train_time:10964ms step_avg:267.41ms
step:42/1770 train_time:11201ms step_avg:266.70ms
step:43/1770 train_time:11436ms step_avg:265.96ms
step:44/1770 train_time:11674ms step_avg:265.33ms
step:45/1770 train_time:11911ms step_avg:264.68ms
step:46/1770 train_time:12153ms step_avg:264.20ms
step:47/1770 train_time:12390ms step_avg:263.62ms
step:48/1770 train_time:12625ms step_avg:263.02ms
step:49/1770 train_time:12862ms step_avg:262.49ms
step:50/1770 train_time:13100ms step_avg:261.99ms
step:51/1770 train_time:13334ms step_avg:261.46ms
step:52/1770 train_time:13571ms step_avg:260.98ms
step:53/1770 train_time:13810ms step_avg:260.56ms
step:54/1770 train_time:14054ms step_avg:260.26ms
step:55/1770 train_time:14282ms step_avg:259.67ms
step:56/1770 train_time:14521ms step_avg:259.30ms
step:57/1770 train_time:14755ms step_avg:258.85ms
step:58/1770 train_time:14995ms step_avg:258.54ms
step:59/1770 train_time:15235ms step_avg:258.23ms
step:60/1770 train_time:15471ms step_avg:257.85ms
step:61/1770 train_time:15711ms step_avg:257.55ms
step:62/1770 train_time:15948ms step_avg:257.23ms
step:63/1770 train_time:16187ms step_avg:256.93ms
step:64/1770 train_time:16421ms step_avg:256.58ms
step:65/1770 train_time:16660ms step_avg:256.30ms
step:66/1770 train_time:16898ms step_avg:256.03ms
step:67/1770 train_time:17131ms step_avg:255.68ms
step:68/1770 train_time:17370ms step_avg:255.44ms
step:69/1770 train_time:17606ms step_avg:255.16ms
step:70/1770 train_time:17844ms step_avg:254.91ms
step:71/1770 train_time:18082ms step_avg:254.68ms
step:72/1770 train_time:18315ms step_avg:254.37ms
step:73/1770 train_time:18557ms step_avg:254.21ms
step:74/1770 train_time:18794ms step_avg:253.97ms
step:75/1770 train_time:19030ms step_avg:253.74ms
step:76/1770 train_time:19267ms step_avg:253.51ms
step:77/1770 train_time:19509ms step_avg:253.37ms
step:78/1770 train_time:19743ms step_avg:253.12ms
step:79/1770 train_time:19983ms step_avg:252.95ms
step:80/1770 train_time:20221ms step_avg:252.76ms
step:81/1770 train_time:20455ms step_avg:252.53ms
step:82/1770 train_time:20695ms step_avg:252.38ms
step:83/1770 train_time:20933ms step_avg:252.20ms
step:84/1770 train_time:21168ms step_avg:252.01ms
step:85/1770 train_time:21404ms step_avg:251.81ms
step:86/1770 train_time:21640ms step_avg:251.63ms
step:87/1770 train_time:21878ms step_avg:251.47ms
step:88/1770 train_time:22112ms step_avg:251.27ms
step:89/1770 train_time:22349ms step_avg:251.12ms
step:90/1770 train_time:22593ms step_avg:251.03ms
step:91/1770 train_time:22822ms step_avg:250.79ms
step:92/1770 train_time:23060ms step_avg:250.66ms
step:93/1770 train_time:23299ms step_avg:250.52ms
step:94/1770 train_time:23536ms step_avg:250.39ms
step:95/1770 train_time:23770ms step_avg:250.21ms
step:96/1770 train_time:24008ms step_avg:250.08ms
step:97/1770 train_time:24248ms step_avg:249.98ms
step:98/1770 train_time:24485ms step_avg:249.85ms
step:99/1770 train_time:24724ms step_avg:249.74ms
step:100/1770 train_time:24964ms step_avg:249.64ms
step:101/1770 train_time:25204ms step_avg:249.55ms
step:102/1770 train_time:25442ms step_avg:249.43ms
step:103/1770 train_time:25677ms step_avg:249.29ms
step:104/1770 train_time:25913ms step_avg:249.16ms
step:105/1770 train_time:26149ms step_avg:249.04ms
step:106/1770 train_time:26389ms step_avg:248.96ms
step:107/1770 train_time:26628ms step_avg:248.86ms
step:108/1770 train_time:26861ms step_avg:248.72ms
step:109/1770 train_time:27100ms step_avg:248.62ms
step:110/1770 train_time:27337ms step_avg:248.52ms
step:111/1770 train_time:27573ms step_avg:248.41ms
step:112/1770 train_time:27810ms step_avg:248.31ms
