logs/5b721068-6acc-40ab-a95a-8b5dfc9dbd76.txt
begin training
  2%|▏         | 31/1771 [00:07<06:53,  4.21it/s]
step:1/1770 train_time:749ms step_avg:748.59ms
step:2/1770 train_time:950ms step_avg:474.82ms
step:3/1770 train_time:1185ms step_avg:395.07ms
step:4/1770 train_time:1425ms step_avg:356.35ms
step:5/1770 train_time:1663ms step_avg:332.70ms
step:6/1770 train_time:1897ms step_avg:316.11ms
step:7/1770 train_time:2135ms step_avg:304.94ms
step:8/1770 train_time:2373ms step_avg:296.65ms
step:9/1770 train_time:2611ms step_avg:290.10ms
step:10/1770 train_time:2848ms step_avg:284.78ms
step:11/1770 train_time:3082ms step_avg:280.20ms
step:12/1770 train_time:3325ms step_avg:277.07ms
step:13/1770 train_time:3560ms step_avg:273.86ms
step:14/1770 train_time:3801ms step_avg:271.48ms
step:15/1770 train_time:4033ms step_avg:268.89ms
step:16/1770 train_time:4273ms step_avg:267.08ms
step:17/1770 train_time:4514ms step_avg:265.52ms
step:18/1770 train_time:4749ms step_avg:263.85ms
step:19/1770 train_time:4988ms step_avg:262.52ms
step:20/1770 train_time:5224ms step_avg:261.20ms
step:21/1770 train_time:5462ms step_avg:260.11ms
step:22/1770 train_time:5700ms step_avg:259.09ms
step:23/1770 train_time:5934ms step_avg:257.98ms
step:24/1770 train_time:6172ms step_avg:257.17ms
step:25/1770 train_time:6407ms step_avg:256.28ms
step:26/1770 train_time:6643ms step_avg:255.51ms
step:27/1770 train_time:6880ms step_avg:254.82ms
step:28/1770 train_time:7117ms step_avg:254.19ms
step:29/1770 train_time:7356ms step_avg:253.66ms
step:30/1770 train_time:7590ms step_avg:253.01ms
step:31/1770 train_time:7830ms step_avg:252.58ms
step:32/1770 train_time:8066ms step_avg:252.05ms
step:33/1770 train_time:8308ms step_avg:251.75ms
step:34/1770 train_time:8545ms step_avg:251.32ms
step:35/1770 train_time:8780ms step_avg:250.84ms
step:36/1770 train_time:9021ms step_avg:250.59ms
step:37/1770 train_time:9258ms step_avg:250.22ms
step:38/1770 train_time:9496ms step_avg:249.90ms
step:39/1770 train_time:9731ms step_avg:249.51ms
step:40/1770 train_time:9970ms step_avg:249.25ms
step:41/1770 train_time:10212ms step_avg:249.07ms
step:42/1770 train_time:10447ms step_avg:248.73ms
step:43/1770 train_time:10686ms step_avg:248.51ms
