logs/3a2b40f6-3adb-4929-bee3-f2304135d3c1.txt
begin training
  2%|▏         | 31/1771 [00:08<07:05,  4.09it/s]
step:1/1770 train_time:983ms step_avg:983.37ms
step:2/1770 train_time:1185ms step_avg:592.36ms
step:3/1770 train_time:1426ms step_avg:475.21ms
step:4/1770 train_time:1668ms step_avg:416.93ms
step:5/1770 train_time:1908ms step_avg:381.59ms
step:6/1770 train_time:2150ms step_avg:358.38ms
step:7/1770 train_time:2394ms step_avg:341.93ms
step:8/1770 train_time:2637ms step_avg:329.65ms
step:9/1770 train_time:2876ms step_avg:319.52ms
step:10/1770 train_time:3122ms step_avg:312.22ms
step:11/1770 train_time:3366ms step_avg:305.99ms
step:12/1770 train_time:3608ms step_avg:300.64ms
step:13/1770 train_time:3850ms step_avg:296.17ms
step:14/1770 train_time:4096ms step_avg:292.55ms
step:15/1770 train_time:4336ms step_avg:289.09ms
step:16/1770 train_time:4580ms step_avg:286.24ms
step:17/1770 train_time:4825ms step_avg:283.83ms
step:18/1770 train_time:5061ms step_avg:281.15ms
step:19/1770 train_time:5311ms step_avg:279.51ms
step:20/1770 train_time:5547ms step_avg:277.35ms
step:21/1770 train_time:5791ms step_avg:275.78ms
step:22/1770 train_time:6033ms step_avg:274.23ms
step:23/1770 train_time:6280ms step_avg:273.06ms
step:24/1770 train_time:6521ms step_avg:271.70ms
step:25/1770 train_time:6763ms step_avg:270.52ms
step:26/1770 train_time:7006ms step_avg:269.45ms
step:27/1770 train_time:7246ms step_avg:268.36ms
step:28/1770 train_time:7490ms step_avg:267.49ms
step:29/1770 train_time:7731ms step_avg:266.59ms
step:30/1770 train_time:7978ms step_avg:265.92ms
step:31/1770 train_time:8225ms step_avg:265.31ms
step:32/1770 train_time:8465ms step_avg:264.55ms
step:33/1770 train_time:8712ms step_avg:264.01ms
step:34/1770 train_time:8956ms step_avg:263.42ms
step:35/1770 train_time:9203ms step_avg:262.94ms
step:36/1770 train_time:9445ms step_avg:262.35ms
step:37/1770 train_time:9688ms step_avg:261.84ms
step:38/1770 train_time:9928ms step_avg:261.27ms
step:39/1770 train_time:10165ms step_avg:260.65ms
step:40/1770 train_time:10411ms step_avg:260.28ms
step:41/1770 train_time:10653ms step_avg:259.82ms
step:42/1770 train_time:10895ms step_avg:259.40ms
step:43/1770 train_time:11139ms step_avg:259.05ms
step:44/1770 train_time:11376ms step_avg:258.54ms
step:45/1770 train_time:11618ms step_avg:258.17ms
step:46/1770 train_time:11861ms step_avg:257.85ms
step:47/1770 train_time:12102ms step_avg:257.49ms
step:48/1770 train_time:12340ms step_avg:257.09ms
step:49/1770 train_time:12577ms step_avg:256.68ms
step:50/1770 train_time:12822ms step_avg:256.43ms
step:51/1770 train_time:13066ms step_avg:256.19ms
step:52/1770 train_time:13310ms step_avg:255.97ms
step:53/1770 train_time:13553ms step_avg:255.71ms
step:54/1770 train_time:13791ms step_avg:255.39ms
step:55/1770 train_time:14038ms step_avg:255.23ms
step:56/1770 train_time:14273ms step_avg:254.87ms
step:57/1770 train_time:14516ms step_avg:254.66ms
step:58/1770 train_time:14759ms step_avg:254.47ms
step:59/1770 train_time:15012ms step_avg:254.44ms
step:60/1770 train_time:15252ms step_avg:254.20ms
step:61/1770 train_time:15493ms step_avg:253.99ms
step:62/1770 train_time:15736ms step_avg:253.80ms
step:63/1770 train_time:15978ms step_avg:253.61ms
step:64/1770 train_time:16219ms step_avg:253.42ms
step:65/1770 train_time:16458ms step_avg:253.20ms
step:66/1770 train_time:16704ms step_avg:253.08ms
step:67/1770 train_time:16938ms step_avg:252.81ms
step:68/1770 train_time:17184ms step_avg:252.71ms
step:69/1770 train_time:17424ms step_avg:252.52ms
step:70/1770 train_time:17665ms step_avg:252.36ms
step:71/1770 train_time:17911ms step_avg:252.27ms
step:72/1770 train_time:18158ms step_avg:252.19ms
step:73/1770 train_time:18392ms step_avg:251.94ms
step:74/1770 train_time:18634ms step_avg:251.81ms
step:75/1770 train_time:18875ms step_avg:251.66ms
step:76/1770 train_time:19114ms step_avg:251.50ms
step:77/1770 train_time:19361ms step_avg:251.45ms
step:78/1770 train_time:19599ms step_avg:251.26ms
step:79/1770 train_time:19844ms step_avg:251.19ms
step:80/1770 train_time:20086ms step_avg:251.08ms
step:81/1770 train_time:20324ms step_avg:250.91ms
step:82/1770 train_time:20567ms step_avg:250.82ms
step:83/1770 train_time:20808ms step_avg:250.70ms
step:84/1770 train_time:21048ms step_avg:250.57ms
step:85/1770 train_time:21290ms step_avg:250.47ms
step:86/1770 train_time:21531ms step_avg:250.36ms
step:87/1770 train_time:21773ms step_avg:250.27ms
step:88/1770 train_time:22016ms step_avg:250.18ms
step:89/1770 train_time:22258ms step_avg:250.09ms
step:90/1770 train_time:22498ms step_avg:249.98ms
step:91/1770 train_time:22744ms step_avg:249.94ms
step:92/1770 train_time:22983ms step_avg:249.81ms
step:93/1770 train_time:23228ms step_avg:249.76ms
step:94/1770 train_time:23466ms step_avg:249.64ms
step:95/1770 train_time:23709ms step_avg:249.57ms
step:96/1770 train_time:23950ms step_avg:249.48ms
step:97/1770 train_time:24189ms step_avg:249.37ms
step:98/1770 train_time:24436ms step_avg:249.35ms
step:99/1770 train_time:24677ms step_avg:249.27ms
step:100/1770 train_time:24917ms step_avg:249.17ms
step:101/1770 train_time:25152ms step_avg:249.03ms
step:102/1770 train_time:25397ms step_avg:248.99ms
step:103/1770 train_time:25639ms step_avg:248.92ms
step:104/1770 train_time:25882ms step_avg:248.86ms
step:105/1770 train_time:26121ms step_avg:248.77ms
step:106/1770 train_time:26359ms step_avg:248.67ms
step:107/1770 train_time:26598ms step_avg:248.58ms
step:108/1770 train_time:26839ms step_avg:248.51ms
step:109/1770 train_time:27079ms step_avg:248.43ms
step:110/1770 train_time:27323ms step_avg:248.39ms
step:111/1770 train_time:27564ms step_avg:248.32ms
step:112/1770 train_time:27803ms step_avg:248.24ms
step:113/1770 train_time:28050ms step_avg:248.23ms
step:114/1770 train_time:28285ms step_avg:248.11ms
step:115/1770 train_time:28530ms step_avg:248.09ms
step:116/1770 train_time:28772ms step_avg:248.03ms
step:117/1770 train_time:29015ms step_avg:247.99ms
step:118/1770 train_time:29257ms step_avg:247.94ms
step:119/1770 train_time:29501ms step_avg:247.91ms
step:120/1770 train_time:29747ms step_avg:247.89ms
step:121/1770 train_time:29985ms step_avg:247.81ms
step:122/1770 train_time:30229ms step_avg:247.78ms
step:123/1770 train_time:30471ms step_avg:247.73ms
step:124/1770 train_time:30715ms step_avg:247.70ms
step:125/1770 train_time:30960ms step_avg:247.68ms
step:126/1770 train_time:31202ms step_avg:247.64ms
step:127/1770 train_time:31447ms step_avg:247.62ms
step:128/1770 train_time:31686ms step_avg:247.55ms
step:129/1770 train_time:31929ms step_avg:247.51ms
step:130/1770 train_time:32171ms step_avg:247.47ms
step:131/1770 train_time:32414ms step_avg:247.44ms
step:132/1770 train_time:32656ms step_avg:247.40ms
step:133/1770 train_time:32898ms step_avg:247.35ms
step:134/1770 train_time:33136ms step_avg:247.28ms
step:135/1770 train_time:33378ms step_avg:247.25ms
step:136/1770 train_time:33623ms step_avg:247.23ms
step:137/1770 train_time:33864ms step_avg:247.18ms
step:138/1770 train_time:34109ms step_avg:247.17ms
step:139/1770 train_time:34349ms step_avg:247.12ms
step:140/1770 train_time:34594ms step_avg:247.10ms
step:141/1770 train_time:34835ms step_avg:247.05ms
step:142/1770 train_time:35077ms step_avg:247.02ms
step:143/1770 train_time:35315ms step_avg:246.96ms
step:144/1770 train_time:35562ms step_avg:246.96ms
step:145/1770 train_time:35801ms step_avg:246.90ms
step:146/1770 train_time:36046ms step_avg:246.89ms
step:147/1770 train_time:36291ms step_avg:246.88ms
step:148/1770 train_time:36534ms step_avg:246.85ms
step:149/1770 train_time:36776ms step_avg:246.82ms
step:150/1770 train_time:37016ms step_avg:246.77ms
step:151/1770 train_time:37261ms step_avg:246.76ms
step:152/1770 train_time:37502ms step_avg:246.72ms
step:153/1770 train_time:37743ms step_avg:246.69ms
step:154/1770 train_time:37983ms step_avg:246.65ms
step:155/1770 train_time:38228ms step_avg:246.63ms
step:156/1770 train_time:38474ms step_avg:246.63ms
step:157/1770 train_time:38712ms step_avg:246.58ms
step:158/1770 train_time:38957ms step_avg:246.56ms
step:159/1770 train_time:39199ms step_avg:246.53ms
step:160/1770 train_time:39446ms step_avg:246.54ms
step:161/1770 train_time:39685ms step_avg:246.49ms
step:162/1770 train_time:39931ms step_avg:246.49ms
step:163/1770 train_time:40179ms step_avg:246.50ms
step:164/1770 train_time:40418ms step_avg:246.45ms
step:165/1770 train_time:40664ms step_avg:246.45ms
step:166/1770 train_time:40902ms step_avg:246.39ms
step:167/1770 train_time:41143ms step_avg:246.36ms
step:168/1770 train_time:41380ms step_avg:246.31ms
step:169/1770 train_time:41619ms step_avg:246.26ms
step:170/1770 train_time:41857ms step_avg:246.22ms
step:171/1770 train_time:42102ms step_avg:246.21ms
step:172/1770 train_time:42345ms step_avg:246.19ms
step:173/1770 train_time:42587ms step_avg:246.17ms
step:174/1770 train_time:42833ms step_avg:246.17ms
step:175/1770 train_time:43072ms step_avg:246.12ms
step:176/1770 train_time:43320ms step_avg:246.13ms
step:177/1770 train_time:43563ms step_avg:246.12ms
step:178/1770 train_time:43805ms step_avg:246.09ms
step:179/1770 train_time:44043ms step_avg:246.05ms
step:180/1770 train_time:44284ms step_avg:246.02ms
step:181/1770 train_time:44528ms step_avg:246.01ms
step:182/1770 train_time:44773ms step_avg:246.00ms
step:183/1770 train_time:45013ms step_avg:245.97ms
step:184/1770 train_time:45255ms step_avg:245.95ms
step:185/1770 train_time:45499ms step_avg:245.94ms
step:186/1770 train_time:45742ms step_avg:245.92ms
step:187/1770 train_time:45989ms step_avg:245.93ms
step:188/1770 train_time:46224ms step_avg:245.87ms
step:189/1770 train_time:46467ms step_avg:245.86ms
step:190/1770 train_time:46710ms step_avg:245.84ms
step:191/1770 train_time:46950ms step_avg:245.81ms
step:192/1770 train_time:47197ms step_avg:245.82ms
step:193/1770 train_time:47440ms step_avg:245.80ms
step:194/1770 train_time:47683ms step_avg:245.79ms
step:195/1770 train_time:47923ms step_avg:245.76ms
step:196/1770 train_time:48169ms step_avg:245.76ms
step:197/1770 train_time:48411ms step_avg:245.74ms
step:198/1770 train_time:48653ms step_avg:245.72ms
step:199/1770 train_time:48891ms step_avg:245.68ms
step:200/1770 train_time:49132ms step_avg:245.66ms
step:201/1770 train_time:49374ms step_avg:245.64ms
step:202/1770 train_time:49617ms step_avg:245.63ms
step:203/1770 train_time:49861ms step_avg:245.62ms
step:204/1770 train_time:50104ms step_avg:245.61ms
step:205/1770 train_time:50351ms step_avg:245.61ms
step:206/1770 train_time:50588ms step_avg:245.57ms
step:207/1770 train_time:50835ms step_avg:245.58ms
step:208/1770 train_time:51077ms step_avg:245.56ms
step:209/1770 train_time:51323ms step_avg:245.56ms
step:210/1770 train_time:51571ms step_avg:245.58ms
step:211/1770 train_time:51815ms step_avg:245.57ms
step:212/1770 train_time:52060ms step_avg:245.57ms
step:213/1770 train_time:52299ms step_avg:245.54ms
step:214/1770 train_time:52541ms step_avg:245.52ms
step:215/1770 train_time:52782ms step_avg:245.50ms
step:216/1770 train_time:53026ms step_avg:245.49ms
step:217/1770 train_time:53267ms step_avg:245.47ms
step:218/1770 train_time:53511ms step_avg:245.47ms
step:219/1770 train_time:53752ms step_avg:245.44ms
step:220/1770 train_time:53996ms step_avg:245.44ms
step:221/1770 train_time:54237ms step_avg:245.42ms
step:222/1770 train_time:54472ms step_avg:245.37ms
step:223/1770 train_time:54719ms step_avg:245.38ms
step:224/1770 train_time:54959ms step_avg:245.35ms
step:225/1770 train_time:55204ms step_avg:245.35ms
step:226/1770 train_time:55442ms step_avg:245.32ms
step:227/1770 train_time:55686ms step_avg:245.31ms
step:228/1770 train_time:55927ms step_avg:245.30ms
step:229/1770 train_time:56173ms step_avg:245.30ms
step:230/1770 train_time:56411ms step_avg:245.26ms
step:231/1770 train_time:56650ms step_avg:245.24ms
step:232/1770 train_time:56891ms step_avg:245.22ms
step:233/1770 train_time:57128ms step_avg:245.19ms
step:234/1770 train_time:57371ms step_avg:245.18ms
step:235/1770 train_time:57609ms step_avg:245.15ms
step:236/1770 train_time:57850ms step_avg:245.13ms
step:237/1770 train_time:58091ms step_avg:245.11ms
step:238/1770 train_time:58331ms step_avg:245.09ms
step:239/1770 train_time:58568ms step_avg:245.05ms
step:240/1770 train_time:58813ms step_avg:245.06ms
step:241/1770 train_time:59058ms step_avg:245.05ms
step:242/1770 train_time:59302ms step_avg:245.05ms
step:243/1770 train_time:59545ms step_avg:245.04ms
step:244/1770 train_time:59780ms step_avg:245.00ms
step:245/1770 train_time:60025ms step_avg:245.00ms
step:246/1770 train_time:60268ms step_avg:244.99ms
step:247/1770 train_time:60511ms step_avg:244.98ms
step:248/1770 train_time:60749ms step_avg:244.96ms
step:249/1770 train_time:60992ms step_avg:244.95ms
step:250/1770 train_time:61233ms step_avg:244.93ms
step:251/1770 train_time:61479ms step_avg:244.94ms
step:252/1770 train_time:61724ms step_avg:244.93ms
step:253/1770 train_time:61961ms step_avg:244.91ms
step:254/1770 train_time:62210ms step_avg:244.92ms
step:255/1770 train_time:62451ms step_avg:244.91ms
step:256/1770 train_time:62694ms step_avg:244.90ms
step:257/1770 train_time:62933ms step_avg:244.88ms
step:258/1770 train_time:63179ms step_avg:244.88ms
step:259/1770 train_time:63425ms step_avg:244.89ms
step:260/1770 train_time:63667ms step_avg:244.87ms
step:261/1770 train_time:63907ms step_avg:244.85ms
step:262/1770 train_time:64152ms step_avg:244.86ms
step:263/1770 train_time:64396ms step_avg:244.85ms
step:264/1770 train_time:64633ms step_avg:244.82ms
step:265/1770 train_time:64876ms step_avg:244.81ms
step:266/1770 train_time:65120ms step_avg:244.81ms
step:267/1770 train_time:65359ms step_avg:244.79ms
step:268/1770 train_time:65599ms step_avg:244.77ms
step:269/1770 train_time:65846ms step_avg:244.78ms
step:270/1770 train_time:66090ms step_avg:244.78ms
step:271/1770 train_time:66339ms step_avg:244.79ms
step:272/1770 train_time:66578ms step_avg:244.77ms
step:273/1770 train_time:66820ms step_avg:244.76ms
step:274/1770 train_time:67063ms step_avg:244.75ms
step:275/1770 train_time:67306ms step_avg:244.75ms
step:276/1770 train_time:67550ms step_avg:244.75ms
step:277/1770 train_time:67796ms step_avg:244.75ms
step:278/1770 train_time:68037ms step_avg:244.74ms
step:279/1770 train_time:68279ms step_avg:244.73ms
step:280/1770 train_time:68520ms step_avg:244.71ms
step:281/1770 train_time:68760ms step_avg:244.70ms
step:282/1770 train_time:69008ms step_avg:244.71ms
step:283/1770 train_time:69249ms step_avg:244.70ms
step:284/1770 train_time:69491ms step_avg:244.69ms
step:285/1770 train_time:69733ms step_avg:244.68ms
step:286/1770 train_time:69975ms step_avg:244.67ms
step:287/1770 train_time:70223ms step_avg:244.68ms
step:288/1770 train_time:70457ms step_avg:244.64ms
step:289/1770 train_time:70700ms step_avg:244.64ms
step:290/1770 train_time:70940ms step_avg:244.62ms
step:291/1770 train_time:71188ms step_avg:244.63ms
step:292/1770 train_time:71426ms step_avg:244.61ms
step:293/1770 train_time:71668ms step_avg:244.60ms
step:294/1770 train_time:71912ms step_avg:244.60ms
step:295/1770 train_time:72149ms step_avg:244.57ms
step:296/1770 train_time:72392ms step_avg:244.57ms
step:297/1770 train_time:72642ms step_avg:244.58ms
step:298/1770 train_time:72885ms step_avg:244.58ms
step:299/1770 train_time:73121ms step_avg:244.55ms
step:300/1770 train_time:73364ms step_avg:244.55ms
step:301/1770 train_time:73608ms step_avg:244.54ms
step:302/1770 train_time:73847ms step_avg:244.53ms
step:303/1770 train_time:74095ms step_avg:244.54ms
step:304/1770 train_time:74335ms step_avg:244.52ms
step:305/1770 train_time:74576ms step_avg:244.51ms
step:306/1770 train_time:74824ms step_avg:244.52ms
step:307/1770 train_time:75061ms step_avg:244.50ms
step:308/1770 train_time:75307ms step_avg:244.50ms
step:309/1770 train_time:75554ms step_avg:244.51ms
step:310/1770 train_time:75795ms step_avg:244.50ms
step:311/1770 train_time:76038ms step_avg:244.49ms
step:312/1770 train_time:76282ms step_avg:244.49ms
step:313/1770 train_time:76521ms step_avg:244.48ms
step:314/1770 train_time:76766ms step_avg:244.48ms
step:315/1770 train_time:77005ms step_avg:244.46ms
step:316/1770 train_time:77247ms step_avg:244.45ms
step:317/1770 train_time:77492ms step_avg:244.45ms
step:318/1770 train_time:77734ms step_avg:244.45ms
step:319/1770 train_time:77978ms step_avg:244.44ms
step:320/1770 train_time:78220ms step_avg:244.44ms
step:321/1770 train_time:78463ms step_avg:244.43ms
step:322/1770 train_time:78701ms step_avg:244.41ms
step:323/1770 train_time:78947ms step_avg:244.42ms
step:324/1770 train_time:79187ms step_avg:244.41ms
step:325/1770 train_time:79426ms step_avg:244.39ms
step:326/1770 train_time:79666ms step_avg:244.37ms
step:327/1770 train_time:79910ms step_avg:244.37ms
step:328/1770 train_time:80159ms step_avg:244.39ms
step:329/1770 train_time:80396ms step_avg:244.37ms
step:330/1770 train_time:80641ms step_avg:244.37ms
step:331/1770 train_time:80880ms step_avg:244.35ms
step:332/1770 train_time:81122ms step_avg:244.34ms
step:333/1770 train_time:81359ms step_avg:244.32ms
step:334/1770 train_time:81605ms step_avg:244.33ms
step:335/1770 train_time:81851ms step_avg:244.33ms
step:336/1770 train_time:82099ms step_avg:244.34ms
step:337/1770 train_time:82347ms step_avg:244.35ms
step:338/1770 train_time:82587ms step_avg:244.34ms
step:339/1770 train_time:82833ms step_avg:244.35ms
step:340/1770 train_time:83080ms step_avg:244.35ms
step:341/1770 train_time:83322ms step_avg:244.35ms
step:342/1770 train_time:83562ms step_avg:244.33ms
step:343/1770 train_time:83804ms step_avg:244.33ms
step:344/1770 train_time:84045ms step_avg:244.32ms
step:345/1770 train_time:84289ms step_avg:244.32ms
step:346/1770 train_time:84533ms step_avg:244.32ms
step:347/1770 train_time:84771ms step_avg:244.30ms
step:348/1770 train_time:85017ms step_avg:244.30ms
step:349/1770 train_time:85259ms step_avg:244.29ms
step:350/1770 train_time:85507ms step_avg:244.31ms
step:351/1770 train_time:85747ms step_avg:244.29ms
step:352/1770 train_time:85988ms step_avg:244.29ms
step:353/1770 train_time:86228ms step_avg:244.27ms
step:354/1770 train_time:86474ms step_avg:244.28ms
step:355/1770 train_time:86714ms step_avg:244.26ms
step:356/1770 train_time:86953ms step_avg:244.25ms
step:357/1770 train_time:87200ms step_avg:244.26ms
step:358/1770 train_time:87438ms step_avg:244.24ms
step:359/1770 train_time:87682ms step_avg:244.24ms
step:360/1770 train_time:87920ms step_avg:244.22ms
step:361/1770 train_time:88163ms step_avg:244.22ms
step:362/1770 train_time:88408ms step_avg:244.22ms
step:363/1770 train_time:88654ms step_avg:244.23ms
step:364/1770 train_time:88899ms step_avg:244.23ms
step:365/1770 train_time:89138ms step_avg:244.21ms
step:366/1770 train_time:89383ms step_avg:244.22ms
step:367/1770 train_time:89625ms step_avg:244.21ms
step:368/1770 train_time:89872ms step_avg:244.22ms
step:369/1770 train_time:90114ms step_avg:244.21ms
step:370/1770 train_time:90356ms step_avg:244.21ms
step:371/1770 train_time:90597ms step_avg:244.20ms
step:372/1770 train_time:90839ms step_avg:244.19ms
step:373/1770 train_time:91082ms step_avg:244.19ms
step:374/1770 train_time:91321ms step_avg:244.17ms
step:375/1770 train_time:91569ms step_avg:244.18ms
step:376/1770 train_time:91811ms step_avg:244.18ms
step:377/1770 train_time:92055ms step_avg:244.18ms
step:378/1770 train_time:92302ms step_avg:244.19ms
step:379/1770 train_time:92543ms step_avg:244.18ms
step:380/1770 train_time:92789ms step_avg:244.18ms
step:381/1770 train_time:93031ms step_avg:244.18ms
step:382/1770 train_time:93275ms step_avg:244.17ms
step:383/1770 train_time:93515ms step_avg:244.16ms
step:384/1770 train_time:93756ms step_avg:244.16ms
step:385/1770 train_time:93996ms step_avg:244.14ms
step:386/1770 train_time:94241ms step_avg:244.15ms
step:387/1770 train_time:94479ms step_avg:244.13ms
step:388/1770 train_time:94727ms step_avg:244.14ms
step:389/1770 train_time:94971ms step_avg:244.14ms
