logs/80a87182-1c91-46e4-a98b-3ffec9e8355a.txt
begin training
  2%|▏         | 31/1771 [00:08<06:50,  4.24it/s]
step:1/1770 train_time:1212ms step_avg:1211.79ms
step:2/1770 train_time:1428ms step_avg:714.06ms
step:3/1770 train_time:1662ms step_avg:554.01ms
step:4/1770 train_time:1898ms step_avg:474.42ms
step:5/1770 train_time:2133ms step_avg:426.61ms
step:6/1770 train_time:2371ms step_avg:395.18ms
step:7/1770 train_time:2608ms step_avg:372.63ms
step:8/1770 train_time:2845ms step_avg:355.62ms
step:9/1770 train_time:3085ms step_avg:342.75ms
step:10/1770 train_time:3321ms step_avg:332.06ms
step:11/1770 train_time:3559ms step_avg:323.51ms
step:12/1770 train_time:3794ms step_avg:316.20ms
step:13/1770 train_time:4036ms step_avg:310.45ms
step:14/1770 train_time:4271ms step_avg:305.06ms
step:15/1770 train_time:4507ms step_avg:300.49ms
step:16/1770 train_time:4743ms step_avg:296.46ms
step:17/1770 train_time:4980ms step_avg:292.93ms
step:18/1770 train_time:5222ms step_avg:290.11ms
step:19/1770 train_time:5469ms step_avg:287.84ms
step:20/1770 train_time:5702ms step_avg:285.10ms
step:21/1770 train_time:5942ms step_avg:282.95ms
step:22/1770 train_time:6173ms step_avg:280.58ms
step:23/1770 train_time:6411ms step_avg:278.73ms
step:24/1770 train_time:6648ms step_avg:277.01ms
step:25/1770 train_time:6880ms step_avg:275.22ms
step:26/1770 train_time:7120ms step_avg:273.84ms
step:27/1770 train_time:7356ms step_avg:272.46ms
step:28/1770 train_time:7594ms step_avg:271.20ms
step:29/1770 train_time:7828ms step_avg:269.91ms
step:30/1770 train_time:8064ms step_avg:268.81ms
step:31/1770 train_time:8299ms step_avg:267.72ms
step:32/1770 train_time:8538ms step_avg:266.81ms
step:33/1770 train_time:8776ms step_avg:265.93ms
step:34/1770 train_time:9012ms step_avg:265.07ms
step:35/1770 train_time:9250ms step_avg:264.28ms
step:36/1770 train_time:9489ms step_avg:263.60ms
step:37/1770 train_time:9724ms step_avg:262.81ms
step:38/1770 train_time:9962ms step_avg:262.15ms
step:39/1770 train_time:10200ms step_avg:261.53ms
step:40/1770 train_time:10432ms step_avg:260.79ms
step:41/1770 train_time:10672ms step_avg:260.30ms
step:42/1770 train_time:10907ms step_avg:259.70ms
step:43/1770 train_time:11145ms step_avg:259.18ms
step:44/1770 train_time:11381ms step_avg:258.66ms
step:45/1770 train_time:11619ms step_avg:258.20ms
step:46/1770 train_time:11857ms step_avg:257.75ms
step:47/1770 train_time:12094ms step_avg:257.31ms
step:48/1770 train_time:12334ms step_avg:256.96ms
step:49/1770 train_time:12568ms step_avg:256.49ms
step:50/1770 train_time:12805ms step_avg:256.11ms
step:51/1770 train_time:13045ms step_avg:255.78ms
step:52/1770 train_time:13283ms step_avg:255.45ms
step:53/1770 train_time:13517ms step_avg:255.04ms
step:54/1770 train_time:13754ms step_avg:254.71ms
step:55/1770 train_time:13994ms step_avg:254.44ms
step:56/1770 train_time:14229ms step_avg:254.10ms
step:57/1770 train_time:14468ms step_avg:253.82ms
step:58/1770 train_time:14706ms step_avg:253.56ms
step:59/1770 train_time:14941ms step_avg:253.24ms
step:60/1770 train_time:15180ms step_avg:253.00ms
step:61/1770 train_time:15421ms step_avg:252.81ms
step:62/1770 train_time:15658ms step_avg:252.54ms
step:63/1770 train_time:15895ms step_avg:252.30ms
step:64/1770 train_time:16130ms step_avg:252.03ms
step:65/1770 train_time:16364ms step_avg:251.75ms
step:66/1770 train_time:16605ms step_avg:251.59ms
step:67/1770 train_time:16840ms step_avg:251.35ms
step:68/1770 train_time:17074ms step_avg:251.09ms
step:69/1770 train_time:17315ms step_avg:250.94ms
