logs/1979acf8-5863-49cb-86d4-0281072dde71.txt
begin training
  2%|▏         | 31/1771 [00:07<06:53,  4.21it/s]
step:1/1770 train_time:346ms step_avg:345.73ms
step:2/1770 train_time:564ms step_avg:281.94ms
step:3/1770 train_time:803ms step_avg:267.64ms
step:4/1770 train_time:1037ms step_avg:259.37ms
step:5/1770 train_time:1275ms step_avg:254.99ms
step:6/1770 train_time:1514ms step_avg:252.31ms
step:7/1770 train_time:1752ms step_avg:250.34ms
step:8/1770 train_time:1992ms step_avg:249.05ms
step:9/1770 train_time:2228ms step_avg:247.52ms
step:10/1770 train_time:2467ms step_avg:246.75ms
step:11/1770 train_time:2703ms step_avg:245.75ms
step:12/1770 train_time:2941ms step_avg:245.12ms
step:13/1770 train_time:3177ms step_avg:244.40ms
step:14/1770 train_time:3415ms step_avg:243.90ms
step:15/1770 train_time:3655ms step_avg:243.65ms
step:16/1770 train_time:3889ms step_avg:243.09ms
step:17/1770 train_time:4126ms step_avg:242.70ms
step:18/1770 train_time:4367ms step_avg:242.63ms
step:19/1770 train_time:4604ms step_avg:242.29ms
step:20/1770 train_time:4844ms step_avg:242.22ms
step:21/1770 train_time:5079ms step_avg:241.85ms
step:22/1770 train_time:5318ms step_avg:241.71ms
step:23/1770 train_time:5555ms step_avg:241.52ms
step:24/1770 train_time:5796ms step_avg:241.50ms
step:25/1770 train_time:6029ms step_avg:241.17ms
step:26/1770 train_time:6263ms step_avg:240.89ms
step:27/1770 train_time:6505ms step_avg:240.91ms
step:28/1770 train_time:6739ms step_avg:240.69ms
step:29/1770 train_time:6977ms step_avg:240.60ms
step:30/1770 train_time:7213ms step_avg:240.45ms
step:31/1770 train_time:7453ms step_avg:240.42ms
step:32/1770 train_time:7695ms step_avg:240.46ms
step:33/1770 train_time:7930ms step_avg:240.31ms
step:34/1770 train_time:8171ms step_avg:240.32ms
step:35/1770 train_time:8406ms step_avg:240.16ms
step:36/1770 train_time:8644ms step_avg:240.12ms
step:37/1770 train_time:8884ms step_avg:240.10ms
step:38/1770 train_time:9118ms step_avg:239.96ms
step:39/1770 train_time:9359ms step_avg:239.98ms
step:40/1770 train_time:9596ms step_avg:239.89ms
step:41/1770 train_time:9836ms step_avg:239.90ms
step:42/1770 train_time:10077ms step_avg:239.93ms
step:43/1770 train_time:10313ms step_avg:239.83ms
step:44/1770 train_time:10552ms step_avg:239.83ms
step:45/1770 train_time:10790ms step_avg:239.77ms
step:46/1770 train_time:11025ms step_avg:239.68ms
step:47/1770 train_time:11265ms step_avg:239.69ms
step:48/1770 train_time:11502ms step_avg:239.62ms
step:49/1770 train_time:11744ms step_avg:239.68ms
step:50/1770 train_time:11981ms step_avg:239.63ms
step:51/1770 train_time:12219ms step_avg:239.58ms
step:52/1770 train_time:12457ms step_avg:239.56ms
step:53/1770 train_time:12695ms step_avg:239.53ms
step:54/1770 train_time:12934ms step_avg:239.52ms
step:55/1770 train_time:13169ms step_avg:239.43ms
step:56/1770 train_time:13408ms step_avg:239.43ms
step:57/1770 train_time:13644ms step_avg:239.37ms
step:58/1770 train_time:13887ms step_avg:239.43ms
step:59/1770 train_time:14123ms step_avg:239.37ms
step:60/1770 train_time:14356ms step_avg:239.27ms
step:61/1770 train_time:14601ms step_avg:239.36ms
step:62/1770 train_time:14832ms step_avg:239.23ms
step:63/1770 train_time:15073ms step_avg:239.26ms
step:64/1770 train_time:15311ms step_avg:239.23ms
step:65/1770 train_time:15547ms step_avg:239.18ms
step:66/1770 train_time:15788ms step_avg:239.21ms
step:67/1770 train_time:16024ms step_avg:239.16ms
step:68/1770 train_time:16261ms step_avg:239.14ms
step:69/1770 train_time:16496ms step_avg:239.08ms
step:70/1770 train_time:16736ms step_avg:239.09ms
step:71/1770 train_time:16974ms step_avg:239.07ms
step:72/1770 train_time:17207ms step_avg:238.99ms
step:73/1770 train_time:17445ms step_avg:238.97ms
step:74/1770 train_time:17680ms step_avg:238.92ms
step:75/1770 train_time:17920ms step_avg:238.93ms
step:76/1770 train_time:18160ms step_avg:238.94ms
step:77/1770 train_time:18394ms step_avg:238.88ms
step:78/1770 train_time:18633ms step_avg:238.89ms
step:79/1770 train_time:18866ms step_avg:238.81ms
step:80/1770 train_time:19103ms step_avg:238.78ms
step:81/1770 train_time:19336ms step_avg:238.72ms
step:82/1770 train_time:19576ms step_avg:238.74ms
