logs/6e0d2122-fa7c-4a07-8d68-b906b79d481a.txt
begin training
  2%|▏         | 31/1771 [00:04<03:50,  7.56it/s]
step:1/1770 train_time:239ms step_avg:239.18ms
step:2/1770 train_time:352ms step_avg:176.06ms
step:3/1770 train_time:480ms step_avg:159.89ms
step:4/1770 train_time:611ms step_avg:152.80ms
step:5/1770 train_time:745ms step_avg:148.96ms
step:6/1770 train_time:878ms step_avg:146.40ms
step:7/1770 train_time:1010ms step_avg:144.35ms
step:8/1770 train_time:1144ms step_avg:142.98ms
step:9/1770 train_time:1279ms step_avg:142.08ms
step:10/1770 train_time:1410ms step_avg:141.02ms
step:11/1770 train_time:1539ms step_avg:139.90ms
step:12/1770 train_time:1671ms step_avg:139.23ms
step:13/1770 train_time:1802ms step_avg:138.62ms
step:14/1770 train_time:1934ms step_avg:138.16ms
step:15/1770 train_time:2067ms step_avg:137.83ms
step:16/1770 train_time:2205ms step_avg:137.80ms
step:17/1770 train_time:2336ms step_avg:137.41ms
step:18/1770 train_time:2466ms step_avg:137.02ms
step:19/1770 train_time:2596ms step_avg:136.62ms
step:20/1770 train_time:2726ms step_avg:136.32ms
step:21/1770 train_time:2858ms step_avg:136.10ms
step:22/1770 train_time:2991ms step_avg:135.97ms
step:23/1770 train_time:3125ms step_avg:135.86ms
step:24/1770 train_time:3261ms step_avg:135.87ms
step:25/1770 train_time:3391ms step_avg:135.65ms
step:26/1770 train_time:3523ms step_avg:135.50ms
step:27/1770 train_time:3655ms step_avg:135.39ms
step:28/1770 train_time:3786ms step_avg:135.23ms
step:29/1770 train_time:3918ms step_avg:135.11ms
step:30/1770 train_time:4052ms step_avg:135.07ms
step:31/1770 train_time:4184ms step_avg:134.97ms
step:32/1770 train_time:4320ms step_avg:135.01ms
step:33/1770 train_time:4453ms step_avg:134.94ms
step:34/1770 train_time:4584ms step_avg:134.82ms
step:35/1770 train_time:4711ms step_avg:134.60ms
step:36/1770 train_time:4845ms step_avg:134.59ms
step:37/1770 train_time:4976ms step_avg:134.48ms
step:38/1770 train_time:5107ms step_avg:134.39ms
step:39/1770 train_time:5240ms step_avg:134.37ms
step:40/1770 train_time:5374ms step_avg:134.36ms
step:41/1770 train_time:5508ms step_avg:134.35ms
step:42/1770 train_time:5638ms step_avg:134.23ms
step:43/1770 train_time:5766ms step_avg:134.10ms
step:44/1770 train_time:5901ms step_avg:134.12ms
step:45/1770 train_time:6033ms step_avg:134.07ms
step:46/1770 train_time:6165ms step_avg:134.03ms
step:47/1770 train_time:6301ms step_avg:134.05ms
step:48/1770 train_time:6431ms step_avg:133.98ms
step:49/1770 train_time:6567ms step_avg:134.01ms
step:50/1770 train_time:6697ms step_avg:133.94ms
step:51/1770 train_time:6830ms step_avg:133.91ms
step:52/1770 train_time:6959ms step_avg:133.83ms
step:53/1770 train_time:7092ms step_avg:133.81ms
step:54/1770 train_time:7226ms step_avg:133.82ms
step:55/1770 train_time:7360ms step_avg:133.82ms
step:56/1770 train_time:7499ms step_avg:133.91ms
step:57/1770 train_time:7629ms step_avg:133.83ms
step:58/1770 train_time:7758ms step_avg:133.76ms
step:59/1770 train_time:7889ms step_avg:133.71ms
step:60/1770 train_time:8018ms step_avg:133.64ms
step:61/1770 train_time:8149ms step_avg:133.58ms
step:62/1770 train_time:8282ms step_avg:133.59ms
step:63/1770 train_time:8417ms step_avg:133.60ms
step:64/1770 train_time:8549ms step_avg:133.58ms
step:65/1770 train_time:8684ms step_avg:133.61ms
step:66/1770 train_time:8815ms step_avg:133.56ms
step:67/1770 train_time:8941ms step_avg:133.45ms
step:68/1770 train_time:9077ms step_avg:133.49ms
step:69/1770 train_time:9212ms step_avg:133.51ms
step:70/1770 train_time:9344ms step_avg:133.48ms
step:71/1770 train_time:9474ms step_avg:133.43ms
step:72/1770 train_time:9609ms step_avg:133.45ms
step:73/1770 train_time:9737ms step_avg:133.38ms
step:74/1770 train_time:9868ms step_avg:133.36ms
step:75/1770 train_time:10001ms step_avg:133.34ms
step:76/1770 train_time:10135ms step_avg:133.35ms
step:77/1770 train_time:10266ms step_avg:133.32ms
step:78/1770 train_time:10401ms step_avg:133.34ms
step:79/1770 train_time:10533ms step_avg:133.33ms
step:80/1770 train_time:10662ms step_avg:133.27ms
step:81/1770 train_time:10793ms step_avg:133.24ms
step:82/1770 train_time:10927ms step_avg:133.25ms
step:83/1770 train_time:11056ms step_avg:133.21ms
step:84/1770 train_time:11189ms step_avg:133.20ms
step:85/1770 train_time:11322ms step_avg:133.20ms
step:86/1770 train_time:11456ms step_avg:133.21ms
step:87/1770 train_time:11585ms step_avg:133.16ms
step:88/1770 train_time:11714ms step_avg:133.11ms
step:89/1770 train_time:11846ms step_avg:133.10ms
step:90/1770 train_time:11978ms step_avg:133.08ms
step:91/1770 train_time:12115ms step_avg:133.13ms
step:92/1770 train_time:12245ms step_avg:133.10ms
step:93/1770 train_time:12383ms step_avg:133.15ms
step:94/1770 train_time:12509ms step_avg:133.07ms
step:95/1770 train_time:12638ms step_avg:133.03ms
step:96/1770 train_time:12771ms step_avg:133.03ms
step:97/1770 train_time:12903ms step_avg:133.02ms
step:98/1770 train_time:13038ms step_avg:133.04ms
step:99/1770 train_time:13170ms step_avg:133.03ms
step:100/1770 train_time:13303ms step_avg:133.03ms
step:101/1770 train_time:13432ms step_avg:132.99ms
step:102/1770 train_time:13562ms step_avg:132.96ms
step:103/1770 train_time:13695ms step_avg:132.96ms
step:104/1770 train_time:13828ms step_avg:132.96ms
step:105/1770 train_time:13959ms step_avg:132.95ms
step:106/1770 train_time:14094ms step_avg:132.96ms
step:107/1770 train_time:14229ms step_avg:132.98ms
step:108/1770 train_time:14358ms step_avg:132.95ms
step:109/1770 train_time:14486ms step_avg:132.90ms
step:110/1770 train_time:14622ms step_avg:132.93ms
step:111/1770 train_time:14754ms step_avg:132.92ms
step:112/1770 train_time:14887ms step_avg:132.92ms
step:113/1770 train_time:15019ms step_avg:132.91ms
step:114/1770 train_time:15152ms step_avg:132.91ms
step:115/1770 train_time:15283ms step_avg:132.89ms
step:116/1770 train_time:15412ms step_avg:132.86ms
step:117/1770 train_time:15543ms step_avg:132.85ms
step:118/1770 train_time:15677ms step_avg:132.85ms
step:119/1770 train_time:15810ms step_avg:132.86ms
step:120/1770 train_time:15943ms step_avg:132.85ms
step:121/1770 train_time:16075ms step_avg:132.85ms
step:122/1770 train_time:16206ms step_avg:132.84ms
step:123/1770 train_time:16335ms step_avg:132.80ms
step:124/1770 train_time:16469ms step_avg:132.81ms
step:125/1770 train_time:16600ms step_avg:132.80ms
