logs/5510e521-ffa5-41f2-95c5-e4c707f4f264.txt
begin training
  2%|▏         | 31/1771 [00:04<03:44,  7.76it/s]
step:1/1770 train_time:237ms step_avg:237.49ms
step:2/1770 train_time:355ms step_avg:177.25ms
step:3/1770 train_time:488ms step_avg:162.51ms
step:4/1770 train_time:615ms step_avg:153.73ms
step:5/1770 train_time:745ms step_avg:149.08ms
step:6/1770 train_time:874ms step_avg:145.73ms
step:7/1770 train_time:1004ms step_avg:143.41ms
step:8/1770 train_time:1129ms step_avg:141.18ms
step:9/1770 train_time:1259ms step_avg:139.84ms
step:10/1770 train_time:1388ms step_avg:138.77ms
step:11/1770 train_time:1518ms step_avg:138.02ms
step:12/1770 train_time:1648ms step_avg:137.33ms
step:13/1770 train_time:1778ms step_avg:136.78ms
step:14/1770 train_time:1909ms step_avg:136.33ms
step:15/1770 train_time:2040ms step_avg:135.99ms
step:16/1770 train_time:2166ms step_avg:135.39ms
step:17/1770 train_time:2296ms step_avg:135.05ms
step:18/1770 train_time:2424ms step_avg:134.67ms
step:19/1770 train_time:2557ms step_avg:134.60ms
step:20/1770 train_time:2690ms step_avg:134.52ms
step:21/1770 train_time:2816ms step_avg:134.09ms
step:22/1770 train_time:2950ms step_avg:134.09ms
step:23/1770 train_time:3075ms step_avg:133.68ms
step:24/1770 train_time:3204ms step_avg:133.48ms
step:25/1770 train_time:3333ms step_avg:133.30ms
step:26/1770 train_time:3461ms step_avg:133.10ms
step:27/1770 train_time:3588ms step_avg:132.90ms
step:28/1770 train_time:3723ms step_avg:132.96ms
step:29/1770 train_time:3852ms step_avg:132.82ms
step:30/1770 train_time:3979ms step_avg:132.65ms
step:31/1770 train_time:4107ms step_avg:132.50ms
step:32/1770 train_time:4233ms step_avg:132.28ms
step:33/1770 train_time:4363ms step_avg:132.23ms
step:34/1770 train_time:4494ms step_avg:132.19ms
step:35/1770 train_time:4625ms step_avg:132.14ms
step:36/1770 train_time:4754ms step_avg:132.06ms
step:37/1770 train_time:4876ms step_avg:131.80ms
step:38/1770 train_time:5010ms step_avg:131.83ms
step:39/1770 train_time:5141ms step_avg:131.82ms
step:40/1770 train_time:5265ms step_avg:131.62ms
step:41/1770 train_time:5396ms step_avg:131.60ms
step:42/1770 train_time:5528ms step_avg:131.63ms
step:43/1770 train_time:5658ms step_avg:131.59ms
step:44/1770 train_time:5789ms step_avg:131.57ms
step:45/1770 train_time:5913ms step_avg:131.40ms
step:46/1770 train_time:6040ms step_avg:131.31ms
step:47/1770 train_time:6170ms step_avg:131.27ms
step:48/1770 train_time:6300ms step_avg:131.25ms
step:49/1770 train_time:6431ms step_avg:131.24ms
step:50/1770 train_time:6560ms step_avg:131.20ms
step:51/1770 train_time:6689ms step_avg:131.16ms
