logs/9e5ca0be-d729-422c-b8bd-0fee4ea34eba.txt
begin training
  2%|▏         | 31/1771 [00:04<03:46,  7.67it/s]
step:1/1770 train_time:232ms step_avg:231.80ms
step:2/1770 train_time:347ms step_avg:173.64ms
step:3/1770 train_time:474ms step_avg:158.03ms
step:4/1770 train_time:601ms step_avg:150.32ms
step:5/1770 train_time:735ms step_avg:147.05ms
step:6/1770 train_time:870ms step_avg:144.93ms
step:7/1770 train_time:1000ms step_avg:142.85ms
step:8/1770 train_time:1130ms step_avg:141.19ms
step:9/1770 train_time:1261ms step_avg:140.16ms
step:10/1770 train_time:1386ms step_avg:138.59ms
step:11/1770 train_time:1520ms step_avg:138.16ms
step:12/1770 train_time:1651ms step_avg:137.56ms
step:13/1770 train_time:1782ms step_avg:137.10ms
step:14/1770 train_time:1917ms step_avg:136.91ms
step:15/1770 train_time:2047ms step_avg:136.47ms
step:16/1770 train_time:2175ms step_avg:135.91ms
step:17/1770 train_time:2303ms step_avg:135.46ms
step:18/1770 train_time:2435ms step_avg:135.25ms
step:19/1770 train_time:2567ms step_avg:135.12ms
step:20/1770 train_time:2703ms step_avg:135.17ms
step:21/1770 train_time:2830ms step_avg:134.78ms
step:22/1770 train_time:2962ms step_avg:134.65ms
step:23/1770 train_time:3091ms step_avg:134.40ms
step:24/1770 train_time:3220ms step_avg:134.18ms
step:25/1770 train_time:3351ms step_avg:134.05ms
step:26/1770 train_time:3484ms step_avg:134.01ms
step:27/1770 train_time:3616ms step_avg:133.93ms
step:28/1770 train_time:3747ms step_avg:133.83ms
step:29/1770 train_time:3882ms step_avg:133.86ms
step:30/1770 train_time:4009ms step_avg:133.65ms
step:31/1770 train_time:4139ms step_avg:133.51ms
step:32/1770 train_time:4272ms step_avg:133.48ms
step:33/1770 train_time:4404ms step_avg:133.45ms
step:34/1770 train_time:4535ms step_avg:133.38ms
step:35/1770 train_time:4667ms step_avg:133.35ms
step:36/1770 train_time:4799ms step_avg:133.30ms
step:37/1770 train_time:4926ms step_avg:133.15ms
step:38/1770 train_time:5057ms step_avg:133.09ms
step:39/1770 train_time:5188ms step_avg:133.02ms
step:40/1770 train_time:5321ms step_avg:133.03ms
step:41/1770 train_time:5453ms step_avg:133.01ms
step:42/1770 train_time:5586ms step_avg:132.99ms
