logs/cd1c5a46-06af-4768-9622-b08fc0ace8c8.txt
begin training
  2%|▏         | 31/1771 [00:04<03:51,  7.52it/s]
step:1/1770 train_time:193ms step_avg:192.66ms
step:2/1770 train_time:352ms step_avg:176.15ms
step:3/1770 train_time:487ms step_avg:162.36ms
step:4/1770 train_time:620ms step_avg:155.00ms
step:5/1770 train_time:758ms step_avg:151.57ms
step:6/1770 train_time:892ms step_avg:148.61ms
step:7/1770 train_time:1028ms step_avg:146.88ms
step:8/1770 train_time:1159ms step_avg:144.82ms
step:9/1770 train_time:1285ms step_avg:142.79ms
step:10/1770 train_time:1426ms step_avg:142.56ms
step:11/1770 train_time:1559ms step_avg:141.76ms
step:12/1770 train_time:1692ms step_avg:141.04ms
step:13/1770 train_time:1826ms step_avg:140.47ms
step:14/1770 train_time:1963ms step_avg:140.20ms
step:15/1770 train_time:2090ms step_avg:139.33ms
step:16/1770 train_time:2224ms step_avg:139.01ms
step:17/1770 train_time:2359ms step_avg:138.76ms
step:18/1770 train_time:2495ms step_avg:138.59ms
step:19/1770 train_time:2634ms step_avg:138.62ms
step:20/1770 train_time:2762ms step_avg:138.10ms
step:21/1770 train_time:2900ms step_avg:138.08ms
step:22/1770 train_time:3029ms step_avg:137.69ms
step:23/1770 train_time:3159ms step_avg:137.34ms
step:24/1770 train_time:3294ms step_avg:137.24ms
step:25/1770 train_time:3428ms step_avg:137.10ms
step:26/1770 train_time:3565ms step_avg:137.11ms
step:27/1770 train_time:3696ms step_avg:136.88ms
step:28/1770 train_time:3833ms step_avg:136.90ms
step:29/1770 train_time:3965ms step_avg:136.73ms
step:30/1770 train_time:4094ms step_avg:136.46ms
step:31/1770 train_time:4228ms step_avg:136.40ms
step:32/1770 train_time:4371ms step_avg:136.58ms
step:33/1770 train_time:4498ms step_avg:136.29ms
step:34/1770 train_time:4632ms step_avg:136.24ms
step:35/1770 train_time:4766ms step_avg:136.17ms
step:36/1770 train_time:4900ms step_avg:136.12ms
step:37/1770 train_time:5031ms step_avg:135.97ms
step:38/1770 train_time:5163ms step_avg:135.86ms
step:39/1770 train_time:5297ms step_avg:135.82ms
step:40/1770 train_time:5433ms step_avg:135.83ms
step:41/1770 train_time:5565ms step_avg:135.74ms
step:42/1770 train_time:5700ms step_avg:135.72ms
step:43/1770 train_time:5835ms step_avg:135.70ms
step:44/1770 train_time:5968ms step_avg:135.64ms
step:45/1770 train_time:6100ms step_avg:135.55ms
step:46/1770 train_time:6236ms step_avg:135.57ms
step:47/1770 train_time:6370ms step_avg:135.53ms
step:48/1770 train_time:6506ms step_avg:135.54ms
step:49/1770 train_time:6641ms step_avg:135.52ms
step:50/1770 train_time:6774ms step_avg:135.49ms
step:51/1770 train_time:6906ms step_avg:135.41ms
step:52/1770 train_time:7039ms step_avg:135.37ms
step:53/1770 train_time:7174ms step_avg:135.35ms
step:54/1770 train_time:7309ms step_avg:135.35ms
step:55/1770 train_time:7442ms step_avg:135.31ms
step:56/1770 train_time:7589ms step_avg:135.52ms
