logs/060693cb-b060-479e-9811-441590e36b1e.txt
begin training
  2%|▏         | 31/1771 [00:04<03:58,  7.30it/s]
step:1/1770 train_time:203ms step_avg:203.10ms
step:2/1770 train_time:343ms step_avg:171.55ms
step:3/1770 train_time:481ms step_avg:160.35ms
step:4/1770 train_time:627ms step_avg:156.66ms
step:5/1770 train_time:762ms step_avg:152.43ms
step:6/1770 train_time:897ms step_avg:149.50ms
step:7/1770 train_time:1034ms step_avg:147.74ms
step:8/1770 train_time:1170ms step_avg:146.27ms
step:9/1770 train_time:1309ms step_avg:145.42ms
step:10/1770 train_time:1448ms step_avg:144.85ms
step:11/1770 train_time:1586ms step_avg:144.21ms
step:12/1770 train_time:1725ms step_avg:143.74ms
step:13/1770 train_time:1858ms step_avg:142.92ms
step:14/1770 train_time:1994ms step_avg:142.42ms
step:15/1770 train_time:2129ms step_avg:141.96ms
step:16/1770 train_time:2266ms step_avg:141.63ms
step:17/1770 train_time:2405ms step_avg:141.49ms
step:18/1770 train_time:2546ms step_avg:141.43ms
step:19/1770 train_time:2683ms step_avg:141.21ms
step:20/1770 train_time:2823ms step_avg:141.16ms
step:21/1770 train_time:2950ms step_avg:140.47ms
step:22/1770 train_time:3088ms step_avg:140.38ms
step:23/1770 train_time:3226ms step_avg:140.24ms
step:24/1770 train_time:3364ms step_avg:140.18ms
step:25/1770 train_time:3501ms step_avg:140.05ms
step:26/1770 train_time:3642ms step_avg:140.07ms
step:27/1770 train_time:3781ms step_avg:140.02ms
step:28/1770 train_time:3918ms step_avg:139.91ms
step:29/1770 train_time:4049ms step_avg:139.61ms
step:30/1770 train_time:4186ms step_avg:139.53ms
step:31/1770 train_time:4325ms step_avg:139.50ms
step:32/1770 train_time:4462ms step_avg:139.43ms
step:33/1770 train_time:4604ms step_avg:139.52ms
step:34/1770 train_time:4740ms step_avg:139.42ms
step:35/1770 train_time:4878ms step_avg:139.36ms
step:36/1770 train_time:5008ms step_avg:139.12ms
step:37/1770 train_time:5147ms step_avg:139.11ms
step:38/1770 train_time:5287ms step_avg:139.14ms
step:39/1770 train_time:5425ms step_avg:139.10ms
step:40/1770 train_time:5565ms step_avg:139.13ms
step:41/1770 train_time:5703ms step_avg:139.10ms
step:42/1770 train_time:5842ms step_avg:139.09ms
step:43/1770 train_time:5977ms step_avg:138.99ms
step:44/1770 train_time:6109ms step_avg:138.85ms
step:45/1770 train_time:6246ms step_avg:138.80ms
step:46/1770 train_time:6385ms step_avg:138.80ms
step:47/1770 train_time:6528ms step_avg:138.89ms
step:48/1770 train_time:6662ms step_avg:138.79ms
step:49/1770 train_time:6798ms step_avg:138.73ms
step:50/1770 train_time:6936ms step_avg:138.73ms
step:51/1770 train_time:7069ms step_avg:138.61ms
step:52/1770 train_time:7207ms step_avg:138.60ms
step:53/1770 train_time:7345ms step_avg:138.59ms
step:54/1770 train_time:7485ms step_avg:138.61ms
step:55/1770 train_time:7622ms step_avg:138.59ms
step:56/1770 train_time:7771ms step_avg:138.77ms
step:57/1770 train_time:7901ms step_avg:138.62ms
step:58/1770 train_time:8037ms step_avg:138.57ms
step:59/1770 train_time:8169ms step_avg:138.46ms
step:60/1770 train_time:8308ms step_avg:138.47ms
step:61/1770 train_time:8445ms step_avg:138.44ms
step:62/1770 train_time:8582ms step_avg:138.42ms
step:63/1770 train_time:8723ms step_avg:138.47ms
step:64/1770 train_time:8861ms step_avg:138.45ms
step:65/1770 train_time:8997ms step_avg:138.42ms
step:66/1770 train_time:9130ms step_avg:138.33ms
step:67/1770 train_time:9268ms step_avg:138.33ms
step:68/1770 train_time:9405ms step_avg:138.31ms
step:69/1770 train_time:9542ms step_avg:138.29ms
step:70/1770 train_time:9682ms step_avg:138.31ms
step:71/1770 train_time:9823ms step_avg:138.35ms
step:72/1770 train_time:9960ms step_avg:138.34ms
step:73/1770 train_time:10097ms step_avg:138.31ms
step:74/1770 train_time:10228ms step_avg:138.22ms
step:75/1770 train_time:10367ms step_avg:138.22ms
step:76/1770 train_time:10505ms step_avg:138.22ms
step:77/1770 train_time:10643ms step_avg:138.22ms
step:78/1770 train_time:10782ms step_avg:138.22ms
step:79/1770 train_time:10921ms step_avg:138.24ms
step:80/1770 train_time:11058ms step_avg:138.22ms
step:81/1770 train_time:11195ms step_avg:138.21ms
step:82/1770 train_time:11329ms step_avg:138.15ms
step:83/1770 train_time:11467ms step_avg:138.16ms
step:84/1770 train_time:11605ms step_avg:138.16ms
step:85/1770 train_time:11746ms step_avg:138.18ms
step:86/1770 train_time:11881ms step_avg:138.15ms
step:87/1770 train_time:12021ms step_avg:138.18ms
step:88/1770 train_time:12159ms step_avg:138.17ms
step:89/1770 train_time:12291ms step_avg:138.10ms
step:90/1770 train_time:12429ms step_avg:138.10ms
step:91/1770 train_time:12568ms step_avg:138.11ms
step:92/1770 train_time:12706ms step_avg:138.11ms
step:93/1770 train_time:12849ms step_avg:138.16ms
step:94/1770 train_time:12984ms step_avg:138.12ms
step:95/1770 train_time:13120ms step_avg:138.11ms
step:96/1770 train_time:13257ms step_avg:138.09ms
step:97/1770 train_time:13391ms step_avg:138.06ms
