logs/056c4af8-c313-4b21-8d33-48b65e74f162.txt
begin training
  2%|▏         | 31/1771 [00:04<03:45,  7.73it/s]
step:1/1770 train_time:209ms step_avg:209.24ms
step:2/1770 train_time:352ms step_avg:175.91ms
step:3/1770 train_time:483ms step_avg:160.86ms
step:4/1770 train_time:611ms step_avg:152.76ms
step:5/1770 train_time:741ms step_avg:148.20ms
step:6/1770 train_time:872ms step_avg:145.31ms
step:7/1770 train_time:1003ms step_avg:143.36ms
step:8/1770 train_time:1129ms step_avg:141.13ms
step:9/1770 train_time:1259ms step_avg:139.84ms
step:10/1770 train_time:1389ms step_avg:138.85ms
step:11/1770 train_time:1519ms step_avg:138.06ms
step:12/1770 train_time:1649ms step_avg:137.40ms
step:13/1770 train_time:1777ms step_avg:136.71ms
step:14/1770 train_time:1908ms step_avg:136.32ms
step:15/1770 train_time:2040ms step_avg:135.98ms
step:16/1770 train_time:2165ms step_avg:135.31ms
step:17/1770 train_time:2294ms step_avg:134.94ms
step:18/1770 train_time:2424ms step_avg:134.68ms
step:19/1770 train_time:2555ms step_avg:134.46ms
step:20/1770 train_time:2689ms step_avg:134.43ms
step:21/1770 train_time:2814ms step_avg:134.00ms
step:22/1770 train_time:2944ms step_avg:133.82ms
step:23/1770 train_time:3075ms step_avg:133.68ms
step:24/1770 train_time:3197ms step_avg:133.22ms
step:25/1770 train_time:3330ms step_avg:133.20ms
step:26/1770 train_time:3457ms step_avg:132.96ms
step:27/1770 train_time:3586ms step_avg:132.82ms
step:28/1770 train_time:3718ms step_avg:132.79ms
step:29/1770 train_time:3846ms step_avg:132.62ms
step:30/1770 train_time:3980ms step_avg:132.67ms
step:31/1770 train_time:4107ms step_avg:132.47ms
step:32/1770 train_time:4233ms step_avg:132.27ms
step:33/1770 train_time:4362ms step_avg:132.17ms
step:34/1770 train_time:4492ms step_avg:132.10ms
step:35/1770 train_time:4622ms step_avg:132.05ms
step:36/1770 train_time:4751ms step_avg:131.96ms
step:37/1770 train_time:4882ms step_avg:131.94ms
step:38/1770 train_time:5010ms step_avg:131.84ms
step:39/1770 train_time:5139ms step_avg:131.77ms
step:40/1770 train_time:5266ms step_avg:131.66ms
step:41/1770 train_time:5397ms step_avg:131.63ms
step:42/1770 train_time:5526ms step_avg:131.57ms
