logs/4246031d-c368-4949-8a29-a0aadd8c3e04.txt
begin training
  2%|▏         | 31/1771 [00:04<03:45,  7.71it/s]
step:1/1770 train_time:224ms step_avg:223.75ms
step:2/1770 train_time:345ms step_avg:172.49ms
step:3/1770 train_time:474ms step_avg:157.93ms
step:4/1770 train_time:606ms step_avg:151.54ms
step:5/1770 train_time:734ms step_avg:146.84ms
step:6/1770 train_time:868ms step_avg:144.65ms
step:7/1770 train_time:998ms step_avg:142.52ms
step:8/1770 train_time:1128ms step_avg:140.97ms
step:9/1770 train_time:1254ms step_avg:139.35ms
step:10/1770 train_time:1381ms step_avg:138.06ms
step:11/1770 train_time:1511ms step_avg:137.36ms
step:12/1770 train_time:1642ms step_avg:136.80ms
step:13/1770 train_time:1770ms step_avg:136.18ms
step:14/1770 train_time:1904ms step_avg:136.01ms
step:15/1770 train_time:2033ms step_avg:135.51ms
step:16/1770 train_time:2162ms step_avg:135.11ms
step:17/1770 train_time:2286ms step_avg:134.49ms
step:18/1770 train_time:2415ms step_avg:134.19ms
step:19/1770 train_time:2543ms step_avg:133.84ms
step:20/1770 train_time:2679ms step_avg:133.93ms
step:21/1770 train_time:2805ms step_avg:133.57ms
step:22/1770 train_time:2935ms step_avg:133.42ms
step:23/1770 train_time:3065ms step_avg:133.27ms
step:24/1770 train_time:3193ms step_avg:133.03ms
step:25/1770 train_time:3319ms step_avg:132.77ms
step:26/1770 train_time:3448ms step_avg:132.61ms
step:27/1770 train_time:3576ms step_avg:132.46ms
step:28/1770 train_time:3708ms step_avg:132.43ms
step:29/1770 train_time:3838ms step_avg:132.36ms
step:30/1770 train_time:3969ms step_avg:132.30ms
step:31/1770 train_time:4098ms step_avg:132.19ms
step:32/1770 train_time:4226ms step_avg:132.06ms
step:33/1770 train_time:4353ms step_avg:131.91ms
step:34/1770 train_time:4485ms step_avg:131.91ms
step:35/1770 train_time:4614ms step_avg:131.82ms
step:36/1770 train_time:4746ms step_avg:131.83ms
step:37/1770 train_time:4875ms step_avg:131.77ms
step:38/1770 train_time:4997ms step_avg:131.51ms
step:39/1770 train_time:5133ms step_avg:131.61ms
step:40/1770 train_time:5257ms step_avg:131.43ms
step:41/1770 train_time:5387ms step_avg:131.40ms
step:42/1770 train_time:5516ms step_avg:131.32ms
step:43/1770 train_time:5650ms step_avg:131.40ms
step:44/1770 train_time:5776ms step_avg:131.28ms
step:45/1770 train_time:5908ms step_avg:131.28ms
step:46/1770 train_time:6037ms step_avg:131.24ms
step:47/1770 train_time:6164ms step_avg:131.15ms
step:48/1770 train_time:6292ms step_avg:131.08ms
step:49/1770 train_time:6420ms step_avg:131.02ms
step:50/1770 train_time:6554ms step_avg:131.08ms
step:51/1770 train_time:6681ms step_avg:130.99ms
step:52/1770 train_time:6812ms step_avg:131.01ms
step:53/1770 train_time:6942ms step_avg:130.98ms
step:54/1770 train_time:7072ms step_avg:130.96ms
step:55/1770 train_time:7197ms step_avg:130.85ms
step:56/1770 train_time:7332ms step_avg:130.93ms
step:57/1770 train_time:7458ms step_avg:130.84ms
step:58/1770 train_time:7589ms step_avg:130.84ms
step:59/1770 train_time:7719ms step_avg:130.83ms
step:60/1770 train_time:7849ms step_avg:130.81ms
step:61/1770 train_time:7979ms step_avg:130.81ms
step:62/1770 train_time:8108ms step_avg:130.78ms
step:63/1770 train_time:8232ms step_avg:130.67ms
step:64/1770 train_time:8363ms step_avg:130.68ms
step:65/1770 train_time:8491ms step_avg:130.63ms
step:66/1770 train_time:8620ms step_avg:130.61ms
step:67/1770 train_time:8752ms step_avg:130.62ms
step:68/1770 train_time:8882ms step_avg:130.62ms
step:69/1770 train_time:9013ms step_avg:130.63ms
step:70/1770 train_time:9142ms step_avg:130.60ms
step:71/1770 train_time:9269ms step_avg:130.55ms
step:72/1770 train_time:9397ms step_avg:130.52ms
step:73/1770 train_time:9527ms step_avg:130.51ms
step:74/1770 train_time:9657ms step_avg:130.50ms
step:75/1770 train_time:9786ms step_avg:130.49ms
step:76/1770 train_time:9917ms step_avg:130.49ms
step:77/1770 train_time:10046ms step_avg:130.46ms
step:78/1770 train_time:10173ms step_avg:130.43ms
step:79/1770 train_time:10303ms step_avg:130.42ms
step:80/1770 train_time:10430ms step_avg:130.37ms
step:81/1770 train_time:10562ms step_avg:130.39ms
step:82/1770 train_time:10691ms step_avg:130.37ms
step:83/1770 train_time:10823ms step_avg:130.40ms
step:84/1770 train_time:10951ms step_avg:130.36ms
step:85/1770 train_time:11080ms step_avg:130.35ms
step:86/1770 train_time:11206ms step_avg:130.30ms
step:87/1770 train_time:11335ms step_avg:130.29ms
step:88/1770 train_time:11465ms step_avg:130.28ms
step:89/1770 train_time:11596ms step_avg:130.29ms
step:90/1770 train_time:11728ms step_avg:130.31ms
step:91/1770 train_time:11854ms step_avg:130.26ms
step:92/1770 train_time:11983ms step_avg:130.25ms
step:93/1770 train_time:12115ms step_avg:130.27ms
step:94/1770 train_time:12238ms step_avg:130.19ms
step:95/1770 train_time:12366ms step_avg:130.16ms
step:96/1770 train_time:12498ms step_avg:130.19ms
step:97/1770 train_time:12629ms step_avg:130.19ms
step:98/1770 train_time:12758ms step_avg:130.18ms
step:99/1770 train_time:12890ms step_avg:130.20ms
step:100/1770 train_time:13017ms step_avg:130.17ms
step:101/1770 train_time:13145ms step_avg:130.14ms
step:102/1770 train_time:13273ms step_avg:130.13ms
step:103/1770 train_time:13401ms step_avg:130.10ms
step:104/1770 train_time:13532ms step_avg:130.12ms
step:105/1770 train_time:13662ms step_avg:130.11ms
step:106/1770 train_time:13790ms step_avg:130.09ms
step:107/1770 train_time:13918ms step_avg:130.07ms
step:108/1770 train_time:14045ms step_avg:130.05ms
step:109/1770 train_time:14175ms step_avg:130.05ms
step:110/1770 train_time:14302ms step_avg:130.02ms
step:111/1770 train_time:14434ms step_avg:130.04ms
step:112/1770 train_time:14565ms step_avg:130.04ms
step:113/1770 train_time:14694ms step_avg:130.04ms
step:114/1770 train_time:14825ms step_avg:130.04ms
step:115/1770 train_time:14953ms step_avg:130.03ms
step:116/1770 train_time:15078ms step_avg:129.99ms
step:117/1770 train_time:15209ms step_avg:129.99ms
step:118/1770 train_time:15337ms step_avg:129.98ms
step:119/1770 train_time:15468ms step_avg:129.98ms
step:120/1770 train_time:15598ms step_avg:129.99ms
step:121/1770 train_time:15730ms step_avg:130.00ms
step:122/1770 train_time:15858ms step_avg:129.99ms
step:123/1770 train_time:15986ms step_avg:129.97ms
step:124/1770 train_time:16116ms step_avg:129.97ms
step:125/1770 train_time:16242ms step_avg:129.94ms
step:126/1770 train_time:16373ms step_avg:129.94ms
step:127/1770 train_time:16502ms step_avg:129.94ms
step:128/1770 train_time:16634ms step_avg:129.95ms
step:129/1770 train_time:16765ms step_avg:129.96ms
step:130/1770 train_time:16899ms step_avg:129.99ms
step:131/1770 train_time:17024ms step_avg:129.95ms
step:132/1770 train_time:17149ms step_avg:129.92ms
step:133/1770 train_time:17277ms step_avg:129.90ms
step:134/1770 train_time:17406ms step_avg:129.89ms
step:135/1770 train_time:17538ms step_avg:129.91ms
step:136/1770 train_time:17669ms step_avg:129.92ms
step:137/1770 train_time:17798ms step_avg:129.91ms
step:138/1770 train_time:17930ms step_avg:129.93ms
step:139/1770 train_time:18057ms step_avg:129.90ms
step:140/1770 train_time:18183ms step_avg:129.88ms
step:141/1770 train_time:18313ms step_avg:129.88ms
step:142/1770 train_time:18441ms step_avg:129.86ms
step:143/1770 train_time:18571ms step_avg:129.87ms
step:144/1770 train_time:18702ms step_avg:129.88ms
step:145/1770 train_time:18834ms step_avg:129.89ms
step:146/1770 train_time:18962ms step_avg:129.88ms
step:147/1770 train_time:19093ms step_avg:129.88ms
step:148/1770 train_time:19219ms step_avg:129.86ms
step:149/1770 train_time:19347ms step_avg:129.84ms
step:150/1770 train_time:19477ms step_avg:129.84ms
step:151/1770 train_time:19606ms step_avg:129.84ms
step:152/1770 train_time:19738ms step_avg:129.85ms
step:153/1770 train_time:19868ms step_avg:129.85ms
step:154/1770 train_time:19998ms step_avg:129.86ms
step:155/1770 train_time:20129ms step_avg:129.86ms
step:156/1770 train_time:20255ms step_avg:129.84ms
step:157/1770 train_time:20385ms step_avg:129.84ms
step:158/1770 train_time:20513ms step_avg:129.83ms
step:159/1770 train_time:20643ms step_avg:129.83ms
step:160/1770 train_time:20774ms step_avg:129.83ms
step:161/1770 train_time:20905ms step_avg:129.84ms
step:162/1770 train_time:21035ms step_avg:129.85ms
step:163/1770 train_time:21161ms step_avg:129.82ms
step:164/1770 train_time:21289ms step_avg:129.81ms
step:165/1770 train_time:21417ms step_avg:129.80ms
step:166/1770 train_time:21551ms step_avg:129.82ms
step:167/1770 train_time:21677ms step_avg:129.81ms
step:168/1770 train_time:21810ms step_avg:129.82ms
step:169/1770 train_time:21938ms step_avg:129.81ms
step:170/1770 train_time:22065ms step_avg:129.80ms
step:171/1770 train_time:22198ms step_avg:129.81ms
step:172/1770 train_time:22324ms step_avg:129.79ms
step:173/1770 train_time:22453ms step_avg:129.79ms
step:174/1770 train_time:22582ms step_avg:129.78ms
step:175/1770 train_time:22714ms step_avg:129.79ms
step:176/1770 train_time:22843ms step_avg:129.79ms
step:177/1770 train_time:22976ms step_avg:129.81ms
step:178/1770 train_time:23105ms step_avg:129.80ms
step:179/1770 train_time:23230ms step_avg:129.77ms
step:180/1770 train_time:23358ms step_avg:129.77ms
step:181/1770 train_time:23489ms step_avg:129.78ms
step:182/1770 train_time:23618ms step_avg:129.77ms
step:183/1770 train_time:23749ms step_avg:129.78ms
step:184/1770 train_time:23881ms step_avg:129.79ms
step:185/1770 train_time:24010ms step_avg:129.78ms
step:186/1770 train_time:24140ms step_avg:129.78ms
step:187/1770 train_time:24266ms step_avg:129.76ms
step:188/1770 train_time:24397ms step_avg:129.77ms
step:189/1770 train_time:24522ms step_avg:129.75ms
step:190/1770 train_time:24656ms step_avg:129.77ms
step:191/1770 train_time:24786ms step_avg:129.77ms
step:192/1770 train_time:24914ms step_avg:129.76ms
step:193/1770 train_time:25047ms step_avg:129.78ms
step:194/1770 train_time:25174ms step_avg:129.76ms
step:195/1770 train_time:25301ms step_avg:129.75ms
step:196/1770 train_time:25430ms step_avg:129.75ms
step:197/1770 train_time:25562ms step_avg:129.75ms
step:198/1770 train_time:25691ms step_avg:129.75ms
step:199/1770 train_time:25824ms step_avg:129.77ms
step:200/1770 train_time:25953ms step_avg:129.77ms
step:201/1770 train_time:26085ms step_avg:129.78ms
step:202/1770 train_time:26213ms step_avg:129.77ms
