logs/5c15fc9f-408b-4f66-b2e4-8d00a1fefcb1.txt
begin training
  2%|▏         | 31/1771 [00:04<03:45,  7.72it/s]
step:1/1770 train_time:230ms step_avg:230.45ms
step:2/1770 train_time:366ms step_avg:182.98ms
step:3/1770 train_time:498ms step_avg:166.08ms
step:4/1770 train_time:627ms step_avg:156.74ms
step:5/1770 train_time:758ms step_avg:151.68ms
step:6/1770 train_time:887ms step_avg:147.91ms
step:7/1770 train_time:1021ms step_avg:145.86ms
step:8/1770 train_time:1149ms step_avg:143.62ms
step:9/1770 train_time:1275ms step_avg:141.64ms
step:10/1770 train_time:1405ms step_avg:140.48ms
step:11/1770 train_time:1531ms step_avg:139.17ms
step:12/1770 train_time:1662ms step_avg:138.53ms
step:13/1770 train_time:1794ms step_avg:137.98ms
step:14/1770 train_time:1923ms step_avg:137.35ms
step:15/1770 train_time:2055ms step_avg:136.98ms
step:16/1770 train_time:2183ms step_avg:136.43ms
step:17/1770 train_time:2309ms step_avg:135.82ms
step:18/1770 train_time:2436ms step_avg:135.33ms
step:19/1770 train_time:2574ms step_avg:135.45ms
step:20/1770 train_time:2695ms step_avg:134.77ms
step:21/1770 train_time:2826ms step_avg:134.58ms
step:22/1770 train_time:2955ms step_avg:134.33ms
step:23/1770 train_time:3088ms step_avg:134.24ms
step:24/1770 train_time:3215ms step_avg:133.94ms
step:25/1770 train_time:3340ms step_avg:133.58ms
step:26/1770 train_time:3470ms step_avg:133.48ms
step:27/1770 train_time:3599ms step_avg:133.29ms
step:28/1770 train_time:3728ms step_avg:133.15ms
step:29/1770 train_time:3859ms step_avg:133.08ms
step:30/1770 train_time:3991ms step_avg:133.02ms
step:31/1770 train_time:4119ms step_avg:132.87ms
step:32/1770 train_time:4248ms step_avg:132.74ms
step:33/1770 train_time:4374ms step_avg:132.56ms
step:34/1770 train_time:4505ms step_avg:132.51ms
step:35/1770 train_time:4631ms step_avg:132.32ms
step:36/1770 train_time:4763ms step_avg:132.30ms
step:37/1770 train_time:4895ms step_avg:132.31ms
step:38/1770 train_time:5023ms step_avg:132.19ms
step:39/1770 train_time:5154ms step_avg:132.16ms
step:40/1770 train_time:5283ms step_avg:132.07ms
step:41/1770 train_time:5411ms step_avg:131.98ms
step:42/1770 train_time:5542ms step_avg:131.95ms
step:43/1770 train_time:5670ms step_avg:131.87ms
step:44/1770 train_time:5799ms step_avg:131.81ms
step:45/1770 train_time:5931ms step_avg:131.79ms
step:46/1770 train_time:6062ms step_avg:131.78ms
step:47/1770 train_time:6191ms step_avg:131.73ms
step:48/1770 train_time:6325ms step_avg:131.76ms
step:49/1770 train_time:6451ms step_avg:131.66ms
step:50/1770 train_time:6578ms step_avg:131.57ms
step:51/1770 train_time:6710ms step_avg:131.57ms
step:52/1770 train_time:6836ms step_avg:131.45ms
step:53/1770 train_time:6967ms step_avg:131.46ms
step:54/1770 train_time:7098ms step_avg:131.44ms
step:55/1770 train_time:7228ms step_avg:131.42ms
step:56/1770 train_time:7364ms step_avg:131.49ms
step:57/1770 train_time:7487ms step_avg:131.35ms
step:58/1770 train_time:7608ms step_avg:131.18ms
step:59/1770 train_time:7742ms step_avg:131.22ms
step:60/1770 train_time:7870ms step_avg:131.17ms
step:61/1770 train_time:7999ms step_avg:131.13ms
step:62/1770 train_time:8133ms step_avg:131.17ms
step:63/1770 train_time:8262ms step_avg:131.14ms
step:64/1770 train_time:8394ms step_avg:131.15ms
step:65/1770 train_time:8520ms step_avg:131.07ms
step:66/1770 train_time:8647ms step_avg:131.02ms
step:67/1770 train_time:8776ms step_avg:130.99ms
step:68/1770 train_time:8903ms step_avg:130.93ms
step:69/1770 train_time:9035ms step_avg:130.94ms
step:70/1770 train_time:9168ms step_avg:130.97ms
step:71/1770 train_time:9298ms step_avg:130.95ms
step:72/1770 train_time:9427ms step_avg:130.93ms
step:73/1770 train_time:9559ms step_avg:130.94ms
step:74/1770 train_time:9688ms step_avg:130.92ms
step:75/1770 train_time:9814ms step_avg:130.86ms
step:76/1770 train_time:9946ms step_avg:130.87ms
step:77/1770 train_time:10071ms step_avg:130.79ms
step:78/1770 train_time:10203ms step_avg:130.80ms
step:79/1770 train_time:10332ms step_avg:130.78ms
step:80/1770 train_time:10463ms step_avg:130.79ms
step:81/1770 train_time:10594ms step_avg:130.79ms
step:82/1770 train_time:10723ms step_avg:130.77ms
step:83/1770 train_time:10851ms step_avg:130.73ms
step:84/1770 train_time:10978ms step_avg:130.69ms
step:85/1770 train_time:11107ms step_avg:130.68ms
step:86/1770 train_time:11238ms step_avg:130.68ms
step:87/1770 train_time:11368ms step_avg:130.67ms
step:88/1770 train_time:11499ms step_avg:130.67ms
step:89/1770 train_time:11631ms step_avg:130.68ms
step:90/1770 train_time:11762ms step_avg:130.68ms
step:91/1770 train_time:11890ms step_avg:130.66ms
step:92/1770 train_time:12015ms step_avg:130.60ms
step:93/1770 train_time:12150ms step_avg:130.65ms
step:94/1770 train_time:12274ms step_avg:130.58ms
step:95/1770 train_time:12403ms step_avg:130.56ms
step:96/1770 train_time:12534ms step_avg:130.57ms
step:97/1770 train_time:12666ms step_avg:130.57ms
step:98/1770 train_time:12795ms step_avg:130.56ms
step:99/1770 train_time:12923ms step_avg:130.53ms
step:100/1770 train_time:13050ms step_avg:130.50ms
step:101/1770 train_time:13180ms step_avg:130.49ms
