logs/0a278a05-8584-4c41-b3d5-05d2466d2177.txt
begin training
  2%|▏         | 31/1771 [00:04<03:46,  7.69it/s]
step:1/1770 train_time:240ms step_avg:239.84ms
step:2/1770 train_time:359ms step_avg:179.65ms
step:3/1770 train_time:488ms step_avg:162.76ms
step:4/1770 train_time:616ms step_avg:153.90ms
step:5/1770 train_time:744ms step_avg:148.83ms
step:6/1770 train_time:876ms step_avg:145.98ms
step:7/1770 train_time:1005ms step_avg:143.64ms
step:8/1770 train_time:1135ms step_avg:141.88ms
step:9/1770 train_time:1266ms step_avg:140.64ms
step:10/1770 train_time:1396ms step_avg:139.60ms
step:11/1770 train_time:1524ms step_avg:138.56ms
step:12/1770 train_time:1651ms step_avg:137.59ms
step:13/1770 train_time:1779ms step_avg:136.85ms
step:14/1770 train_time:1908ms step_avg:136.27ms
step:15/1770 train_time:2038ms step_avg:135.84ms
step:16/1770 train_time:2168ms step_avg:135.47ms
step:17/1770 train_time:2297ms step_avg:135.10ms
step:18/1770 train_time:2424ms step_avg:134.66ms
step:19/1770 train_time:2557ms step_avg:134.58ms
step:20/1770 train_time:2680ms step_avg:134.00ms
step:21/1770 train_time:2808ms step_avg:133.70ms
step:22/1770 train_time:2938ms step_avg:133.53ms
step:23/1770 train_time:3070ms step_avg:133.46ms
step:24/1770 train_time:3200ms step_avg:133.34ms
step:25/1770 train_time:3328ms step_avg:133.13ms
step:26/1770 train_time:3458ms step_avg:132.99ms
step:27/1770 train_time:3586ms step_avg:132.80ms
step:28/1770 train_time:3713ms step_avg:132.61ms
step:29/1770 train_time:3844ms step_avg:132.56ms
step:30/1770 train_time:3973ms step_avg:132.45ms
step:31/1770 train_time:4105ms step_avg:132.44ms
step:32/1770 train_time:4235ms step_avg:132.36ms
step:33/1770 train_time:4367ms step_avg:132.33ms
step:34/1770 train_time:4498ms step_avg:132.30ms
step:35/1770 train_time:4626ms step_avg:132.16ms
step:36/1770 train_time:4752ms step_avg:131.99ms
step:37/1770 train_time:4883ms step_avg:131.98ms
step:38/1770 train_time:5009ms step_avg:131.83ms
step:39/1770 train_time:5139ms step_avg:131.77ms
step:40/1770 train_time:5269ms step_avg:131.74ms
step:41/1770 train_time:5398ms step_avg:131.65ms
step:42/1770 train_time:5531ms step_avg:131.69ms
step:43/1770 train_time:5656ms step_avg:131.54ms
step:44/1770 train_time:5784ms step_avg:131.46ms
step:45/1770 train_time:5912ms step_avg:131.38ms
step:46/1770 train_time:6044ms step_avg:131.39ms
step:47/1770 train_time:6172ms step_avg:131.33ms
step:48/1770 train_time:6303ms step_avg:131.32ms
step:49/1770 train_time:6433ms step_avg:131.28ms
step:50/1770 train_time:6566ms step_avg:131.31ms
step:51/1770 train_time:6695ms step_avg:131.28ms
step:52/1770 train_time:6823ms step_avg:131.21ms
step:53/1770 train_time:6949ms step_avg:131.11ms
step:54/1770 train_time:7077ms step_avg:131.05ms
step:55/1770 train_time:7205ms step_avg:131.00ms
step:56/1770 train_time:7340ms step_avg:131.08ms
step:57/1770 train_time:7464ms step_avg:130.95ms
step:58/1770 train_time:7595ms step_avg:130.95ms
step:59/1770 train_time:7724ms step_avg:130.92ms
step:60/1770 train_time:7852ms step_avg:130.87ms
step:61/1770 train_time:7979ms step_avg:130.80ms
step:62/1770 train_time:8109ms step_avg:130.80ms
step:63/1770 train_time:8240ms step_avg:130.79ms
step:64/1770 train_time:8368ms step_avg:130.74ms
step:65/1770 train_time:8499ms step_avg:130.76ms
step:66/1770 train_time:8628ms step_avg:130.73ms
step:67/1770 train_time:8754ms step_avg:130.66ms
step:68/1770 train_time:8882ms step_avg:130.62ms
step:69/1770 train_time:9008ms step_avg:130.55ms
step:70/1770 train_time:9143ms step_avg:130.62ms
step:71/1770 train_time:9273ms step_avg:130.61ms
step:72/1770 train_time:9403ms step_avg:130.60ms
step:73/1770 train_time:9535ms step_avg:130.61ms
