logs/f9957d39-9465-407c-9df8-4f875ad7b5aa.txt
begin training
  2%|▏         | 31/1771 [00:03<03:04,  9.44it/s]
step:1/1770 train_time:256ms step_avg:255.56ms
step:2/1770 train_time:346ms step_avg:172.98ms
step:3/1770 train_time:453ms step_avg:150.93ms
step:4/1770 train_time:559ms step_avg:139.77ms
step:5/1770 train_time:664ms step_avg:132.88ms
step:6/1770 train_time:771ms step_avg:128.49ms
step:7/1770 train_time:877ms step_avg:125.28ms
step:8/1770 train_time:985ms step_avg:123.16ms
step:9/1770 train_time:1090ms step_avg:121.06ms
step:10/1770 train_time:1196ms step_avg:119.56ms
step:11/1770 train_time:1301ms step_avg:118.25ms
step:12/1770 train_time:1408ms step_avg:117.32ms
step:13/1770 train_time:1515ms step_avg:116.53ms
step:14/1770 train_time:1621ms step_avg:115.80ms
step:15/1770 train_time:1726ms step_avg:115.10ms
step:16/1770 train_time:1833ms step_avg:114.59ms
step:17/1770 train_time:1941ms step_avg:114.19ms
step:18/1770 train_time:2047ms step_avg:113.71ms
step:19/1770 train_time:2153ms step_avg:113.32ms
step:20/1770 train_time:2263ms step_avg:113.16ms
step:21/1770 train_time:2366ms step_avg:112.64ms
step:22/1770 train_time:2474ms step_avg:112.46ms
step:23/1770 train_time:2578ms step_avg:112.11ms
step:24/1770 train_time:2686ms step_avg:111.93ms
step:25/1770 train_time:2792ms step_avg:111.69ms
step:26/1770 train_time:2898ms step_avg:111.46ms
step:27/1770 train_time:3005ms step_avg:111.31ms
step:28/1770 train_time:3112ms step_avg:111.14ms
step:29/1770 train_time:3215ms step_avg:110.87ms
step:30/1770 train_time:3322ms step_avg:110.75ms
step:31/1770 train_time:3428ms step_avg:110.59ms
step:32/1770 train_time:3535ms step_avg:110.47ms
step:33/1770 train_time:3641ms step_avg:110.35ms
step:34/1770 train_time:3747ms step_avg:110.22ms
step:35/1770 train_time:3854ms step_avg:110.11ms
step:36/1770 train_time:3960ms step_avg:110.00ms
step:37/1770 train_time:4067ms step_avg:109.92ms
step:38/1770 train_time:4174ms step_avg:109.84ms
step:39/1770 train_time:4281ms step_avg:109.77ms
step:40/1770 train_time:4386ms step_avg:109.65ms
step:41/1770 train_time:4493ms step_avg:109.59ms
step:42/1770 train_time:4600ms step_avg:109.52ms
step:43/1770 train_time:4706ms step_avg:109.44ms
step:44/1770 train_time:4814ms step_avg:109.41ms
step:45/1770 train_time:4919ms step_avg:109.32ms
step:46/1770 train_time:5026ms step_avg:109.25ms
step:47/1770 train_time:5131ms step_avg:109.16ms
step:48/1770 train_time:5237ms step_avg:109.11ms
step:49/1770 train_time:5343ms step_avg:109.04ms
step:50/1770 train_time:5452ms step_avg:109.04ms
step:51/1770 train_time:5558ms step_avg:108.97ms
step:52/1770 train_time:5664ms step_avg:108.92ms
step:53/1770 train_time:5769ms step_avg:108.86ms
step:54/1770 train_time:5877ms step_avg:108.84ms
step:55/1770 train_time:5983ms step_avg:108.78ms
step:56/1770 train_time:6093ms step_avg:108.81ms
step:57/1770 train_time:6200ms step_avg:108.77ms
step:58/1770 train_time:6303ms step_avg:108.67ms
step:59/1770 train_time:6409ms step_avg:108.63ms
step:60/1770 train_time:6517ms step_avg:108.62ms
step:61/1770 train_time:6623ms step_avg:108.57ms
step:62/1770 train_time:6732ms step_avg:108.58ms
step:63/1770 train_time:6837ms step_avg:108.52ms
step:64/1770 train_time:6942ms step_avg:108.47ms
step:65/1770 train_time:7048ms step_avg:108.43ms
step:66/1770 train_time:7150ms step_avg:108.33ms
step:67/1770 train_time:7256ms step_avg:108.31ms
step:68/1770 train_time:7363ms step_avg:108.28ms
step:69/1770 train_time:7469ms step_avg:108.25ms
step:70/1770 train_time:7575ms step_avg:108.21ms
step:71/1770 train_time:7681ms step_avg:108.18ms
step:72/1770 train_time:7787ms step_avg:108.15ms
step:73/1770 train_time:7894ms step_avg:108.13ms
step:74/1770 train_time:8006ms step_avg:108.19ms
step:75/1770 train_time:8112ms step_avg:108.16ms
step:76/1770 train_time:8218ms step_avg:108.13ms
step:77/1770 train_time:8325ms step_avg:108.12ms
step:78/1770 train_time:8431ms step_avg:108.10ms
step:79/1770 train_time:8538ms step_avg:108.08ms
step:80/1770 train_time:8645ms step_avg:108.06ms
step:81/1770 train_time:8752ms step_avg:108.04ms
step:82/1770 train_time:8857ms step_avg:108.01ms
step:83/1770 train_time:8963ms step_avg:107.98ms
step:84/1770 train_time:9069ms step_avg:107.97ms
step:85/1770 train_time:9176ms step_avg:107.95ms
step:86/1770 train_time:9284ms step_avg:107.95ms
step:87/1770 train_time:9389ms step_avg:107.92ms
step:88/1770 train_time:9495ms step_avg:107.89ms
step:89/1770 train_time:9602ms step_avg:107.89ms
step:90/1770 train_time:9712ms step_avg:107.91ms
step:91/1770 train_time:9815ms step_avg:107.85ms
step:92/1770 train_time:9922ms step_avg:107.85ms
step:93/1770 train_time:10028ms step_avg:107.83ms
step:94/1770 train_time:10140ms step_avg:107.87ms
step:95/1770 train_time:10241ms step_avg:107.80ms
step:96/1770 train_time:10347ms step_avg:107.78ms
step:97/1770 train_time:10455ms step_avg:107.78ms
step:98/1770 train_time:10560ms step_avg:107.75ms
step:99/1770 train_time:10669ms step_avg:107.76ms
step:100/1770 train_time:10774ms step_avg:107.74ms
step:101/1770 train_time:10878ms step_avg:107.70ms
step:102/1770 train_time:10986ms step_avg:107.71ms
step:103/1770 train_time:11091ms step_avg:107.68ms
step:104/1770 train_time:11198ms step_avg:107.67ms
step:105/1770 train_time:11306ms step_avg:107.67ms
step:106/1770 train_time:11412ms step_avg:107.66ms
step:107/1770 train_time:11518ms step_avg:107.65ms
step:108/1770 train_time:11624ms step_avg:107.63ms
step:109/1770 train_time:11726ms step_avg:107.58ms
step:110/1770 train_time:11832ms step_avg:107.56ms
step:111/1770 train_time:11940ms step_avg:107.56ms
step:112/1770 train_time:12046ms step_avg:107.55ms
step:113/1770 train_time:12151ms step_avg:107.53ms
step:114/1770 train_time:12258ms step_avg:107.53ms
step:115/1770 train_time:12364ms step_avg:107.51ms
step:116/1770 train_time:12472ms step_avg:107.51ms
step:117/1770 train_time:12578ms step_avg:107.50ms
step:118/1770 train_time:12685ms step_avg:107.50ms
step:119/1770 train_time:12790ms step_avg:107.48ms
step:120/1770 train_time:12897ms step_avg:107.47ms
step:121/1770 train_time:13004ms step_avg:107.47ms
step:122/1770 train_time:13116ms step_avg:107.51ms
step:123/1770 train_time:13222ms step_avg:107.49ms
step:124/1770 train_time:13327ms step_avg:107.47ms
step:125/1770 train_time:13434ms step_avg:107.47ms
step:126/1770 train_time:13541ms step_avg:107.47ms
step:127/1770 train_time:13648ms step_avg:107.46ms
step:128/1770 train_time:13753ms step_avg:107.45ms
step:129/1770 train_time:13858ms step_avg:107.43ms
