logs/39478212-8494-4455-a614-e2f4e18ed3a1.txt
begin training
  2%|▏         | 31/1771 [00:03<03:05,  9.38it/s]
step:1/1770 train_time:241ms step_avg:240.71ms
step:2/1770 train_time:330ms step_avg:164.76ms
step:3/1770 train_time:436ms step_avg:145.26ms
step:4/1770 train_time:541ms step_avg:135.22ms
step:5/1770 train_time:649ms step_avg:129.71ms
step:6/1770 train_time:755ms step_avg:125.85ms
step:7/1770 train_time:861ms step_avg:123.02ms
step:8/1770 train_time:968ms step_avg:120.99ms
step:9/1770 train_time:1073ms step_avg:119.22ms
step:10/1770 train_time:1180ms step_avg:118.03ms
step:11/1770 train_time:1289ms step_avg:117.16ms
step:12/1770 train_time:1395ms step_avg:116.29ms
step:13/1770 train_time:1500ms step_avg:115.41ms
step:14/1770 train_time:1608ms step_avg:114.86ms
step:15/1770 train_time:1713ms step_avg:114.20ms
step:16/1770 train_time:1821ms step_avg:113.84ms
step:17/1770 train_time:1925ms step_avg:113.23ms
step:18/1770 train_time:2041ms step_avg:113.40ms
step:19/1770 train_time:2139ms step_avg:112.59ms
step:20/1770 train_time:2246ms step_avg:112.29ms
step:21/1770 train_time:2351ms step_avg:111.97ms
step:22/1770 train_time:2460ms step_avg:111.81ms
step:23/1770 train_time:2566ms step_avg:111.57ms
step:24/1770 train_time:2671ms step_avg:111.31ms
step:25/1770 train_time:2778ms step_avg:111.12ms
step:26/1770 train_time:2884ms step_avg:110.92ms
step:27/1770 train_time:2991ms step_avg:110.78ms
step:28/1770 train_time:3099ms step_avg:110.69ms
step:29/1770 train_time:3204ms step_avg:110.50ms
step:30/1770 train_time:3312ms step_avg:110.39ms
step:31/1770 train_time:3418ms step_avg:110.27ms
step:32/1770 train_time:3526ms step_avg:110.20ms
step:33/1770 train_time:3631ms step_avg:110.03ms
step:34/1770 train_time:3737ms step_avg:109.90ms
step:35/1770 train_time:3844ms step_avg:109.82ms
step:36/1770 train_time:3950ms step_avg:109.72ms
step:37/1770 train_time:4055ms step_avg:109.60ms
step:38/1770 train_time:4163ms step_avg:109.56ms
step:39/1770 train_time:4268ms step_avg:109.44ms
step:40/1770 train_time:4376ms step_avg:109.41ms
