logs/703fe5ab-317c-4c15-8c83-75b28dfe7ba5.txt
begin training
  2%|▏         | 31/1771 [00:03<03:06,  9.34it/s]
step:1/1770 train_time:228ms step_avg:227.73ms
step:2/1770 train_time:326ms step_avg:162.99ms
step:3/1770 train_time:431ms step_avg:143.59ms
step:4/1770 train_time:537ms step_avg:134.14ms
step:5/1770 train_time:641ms step_avg:128.29ms
step:6/1770 train_time:749ms step_avg:124.88ms
step:7/1770 train_time:855ms step_avg:122.15ms
step:8/1770 train_time:963ms step_avg:120.33ms
step:9/1770 train_time:1068ms step_avg:118.71ms
step:10/1770 train_time:1174ms step_avg:117.41ms
step:11/1770 train_time:1281ms step_avg:116.48ms
step:12/1770 train_time:1389ms step_avg:115.76ms
step:13/1770 train_time:1497ms step_avg:115.16ms
step:14/1770 train_time:1601ms step_avg:114.34ms
step:15/1770 train_time:1707ms step_avg:113.80ms
step:16/1770 train_time:1814ms step_avg:113.34ms
step:17/1770 train_time:1921ms step_avg:113.00ms
step:18/1770 train_time:2026ms step_avg:112.56ms
step:19/1770 train_time:2133ms step_avg:112.25ms
step:20/1770 train_time:2243ms step_avg:112.16ms
step:21/1770 train_time:2348ms step_avg:111.80ms
step:22/1770 train_time:2452ms step_avg:111.47ms
step:23/1770 train_time:2557ms step_avg:111.18ms
step:24/1770 train_time:2665ms step_avg:111.03ms
step:25/1770 train_time:2770ms step_avg:110.82ms
step:26/1770 train_time:2879ms step_avg:110.74ms
step:27/1770 train_time:2984ms step_avg:110.53ms
step:28/1770 train_time:3092ms step_avg:110.42ms
step:29/1770 train_time:3197ms step_avg:110.24ms
step:30/1770 train_time:3302ms step_avg:110.07ms
step:31/1770 train_time:3412ms step_avg:110.06ms
step:32/1770 train_time:3517ms step_avg:109.90ms
step:33/1770 train_time:3623ms step_avg:109.77ms
step:34/1770 train_time:3730ms step_avg:109.70ms
step:35/1770 train_time:3835ms step_avg:109.58ms
step:36/1770 train_time:3942ms step_avg:109.50ms
step:37/1770 train_time:4048ms step_avg:109.40ms
step:38/1770 train_time:4154ms step_avg:109.32ms
