logs/16eca8c9-a0d6-476b-a2e5-62a87c54ec87.txt
begin training
  2%|▏         | 31/1771 [00:03<03:04,  9.43it/s]
step:1/1770 train_time:244ms step_avg:244.25ms
step:2/1770 train_time:333ms step_avg:166.73ms
step:3/1770 train_time:441ms step_avg:146.89ms
step:4/1770 train_time:547ms step_avg:136.69ms
step:5/1770 train_time:652ms step_avg:130.39ms
step:6/1770 train_time:759ms step_avg:126.46ms
step:7/1770 train_time:867ms step_avg:123.79ms
step:8/1770 train_time:973ms step_avg:121.57ms
step:9/1770 train_time:1079ms step_avg:119.93ms
step:10/1770 train_time:1186ms step_avg:118.56ms
step:11/1770 train_time:1293ms step_avg:117.53ms
step:12/1770 train_time:1399ms step_avg:116.59ms
step:13/1770 train_time:1506ms step_avg:115.83ms
step:14/1770 train_time:1613ms step_avg:115.20ms
step:15/1770 train_time:1719ms step_avg:114.58ms
step:16/1770 train_time:1824ms step_avg:114.01ms
step:17/1770 train_time:1933ms step_avg:113.69ms
step:18/1770 train_time:2038ms step_avg:113.25ms
step:19/1770 train_time:2145ms step_avg:112.87ms
step:20/1770 train_time:2256ms step_avg:112.78ms
step:21/1770 train_time:2358ms step_avg:112.29ms
step:22/1770 train_time:2464ms step_avg:111.99ms
step:23/1770 train_time:2571ms step_avg:111.80ms
step:24/1770 train_time:2678ms step_avg:111.60ms
step:25/1770 train_time:2785ms step_avg:111.41ms
step:26/1770 train_time:2892ms step_avg:111.24ms
step:27/1770 train_time:3000ms step_avg:111.10ms
step:28/1770 train_time:3106ms step_avg:110.93ms
step:29/1770 train_time:3211ms step_avg:110.73ms
step:30/1770 train_time:3319ms step_avg:110.64ms
step:31/1770 train_time:3423ms step_avg:110.43ms
step:32/1770 train_time:3531ms step_avg:110.35ms
step:33/1770 train_time:3639ms step_avg:110.27ms
step:34/1770 train_time:3744ms step_avg:110.10ms
step:35/1770 train_time:3850ms step_avg:110.01ms
step:36/1770 train_time:3956ms step_avg:109.88ms
step:37/1770 train_time:4065ms step_avg:109.86ms
step:38/1770 train_time:4171ms step_avg:109.76ms
step:39/1770 train_time:4276ms step_avg:109.63ms
step:40/1770 train_time:4383ms step_avg:109.58ms
step:41/1770 train_time:4490ms step_avg:109.52ms
step:42/1770 train_time:4597ms step_avg:109.46ms
step:43/1770 train_time:4703ms step_avg:109.37ms
step:44/1770 train_time:4810ms step_avg:109.31ms
step:45/1770 train_time:4919ms step_avg:109.31ms
step:46/1770 train_time:5022ms step_avg:109.17ms
step:47/1770 train_time:5129ms step_avg:109.12ms
step:48/1770 train_time:5235ms step_avg:109.07ms
step:49/1770 train_time:5342ms step_avg:109.03ms
step:50/1770 train_time:5447ms step_avg:108.95ms
step:51/1770 train_time:5555ms step_avg:108.92ms
step:52/1770 train_time:5660ms step_avg:108.85ms
step:53/1770 train_time:5767ms step_avg:108.82ms
step:54/1770 train_time:5875ms step_avg:108.79ms
step:55/1770 train_time:5979ms step_avg:108.72ms
step:56/1770 train_time:6087ms step_avg:108.69ms
step:57/1770 train_time:6199ms step_avg:108.76ms
step:58/1770 train_time:6301ms step_avg:108.64ms
step:59/1770 train_time:6406ms step_avg:108.58ms
step:60/1770 train_time:6511ms step_avg:108.52ms
step:61/1770 train_time:6621ms step_avg:108.55ms
step:62/1770 train_time:6727ms step_avg:108.51ms
step:63/1770 train_time:6827ms step_avg:108.36ms
