logs/5cf7e756-f27a-4043-9fc6-29c3a859a2f0.txt
begin training
  2%|▏         | 31/1771 [00:03<03:05,  9.38it/s]
step:1/1770 train_time:239ms step_avg:238.75ms
step:2/1770 train_time:347ms step_avg:173.67ms
step:3/1770 train_time:453ms step_avg:151.15ms
step:4/1770 train_time:559ms step_avg:139.81ms
step:5/1770 train_time:666ms step_avg:133.30ms
step:6/1770 train_time:775ms step_avg:129.09ms
step:7/1770 train_time:875ms step_avg:125.07ms
step:8/1770 train_time:982ms step_avg:122.80ms
step:9/1770 train_time:1092ms step_avg:121.35ms
step:10/1770 train_time:1198ms step_avg:119.79ms
step:11/1770 train_time:1305ms step_avg:118.67ms
step:12/1770 train_time:1411ms step_avg:117.56ms
step:13/1770 train_time:1518ms step_avg:116.76ms
step:14/1770 train_time:1623ms step_avg:115.91ms
step:15/1770 train_time:1730ms step_avg:115.34ms
step:16/1770 train_time:1837ms step_avg:114.84ms
step:17/1770 train_time:1943ms step_avg:114.28ms
step:18/1770 train_time:2050ms step_avg:113.87ms
step:19/1770 train_time:2155ms step_avg:113.42ms
step:20/1770 train_time:2266ms step_avg:113.31ms
step:21/1770 train_time:2369ms step_avg:112.82ms
step:22/1770 train_time:2475ms step_avg:112.51ms
step:23/1770 train_time:2582ms step_avg:112.25ms
step:24/1770 train_time:2687ms step_avg:111.94ms
step:25/1770 train_time:2794ms step_avg:111.77ms
step:26/1770 train_time:2901ms step_avg:111.57ms
step:27/1770 train_time:3008ms step_avg:111.42ms
step:28/1770 train_time:3114ms step_avg:111.20ms
step:29/1770 train_time:3219ms step_avg:110.98ms
step:30/1770 train_time:3326ms step_avg:110.86ms
step:31/1770 train_time:3433ms step_avg:110.74ms
step:32/1770 train_time:3538ms step_avg:110.58ms
step:33/1770 train_time:3646ms step_avg:110.49ms
step:34/1770 train_time:3751ms step_avg:110.32ms
step:35/1770 train_time:3859ms step_avg:110.27ms
step:36/1770 train_time:3965ms step_avg:110.15ms
step:37/1770 train_time:4071ms step_avg:110.03ms
step:38/1770 train_time:4178ms step_avg:109.95ms
step:39/1770 train_time:4284ms step_avg:109.85ms
step:40/1770 train_time:4391ms step_avg:109.77ms
step:41/1770 train_time:4498ms step_avg:109.71ms
step:42/1770 train_time:4605ms step_avg:109.64ms
step:43/1770 train_time:4711ms step_avg:109.55ms
step:44/1770 train_time:4816ms step_avg:109.46ms
step:45/1770 train_time:4924ms step_avg:109.41ms
step:46/1770 train_time:5030ms step_avg:109.34ms
step:47/1770 train_time:5135ms step_avg:109.25ms
step:48/1770 train_time:5242ms step_avg:109.21ms
step:49/1770 train_time:5349ms step_avg:109.16ms
step:50/1770 train_time:5456ms step_avg:109.12ms
step:51/1770 train_time:5562ms step_avg:109.06ms
step:52/1770 train_time:5666ms step_avg:108.97ms
step:53/1770 train_time:5774ms step_avg:108.94ms
step:54/1770 train_time:5881ms step_avg:108.90ms
step:55/1770 train_time:5987ms step_avg:108.86ms
step:56/1770 train_time:6099ms step_avg:108.91ms
step:57/1770 train_time:6198ms step_avg:108.74ms
step:58/1770 train_time:6306ms step_avg:108.72ms
step:59/1770 train_time:6413ms step_avg:108.69ms
step:60/1770 train_time:6518ms step_avg:108.64ms
step:61/1770 train_time:6626ms step_avg:108.63ms
step:62/1770 train_time:6731ms step_avg:108.57ms
step:63/1770 train_time:6839ms step_avg:108.56ms
step:64/1770 train_time:6946ms step_avg:108.53ms
step:65/1770 train_time:7052ms step_avg:108.49ms
step:66/1770 train_time:7159ms step_avg:108.46ms
step:67/1770 train_time:7265ms step_avg:108.44ms
step:68/1770 train_time:7371ms step_avg:108.40ms
step:69/1770 train_time:7478ms step_avg:108.38ms
step:70/1770 train_time:7584ms step_avg:108.34ms
step:71/1770 train_time:7690ms step_avg:108.31ms
step:72/1770 train_time:7796ms step_avg:108.28ms
step:73/1770 train_time:7902ms step_avg:108.25ms
