logs/567c757b-8b07-429c-86ad-672fac79a107.txt
begin training
  2%|▏         | 31/1771 [00:03<03:02,  9.53it/s]
step:1/1770 train_time:250ms step_avg:250.29ms
step:2/1770 train_time:341ms step_avg:170.56ms
step:3/1770 train_time:448ms step_avg:149.36ms
step:4/1770 train_time:553ms step_avg:138.24ms
step:5/1770 train_time:660ms step_avg:131.99ms
step:6/1770 train_time:768ms step_avg:127.96ms
step:7/1770 train_time:874ms step_avg:124.90ms
step:8/1770 train_time:980ms step_avg:122.49ms
step:9/1770 train_time:1085ms step_avg:120.56ms
step:10/1770 train_time:1193ms step_avg:119.31ms
step:11/1770 train_time:1300ms step_avg:118.19ms
step:12/1770 train_time:1406ms step_avg:117.15ms
step:13/1770 train_time:1513ms step_avg:116.36ms
step:14/1770 train_time:1618ms step_avg:115.59ms
step:15/1770 train_time:1724ms step_avg:114.90ms
step:16/1770 train_time:1831ms step_avg:114.45ms
step:17/1770 train_time:1936ms step_avg:113.90ms
step:18/1770 train_time:2043ms step_avg:113.52ms
step:19/1770 train_time:2149ms step_avg:113.08ms
step:20/1770 train_time:2260ms step_avg:112.99ms
step:21/1770 train_time:2363ms step_avg:112.52ms
step:22/1770 train_time:2468ms step_avg:112.19ms
step:23/1770 train_time:2576ms step_avg:111.98ms
step:24/1770 train_time:2682ms step_avg:111.73ms
step:25/1770 train_time:2788ms step_avg:111.51ms
step:26/1770 train_time:2893ms step_avg:111.25ms
step:27/1770 train_time:3000ms step_avg:111.12ms
step:28/1770 train_time:3107ms step_avg:110.98ms
step:29/1770 train_time:3212ms step_avg:110.77ms
step:30/1770 train_time:3321ms step_avg:110.69ms
step:31/1770 train_time:3421ms step_avg:110.36ms
step:32/1770 train_time:3533ms step_avg:110.40ms
step:33/1770 train_time:3640ms step_avg:110.30ms
step:34/1770 train_time:3745ms step_avg:110.15ms
step:35/1770 train_time:3851ms step_avg:110.04ms
step:36/1770 train_time:3957ms step_avg:109.91ms
step:37/1770 train_time:4065ms step_avg:109.86ms
step:38/1770 train_time:4172ms step_avg:109.78ms
step:39/1770 train_time:4277ms step_avg:109.68ms
step:40/1770 train_time:4384ms step_avg:109.59ms
step:41/1770 train_time:4490ms step_avg:109.52ms
step:42/1770 train_time:4598ms step_avg:109.47ms
step:43/1770 train_time:4703ms step_avg:109.38ms
step:44/1770 train_time:4808ms step_avg:109.28ms
step:45/1770 train_time:4916ms step_avg:109.24ms
step:46/1770 train_time:5023ms step_avg:109.19ms
step:47/1770 train_time:5130ms step_avg:109.15ms
step:48/1770 train_time:5235ms step_avg:109.05ms
step:49/1770 train_time:5342ms step_avg:109.01ms
step:50/1770 train_time:5448ms step_avg:108.96ms
step:51/1770 train_time:5555ms step_avg:108.93ms
step:52/1770 train_time:5662ms step_avg:108.88ms
step:53/1770 train_time:5767ms step_avg:108.82ms
step:54/1770 train_time:5872ms step_avg:108.75ms
step:55/1770 train_time:5980ms step_avg:108.73ms
step:56/1770 train_time:6091ms step_avg:108.78ms
step:57/1770 train_time:6194ms step_avg:108.66ms
step:58/1770 train_time:6299ms step_avg:108.61ms
step:59/1770 train_time:6405ms step_avg:108.57ms
step:60/1770 train_time:6512ms step_avg:108.54ms
step:61/1770 train_time:6618ms step_avg:108.50ms
step:62/1770 train_time:6724ms step_avg:108.45ms
step:63/1770 train_time:6832ms step_avg:108.44ms
step:64/1770 train_time:6937ms step_avg:108.39ms
step:65/1770 train_time:7044ms step_avg:108.37ms
step:66/1770 train_time:7151ms step_avg:108.35ms
step:67/1770 train_time:7257ms step_avg:108.31ms
step:68/1770 train_time:7364ms step_avg:108.30ms
step:69/1770 train_time:7470ms step_avg:108.26ms
step:70/1770 train_time:7577ms step_avg:108.24ms
step:71/1770 train_time:7684ms step_avg:108.22ms
step:72/1770 train_time:7788ms step_avg:108.17ms
step:73/1770 train_time:7895ms step_avg:108.15ms
step:74/1770 train_time:8003ms step_avg:108.15ms
step:75/1770 train_time:8108ms step_avg:108.11ms
step:76/1770 train_time:8216ms step_avg:108.10ms
step:77/1770 train_time:8320ms step_avg:108.05ms
step:78/1770 train_time:8428ms step_avg:108.05ms
step:79/1770 train_time:8533ms step_avg:108.02ms
step:80/1770 train_time:8640ms step_avg:108.00ms
step:81/1770 train_time:8745ms step_avg:107.96ms
step:82/1770 train_time:8854ms step_avg:107.97ms
step:83/1770 train_time:8959ms step_avg:107.94ms
step:84/1770 train_time:9065ms step_avg:107.92ms
step:85/1770 train_time:9171ms step_avg:107.90ms
step:86/1770 train_time:9277ms step_avg:107.87ms
step:87/1770 train_time:9385ms step_avg:107.88ms
step:88/1770 train_time:9491ms step_avg:107.86ms
step:89/1770 train_time:9597ms step_avg:107.83ms
step:90/1770 train_time:9704ms step_avg:107.83ms
step:91/1770 train_time:9810ms step_avg:107.80ms
step:92/1770 train_time:9916ms step_avg:107.78ms
step:93/1770 train_time:10031ms step_avg:107.86ms
step:94/1770 train_time:10131ms step_avg:107.78ms
step:95/1770 train_time:10236ms step_avg:107.74ms
step:96/1770 train_time:10341ms step_avg:107.72ms
step:97/1770 train_time:10450ms step_avg:107.73ms
step:98/1770 train_time:10556ms step_avg:107.71ms
step:99/1770 train_time:10662ms step_avg:107.69ms
step:100/1770 train_time:10768ms step_avg:107.68ms
step:101/1770 train_time:10873ms step_avg:107.65ms
step:102/1770 train_time:10981ms step_avg:107.66ms
step:103/1770 train_time:11088ms step_avg:107.65ms
step:104/1770 train_time:11195ms step_avg:107.64ms
step:105/1770 train_time:11292ms step_avg:107.54ms
step:106/1770 train_time:11399ms step_avg:107.54ms
step:107/1770 train_time:11507ms step_avg:107.55ms
step:108/1770 train_time:11613ms step_avg:107.53ms
step:109/1770 train_time:11725ms step_avg:107.57ms
step:110/1770 train_time:11830ms step_avg:107.55ms
step:111/1770 train_time:11936ms step_avg:107.53ms
step:112/1770 train_time:12042ms step_avg:107.52ms
step:113/1770 train_time:12150ms step_avg:107.52ms
step:114/1770 train_time:12255ms step_avg:107.50ms
step:115/1770 train_time:12362ms step_avg:107.49ms
step:116/1770 train_time:12467ms step_avg:107.47ms
step:117/1770 train_time:12575ms step_avg:107.48ms
step:118/1770 train_time:12679ms step_avg:107.45ms
step:119/1770 train_time:12786ms step_avg:107.45ms
step:120/1770 train_time:12894ms step_avg:107.45ms
step:121/1770 train_time:13000ms step_avg:107.44ms
step:122/1770 train_time:13106ms step_avg:107.43ms
step:123/1770 train_time:13211ms step_avg:107.40ms
step:124/1770 train_time:13318ms step_avg:107.40ms
step:125/1770 train_time:13423ms step_avg:107.39ms
step:126/1770 train_time:13533ms step_avg:107.41ms
step:127/1770 train_time:13639ms step_avg:107.39ms
step:128/1770 train_time:13746ms step_avg:107.39ms
step:129/1770 train_time:13850ms step_avg:107.36ms
step:130/1770 train_time:13961ms step_avg:107.39ms
step:131/1770 train_time:14064ms step_avg:107.36ms
step:132/1770 train_time:14170ms step_avg:107.35ms
step:133/1770 train_time:14275ms step_avg:107.33ms
step:134/1770 train_time:14382ms step_avg:107.33ms
step:135/1770 train_time:14487ms step_avg:107.31ms
step:136/1770 train_time:14591ms step_avg:107.29ms
step:137/1770 train_time:14703ms step_avg:107.32ms
step:138/1770 train_time:14808ms step_avg:107.31ms
step:139/1770 train_time:14927ms step_avg:107.39ms
step:140/1770 train_time:15016ms step_avg:107.26ms
step:141/1770 train_time:15123ms step_avg:107.25ms
step:142/1770 train_time:15229ms step_avg:107.25ms
step:143/1770 train_time:15342ms step_avg:107.28ms
step:144/1770 train_time:15449ms step_avg:107.28ms
step:145/1770 train_time:15554ms step_avg:107.27ms
step:146/1770 train_time:15663ms step_avg:107.28ms
step:147/1770 train_time:15769ms step_avg:107.27ms
step:148/1770 train_time:15873ms step_avg:107.25ms
step:149/1770 train_time:15980ms step_avg:107.25ms
step:150/1770 train_time:16087ms step_avg:107.25ms
step:151/1770 train_time:16192ms step_avg:107.23ms
step:152/1770 train_time:16299ms step_avg:107.23ms
step:153/1770 train_time:16406ms step_avg:107.23ms
step:154/1770 train_time:16513ms step_avg:107.23ms
step:155/1770 train_time:16619ms step_avg:107.22ms
step:156/1770 train_time:16724ms step_avg:107.21ms
step:157/1770 train_time:16832ms step_avg:107.21ms
step:158/1770 train_time:16939ms step_avg:107.21ms
step:159/1770 train_time:17045ms step_avg:107.20ms
step:160/1770 train_time:17150ms step_avg:107.19ms
step:161/1770 train_time:17257ms step_avg:107.18ms
step:162/1770 train_time:17364ms step_avg:107.19ms
step:163/1770 train_time:17472ms step_avg:107.19ms
step:164/1770 train_time:17576ms step_avg:107.17ms
step:165/1770 train_time:17683ms step_avg:107.17ms
step:166/1770 train_time:17792ms step_avg:107.18ms
step:167/1770 train_time:17901ms step_avg:107.19ms
step:168/1770 train_time:18004ms step_avg:107.17ms
step:169/1770 train_time:18113ms step_avg:107.18ms
step:170/1770 train_time:18217ms step_avg:107.16ms
step:171/1770 train_time:18324ms step_avg:107.16ms
step:172/1770 train_time:18429ms step_avg:107.15ms
step:173/1770 train_time:18537ms step_avg:107.15ms
step:174/1770 train_time:18644ms step_avg:107.15ms
step:175/1770 train_time:18749ms step_avg:107.14ms
step:176/1770 train_time:18857ms step_avg:107.14ms
step:177/1770 train_time:18964ms step_avg:107.14ms
step:178/1770 train_time:19070ms step_avg:107.13ms
step:179/1770 train_time:19172ms step_avg:107.10ms
step:180/1770 train_time:19278ms step_avg:107.10ms
step:181/1770 train_time:19384ms step_avg:107.10ms
step:182/1770 train_time:19496ms step_avg:107.12ms
step:183/1770 train_time:19598ms step_avg:107.09ms
step:184/1770 train_time:19710ms step_avg:107.12ms
step:185/1770 train_time:19812ms step_avg:107.09ms
step:186/1770 train_time:19921ms step_avg:107.10ms
step:187/1770 train_time:20028ms step_avg:107.10ms
step:188/1770 train_time:20136ms step_avg:107.11ms
step:189/1770 train_time:20241ms step_avg:107.09ms
step:190/1770 train_time:20348ms step_avg:107.09ms
step:191/1770 train_time:20456ms step_avg:107.10ms
step:192/1770 train_time:20562ms step_avg:107.09ms
step:193/1770 train_time:20667ms step_avg:107.08ms
step:194/1770 train_time:20772ms step_avg:107.07ms
step:195/1770 train_time:20880ms step_avg:107.08ms
step:196/1770 train_time:20987ms step_avg:107.08ms
step:197/1770 train_time:21093ms step_avg:107.07ms
step:198/1770 train_time:21199ms step_avg:107.07ms
step:199/1770 train_time:21304ms step_avg:107.06ms
step:200/1770 train_time:21414ms step_avg:107.07ms
step:201/1770 train_time:21519ms step_avg:107.06ms
step:202/1770 train_time:21625ms step_avg:107.05ms
step:203/1770 train_time:21732ms step_avg:107.05ms
step:204/1770 train_time:21842ms step_avg:107.07ms
step:205/1770 train_time:21945ms step_avg:107.05ms
step:206/1770 train_time:22052ms step_avg:107.05ms
step:207/1770 train_time:22157ms step_avg:107.04ms
step:208/1770 train_time:22264ms step_avg:107.04ms
step:209/1770 train_time:22371ms step_avg:107.04ms
step:210/1770 train_time:22476ms step_avg:107.03ms
step:211/1770 train_time:22584ms step_avg:107.03ms
step:212/1770 train_time:22689ms step_avg:107.02ms
step:213/1770 train_time:22796ms step_avg:107.02ms
step:214/1770 train_time:22903ms step_avg:107.02ms
step:215/1770 train_time:23010ms step_avg:107.02ms
step:216/1770 train_time:23116ms step_avg:107.02ms
step:217/1770 train_time:23221ms step_avg:107.01ms
step:218/1770 train_time:23328ms step_avg:107.01ms
step:219/1770 train_time:23436ms step_avg:107.01ms
step:220/1770 train_time:23541ms step_avg:107.01ms
step:221/1770 train_time:23648ms step_avg:107.00ms
step:222/1770 train_time:23754ms step_avg:107.00ms
step:223/1770 train_time:23860ms step_avg:107.00ms
step:224/1770 train_time:23967ms step_avg:107.00ms
step:225/1770 train_time:24072ms step_avg:106.99ms
step:226/1770 train_time:24179ms step_avg:106.99ms
step:227/1770 train_time:24286ms step_avg:106.99ms
step:228/1770 train_time:24394ms step_avg:106.99ms
step:229/1770 train_time:24500ms step_avg:106.99ms
step:230/1770 train_time:24606ms step_avg:106.98ms
step:231/1770 train_time:24712ms step_avg:106.98ms
step:232/1770 train_time:24819ms step_avg:106.98ms
step:233/1770 train_time:24924ms step_avg:106.97ms
step:234/1770 train_time:25032ms step_avg:106.97ms
step:235/1770 train_time:25137ms step_avg:106.97ms
step:236/1770 train_time:25244ms step_avg:106.97ms
step:237/1770 train_time:25351ms step_avg:106.97ms
step:238/1770 train_time:25458ms step_avg:106.97ms
step:239/1770 train_time:25565ms step_avg:106.97ms
step:240/1770 train_time:25673ms step_avg:106.97ms
step:241/1770 train_time:25777ms step_avg:106.96ms
step:242/1770 train_time:25884ms step_avg:106.96ms
step:243/1770 train_time:25989ms step_avg:106.95ms
step:244/1770 train_time:26096ms step_avg:106.95ms
step:245/1770 train_time:26203ms step_avg:106.95ms
step:246/1770 train_time:26309ms step_avg:106.95ms
step:247/1770 train_time:26416ms step_avg:106.95ms
step:248/1770 train_time:26521ms step_avg:106.94ms
step:249/1770 train_time:26629ms step_avg:106.94ms
step:250/1770 train_time:26736ms step_avg:106.94ms
step:251/1770 train_time:26841ms step_avg:106.94ms
step:252/1770 train_time:26948ms step_avg:106.94ms
step:253/1770 train_time:27055ms step_avg:106.94ms
step:254/1770 train_time:27161ms step_avg:106.93ms
step:255/1770 train_time:27267ms step_avg:106.93ms
step:256/1770 train_time:27373ms step_avg:106.92ms
step:257/1770 train_time:27481ms step_avg:106.93ms
step:258/1770 train_time:27589ms step_avg:106.93ms
step:259/1770 train_time:27693ms step_avg:106.92ms
step:260/1770 train_time:27801ms step_avg:106.93ms
step:261/1770 train_time:27907ms step_avg:106.93ms
step:262/1770 train_time:28014ms step_avg:106.92ms
step:263/1770 train_time:28120ms step_avg:106.92ms
step:264/1770 train_time:28226ms step_avg:106.92ms
step:265/1770 train_time:28332ms step_avg:106.91ms
step:266/1770 train_time:28440ms step_avg:106.92ms
step:267/1770 train_time:28546ms step_avg:106.91ms
step:268/1770 train_time:28652ms step_avg:106.91ms
step:269/1770 train_time:28760ms step_avg:106.91ms
step:270/1770 train_time:28865ms step_avg:106.91ms
step:271/1770 train_time:28972ms step_avg:106.91ms
step:272/1770 train_time:29080ms step_avg:106.91ms
step:273/1770 train_time:29184ms step_avg:106.90ms
step:274/1770 train_time:29292ms step_avg:106.90ms
step:275/1770 train_time:29397ms step_avg:106.90ms
step:276/1770 train_time:29508ms step_avg:106.91ms
step:277/1770 train_time:29618ms step_avg:106.92ms
step:278/1770 train_time:29718ms step_avg:106.90ms
step:279/1770 train_time:29825ms step_avg:106.90ms
step:280/1770 train_time:29932ms step_avg:106.90ms
step:281/1770 train_time:30037ms step_avg:106.89ms
step:282/1770 train_time:30144ms step_avg:106.89ms
step:283/1770 train_time:30251ms step_avg:106.89ms
step:284/1770 train_time:30357ms step_avg:106.89ms
step:285/1770 train_time:30464ms step_avg:106.89ms
step:286/1770 train_time:30572ms step_avg:106.90ms
step:287/1770 train_time:30677ms step_avg:106.89ms
step:288/1770 train_time:30783ms step_avg:106.89ms
step:289/1770 train_time:30891ms step_avg:106.89ms
step:290/1770 train_time:30997ms step_avg:106.89ms
step:291/1770 train_time:31104ms step_avg:106.89ms
step:292/1770 train_time:31209ms step_avg:106.88ms
step:293/1770 train_time:31316ms step_avg:106.88ms
step:294/1770 train_time:31425ms step_avg:106.89ms
step:295/1770 train_time:31531ms step_avg:106.88ms
step:296/1770 train_time:31636ms step_avg:106.88ms
step:297/1770 train_time:31744ms step_avg:106.88ms
step:298/1770 train_time:31849ms step_avg:106.88ms
step:299/1770 train_time:31957ms step_avg:106.88ms
step:300/1770 train_time:32063ms step_avg:106.88ms
step:301/1770 train_time:32169ms step_avg:106.88ms
step:302/1770 train_time:32276ms step_avg:106.87ms
step:303/1770 train_time:32383ms step_avg:106.87ms
step:304/1770 train_time:32489ms step_avg:106.87ms
step:305/1770 train_time:32596ms step_avg:106.87ms
step:306/1770 train_time:32703ms step_avg:106.87ms
step:307/1770 train_time:32810ms step_avg:106.87ms
step:308/1770 train_time:32916ms step_avg:106.87ms
step:309/1770 train_time:33021ms step_avg:106.87ms
step:310/1770 train_time:33129ms step_avg:106.87ms
step:311/1770 train_time:33236ms step_avg:106.87ms
