logs/77dbcdc8-efd4-4466-981b-44bcca6b1b43.txt
begin training
  2%|▏         | 31/1771 [00:03<03:05,  9.39it/s]
step:1/1770 train_time:222ms step_avg:221.61ms
step:2/1770 train_time:335ms step_avg:167.61ms
step:3/1770 train_time:441ms step_avg:147.07ms
step:4/1770 train_time:548ms step_avg:137.08ms
step:5/1770 train_time:654ms step_avg:130.83ms
step:6/1770 train_time:761ms step_avg:126.77ms
step:7/1770 train_time:868ms step_avg:123.98ms
step:8/1770 train_time:975ms step_avg:121.84ms
step:9/1770 train_time:1081ms step_avg:120.06ms
step:10/1770 train_time:1186ms step_avg:118.63ms
step:11/1770 train_time:1293ms step_avg:117.55ms
step:12/1770 train_time:1399ms step_avg:116.59ms
step:13/1770 train_time:1506ms step_avg:115.84ms
step:14/1770 train_time:1612ms step_avg:115.17ms
step:15/1770 train_time:1719ms step_avg:114.61ms
step:16/1770 train_time:1824ms step_avg:114.03ms
step:17/1770 train_time:1930ms step_avg:113.50ms
step:18/1770 train_time:2037ms step_avg:113.18ms
step:19/1770 train_time:2144ms step_avg:112.84ms
step:20/1770 train_time:2254ms step_avg:112.71ms
step:21/1770 train_time:2356ms step_avg:112.21ms
step:22/1770 train_time:2462ms step_avg:111.90ms
step:23/1770 train_time:2570ms step_avg:111.74ms
step:24/1770 train_time:2676ms step_avg:111.52ms
step:25/1770 train_time:2781ms step_avg:111.25ms
step:26/1770 train_time:2888ms step_avg:111.09ms
step:27/1770 train_time:2993ms step_avg:110.87ms
step:28/1770 train_time:3101ms step_avg:110.75ms
step:29/1770 train_time:3209ms step_avg:110.64ms
step:30/1770 train_time:3315ms step_avg:110.49ms
step:31/1770 train_time:3421ms step_avg:110.35ms
step:32/1770 train_time:3527ms step_avg:110.23ms
step:33/1770 train_time:3635ms step_avg:110.14ms
step:34/1770 train_time:3739ms step_avg:109.97ms
step:35/1770 train_time:3845ms step_avg:109.85ms
step:36/1770 train_time:3952ms step_avg:109.78ms
step:37/1770 train_time:4057ms step_avg:109.66ms
step:38/1770 train_time:4165ms step_avg:109.60ms
step:39/1770 train_time:4272ms step_avg:109.53ms
step:40/1770 train_time:4377ms step_avg:109.42ms
step:41/1770 train_time:4484ms step_avg:109.37ms
step:42/1770 train_time:4590ms step_avg:109.29ms
step:43/1770 train_time:4697ms step_avg:109.22ms
step:44/1770 train_time:4804ms step_avg:109.18ms
step:45/1770 train_time:4909ms step_avg:109.10ms
step:46/1770 train_time:5016ms step_avg:109.05ms
step:47/1770 train_time:5124ms step_avg:109.01ms
step:48/1770 train_time:5230ms step_avg:108.97ms
step:49/1770 train_time:5335ms step_avg:108.88ms
step:50/1770 train_time:5442ms step_avg:108.83ms
step:51/1770 train_time:5549ms step_avg:108.80ms
step:52/1770 train_time:5654ms step_avg:108.72ms
step:53/1770 train_time:5762ms step_avg:108.71ms
step:54/1770 train_time:5868ms step_avg:108.67ms
step:55/1770 train_time:5974ms step_avg:108.61ms
step:56/1770 train_time:6085ms step_avg:108.66ms
step:57/1770 train_time:6185ms step_avg:108.52ms
step:58/1770 train_time:6293ms step_avg:108.50ms
step:59/1770 train_time:6400ms step_avg:108.48ms
step:60/1770 train_time:6506ms step_avg:108.43ms
step:61/1770 train_time:6613ms step_avg:108.40ms
step:62/1770 train_time:6719ms step_avg:108.37ms
step:63/1770 train_time:6824ms step_avg:108.32ms
step:64/1770 train_time:6932ms step_avg:108.31ms
step:65/1770 train_time:7038ms step_avg:108.27ms
step:66/1770 train_time:7145ms step_avg:108.26ms
step:67/1770 train_time:7250ms step_avg:108.21ms
step:68/1770 train_time:7357ms step_avg:108.20ms
step:69/1770 train_time:7465ms step_avg:108.19ms
step:70/1770 train_time:7571ms step_avg:108.15ms
step:71/1770 train_time:7676ms step_avg:108.11ms
step:72/1770 train_time:7782ms step_avg:108.08ms
step:73/1770 train_time:7889ms step_avg:108.06ms
step:74/1770 train_time:7995ms step_avg:108.04ms
step:75/1770 train_time:8102ms step_avg:108.03ms
step:76/1770 train_time:8208ms step_avg:108.00ms
step:77/1770 train_time:8313ms step_avg:107.96ms
step:78/1770 train_time:8420ms step_avg:107.96ms
step:79/1770 train_time:8528ms step_avg:107.95ms
step:80/1770 train_time:8634ms step_avg:107.92ms
step:81/1770 train_time:8740ms step_avg:107.90ms
step:82/1770 train_time:8845ms step_avg:107.87ms
step:83/1770 train_time:8953ms step_avg:107.86ms
step:84/1770 train_time:9058ms step_avg:107.84ms
step:85/1770 train_time:9167ms step_avg:107.84ms
step:86/1770 train_time:9271ms step_avg:107.81ms
step:87/1770 train_time:9379ms step_avg:107.80ms
step:88/1770 train_time:9484ms step_avg:107.77ms
step:89/1770 train_time:9590ms step_avg:107.75ms
step:90/1770 train_time:9699ms step_avg:107.77ms
step:91/1770 train_time:9804ms step_avg:107.74ms
step:92/1770 train_time:9910ms step_avg:107.72ms
