logs/a5e7a81a-7711-4c83-9f5b-aad9f36d5ea5.txt
begin training
  2%|▏         | 31/1771 [00:03<03:05,  9.40it/s]
step:1/1770 train_time:200ms step_avg:200.34ms
step:2/1770 train_time:327ms step_avg:163.74ms
step:3/1770 train_time:435ms step_avg:144.95ms
step:4/1770 train_time:540ms step_avg:134.94ms
step:5/1770 train_time:647ms step_avg:129.45ms
step:6/1770 train_time:754ms step_avg:125.62ms
step:7/1770 train_time:861ms step_avg:123.01ms
step:8/1770 train_time:967ms step_avg:120.89ms
step:9/1770 train_time:1072ms step_avg:119.10ms
step:10/1770 train_time:1179ms step_avg:117.93ms
step:11/1770 train_time:1287ms step_avg:116.98ms
step:12/1770 train_time:1394ms step_avg:116.21ms
step:13/1770 train_time:1501ms step_avg:115.48ms
step:14/1770 train_time:1609ms step_avg:114.92ms
step:15/1770 train_time:1714ms step_avg:114.25ms
step:16/1770 train_time:1821ms step_avg:113.79ms
step:17/1770 train_time:1930ms step_avg:113.53ms
step:18/1770 train_time:2035ms step_avg:113.07ms
step:19/1770 train_time:2144ms step_avg:112.83ms
step:20/1770 train_time:2245ms step_avg:112.26ms
step:21/1770 train_time:2352ms step_avg:112.02ms
step:22/1770 train_time:2460ms step_avg:111.82ms
step:23/1770 train_time:2565ms step_avg:111.54ms
step:24/1770 train_time:2672ms step_avg:111.35ms
step:25/1770 train_time:2778ms step_avg:111.10ms
step:26/1770 train_time:2887ms step_avg:111.03ms
step:27/1770 train_time:2992ms step_avg:110.82ms
step:28/1770 train_time:3097ms step_avg:110.62ms
step:29/1770 train_time:3205ms step_avg:110.52ms
step:30/1770 train_time:3313ms step_avg:110.42ms
step:31/1770 train_time:3418ms step_avg:110.25ms
step:32/1770 train_time:3525ms step_avg:110.17ms
step:33/1770 train_time:3631ms step_avg:110.04ms
step:34/1770 train_time:3739ms step_avg:109.96ms
step:35/1770 train_time:3844ms step_avg:109.83ms
step:36/1770 train_time:3951ms step_avg:109.74ms
step:37/1770 train_time:4057ms step_avg:109.64ms
step:38/1770 train_time:4164ms step_avg:109.58ms
step:39/1770 train_time:4270ms step_avg:109.48ms
step:40/1770 train_time:4376ms step_avg:109.41ms
step:41/1770 train_time:4484ms step_avg:109.36ms
step:42/1770 train_time:4589ms step_avg:109.27ms
step:43/1770 train_time:4696ms step_avg:109.20ms
step:44/1770 train_time:4801ms step_avg:109.12ms
step:45/1770 train_time:4909ms step_avg:109.09ms
step:46/1770 train_time:5016ms step_avg:109.05ms
step:47/1770 train_time:5122ms step_avg:108.98ms
step:48/1770 train_time:5229ms step_avg:108.94ms
step:49/1770 train_time:5337ms step_avg:108.91ms
step:50/1770 train_time:5443ms step_avg:108.85ms
step:51/1770 train_time:5550ms step_avg:108.81ms
step:52/1770 train_time:5655ms step_avg:108.74ms
step:53/1770 train_time:5761ms step_avg:108.70ms
step:54/1770 train_time:5868ms step_avg:108.67ms
step:55/1770 train_time:5975ms step_avg:108.63ms
step:56/1770 train_time:6087ms step_avg:108.70ms
step:57/1770 train_time:6187ms step_avg:108.55ms
step:58/1770 train_time:6294ms step_avg:108.52ms
step:59/1770 train_time:6401ms step_avg:108.48ms
step:60/1770 train_time:6508ms step_avg:108.46ms
step:61/1770 train_time:6613ms step_avg:108.42ms
step:62/1770 train_time:6720ms step_avg:108.39ms
step:63/1770 train_time:6828ms step_avg:108.37ms
step:64/1770 train_time:6935ms step_avg:108.35ms
step:65/1770 train_time:7040ms step_avg:108.31ms
step:66/1770 train_time:7147ms step_avg:108.28ms
step:67/1770 train_time:7253ms step_avg:108.26ms
step:68/1770 train_time:7354ms step_avg:108.15ms
step:69/1770 train_time:7465ms step_avg:108.19ms
step:70/1770 train_time:7573ms step_avg:108.18ms
step:71/1770 train_time:7679ms step_avg:108.15ms
step:72/1770 train_time:7785ms step_avg:108.12ms
step:73/1770 train_time:7893ms step_avg:108.12ms
step:74/1770 train_time:7998ms step_avg:108.08ms
step:75/1770 train_time:8099ms step_avg:107.98ms
step:76/1770 train_time:8212ms step_avg:108.05ms
step:77/1770 train_time:8318ms step_avg:108.02ms
step:78/1770 train_time:8425ms step_avg:108.01ms
step:79/1770 train_time:8532ms step_avg:108.00ms
step:80/1770 train_time:8639ms step_avg:107.99ms
step:81/1770 train_time:8744ms step_avg:107.96ms
step:82/1770 train_time:8851ms step_avg:107.93ms
step:83/1770 train_time:8958ms step_avg:107.92ms
step:84/1770 train_time:9065ms step_avg:107.92ms
step:85/1770 train_time:9170ms step_avg:107.88ms
step:86/1770 train_time:9277ms step_avg:107.87ms
step:87/1770 train_time:9385ms step_avg:107.87ms
step:88/1770 train_time:9492ms step_avg:107.86ms
step:89/1770 train_time:9598ms step_avg:107.84ms
step:90/1770 train_time:9703ms step_avg:107.81ms
step:91/1770 train_time:9811ms step_avg:107.82ms
step:92/1770 train_time:9917ms step_avg:107.80ms
step:93/1770 train_time:10027ms step_avg:107.82ms
step:94/1770 train_time:10129ms step_avg:107.76ms
step:95/1770 train_time:10236ms step_avg:107.75ms
step:96/1770 train_time:10341ms step_avg:107.72ms
step:97/1770 train_time:10449ms step_avg:107.72ms
step:98/1770 train_time:10556ms step_avg:107.72ms
step:99/1770 train_time:10661ms step_avg:107.69ms
step:100/1770 train_time:10768ms step_avg:107.68ms
step:101/1770 train_time:10873ms step_avg:107.66ms
step:102/1770 train_time:10982ms step_avg:107.67ms
step:103/1770 train_time:11089ms step_avg:107.66ms
step:104/1770 train_time:11194ms step_avg:107.64ms
step:105/1770 train_time:11301ms step_avg:107.63ms
step:106/1770 train_time:11410ms step_avg:107.64ms
step:107/1770 train_time:11514ms step_avg:107.61ms
step:108/1770 train_time:11621ms step_avg:107.61ms
step:109/1770 train_time:11729ms step_avg:107.60ms
step:110/1770 train_time:11834ms step_avg:107.58ms
step:111/1770 train_time:11941ms step_avg:107.57ms
step:112/1770 train_time:12047ms step_avg:107.56ms
step:113/1770 train_time:12154ms step_avg:107.56ms
step:114/1770 train_time:12260ms step_avg:107.55ms
step:115/1770 train_time:12367ms step_avg:107.54ms
step:116/1770 train_time:12473ms step_avg:107.53ms
step:117/1770 train_time:12580ms step_avg:107.52ms
step:118/1770 train_time:12686ms step_avg:107.51ms
