logs/48ec6975-ba4d-4b79-9bfd-1966f29a2579.txt
begin training
  2%|▏         | 31/1771 [00:03<03:05,  9.38it/s]
step:1/1770 train_time:247ms step_avg:247.40ms
step:2/1770 train_time:346ms step_avg:173.07ms
step:3/1770 train_time:453ms step_avg:151.13ms
step:4/1770 train_time:559ms step_avg:139.79ms
step:5/1770 train_time:666ms step_avg:133.10ms
step:6/1770 train_time:770ms step_avg:128.40ms
step:7/1770 train_time:880ms step_avg:125.65ms
step:8/1770 train_time:978ms step_avg:122.29ms
step:9/1770 train_time:1089ms step_avg:120.98ms
step:10/1770 train_time:1196ms step_avg:119.59ms
step:11/1770 train_time:1303ms step_avg:118.49ms
step:12/1770 train_time:1409ms step_avg:117.42ms
step:13/1770 train_time:1516ms step_avg:116.61ms
step:14/1770 train_time:1622ms step_avg:115.82ms
step:15/1770 train_time:1728ms step_avg:115.23ms
step:16/1770 train_time:1838ms step_avg:114.86ms
step:17/1770 train_time:1944ms step_avg:114.35ms
step:18/1770 train_time:2048ms step_avg:113.78ms
step:19/1770 train_time:2154ms step_avg:113.37ms
step:20/1770 train_time:2263ms step_avg:113.17ms
step:21/1770 train_time:2367ms step_avg:112.70ms
step:22/1770 train_time:2472ms step_avg:112.38ms
step:23/1770 train_time:2580ms step_avg:112.18ms
step:24/1770 train_time:2687ms step_avg:111.97ms
step:25/1770 train_time:2794ms step_avg:111.76ms
step:26/1770 train_time:2899ms step_avg:111.51ms
step:27/1770 train_time:3005ms step_avg:111.28ms
step:28/1770 train_time:3112ms step_avg:111.15ms
step:29/1770 train_time:3221ms step_avg:111.07ms
step:30/1770 train_time:3324ms step_avg:110.81ms
step:31/1770 train_time:3432ms step_avg:110.72ms
step:32/1770 train_time:3538ms step_avg:110.55ms
step:33/1770 train_time:3645ms step_avg:110.44ms
step:34/1770 train_time:3753ms step_avg:110.39ms
step:35/1770 train_time:3859ms step_avg:110.26ms
step:36/1770 train_time:3966ms step_avg:110.16ms
step:37/1770 train_time:4072ms step_avg:110.04ms
step:38/1770 train_time:4179ms step_avg:109.97ms
step:39/1770 train_time:4285ms step_avg:109.87ms
step:40/1770 train_time:4390ms step_avg:109.76ms
step:41/1770 train_time:4497ms step_avg:109.69ms
