logs/d549c950-5f0d-4c63-a75c-6d3e0e33076a.txt
begin training
  2%|▏         | 31/1771 [00:03<03:04,  9.42it/s]
step:1/1770 train_time:259ms step_avg:259.21ms
step:2/1770 train_time:351ms step_avg:175.34ms
step:3/1770 train_time:456ms step_avg:152.11ms
step:4/1770 train_time:563ms step_avg:140.64ms
step:5/1770 train_time:669ms step_avg:133.73ms
step:6/1770 train_time:774ms step_avg:128.96ms
step:7/1770 train_time:881ms step_avg:125.87ms
step:8/1770 train_time:986ms step_avg:123.24ms
step:9/1770 train_time:1097ms step_avg:121.87ms
step:10/1770 train_time:1201ms step_avg:120.06ms
step:11/1770 train_time:1307ms step_avg:118.81ms
step:12/1770 train_time:1414ms step_avg:117.80ms
step:13/1770 train_time:1518ms step_avg:116.74ms
step:14/1770 train_time:1625ms step_avg:116.05ms
step:15/1770 train_time:1730ms step_avg:115.34ms
step:16/1770 train_time:1837ms step_avg:114.84ms
step:17/1770 train_time:1945ms step_avg:114.39ms
step:18/1770 train_time:2050ms step_avg:113.87ms
step:19/1770 train_time:2157ms step_avg:113.52ms
step:20/1770 train_time:2262ms step_avg:113.11ms
step:21/1770 train_time:2370ms step_avg:112.84ms
step:22/1770 train_time:2476ms step_avg:112.56ms
step:23/1770 train_time:2582ms step_avg:112.28ms
step:24/1770 train_time:2689ms step_avg:112.05ms
step:25/1770 train_time:2790ms step_avg:111.61ms
step:26/1770 train_time:2901ms step_avg:111.60ms
step:27/1770 train_time:3009ms step_avg:111.44ms
step:28/1770 train_time:3117ms step_avg:111.33ms
step:29/1770 train_time:3221ms step_avg:111.06ms
step:30/1770 train_time:3328ms step_avg:110.92ms
step:31/1770 train_time:3433ms step_avg:110.75ms
step:32/1770 train_time:3540ms step_avg:110.64ms
step:33/1770 train_time:3645ms step_avg:110.47ms
step:34/1770 train_time:3753ms step_avg:110.38ms
step:35/1770 train_time:3859ms step_avg:110.25ms
step:36/1770 train_time:3965ms step_avg:110.14ms
step:37/1770 train_time:4070ms step_avg:110.00ms
step:38/1770 train_time:4178ms step_avg:109.94ms
step:39/1770 train_time:4285ms step_avg:109.86ms
step:40/1770 train_time:4390ms step_avg:109.74ms
step:41/1770 train_time:4497ms step_avg:109.69ms
step:42/1770 train_time:4603ms step_avg:109.59ms
step:43/1770 train_time:4709ms step_avg:109.52ms
step:44/1770 train_time:4817ms step_avg:109.47ms
step:45/1770 train_time:4922ms step_avg:109.37ms
step:46/1770 train_time:5029ms step_avg:109.33ms
step:47/1770 train_time:5135ms step_avg:109.25ms
step:48/1770 train_time:5242ms step_avg:109.21ms
step:49/1770 train_time:5349ms step_avg:109.16ms
step:50/1770 train_time:5454ms step_avg:109.08ms
step:51/1770 train_time:5561ms step_avg:109.04ms
step:52/1770 train_time:5667ms step_avg:108.97ms
step:53/1770 train_time:5773ms step_avg:108.93ms
step:54/1770 train_time:5880ms step_avg:108.90ms
step:55/1770 train_time:5987ms step_avg:108.85ms
step:56/1770 train_time:6096ms step_avg:108.86ms
