logs/2aa2c82a-3a4c-4fec-9ed2-f73f0b5f50c2.txt
begin training
  2%|▏         | 31/1771 [00:03<03:05,  9.40it/s]
step:1/1770 train_time:257ms step_avg:256.63ms
step:2/1770 train_time:346ms step_avg:173.20ms
step:3/1770 train_time:453ms step_avg:151.12ms
step:4/1770 train_time:559ms step_avg:139.71ms
step:5/1770 train_time:666ms step_avg:133.20ms
step:6/1770 train_time:773ms step_avg:128.82ms
step:7/1770 train_time:880ms step_avg:125.75ms
step:8/1770 train_time:986ms step_avg:123.24ms
step:9/1770 train_time:1091ms step_avg:121.25ms
step:10/1770 train_time:1198ms step_avg:119.75ms
step:11/1770 train_time:1305ms step_avg:118.66ms
step:12/1770 train_time:1410ms step_avg:117.53ms
step:13/1770 train_time:1518ms step_avg:116.73ms
step:14/1770 train_time:1623ms step_avg:115.91ms
step:15/1770 train_time:1729ms step_avg:115.29ms
step:16/1770 train_time:1837ms step_avg:114.80ms
step:17/1770 train_time:1943ms step_avg:114.27ms
step:18/1770 train_time:2049ms step_avg:113.86ms
step:19/1770 train_time:2159ms step_avg:113.66ms
step:20/1770 train_time:2264ms step_avg:113.20ms
step:21/1770 train_time:2369ms step_avg:112.80ms
step:22/1770 train_time:2474ms step_avg:112.45ms
step:23/1770 train_time:2581ms step_avg:112.23ms
step:24/1770 train_time:2688ms step_avg:112.00ms
step:25/1770 train_time:2796ms step_avg:111.82ms
step:26/1770 train_time:2901ms step_avg:111.58ms
step:27/1770 train_time:3007ms step_avg:111.37ms
step:28/1770 train_time:3115ms step_avg:111.23ms
step:29/1770 train_time:3220ms step_avg:111.05ms
step:30/1770 train_time:3327ms step_avg:110.90ms
step:31/1770 train_time:3433ms step_avg:110.75ms
step:32/1770 train_time:3539ms step_avg:110.61ms
step:33/1770 train_time:3646ms step_avg:110.49ms
step:34/1770 train_time:3753ms step_avg:110.38ms
step:35/1770 train_time:3858ms step_avg:110.23ms
step:36/1770 train_time:3965ms step_avg:110.15ms
step:37/1770 train_time:4070ms step_avg:110.01ms
step:38/1770 train_time:4177ms step_avg:109.93ms
step:39/1770 train_time:4285ms step_avg:109.87ms
step:40/1770 train_time:4391ms step_avg:109.77ms
step:41/1770 train_time:4497ms step_avg:109.69ms
step:42/1770 train_time:4605ms step_avg:109.64ms
step:43/1770 train_time:4711ms step_avg:109.56ms
step:44/1770 train_time:4818ms step_avg:109.51ms
step:45/1770 train_time:4924ms step_avg:109.41ms
step:46/1770 train_time:5030ms step_avg:109.34ms
step:47/1770 train_time:5137ms step_avg:109.30ms
step:48/1770 train_time:5243ms step_avg:109.24ms
step:49/1770 train_time:5349ms step_avg:109.17ms
step:50/1770 train_time:5455ms step_avg:109.10ms
step:51/1770 train_time:5562ms step_avg:109.06ms
step:52/1770 train_time:5669ms step_avg:109.01ms
step:53/1770 train_time:5776ms step_avg:108.98ms
