logs/9f6d24fe-df8b-4718-bfbe-2a194869e84f.txt
begin training
  2%|▏         | 31/1771 [00:03<03:05,  9.40it/s]
step:1/1770 train_time:223ms step_avg:222.94ms
step:2/1770 train_time:312ms step_avg:156.07ms
step:3/1770 train_time:418ms step_avg:139.36ms
step:4/1770 train_time:525ms step_avg:131.23ms
step:5/1770 train_time:633ms step_avg:126.61ms
step:6/1770 train_time:739ms step_avg:123.09ms
step:7/1770 train_time:846ms step_avg:120.82ms
step:8/1770 train_time:953ms step_avg:119.07ms
step:9/1770 train_time:1058ms step_avg:117.61ms
step:10/1770 train_time:1165ms step_avg:116.53ms
step:11/1770 train_time:1270ms step_avg:115.49ms
step:12/1770 train_time:1378ms step_avg:114.82ms
step:13/1770 train_time:1483ms step_avg:114.05ms
step:14/1770 train_time:1591ms step_avg:113.62ms
step:15/1770 train_time:1697ms step_avg:113.11ms
step:16/1770 train_time:1805ms step_avg:112.80ms
step:17/1770 train_time:1910ms step_avg:112.35ms
step:18/1770 train_time:2015ms step_avg:111.95ms
step:19/1770 train_time:2123ms step_avg:111.72ms
step:20/1770 train_time:2233ms step_avg:111.65ms
step:21/1770 train_time:2337ms step_avg:111.26ms
step:22/1770 train_time:2442ms step_avg:111.02ms
step:23/1770 train_time:2547ms step_avg:110.75ms
step:24/1770 train_time:2655ms step_avg:110.63ms
step:25/1770 train_time:2762ms step_avg:110.47ms
step:26/1770 train_time:2871ms step_avg:110.42ms
step:27/1770 train_time:2975ms step_avg:110.18ms
step:28/1770 train_time:3079ms step_avg:109.97ms
step:29/1770 train_time:3187ms step_avg:109.88ms
step:30/1770 train_time:3294ms step_avg:109.80ms
step:31/1770 train_time:3400ms step_avg:109.68ms
step:32/1770 train_time:3507ms step_avg:109.59ms
step:33/1770 train_time:3614ms step_avg:109.52ms
step:34/1770 train_time:3723ms step_avg:109.49ms
step:35/1770 train_time:3827ms step_avg:109.33ms
step:36/1770 train_time:3933ms step_avg:109.24ms
step:37/1770 train_time:4038ms step_avg:109.14ms
step:38/1770 train_time:4146ms step_avg:109.10ms
step:39/1770 train_time:4252ms step_avg:109.02ms
step:40/1770 train_time:4358ms step_avg:108.95ms
step:41/1770 train_time:4463ms step_avg:108.85ms
step:42/1770 train_time:4571ms step_avg:108.83ms
