logs/94f6c90c-8bef-4dda-92f7-c63a869c1155.txt
begin training
  2%|▏         | 31/1771 [00:03<03:05,  9.37it/s]
step:1/1770 train_time:226ms step_avg:226.39ms
step:2/1770 train_time:322ms step_avg:161.08ms
step:3/1770 train_time:430ms step_avg:143.31ms
step:4/1770 train_time:535ms step_avg:133.82ms
step:5/1770 train_time:642ms step_avg:128.49ms
step:6/1770 train_time:747ms step_avg:124.58ms
step:7/1770 train_time:854ms step_avg:122.02ms
step:8/1770 train_time:958ms step_avg:119.73ms
step:9/1770 train_time:1067ms step_avg:118.60ms
step:10/1770 train_time:1173ms step_avg:117.34ms
step:11/1770 train_time:1277ms step_avg:116.11ms
step:12/1770 train_time:1386ms step_avg:115.47ms
step:13/1770 train_time:1492ms step_avg:114.77ms
step:14/1770 train_time:1602ms step_avg:114.40ms
step:15/1770 train_time:1707ms step_avg:113.83ms
step:16/1770 train_time:1812ms step_avg:113.22ms
step:17/1770 train_time:1916ms step_avg:112.73ms
step:18/1770 train_time:2023ms step_avg:112.37ms
step:19/1770 train_time:2131ms step_avg:112.15ms
step:20/1770 train_time:2240ms step_avg:111.99ms
step:21/1770 train_time:2341ms step_avg:111.50ms
step:22/1770 train_time:2448ms step_avg:111.29ms
step:23/1770 train_time:2554ms step_avg:111.02ms
step:24/1770 train_time:2662ms step_avg:110.91ms
step:25/1770 train_time:2769ms step_avg:110.76ms
step:26/1770 train_time:2873ms step_avg:110.50ms
step:27/1770 train_time:2982ms step_avg:110.43ms
step:28/1770 train_time:3088ms step_avg:110.29ms
step:29/1770 train_time:3193ms step_avg:110.09ms
step:30/1770 train_time:3300ms step_avg:110.01ms
step:31/1770 train_time:3408ms step_avg:109.93ms
step:32/1770 train_time:3515ms step_avg:109.83ms
step:33/1770 train_time:3620ms step_avg:109.71ms
step:34/1770 train_time:3726ms step_avg:109.59ms
step:35/1770 train_time:3833ms step_avg:109.52ms
step:36/1770 train_time:3939ms step_avg:109.42ms
step:37/1770 train_time:4046ms step_avg:109.35ms
step:38/1770 train_time:4151ms step_avg:109.24ms
step:39/1770 train_time:4250ms step_avg:108.99ms
step:40/1770 train_time:4358ms step_avg:108.94ms
step:41/1770 train_time:4467ms step_avg:108.95ms
step:42/1770 train_time:4573ms step_avg:108.89ms
step:43/1770 train_time:4683ms step_avg:108.90ms
step:44/1770 train_time:4793ms step_avg:108.93ms
step:45/1770 train_time:4897ms step_avg:108.83ms
step:46/1770 train_time:5004ms step_avg:108.79ms
step:47/1770 train_time:5110ms step_avg:108.72ms
step:48/1770 train_time:5219ms step_avg:108.73ms
step:49/1770 train_time:5323ms step_avg:108.64ms
step:50/1770 train_time:5430ms step_avg:108.60ms
step:51/1770 train_time:5536ms step_avg:108.55ms
step:52/1770 train_time:5643ms step_avg:108.51ms
step:53/1770 train_time:5750ms step_avg:108.49ms
step:54/1770 train_time:5854ms step_avg:108.42ms
step:55/1770 train_time:5962ms step_avg:108.40ms
step:56/1770 train_time:6067ms step_avg:108.34ms
step:57/1770 train_time:6179ms step_avg:108.40ms
step:58/1770 train_time:6282ms step_avg:108.31ms
step:59/1770 train_time:6386ms step_avg:108.24ms
step:60/1770 train_time:6494ms step_avg:108.23ms
step:61/1770 train_time:6599ms step_avg:108.18ms
step:62/1770 train_time:6706ms step_avg:108.17ms
step:63/1770 train_time:6811ms step_avg:108.11ms
step:64/1770 train_time:6920ms step_avg:108.13ms
step:65/1770 train_time:7025ms step_avg:108.08ms
step:66/1770 train_time:7130ms step_avg:108.04ms
step:67/1770 train_time:7238ms step_avg:108.03ms
step:68/1770 train_time:7347ms step_avg:108.04ms
step:69/1770 train_time:7450ms step_avg:107.97ms
step:70/1770 train_time:7558ms step_avg:107.98ms
step:71/1770 train_time:7663ms step_avg:107.92ms
step:72/1770 train_time:7770ms step_avg:107.92ms
step:73/1770 train_time:7878ms step_avg:107.91ms
step:74/1770 train_time:7983ms step_avg:107.88ms
step:75/1770 train_time:8090ms step_avg:107.86ms
step:76/1770 train_time:8195ms step_avg:107.83ms
step:77/1770 train_time:8302ms step_avg:107.82ms
step:78/1770 train_time:8410ms step_avg:107.81ms
step:79/1770 train_time:8516ms step_avg:107.80ms
step:80/1770 train_time:8622ms step_avg:107.77ms
step:81/1770 train_time:8726ms step_avg:107.73ms
step:82/1770 train_time:8833ms step_avg:107.72ms
step:83/1770 train_time:8941ms step_avg:107.72ms
step:84/1770 train_time:9047ms step_avg:107.70ms
step:85/1770 train_time:9154ms step_avg:107.70ms
step:86/1770 train_time:9260ms step_avg:107.67ms
step:87/1770 train_time:9367ms step_avg:107.67ms
step:88/1770 train_time:9474ms step_avg:107.66ms
step:89/1770 train_time:9579ms step_avg:107.63ms
step:90/1770 train_time:9686ms step_avg:107.62ms
step:91/1770 train_time:9791ms step_avg:107.59ms
step:92/1770 train_time:9899ms step_avg:107.60ms
step:93/1770 train_time:10005ms step_avg:107.58ms
step:94/1770 train_time:10115ms step_avg:107.60ms
step:95/1770 train_time:10217ms step_avg:107.55ms
step:96/1770 train_time:10324ms step_avg:107.54ms
step:97/1770 train_time:10430ms step_avg:107.53ms
step:98/1770 train_time:10537ms step_avg:107.52ms
step:99/1770 train_time:10643ms step_avg:107.50ms
step:100/1770 train_time:10749ms step_avg:107.49ms
step:101/1770 train_time:10855ms step_avg:107.47ms
step:102/1770 train_time:10964ms step_avg:107.49ms
step:103/1770 train_time:11069ms step_avg:107.47ms
step:104/1770 train_time:11175ms step_avg:107.45ms
step:105/1770 train_time:11282ms step_avg:107.45ms
step:106/1770 train_time:11388ms step_avg:107.44ms
step:107/1770 train_time:11495ms step_avg:107.43ms
step:108/1770 train_time:11602ms step_avg:107.42ms
step:109/1770 train_time:11708ms step_avg:107.41ms
step:110/1770 train_time:11813ms step_avg:107.39ms
step:111/1770 train_time:11919ms step_avg:107.38ms
step:112/1770 train_time:12027ms step_avg:107.38ms
step:113/1770 train_time:12133ms step_avg:107.37ms
step:114/1770 train_time:12238ms step_avg:107.35ms
step:115/1770 train_time:12346ms step_avg:107.36ms
step:116/1770 train_time:12452ms step_avg:107.34ms
step:117/1770 train_time:12558ms step_avg:107.34ms
step:118/1770 train_time:12665ms step_avg:107.33ms
step:119/1770 train_time:12770ms step_avg:107.31ms
step:120/1770 train_time:12877ms step_avg:107.31ms
step:121/1770 train_time:12983ms step_avg:107.30ms
step:122/1770 train_time:13091ms step_avg:107.31ms
step:123/1770 train_time:13197ms step_avg:107.29ms
step:124/1770 train_time:13304ms step_avg:107.29ms
step:125/1770 train_time:13410ms step_avg:107.28ms
step:126/1770 train_time:13516ms step_avg:107.27ms
step:127/1770 train_time:13622ms step_avg:107.26ms
step:128/1770 train_time:13729ms step_avg:107.26ms
step:129/1770 train_time:13836ms step_avg:107.25ms
step:130/1770 train_time:13946ms step_avg:107.28ms
step:131/1770 train_time:14047ms step_avg:107.23ms
step:132/1770 train_time:14154ms step_avg:107.23ms
step:133/1770 train_time:14261ms step_avg:107.23ms
step:134/1770 train_time:14366ms step_avg:107.21ms
step:135/1770 train_time:14474ms step_avg:107.21ms
step:136/1770 train_time:14581ms step_avg:107.21ms
step:137/1770 train_time:14688ms step_avg:107.21ms
step:138/1770 train_time:14793ms step_avg:107.20ms
step:139/1770 train_time:14898ms step_avg:107.18ms
step:140/1770 train_time:15006ms step_avg:107.18ms
step:141/1770 train_time:15114ms step_avg:107.19ms
step:142/1770 train_time:15219ms step_avg:107.17ms
step:143/1770 train_time:15326ms step_avg:107.18ms
step:144/1770 train_time:15434ms step_avg:107.18ms
step:145/1770 train_time:15539ms step_avg:107.16ms
step:146/1770 train_time:15646ms step_avg:107.16ms
step:147/1770 train_time:15751ms step_avg:107.15ms
step:148/1770 train_time:15858ms step_avg:107.15ms
step:149/1770 train_time:15965ms step_avg:107.15ms
