logs/39919f67-78c8-4f69-866d-462ff2512352.txt
begin training
  2%|▏         | 31/1771 [00:03<03:05,  9.39it/s]
step:1/1770 train_time:231ms step_avg:231.47ms
step:2/1770 train_time:329ms step_avg:164.60ms
step:3/1770 train_time:434ms step_avg:144.62ms
step:4/1770 train_time:541ms step_avg:135.22ms
step:5/1770 train_time:651ms step_avg:130.30ms
step:6/1770 train_time:755ms step_avg:125.84ms
step:7/1770 train_time:861ms step_avg:122.94ms
step:8/1770 train_time:966ms step_avg:120.69ms
step:9/1770 train_time:1073ms step_avg:119.18ms
step:10/1770 train_time:1178ms step_avg:117.79ms
step:11/1770 train_time:1285ms step_avg:116.84ms
step:12/1770 train_time:1392ms step_avg:116.01ms
step:13/1770 train_time:1497ms step_avg:115.17ms
step:14/1770 train_time:1605ms step_avg:114.65ms
step:15/1770 train_time:1711ms step_avg:114.07ms
step:16/1770 train_time:1818ms step_avg:113.62ms
step:17/1770 train_time:1925ms step_avg:113.23ms
step:18/1770 train_time:2029ms step_avg:112.74ms
step:19/1770 train_time:2142ms step_avg:112.71ms
step:20/1770 train_time:2243ms step_avg:112.14ms
step:21/1770 train_time:2349ms step_avg:111.85ms
step:22/1770 train_time:2454ms step_avg:111.52ms
step:23/1770 train_time:2563ms step_avg:111.42ms
step:24/1770 train_time:2669ms step_avg:111.20ms
step:25/1770 train_time:2769ms step_avg:110.77ms
step:26/1770 train_time:2880ms step_avg:110.78ms
step:27/1770 train_time:2985ms step_avg:110.57ms
step:28/1770 train_time:3093ms step_avg:110.47ms
step:29/1770 train_time:3200ms step_avg:110.36ms
step:30/1770 train_time:3305ms step_avg:110.18ms
step:31/1770 train_time:3412ms step_avg:110.07ms
step:32/1770 train_time:3519ms step_avg:109.95ms
step:33/1770 train_time:3627ms step_avg:109.91ms
step:34/1770 train_time:3731ms step_avg:109.74ms
step:35/1770 train_time:3838ms step_avg:109.66ms
step:36/1770 train_time:3937ms step_avg:109.35ms
step:37/1770 train_time:4043ms step_avg:109.28ms
step:38/1770 train_time:4153ms step_avg:109.29ms
step:39/1770 train_time:4264ms step_avg:109.33ms
step:40/1770 train_time:4370ms step_avg:109.26ms
step:41/1770 train_time:4469ms step_avg:109.00ms
step:42/1770 train_time:4582ms step_avg:109.11ms
step:43/1770 train_time:4690ms step_avg:109.06ms
step:44/1770 train_time:4795ms step_avg:108.98ms
step:45/1770 train_time:4900ms step_avg:108.88ms
step:46/1770 train_time:5007ms step_avg:108.85ms
step:47/1770 train_time:5112ms step_avg:108.77ms
step:48/1770 train_time:5219ms step_avg:108.74ms
step:49/1770 train_time:5328ms step_avg:108.73ms
step:50/1770 train_time:5432ms step_avg:108.64ms
step:51/1770 train_time:5540ms step_avg:108.62ms
step:52/1770 train_time:5647ms step_avg:108.59ms
step:53/1770 train_time:5754ms step_avg:108.56ms
step:54/1770 train_time:5859ms step_avg:108.50ms
step:55/1770 train_time:5963ms step_avg:108.43ms
step:56/1770 train_time:6074ms step_avg:108.46ms
step:57/1770 train_time:6179ms step_avg:108.40ms
step:58/1770 train_time:6285ms step_avg:108.36ms
step:59/1770 train_time:6390ms step_avg:108.31ms
step:60/1770 train_time:6495ms step_avg:108.26ms
step:61/1770 train_time:6599ms step_avg:108.17ms
step:62/1770 train_time:6712ms step_avg:108.26ms
step:63/1770 train_time:6817ms step_avg:108.21ms
step:64/1770 train_time:6924ms step_avg:108.19ms
step:65/1770 train_time:7029ms step_avg:108.14ms
step:66/1770 train_time:7136ms step_avg:108.13ms
step:67/1770 train_time:7242ms step_avg:108.09ms
step:68/1770 train_time:7349ms step_avg:108.07ms
step:69/1770 train_time:7456ms step_avg:108.06ms
step:70/1770 train_time:7561ms step_avg:108.02ms
step:71/1770 train_time:7669ms step_avg:108.01ms
step:72/1770 train_time:7776ms step_avg:108.00ms
step:73/1770 train_time:7881ms step_avg:107.96ms
step:74/1770 train_time:7987ms step_avg:107.93ms
step:75/1770 train_time:8093ms step_avg:107.90ms
step:76/1770 train_time:8201ms step_avg:107.90ms
step:77/1770 train_time:8306ms step_avg:107.87ms
step:78/1770 train_time:8414ms step_avg:107.88ms
