logs/f1c5a384-b432-400a-aa4d-74a54712d744.txt
begin training
  2%|▏         | 31/1771 [00:03<03:06,  9.35it/s]
step:1/1770 train_time:245ms step_avg:244.53ms
step:2/1770 train_time:355ms step_avg:177.63ms
step:3/1770 train_time:458ms step_avg:152.64ms
step:4/1770 train_time:567ms step_avg:141.71ms
step:5/1770 train_time:675ms step_avg:134.91ms
step:6/1770 train_time:783ms step_avg:130.42ms
step:7/1770 train_time:887ms step_avg:126.77ms
step:8/1770 train_time:989ms step_avg:123.61ms
step:9/1770 train_time:1100ms step_avg:122.24ms
step:10/1770 train_time:1208ms step_avg:120.75ms
step:11/1770 train_time:1309ms step_avg:119.04ms
step:12/1770 train_time:1422ms step_avg:118.50ms
step:13/1770 train_time:1524ms step_avg:117.24ms
step:14/1770 train_time:1634ms step_avg:116.73ms
step:15/1770 train_time:1740ms step_avg:115.97ms
step:16/1770 train_time:1847ms step_avg:115.44ms
step:17/1770 train_time:1952ms step_avg:114.81ms
step:18/1770 train_time:2063ms step_avg:114.59ms
step:19/1770 train_time:2172ms step_avg:114.33ms
step:20/1770 train_time:2272ms step_avg:113.59ms
step:21/1770 train_time:2380ms step_avg:113.34ms
step:22/1770 train_time:2487ms step_avg:113.04ms
step:23/1770 train_time:2591ms step_avg:112.66ms
step:24/1770 train_time:2693ms step_avg:112.19ms
step:25/1770 train_time:2806ms step_avg:112.23ms
step:26/1770 train_time:2912ms step_avg:111.99ms
step:27/1770 train_time:3019ms step_avg:111.80ms
step:28/1770 train_time:3123ms step_avg:111.54ms
step:29/1770 train_time:3230ms step_avg:111.39ms
step:30/1770 train_time:3333ms step_avg:111.12ms
step:31/1770 train_time:3444ms step_avg:111.09ms
step:32/1770 train_time:3551ms step_avg:110.98ms
step:33/1770 train_time:3654ms step_avg:110.74ms
step:34/1770 train_time:3763ms step_avg:110.69ms
step:35/1770 train_time:3871ms step_avg:110.61ms
step:36/1770 train_time:3975ms step_avg:110.43ms
step:37/1770 train_time:4082ms step_avg:110.32ms
step:38/1770 train_time:4190ms step_avg:110.26ms
step:39/1770 train_time:4296ms step_avg:110.16ms
step:40/1770 train_time:4404ms step_avg:110.11ms
step:41/1770 train_time:4509ms step_avg:109.98ms
step:42/1770 train_time:4616ms step_avg:109.89ms
step:43/1770 train_time:4723ms step_avg:109.83ms
step:44/1770 train_time:4830ms step_avg:109.77ms
step:45/1770 train_time:4936ms step_avg:109.68ms
step:46/1770 train_time:5043ms step_avg:109.63ms
step:47/1770 train_time:5147ms step_avg:109.52ms
step:48/1770 train_time:5255ms step_avg:109.47ms
step:49/1770 train_time:5362ms step_avg:109.43ms
step:50/1770 train_time:5468ms step_avg:109.37ms
step:51/1770 train_time:5576ms step_avg:109.34ms
step:52/1770 train_time:5682ms step_avg:109.27ms
step:53/1770 train_time:5787ms step_avg:109.19ms
step:54/1770 train_time:5895ms step_avg:109.17ms
step:55/1770 train_time:6002ms step_avg:109.13ms
