logs/5aec2d49-f34e-4491-97dc-68e13ced8c3c.txt
begin training
  2%|▏         | 31/1771 [00:03<03:06,  9.33it/s]
step:1/1770 train_time:202ms step_avg:201.53ms
step:2/1770 train_time:335ms step_avg:167.33ms
step:3/1770 train_time:441ms step_avg:146.87ms
step:4/1770 train_time:548ms step_avg:137.05ms
step:5/1770 train_time:651ms step_avg:130.26ms
step:6/1770 train_time:754ms step_avg:125.74ms
step:7/1770 train_time:860ms step_avg:122.92ms
step:8/1770 train_time:969ms step_avg:121.10ms
step:9/1770 train_time:1073ms step_avg:119.18ms
step:10/1770 train_time:1179ms step_avg:117.89ms
step:11/1770 train_time:1286ms step_avg:116.93ms
step:12/1770 train_time:1393ms step_avg:116.05ms
step:13/1770 train_time:1499ms step_avg:115.31ms
step:14/1770 train_time:1605ms step_avg:114.66ms
step:15/1770 train_time:1711ms step_avg:114.10ms
step:16/1770 train_time:1819ms step_avg:113.67ms
step:17/1770 train_time:1925ms step_avg:113.25ms
step:18/1770 train_time:2032ms step_avg:112.89ms
step:19/1770 train_time:2145ms step_avg:112.88ms
step:20/1770 train_time:2245ms step_avg:112.25ms
step:21/1770 train_time:2351ms step_avg:111.97ms
step:22/1770 train_time:2458ms step_avg:111.71ms
step:23/1770 train_time:2564ms step_avg:111.48ms
step:24/1770 train_time:2672ms step_avg:111.32ms
step:25/1770 train_time:2780ms step_avg:111.20ms
step:26/1770 train_time:2884ms step_avg:110.93ms
step:27/1770 train_time:2991ms step_avg:110.78ms
step:28/1770 train_time:3097ms step_avg:110.60ms
step:29/1770 train_time:3210ms step_avg:110.70ms
step:30/1770 train_time:3317ms step_avg:110.55ms
step:31/1770 train_time:3423ms step_avg:110.40ms
step:32/1770 train_time:3528ms step_avg:110.24ms
step:33/1770 train_time:3636ms step_avg:110.19ms
step:34/1770 train_time:3743ms step_avg:110.08ms
step:35/1770 train_time:3847ms step_avg:109.92ms
step:36/1770 train_time:3957ms step_avg:109.92ms
step:37/1770 train_time:4062ms step_avg:109.79ms
step:38/1770 train_time:4167ms step_avg:109.66ms
step:39/1770 train_time:4275ms step_avg:109.62ms
step:40/1770 train_time:4384ms step_avg:109.59ms
step:41/1770 train_time:4488ms step_avg:109.46ms
step:42/1770 train_time:4597ms step_avg:109.45ms
step:43/1770 train_time:4702ms step_avg:109.35ms
step:44/1770 train_time:4810ms step_avg:109.33ms
step:45/1770 train_time:4916ms step_avg:109.24ms
step:46/1770 train_time:5014ms step_avg:109.01ms
step:47/1770 train_time:5129ms step_avg:109.13ms
step:48/1770 train_time:5235ms step_avg:109.07ms
step:49/1770 train_time:5338ms step_avg:108.94ms
step:50/1770 train_time:5441ms step_avg:108.82ms
step:51/1770 train_time:5547ms step_avg:108.77ms
step:52/1770 train_time:5654ms step_avg:108.73ms
step:53/1770 train_time:5761ms step_avg:108.70ms
step:54/1770 train_time:5867ms step_avg:108.65ms
step:55/1770 train_time:5974ms step_avg:108.61ms
step:56/1770 train_time:6088ms step_avg:108.72ms
step:57/1770 train_time:6188ms step_avg:108.57ms
step:58/1770 train_time:6293ms step_avg:108.51ms
step:59/1770 train_time:6399ms step_avg:108.46ms
step:60/1770 train_time:6507ms step_avg:108.44ms
step:61/1770 train_time:6613ms step_avg:108.41ms
step:62/1770 train_time:6720ms step_avg:108.39ms
step:63/1770 train_time:6826ms step_avg:108.35ms
step:64/1770 train_time:6932ms step_avg:108.32ms
step:65/1770 train_time:7039ms step_avg:108.29ms
step:66/1770 train_time:7145ms step_avg:108.26ms
step:67/1770 train_time:7252ms step_avg:108.24ms
step:68/1770 train_time:7359ms step_avg:108.22ms
step:69/1770 train_time:7466ms step_avg:108.20ms
step:70/1770 train_time:7571ms step_avg:108.16ms
step:71/1770 train_time:7678ms step_avg:108.14ms
step:72/1770 train_time:7785ms step_avg:108.13ms
step:73/1770 train_time:7891ms step_avg:108.10ms
step:74/1770 train_time:7998ms step_avg:108.08ms
step:75/1770 train_time:8104ms step_avg:108.05ms
step:76/1770 train_time:8210ms step_avg:108.03ms
step:77/1770 train_time:8318ms step_avg:108.03ms
step:78/1770 train_time:8425ms step_avg:108.01ms
step:79/1770 train_time:8534ms step_avg:108.02ms
step:80/1770 train_time:8637ms step_avg:107.96ms
step:81/1770 train_time:8744ms step_avg:107.95ms
step:82/1770 train_time:8850ms step_avg:107.93ms
step:83/1770 train_time:8957ms step_avg:107.92ms
step:84/1770 train_time:9063ms step_avg:107.89ms
step:85/1770 train_time:9170ms step_avg:107.88ms
step:86/1770 train_time:9277ms step_avg:107.87ms
step:87/1770 train_time:9383ms step_avg:107.85ms
step:88/1770 train_time:9499ms step_avg:107.95ms
step:89/1770 train_time:9604ms step_avg:107.91ms
step:90/1770 train_time:9709ms step_avg:107.88ms
step:91/1770 train_time:9818ms step_avg:107.90ms
step:92/1770 train_time:9921ms step_avg:107.84ms
step:93/1770 train_time:10034ms step_avg:107.89ms
step:94/1770 train_time:10137ms step_avg:107.84ms
step:95/1770 train_time:10244ms step_avg:107.84ms
step:96/1770 train_time:10349ms step_avg:107.80ms
step:97/1770 train_time:10456ms step_avg:107.79ms
step:98/1770 train_time:10562ms step_avg:107.78ms
step:99/1770 train_time:10668ms step_avg:107.76ms
step:100/1770 train_time:10774ms step_avg:107.74ms
step:101/1770 train_time:10882ms step_avg:107.74ms
step:102/1770 train_time:10987ms step_avg:107.72ms
step:103/1770 train_time:11093ms step_avg:107.70ms
step:104/1770 train_time:11200ms step_avg:107.69ms
step:105/1770 train_time:11308ms step_avg:107.70ms
step:106/1770 train_time:11413ms step_avg:107.67ms
step:107/1770 train_time:11520ms step_avg:107.67ms
step:108/1770 train_time:11628ms step_avg:107.66ms
step:109/1770 train_time:11733ms step_avg:107.64ms
step:110/1770 train_time:11840ms step_avg:107.64ms
step:111/1770 train_time:11948ms step_avg:107.64ms
step:112/1770 train_time:12054ms step_avg:107.62ms
step:113/1770 train_time:12159ms step_avg:107.61ms
step:114/1770 train_time:12266ms step_avg:107.60ms
step:115/1770 train_time:12374ms step_avg:107.60ms
step:116/1770 train_time:12480ms step_avg:107.58ms
step:117/1770 train_time:12586ms step_avg:107.58ms
step:118/1770 train_time:12694ms step_avg:107.57ms
step:119/1770 train_time:12800ms step_avg:107.56ms
step:120/1770 train_time:12905ms step_avg:107.54ms
step:121/1770 train_time:13013ms step_avg:107.55ms
step:122/1770 train_time:13120ms step_avg:107.54ms
step:123/1770 train_time:13225ms step_avg:107.52ms
step:124/1770 train_time:13332ms step_avg:107.52ms
step:125/1770 train_time:13438ms step_avg:107.50ms
step:126/1770 train_time:13546ms step_avg:107.51ms
step:127/1770 train_time:13652ms step_avg:107.50ms
step:128/1770 train_time:13758ms step_avg:107.48ms
step:129/1770 train_time:13867ms step_avg:107.50ms
step:130/1770 train_time:13978ms step_avg:107.52ms
step:131/1770 train_time:14078ms step_avg:107.46ms
step:132/1770 train_time:14185ms step_avg:107.46ms
step:133/1770 train_time:14292ms step_avg:107.46ms
step:134/1770 train_time:14397ms step_avg:107.44ms
step:135/1770 train_time:14504ms step_avg:107.44ms
step:136/1770 train_time:14609ms step_avg:107.42ms
step:137/1770 train_time:14717ms step_avg:107.42ms
step:138/1770 train_time:14824ms step_avg:107.42ms
step:139/1770 train_time:14929ms step_avg:107.41ms
step:140/1770 train_time:15036ms step_avg:107.40ms
step:141/1770 train_time:15143ms step_avg:107.40ms
step:142/1770 train_time:15250ms step_avg:107.39ms
step:143/1770 train_time:15358ms step_avg:107.40ms
step:144/1770 train_time:15464ms step_avg:107.39ms
step:145/1770 train_time:15569ms step_avg:107.37ms
step:146/1770 train_time:15671ms step_avg:107.34ms
step:147/1770 train_time:15785ms step_avg:107.38ms
step:148/1770 train_time:15891ms step_avg:107.37ms
step:149/1770 train_time:15997ms step_avg:107.36ms
step:150/1770 train_time:16104ms step_avg:107.36ms
step:151/1770 train_time:16210ms step_avg:107.35ms
step:152/1770 train_time:16318ms step_avg:107.36ms
step:153/1770 train_time:16424ms step_avg:107.35ms
step:154/1770 train_time:16530ms step_avg:107.34ms
step:155/1770 train_time:16638ms step_avg:107.34ms
step:156/1770 train_time:16742ms step_avg:107.32ms
step:157/1770 train_time:16851ms step_avg:107.33ms
step:158/1770 train_time:16959ms step_avg:107.34ms
step:159/1770 train_time:17066ms step_avg:107.33ms
step:160/1770 train_time:17171ms step_avg:107.32ms
step:161/1770 train_time:17280ms step_avg:107.33ms
step:162/1770 train_time:17386ms step_avg:107.32ms
step:163/1770 train_time:17491ms step_avg:107.31ms
step:164/1770 train_time:17599ms step_avg:107.31ms
step:165/1770 train_time:17706ms step_avg:107.31ms
step:166/1770 train_time:17812ms step_avg:107.30ms
step:167/1770 train_time:17923ms step_avg:107.32ms
step:168/1770 train_time:18026ms step_avg:107.30ms
step:169/1770 train_time:18131ms step_avg:107.28ms
step:170/1770 train_time:18238ms step_avg:107.28ms
step:171/1770 train_time:18346ms step_avg:107.29ms
step:172/1770 train_time:18451ms step_avg:107.28ms
step:173/1770 train_time:18558ms step_avg:107.27ms
step:174/1770 train_time:18663ms step_avg:107.26ms
step:175/1770 train_time:18771ms step_avg:107.26ms
step:176/1770 train_time:18878ms step_avg:107.26ms
step:177/1770 train_time:18986ms step_avg:107.26ms
step:178/1770 train_time:19092ms step_avg:107.26ms
step:179/1770 train_time:19198ms step_avg:107.25ms
step:180/1770 train_time:19304ms step_avg:107.24ms
step:181/1770 train_time:19412ms step_avg:107.25ms
step:182/1770 train_time:19518ms step_avg:107.24ms
step:183/1770 train_time:19626ms step_avg:107.24ms
step:184/1770 train_time:19732ms step_avg:107.24ms
step:185/1770 train_time:19838ms step_avg:107.23ms
step:186/1770 train_time:19944ms step_avg:107.22ms
step:187/1770 train_time:20051ms step_avg:107.22ms
step:188/1770 train_time:20160ms step_avg:107.24ms
step:189/1770 train_time:20261ms step_avg:107.20ms
step:190/1770 train_time:20370ms step_avg:107.21ms
step:191/1770 train_time:20478ms step_avg:107.21ms
step:192/1770 train_time:20582ms step_avg:107.20ms
step:193/1770 train_time:20692ms step_avg:107.21ms
step:194/1770 train_time:20797ms step_avg:107.20ms
step:195/1770 train_time:20904ms step_avg:107.20ms
step:196/1770 train_time:21011ms step_avg:107.20ms
step:197/1770 train_time:21118ms step_avg:107.20ms
step:198/1770 train_time:21222ms step_avg:107.18ms
step:199/1770 train_time:21333ms step_avg:107.20ms
step:200/1770 train_time:21439ms step_avg:107.19ms
step:201/1770 train_time:21544ms step_avg:107.18ms
step:202/1770 train_time:21653ms step_avg:107.19ms
step:203/1770 train_time:21763ms step_avg:107.21ms
step:204/1770 train_time:21864ms step_avg:107.18ms
step:205/1770 train_time:21971ms step_avg:107.18ms
step:206/1770 train_time:22078ms step_avg:107.17ms
step:207/1770 train_time:22183ms step_avg:107.16ms
step:208/1770 train_time:22291ms step_avg:107.17ms
step:209/1770 train_time:22398ms step_avg:107.17ms
step:210/1770 train_time:22503ms step_avg:107.16ms
step:211/1770 train_time:22612ms step_avg:107.17ms
step:212/1770 train_time:22718ms step_avg:107.16ms
step:213/1770 train_time:22823ms step_avg:107.15ms
step:214/1770 train_time:22931ms step_avg:107.16ms
step:215/1770 train_time:23038ms step_avg:107.15ms
step:216/1770 train_time:23144ms step_avg:107.15ms
step:217/1770 train_time:23249ms step_avg:107.14ms
step:218/1770 train_time:23356ms step_avg:107.14ms
step:219/1770 train_time:23463ms step_avg:107.14ms
step:220/1770 train_time:23570ms step_avg:107.14ms
step:221/1770 train_time:23676ms step_avg:107.13ms
step:222/1770 train_time:23782ms step_avg:107.13ms
step:223/1770 train_time:23890ms step_avg:107.13ms
step:224/1770 train_time:23996ms step_avg:107.13ms
step:225/1770 train_time:24101ms step_avg:107.12ms
step:226/1770 train_time:24210ms step_avg:107.12ms
step:227/1770 train_time:24316ms step_avg:107.12ms
step:228/1770 train_time:24424ms step_avg:107.12ms
step:229/1770 train_time:24529ms step_avg:107.11ms
step:230/1770 train_time:24636ms step_avg:107.11ms
step:231/1770 train_time:24742ms step_avg:107.11ms
step:232/1770 train_time:24851ms step_avg:107.12ms
step:233/1770 train_time:24956ms step_avg:107.11ms
step:234/1770 train_time:25063ms step_avg:107.11ms
step:235/1770 train_time:25171ms step_avg:107.11ms
step:236/1770 train_time:25276ms step_avg:107.10ms
step:237/1770 train_time:25382ms step_avg:107.10ms
step:238/1770 train_time:25489ms step_avg:107.10ms
step:239/1770 train_time:25596ms step_avg:107.09ms
step:240/1770 train_time:25707ms step_avg:107.11ms
step:241/1770 train_time:25810ms step_avg:107.10ms
step:242/1770 train_time:25915ms step_avg:107.09ms
step:243/1770 train_time:26021ms step_avg:107.08ms
step:244/1770 train_time:26128ms step_avg:107.08ms
step:245/1770 train_time:26235ms step_avg:107.08ms
step:246/1770 train_time:26341ms step_avg:107.08ms
step:247/1770 train_time:26448ms step_avg:107.08ms
step:248/1770 train_time:26556ms step_avg:107.08ms
step:249/1770 train_time:26661ms step_avg:107.07ms
step:250/1770 train_time:26769ms step_avg:107.08ms
step:251/1770 train_time:26876ms step_avg:107.08ms
step:252/1770 train_time:26983ms step_avg:107.08ms
step:253/1770 train_time:27090ms step_avg:107.07ms
step:254/1770 train_time:27196ms step_avg:107.07ms
step:255/1770 train_time:27301ms step_avg:107.06ms
step:256/1770 train_time:27408ms step_avg:107.06ms
step:257/1770 train_time:27516ms step_avg:107.07ms
step:258/1770 train_time:27620ms step_avg:107.06ms
step:259/1770 train_time:27728ms step_avg:107.06ms
step:260/1770 train_time:27835ms step_avg:107.06ms
step:261/1770 train_time:27942ms step_avg:107.06ms
step:262/1770 train_time:28049ms step_avg:107.06ms
step:263/1770 train_time:28155ms step_avg:107.05ms
step:264/1770 train_time:28262ms step_avg:107.05ms
step:265/1770 train_time:28368ms step_avg:107.05ms
step:266/1770 train_time:28476ms step_avg:107.05ms
step:267/1770 train_time:28581ms step_avg:107.04ms
step:268/1770 train_time:28690ms step_avg:107.05ms
step:269/1770 train_time:28796ms step_avg:107.05ms
step:270/1770 train_time:28903ms step_avg:107.05ms
step:271/1770 train_time:29010ms step_avg:107.05ms
step:272/1770 train_time:29116ms step_avg:107.04ms
step:273/1770 train_time:29223ms step_avg:107.04ms
step:274/1770 train_time:29330ms step_avg:107.04ms
step:275/1770 train_time:29437ms step_avg:107.04ms
step:276/1770 train_time:29543ms step_avg:107.04ms
step:277/1770 train_time:29655ms step_avg:107.06ms
step:278/1770 train_time:29756ms step_avg:107.04ms
step:279/1770 train_time:29864ms step_avg:107.04ms
step:280/1770 train_time:29970ms step_avg:107.04ms
step:281/1770 train_time:30078ms step_avg:107.04ms
step:282/1770 train_time:30184ms step_avg:107.03ms
step:283/1770 train_time:30292ms step_avg:107.04ms
