logs/b07f75e3-b3a5-4b61-951b-65f850d2285a.txt
begin training
  2%|█▊                                                                                                   | 31/1771 [00:04<03:29,  8.29it/s]
step:1/1770 train_time:348ms step_avg:347.83ms
step:2/1770 train_time:467ms step_avg:233.39ms
step:3/1770 train_time:583ms step_avg:194.45ms
step:4/1770 train_time:703ms step_avg:175.81ms
step:5/1770 train_time:824ms step_avg:164.87ms
step:6/1770 train_time:948ms step_avg:158.00ms
step:7/1770 train_time:1072ms step_avg:153.17ms
step:8/1770 train_time:1189ms step_avg:148.66ms
step:9/1770 train_time:1316ms step_avg:146.24ms
step:10/1770 train_time:1440ms step_avg:143.96ms
step:11/1770 train_time:1561ms step_avg:141.93ms
step:12/1770 train_time:1689ms step_avg:140.74ms
step:13/1770 train_time:1804ms step_avg:138.76ms
step:14/1770 train_time:1923ms step_avg:137.32ms
step:15/1770 train_time:2041ms step_avg:136.07ms
step:16/1770 train_time:2168ms step_avg:135.48ms
step:17/1770 train_time:2294ms step_avg:134.93ms
step:18/1770 train_time:2413ms step_avg:134.08ms
step:19/1770 train_time:2535ms step_avg:133.41ms
step:20/1770 train_time:2669ms step_avg:133.45ms
step:21/1770 train_time:2793ms step_avg:132.99ms
step:22/1770 train_time:2925ms step_avg:132.93ms
step:23/1770 train_time:3057ms step_avg:132.90ms
step:24/1770 train_time:3190ms step_avg:132.92ms
step:25/1770 train_time:3310ms step_avg:132.39ms
step:26/1770 train_time:3431ms step_avg:131.96ms
step:27/1770 train_time:3547ms step_avg:131.37ms
step:28/1770 train_time:3662ms step_avg:130.80ms
step:29/1770 train_time:3782ms step_avg:130.42ms
step:30/1770 train_time:3911ms step_avg:130.35ms
step:31/1770 train_time:4027ms step_avg:129.89ms
step:32/1770 train_time:4146ms step_avg:129.55ms
step:33/1770 train_time:4266ms step_avg:129.27ms
step:34/1770 train_time:4394ms step_avg:129.24ms
step:35/1770 train_time:4524ms step_avg:129.25ms
step:36/1770 train_time:4655ms step_avg:129.30ms
step:37/1770 train_time:4786ms step_avg:129.36ms
step:38/1770 train_time:4923ms step_avg:129.54ms
step:39/1770 train_time:5054ms step_avg:129.59ms
step:40/1770 train_time:5184ms step_avg:129.59ms
step:41/1770 train_time:5318ms step_avg:129.72ms
step:42/1770 train_time:5447ms step_avg:129.68ms
step:43/1770 train_time:5582ms step_avg:129.81ms
step:44/1770 train_time:5721ms step_avg:130.02ms
step:45/1770 train_time:5853ms step_avg:130.07ms
step:46/1770 train_time:5981ms step_avg:130.02ms
step:47/1770 train_time:6104ms step_avg:129.88ms
step:48/1770 train_time:6226ms step_avg:129.70ms
step:49/1770 train_time:6357ms step_avg:129.73ms
step:50/1770 train_time:6483ms step_avg:129.66ms
step:51/1770 train_time:6616ms step_avg:129.73ms
step:52/1770 train_time:6748ms step_avg:129.77ms
step:53/1770 train_time:6888ms step_avg:129.97ms
step:54/1770 train_time:7019ms step_avg:129.98ms
step:55/1770 train_time:7151ms step_avg:130.02ms
step:56/1770 train_time:7287ms step_avg:130.12ms
step:57/1770 train_time:7416ms step_avg:130.11ms
step:58/1770 train_time:7547ms step_avg:130.11ms
step:59/1770 train_time:7675ms step_avg:130.08ms
step:60/1770 train_time:7805ms step_avg:130.08ms
