logs/ebff97ce-b824-4170-a05c-efe4ba46a128.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:17<03:44,  7.77it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:0.96ms
step:1/1770 train_time:190ms step_avg:189.89ms
step:2/1770 train_time:319ms step_avg:159.26ms
step:3/1770 train_time:445ms step_avg:148.40ms
step:4/1770 train_time:574ms step_avg:143.53ms
step:5/1770 train_time:705ms step_avg:141.02ms
step:6/1770 train_time:834ms step_avg:138.98ms
step:7/1770 train_time:964ms step_avg:137.71ms
step:8/1770 train_time:1100ms step_avg:137.53ms
step:9/1770 train_time:1229ms step_avg:136.59ms
step:10/1770 train_time:1357ms step_avg:135.66ms
step:11/1770 train_time:1484ms step_avg:134.87ms
step:12/1770 train_time:1610ms step_avg:134.15ms
step:13/1770 train_time:1744ms step_avg:134.14ms
step:14/1770 train_time:1873ms step_avg:133.79ms
step:15/1770 train_time:2005ms step_avg:133.69ms
step:16/1770 train_time:2134ms step_avg:133.38ms
step:17/1770 train_time:2268ms step_avg:133.42ms
step:18/1770 train_time:2399ms step_avg:133.29ms
step:19/1770 train_time:2529ms step_avg:133.12ms
step:20/1770 train_time:2655ms step_avg:132.77ms
step:21/1770 train_time:2784ms step_avg:132.59ms
step:22/1770 train_time:2913ms step_avg:132.40ms
step:23/1770 train_time:3038ms step_avg:132.08ms
step:24/1770 train_time:3171ms step_avg:132.12ms
step:25/1770 train_time:3296ms step_avg:131.86ms
step:26/1770 train_time:3425ms step_avg:131.73ms
step:27/1770 train_time:3552ms step_avg:131.56ms
step:28/1770 train_time:3681ms step_avg:131.47ms
step:29/1770 train_time:3804ms step_avg:131.19ms
step:30/1770 train_time:3937ms step_avg:131.25ms
step:31/1770 train_time:4069ms step_avg:131.25ms
step:32/1770 train_time:4192ms step_avg:131.01ms
step:33/1770 train_time:4317ms step_avg:130.82ms
step:34/1770 train_time:4440ms step_avg:130.59ms
step:35/1770 train_time:4569ms step_avg:130.53ms
step:36/1770 train_time:4692ms step_avg:130.33ms
step:37/1770 train_time:4818ms step_avg:130.21ms
step:38/1770 train_time:4946ms step_avg:130.15ms
step:39/1770 train_time:5078ms step_avg:130.22ms
step:40/1770 train_time:5206ms step_avg:130.14ms
step:41/1770 train_time:5341ms step_avg:130.27ms
step:42/1770 train_time:5464ms step_avg:130.10ms
step:43/1770 train_time:5592ms step_avg:130.05ms
step:44/1770 train_time:5714ms step_avg:129.86ms
step:45/1770 train_time:5838ms step_avg:129.73ms
step:46/1770 train_time:5964ms step_avg:129.65ms
step:47/1770 train_time:6088ms step_avg:129.53ms
step:48/1770 train_time:6216ms step_avg:129.51ms
step:49/1770 train_time:6345ms step_avg:129.48ms
step:50/1770 train_time:6473ms step_avg:129.45ms
step:50/1770 val_loss:8.2699 train_time:6474ms step_avg:129.49ms
step:51/1770 train_time:6606ms step_avg:129.54ms
step:52/1770 train_time:6735ms step_avg:129.51ms
step:53/1770 train_time:6864ms step_avg:129.50ms
step:54/1770 train_time:6988ms step_avg:129.42ms
step:55/1770 train_time:7122ms step_avg:129.48ms
step:56/1770 train_time:7252ms step_avg:129.50ms
step:57/1770 train_time:7377ms step_avg:129.42ms
step:58/1770 train_time:7504ms step_avg:129.38ms
step:59/1770 train_time:7631ms step_avg:129.33ms
step:60/1770 train_time:7760ms step_avg:129.33ms
step:61/1770 train_time:7884ms step_avg:129.25ms
step:62/1770 train_time:8011ms step_avg:129.21ms
step:63/1770 train_time:8137ms step_avg:129.16ms
step:64/1770 train_time:8262ms step_avg:129.10ms
step:65/1770 train_time:8392ms step_avg:129.10ms
step:66/1770 train_time:8525ms step_avg:129.17ms
step:67/1770 train_time:8654ms step_avg:129.16ms
step:68/1770 train_time:8779ms step_avg:129.11ms
step:69/1770 train_time:8906ms step_avg:129.07ms
step:70/1770 train_time:9036ms step_avg:129.09ms
step:71/1770 train_time:9158ms step_avg:128.98ms
step:72/1770 train_time:9289ms step_avg:129.02ms
step:73/1770 train_time:9415ms step_avg:128.98ms
step:74/1770 train_time:9544ms step_avg:128.98ms
step:75/1770 train_time:9676ms step_avg:129.01ms
step:76/1770 train_time:9802ms step_avg:128.97ms
step:77/1770 train_time:9931ms step_avg:128.98ms
step:78/1770 train_time:10062ms step_avg:129.00ms
step:79/1770 train_time:10192ms step_avg:129.01ms
step:80/1770 train_time:10321ms step_avg:129.02ms
step:81/1770 train_time:10446ms step_avg:128.97ms
step:82/1770 train_time:10571ms step_avg:128.92ms
step:83/1770 train_time:10698ms step_avg:128.89ms
step:84/1770 train_time:10821ms step_avg:128.83ms
step:85/1770 train_time:10944ms step_avg:128.76ms
step:86/1770 train_time:11072ms step_avg:128.74ms
step:87/1770 train_time:11199ms step_avg:128.72ms
step:88/1770 train_time:11325ms step_avg:128.69ms
step:89/1770 train_time:11445ms step_avg:128.60ms
step:90/1770 train_time:11579ms step_avg:128.65ms
step:91/1770 train_time:11704ms step_avg:128.61ms
step:92/1770 train_time:11832ms step_avg:128.61ms
step:93/1770 train_time:11962ms step_avg:128.63ms
step:94/1770 train_time:12083ms step_avg:128.55ms
step:95/1770 train_time:12204ms step_avg:128.47ms
step:96/1770 train_time:12330ms step_avg:128.44ms
step:97/1770 train_time:12456ms step_avg:128.42ms
step:98/1770 train_time:12585ms step_avg:128.42ms
step:99/1770 train_time:12706ms step_avg:128.35ms
step:100/1770 train_time:12831ms step_avg:128.31ms
step:100/1770 val_loss:7.1294 train_time:12833ms step_avg:128.33ms
step:101/1770 train_time:12963ms step_avg:128.35ms
step:102/1770 train_time:13085ms step_avg:128.28ms
step:103/1770 train_time:13217ms step_avg:128.32ms
step:104/1770 train_time:13343ms step_avg:128.30ms
step:105/1770 train_time:13473ms step_avg:128.31ms
step:106/1770 train_time:13603ms step_avg:128.33ms
step:107/1770 train_time:13733ms step_avg:128.34ms
step:108/1770 train_time:13859ms step_avg:128.33ms
step:109/1770 train_time:13998ms step_avg:128.42ms
step:110/1770 train_time:14135ms step_avg:128.50ms
step:111/1770 train_time:14272ms step_avg:128.58ms
step:112/1770 train_time:14403ms step_avg:128.60ms
step:113/1770 train_time:14532ms step_avg:128.60ms
step:114/1770 train_time:14670ms step_avg:128.69ms
step:115/1770 train_time:14803ms step_avg:128.73ms
step:116/1770 train_time:14940ms step_avg:128.79ms
step:117/1770 train_time:15069ms step_avg:128.79ms
step:118/1770 train_time:15203ms step_avg:128.83ms
step:119/1770 train_time:15330ms step_avg:128.83ms
step:120/1770 train_time:15468ms step_avg:128.90ms
step:121/1770 train_time:15602ms step_avg:128.94ms
step:122/1770 train_time:15742ms step_avg:129.03ms
step:123/1770 train_time:15878ms step_avg:129.09ms
step:124/1770 train_time:16008ms step_avg:129.10ms
step:125/1770 train_time:16142ms step_avg:129.13ms
step:126/1770 train_time:16274ms step_avg:129.16ms
step:127/1770 train_time:16406ms step_avg:129.18ms
