logs/21a8fc39-7a81-4b52-936b-7845f2d6c05d.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:17<03:53,  7.45it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:1.27ms
step:1/1770 train_time:191ms step_avg:190.74ms
step:2/1770 train_time:329ms step_avg:164.48ms
step:3/1770 train_time:469ms step_avg:156.36ms
step:4/1770 train_time:605ms step_avg:151.34ms
step:5/1770 train_time:740ms step_avg:147.95ms
step:6/1770 train_time:874ms step_avg:145.72ms
step:7/1770 train_time:1008ms step_avg:143.93ms
step:8/1770 train_time:1144ms step_avg:143.03ms
step:9/1770 train_time:1280ms step_avg:142.26ms
step:10/1770 train_time:1414ms step_avg:141.37ms
step:11/1770 train_time:1554ms step_avg:141.23ms
step:12/1770 train_time:1695ms step_avg:141.24ms
step:13/1770 train_time:1827ms step_avg:140.53ms
step:14/1770 train_time:1961ms step_avg:140.10ms
step:15/1770 train_time:2098ms step_avg:139.85ms
step:16/1770 train_time:2242ms step_avg:140.12ms
step:17/1770 train_time:2385ms step_avg:140.29ms
step:18/1770 train_time:2521ms step_avg:140.03ms
step:19/1770 train_time:2662ms step_avg:140.09ms
step:20/1770 train_time:2806ms step_avg:140.28ms
step:21/1770 train_time:2944ms step_avg:140.19ms
step:22/1770 train_time:3081ms step_avg:140.05ms
step:23/1770 train_time:3217ms step_avg:139.85ms
step:24/1770 train_time:3355ms step_avg:139.78ms
step:25/1770 train_time:3489ms step_avg:139.56ms
step:26/1770 train_time:3625ms step_avg:139.42ms
step:27/1770 train_time:3765ms step_avg:139.44ms
step:28/1770 train_time:3903ms step_avg:139.39ms
step:29/1770 train_time:4037ms step_avg:139.22ms
step:30/1770 train_time:4165ms step_avg:138.84ms
step:31/1770 train_time:4304ms step_avg:138.84ms
step:32/1770 train_time:4454ms step_avg:139.18ms
step:33/1770 train_time:4603ms step_avg:139.49ms
step:34/1770 train_time:4740ms step_avg:139.40ms
step:35/1770 train_time:4880ms step_avg:139.42ms
step:36/1770 train_time:5012ms step_avg:139.22ms
step:37/1770 train_time:5156ms step_avg:139.36ms
step:38/1770 train_time:5298ms step_avg:139.41ms
step:39/1770 train_time:5436ms step_avg:139.38ms
step:40/1770 train_time:5577ms step_avg:139.43ms
step:41/1770 train_time:5713ms step_avg:139.35ms
step:42/1770 train_time:5846ms step_avg:139.19ms
step:43/1770 train_time:5978ms step_avg:139.03ms
step:44/1770 train_time:6113ms step_avg:138.93ms
step:45/1770 train_time:6248ms step_avg:138.85ms
step:46/1770 train_time:6384ms step_avg:138.78ms
step:47/1770 train_time:6519ms step_avg:138.70ms
step:48/1770 train_time:6656ms step_avg:138.66ms
step:49/1770 train_time:6793ms step_avg:138.63ms
step:50/1770 train_time:6930ms step_avg:138.60ms
step:50/1770 val_loss:8.2285 train_time:6931ms step_avg:138.63ms
step:51/1770 train_time:7070ms step_avg:138.63ms
step:52/1770 train_time:7209ms step_avg:138.64ms
step:53/1770 train_time:7347ms step_avg:138.62ms
step:54/1770 train_time:7481ms step_avg:138.54ms
step:55/1770 train_time:7622ms step_avg:138.57ms
step:56/1770 train_time:7780ms step_avg:138.92ms
step:57/1770 train_time:7936ms step_avg:139.24ms
step:58/1770 train_time:8084ms step_avg:139.37ms
step:59/1770 train_time:8227ms step_avg:139.44ms
step:60/1770 train_time:8361ms step_avg:139.35ms
step:61/1770 train_time:8495ms step_avg:139.26ms
step:62/1770 train_time:8626ms step_avg:139.13ms
step:63/1770 train_time:8762ms step_avg:139.08ms
step:64/1770 train_time:8897ms step_avg:139.01ms
step:65/1770 train_time:9032ms step_avg:138.96ms
step:66/1770 train_time:9173ms step_avg:138.99ms
step:67/1770 train_time:9309ms step_avg:138.94ms
step:68/1770 train_time:9444ms step_avg:138.89ms
step:69/1770 train_time:9583ms step_avg:138.89ms
step:70/1770 train_time:9722ms step_avg:138.89ms
step:71/1770 train_time:9864ms step_avg:138.93ms
step:72/1770 train_time:10007ms step_avg:138.98ms
step:73/1770 train_time:10143ms step_avg:138.95ms
step:74/1770 train_time:10283ms step_avg:138.96ms
step:75/1770 train_time:10416ms step_avg:138.88ms
step:76/1770 train_time:10551ms step_avg:138.83ms
step:77/1770 train_time:10687ms step_avg:138.80ms
step:78/1770 train_time:10824ms step_avg:138.77ms
step:79/1770 train_time:10977ms step_avg:138.95ms
step:80/1770 train_time:11128ms step_avg:139.10ms
step:81/1770 train_time:11276ms step_avg:139.21ms
step:82/1770 train_time:11430ms step_avg:139.39ms
step:83/1770 train_time:11568ms step_avg:139.38ms
step:84/1770 train_time:11705ms step_avg:139.35ms
step:85/1770 train_time:11840ms step_avg:139.30ms
step:86/1770 train_time:11979ms step_avg:139.29ms
step:87/1770 train_time:12112ms step_avg:139.21ms
step:88/1770 train_time:12245ms step_avg:139.15ms
step:89/1770 train_time:12381ms step_avg:139.11ms
step:90/1770 train_time:12519ms step_avg:139.10ms
step:91/1770 train_time:12659ms step_avg:139.11ms
step:92/1770 train_time:12795ms step_avg:139.07ms
step:93/1770 train_time:12929ms step_avg:139.02ms
step:94/1770 train_time:13067ms step_avg:139.02ms
step:95/1770 train_time:13208ms step_avg:139.03ms
step:96/1770 train_time:13341ms step_avg:138.97ms
step:97/1770 train_time:13480ms step_avg:138.97ms
step:98/1770 train_time:13621ms step_avg:138.99ms
step:99/1770 train_time:13755ms step_avg:138.94ms
step:100/1770 train_time:13895ms step_avg:138.95ms
step:100/1770 val_loss:7.0967 train_time:13896ms step_avg:138.96ms
step:101/1770 train_time:14041ms step_avg:139.02ms
step:102/1770 train_time:14180ms step_avg:139.02ms
step:103/1770 train_time:14318ms step_avg:139.01ms
step:104/1770 train_time:14454ms step_avg:138.98ms
step:105/1770 train_time:14589ms step_avg:138.94ms
step:106/1770 train_time:14722ms step_avg:138.88ms
step:107/1770 train_time:14859ms step_avg:138.87ms
step:108/1770 train_time:14995ms step_avg:138.84ms
step:109/1770 train_time:15135ms step_avg:138.86ms
step:110/1770 train_time:15272ms step_avg:138.84ms
step:111/1770 train_time:15412ms step_avg:138.84ms
step:112/1770 train_time:15543ms step_avg:138.78ms
step:113/1770 train_time:15678ms step_avg:138.75ms
step:114/1770 train_time:15811ms step_avg:138.69ms
step:115/1770 train_time:15945ms step_avg:138.65ms
step:116/1770 train_time:16080ms step_avg:138.62ms
step:117/1770 train_time:16205ms step_avg:138.50ms
step:118/1770 train_time:16336ms step_avg:138.44ms
step:119/1770 train_time:16477ms step_avg:138.46ms
step:120/1770 train_time:16613ms step_avg:138.45ms
step:121/1770 train_time:16750ms step_avg:138.43ms
step:122/1770 train_time:16890ms step_avg:138.44ms
step:123/1770 train_time:17028ms step_avg:138.44ms
step:124/1770 train_time:17160ms step_avg:138.38ms
step:125/1770 train_time:17295ms step_avg:138.36ms
step:126/1770 train_time:17434ms step_avg:138.36ms
step:127/1770 train_time:17567ms step_avg:138.32ms
step:128/1770 train_time:17705ms step_avg:138.32ms
step:129/1770 train_time:17843ms step_avg:138.32ms
step:130/1770 train_time:17980ms step_avg:138.30ms
step:131/1770 train_time:18121ms step_avg:138.33ms
step:132/1770 train_time:18256ms step_avg:138.30ms
step:133/1770 train_time:18387ms step_avg:138.25ms
step:134/1770 train_time:18527ms step_avg:138.26ms
step:135/1770 train_time:18664ms step_avg:138.25ms
step:136/1770 train_time:18798ms step_avg:138.22ms
step:137/1770 train_time:18937ms step_avg:138.23ms
step:138/1770 train_time:19073ms step_avg:138.21ms
