logs/6e01a74f-8855-4b89-9e50-7cace84f72ac.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:17<03:41,  7.87it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:1.35ms
step:1/1770 train_time:188ms step_avg:188.05ms
step:2/1770 train_time:316ms step_avg:158.14ms
step:3/1770 train_time:442ms step_avg:147.41ms
step:4/1770 train_time:568ms step_avg:141.96ms
step:5/1770 train_time:702ms step_avg:140.42ms
step:6/1770 train_time:837ms step_avg:139.46ms
step:7/1770 train_time:967ms step_avg:138.14ms
step:8/1770 train_time:1094ms step_avg:136.75ms
step:9/1770 train_time:1215ms step_avg:135.05ms
step:10/1770 train_time:1339ms step_avg:133.86ms
step:11/1770 train_time:1465ms step_avg:133.16ms
step:12/1770 train_time:1593ms step_avg:132.72ms
step:13/1770 train_time:1720ms step_avg:132.34ms
step:14/1770 train_time:1850ms step_avg:132.12ms
step:15/1770 train_time:1975ms step_avg:131.66ms
step:16/1770 train_time:2101ms step_avg:131.34ms
step:17/1770 train_time:2231ms step_avg:131.25ms
step:18/1770 train_time:2369ms step_avg:131.60ms
step:19/1770 train_time:2503ms step_avg:131.75ms
step:20/1770 train_time:2626ms step_avg:131.32ms
step:21/1770 train_time:2752ms step_avg:131.04ms
step:22/1770 train_time:2883ms step_avg:131.05ms
step:23/1770 train_time:3010ms step_avg:130.88ms
step:24/1770 train_time:3139ms step_avg:130.79ms
step:25/1770 train_time:3265ms step_avg:130.61ms
step:26/1770 train_time:3391ms step_avg:130.42ms
step:27/1770 train_time:3519ms step_avg:130.35ms
step:28/1770 train_time:3646ms step_avg:130.20ms
step:29/1770 train_time:3773ms step_avg:130.12ms
step:30/1770 train_time:3899ms step_avg:129.98ms
step:31/1770 train_time:4032ms step_avg:130.07ms
step:32/1770 train_time:4158ms step_avg:129.95ms
step:33/1770 train_time:4287ms step_avg:129.90ms
step:34/1770 train_time:4413ms step_avg:129.80ms
step:35/1770 train_time:4536ms step_avg:129.59ms
step:36/1770 train_time:4669ms step_avg:129.70ms
step:37/1770 train_time:4798ms step_avg:129.67ms
step:38/1770 train_time:4921ms step_avg:129.51ms
step:39/1770 train_time:5054ms step_avg:129.59ms
step:40/1770 train_time:5180ms step_avg:129.50ms
step:41/1770 train_time:5308ms step_avg:129.47ms
step:42/1770 train_time:5433ms step_avg:129.37ms
step:43/1770 train_time:5557ms step_avg:129.24ms
step:44/1770 train_time:5685ms step_avg:129.22ms
step:45/1770 train_time:5810ms step_avg:129.12ms
step:46/1770 train_time:5933ms step_avg:128.98ms
step:47/1770 train_time:6061ms step_avg:128.97ms
step:48/1770 train_time:6184ms step_avg:128.83ms
step:49/1770 train_time:6309ms step_avg:128.76ms
