logs/e56ef584-965f-4c7e-9ad3-13ca3146ba2b.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:17<03:55,  7.40it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:1.17ms
step:1/1770 train_time:207ms step_avg:206.64ms
step:2/1770 train_time:343ms step_avg:171.49ms
step:3/1770 train_time:472ms step_avg:157.18ms
step:4/1770 train_time:613ms step_avg:153.19ms
step:5/1770 train_time:759ms step_avg:151.88ms
step:6/1770 train_time:897ms step_avg:149.49ms
step:7/1770 train_time:1031ms step_avg:147.32ms
step:8/1770 train_time:1168ms step_avg:145.95ms
step:9/1770 train_time:1305ms step_avg:144.97ms
step:10/1770 train_time:1442ms step_avg:144.24ms
step:11/1770 train_time:1577ms step_avg:143.33ms
step:12/1770 train_time:1711ms step_avg:142.62ms
step:13/1770 train_time:1848ms step_avg:142.19ms
step:14/1770 train_time:1987ms step_avg:141.96ms
step:15/1770 train_time:2117ms step_avg:141.14ms
step:16/1770 train_time:2251ms step_avg:140.66ms
step:17/1770 train_time:2380ms step_avg:139.99ms
step:18/1770 train_time:2510ms step_avg:139.44ms
step:19/1770 train_time:2645ms step_avg:139.21ms
step:20/1770 train_time:2775ms step_avg:138.73ms
step:21/1770 train_time:2911ms step_avg:138.62ms
step:22/1770 train_time:3048ms step_avg:138.56ms
step:23/1770 train_time:3182ms step_avg:138.36ms
step:24/1770 train_time:3314ms step_avg:138.07ms
step:25/1770 train_time:3449ms step_avg:137.95ms
step:26/1770 train_time:3580ms step_avg:137.68ms
step:27/1770 train_time:3707ms step_avg:137.31ms
step:28/1770 train_time:3840ms step_avg:137.14ms
step:29/1770 train_time:3980ms step_avg:137.23ms
step:30/1770 train_time:4117ms step_avg:137.22ms
step:31/1770 train_time:4255ms step_avg:137.26ms
step:32/1770 train_time:4385ms step_avg:137.04ms
step:33/1770 train_time:4520ms step_avg:136.98ms
step:34/1770 train_time:4656ms step_avg:136.93ms
step:35/1770 train_time:4790ms step_avg:136.86ms
step:36/1770 train_time:4922ms step_avg:136.72ms
step:37/1770 train_time:5052ms step_avg:136.54ms
step:38/1770 train_time:5188ms step_avg:136.53ms
step:39/1770 train_time:5322ms step_avg:136.46ms
step:40/1770 train_time:5461ms step_avg:136.52ms
step:41/1770 train_time:5593ms step_avg:136.41ms
step:42/1770 train_time:5725ms step_avg:136.31ms
step:43/1770 train_time:5860ms step_avg:136.28ms
step:44/1770 train_time:5985ms step_avg:136.02ms
step:45/1770 train_time:6125ms step_avg:136.12ms
step:46/1770 train_time:6258ms step_avg:136.05ms
step:47/1770 train_time:6387ms step_avg:135.90ms
step:48/1770 train_time:6521ms step_avg:135.85ms
step:49/1770 train_time:6655ms step_avg:135.81ms
step:50/1770 train_time:6788ms step_avg:135.75ms
step:50/1770 val_loss:8.2714 train_time:6791ms step_avg:135.81ms
step:51/1770 train_time:6912ms step_avg:135.53ms
step:52/1770 train_time:7043ms step_avg:135.45ms
step:53/1770 train_time:7175ms step_avg:135.37ms
step:54/1770 train_time:7304ms step_avg:135.27ms
step:55/1770 train_time:7430ms step_avg:135.10ms
step:56/1770 train_time:7553ms step_avg:134.87ms
step:57/1770 train_time:7673ms step_avg:134.62ms
step:58/1770 train_time:7803ms step_avg:134.53ms
step:59/1770 train_time:7923ms step_avg:134.29ms
step:60/1770 train_time:8043ms step_avg:134.05ms
step:61/1770 train_time:8166ms step_avg:133.87ms
step:62/1770 train_time:8295ms step_avg:133.79ms
step:63/1770 train_time:8420ms step_avg:133.66ms
step:64/1770 train_time:8548ms step_avg:133.56ms
step:65/1770 train_time:8673ms step_avg:133.42ms
step:66/1770 train_time:8797ms step_avg:133.29ms
step:67/1770 train_time:8923ms step_avg:133.17ms
step:68/1770 train_time:9053ms step_avg:133.13ms
step:69/1770 train_time:9179ms step_avg:133.03ms
step:70/1770 train_time:9307ms step_avg:132.95ms
step:71/1770 train_time:9434ms step_avg:132.87ms
step:72/1770 train_time:9554ms step_avg:132.69ms
step:73/1770 train_time:9676ms step_avg:132.55ms
step:74/1770 train_time:9808ms step_avg:132.54ms
step:75/1770 train_time:9930ms step_avg:132.40ms
step:76/1770 train_time:10056ms step_avg:132.31ms
step:77/1770 train_time:10178ms step_avg:132.18ms
step:78/1770 train_time:10306ms step_avg:132.12ms
step:79/1770 train_time:10424ms step_avg:131.95ms
step:80/1770 train_time:10545ms step_avg:131.81ms
step:81/1770 train_time:10670ms step_avg:131.73ms
step:82/1770 train_time:10793ms step_avg:131.62ms
step:83/1770 train_time:10915ms step_avg:131.50ms
step:84/1770 train_time:11040ms step_avg:131.43ms
step:85/1770 train_time:11163ms step_avg:131.33ms
step:86/1770 train_time:11289ms step_avg:131.27ms
step:87/1770 train_time:11411ms step_avg:131.17ms
step:88/1770 train_time:11534ms step_avg:131.07ms
step:89/1770 train_time:11658ms step_avg:130.99ms
step:90/1770 train_time:11781ms step_avg:130.90ms
step:91/1770 train_time:11902ms step_avg:130.79ms
step:92/1770 train_time:12031ms step_avg:130.77ms
step:93/1770 train_time:12153ms step_avg:130.68ms
step:94/1770 train_time:12268ms step_avg:130.52ms
step:95/1770 train_time:12390ms step_avg:130.42ms
step:96/1770 train_time:12512ms step_avg:130.33ms
step:97/1770 train_time:12636ms step_avg:130.27ms
step:98/1770 train_time:12754ms step_avg:130.14ms
step:99/1770 train_time:12879ms step_avg:130.09ms
step:100/1770 train_time:12999ms step_avg:129.99ms
step:100/1770 val_loss:7.1248 train_time:13000ms step_avg:130.00ms
step:101/1770 train_time:13129ms step_avg:129.99ms
step:102/1770 train_time:13248ms step_avg:129.88ms
step:103/1770 train_time:13380ms step_avg:129.90ms
step:104/1770 train_time:13503ms step_avg:129.83ms
step:105/1770 train_time:13628ms step_avg:129.79ms
step:106/1770 train_time:13758ms step_avg:129.79ms
step:107/1770 train_time:13884ms step_avg:129.75ms
step:108/1770 train_time:14001ms step_avg:129.64ms
step:109/1770 train_time:14128ms step_avg:129.62ms
step:110/1770 train_time:14254ms step_avg:129.58ms
step:111/1770 train_time:14379ms step_avg:129.54ms
step:112/1770 train_time:14503ms step_avg:129.49ms
step:113/1770 train_time:14624ms step_avg:129.41ms
step:114/1770 train_time:14742ms step_avg:129.32ms
step:115/1770 train_time:14863ms step_avg:129.24ms
step:116/1770 train_time:14987ms step_avg:129.20ms
step:117/1770 train_time:15108ms step_avg:129.13ms
step:118/1770 train_time:15229ms step_avg:129.06ms
step:119/1770 train_time:15351ms step_avg:129.00ms
step:120/1770 train_time:15473ms step_avg:128.94ms
step:121/1770 train_time:15594ms step_avg:128.87ms
step:122/1770 train_time:15722ms step_avg:128.87ms
step:123/1770 train_time:15844ms step_avg:128.81ms
step:124/1770 train_time:15967ms step_avg:128.77ms
step:125/1770 train_time:16099ms step_avg:128.79ms
step:126/1770 train_time:16221ms step_avg:128.74ms
step:127/1770 train_time:16346ms step_avg:128.71ms
step:128/1770 train_time:16469ms step_avg:128.67ms
step:129/1770 train_time:16601ms step_avg:128.69ms
step:130/1770 train_time:16721ms step_avg:128.62ms
step:131/1770 train_time:16840ms step_avg:128.55ms
step:132/1770 train_time:16969ms step_avg:128.55ms
step:133/1770 train_time:17088ms step_avg:128.48ms
step:134/1770 train_time:17209ms step_avg:128.42ms
