logs/3880df08-3ff4-4b67-b670-eb8a897e5e5e.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:17<03:36,  8.05it/s]
step:0/1770 val_loss:10.8258 train_time:2ms step_avg:1.54ms
step:1/1770 train_time:202ms step_avg:202.29ms
step:2/1770 train_time:328ms step_avg:164.09ms
step:3/1770 train_time:455ms step_avg:151.83ms
step:4/1770 train_time:576ms step_avg:144.12ms
step:5/1770 train_time:703ms step_avg:140.60ms
step:6/1770 train_time:825ms step_avg:137.46ms
step:7/1770 train_time:948ms step_avg:135.48ms
step:8/1770 train_time:1073ms step_avg:134.12ms
step:9/1770 train_time:1192ms step_avg:132.46ms
step:10/1770 train_time:1316ms step_avg:131.56ms
step:11/1770 train_time:1440ms step_avg:130.88ms
step:12/1770 train_time:1567ms step_avg:130.56ms
step:13/1770 train_time:1703ms step_avg:130.99ms
step:14/1770 train_time:1824ms step_avg:130.26ms
step:15/1770 train_time:1951ms step_avg:130.10ms
step:16/1770 train_time:2074ms step_avg:129.64ms
step:17/1770 train_time:2197ms step_avg:129.23ms
step:18/1770 train_time:2314ms step_avg:128.56ms
step:19/1770 train_time:2434ms step_avg:128.13ms
step:20/1770 train_time:2555ms step_avg:127.77ms
step:21/1770 train_time:2675ms step_avg:127.38ms
step:22/1770 train_time:2789ms step_avg:126.79ms
step:23/1770 train_time:2912ms step_avg:126.61ms
step:24/1770 train_time:3039ms step_avg:126.61ms
step:25/1770 train_time:3161ms step_avg:126.46ms
step:26/1770 train_time:3287ms step_avg:126.44ms
step:27/1770 train_time:3409ms step_avg:126.26ms
step:28/1770 train_time:3537ms step_avg:126.30ms
step:29/1770 train_time:3660ms step_avg:126.20ms
step:30/1770 train_time:3785ms step_avg:126.15ms
step:31/1770 train_time:3905ms step_avg:125.96ms
step:32/1770 train_time:4027ms step_avg:125.83ms
step:33/1770 train_time:4154ms step_avg:125.88ms
step:34/1770 train_time:4282ms step_avg:125.94ms
step:35/1770 train_time:4415ms step_avg:126.14ms
step:36/1770 train_time:4544ms step_avg:126.22ms
step:37/1770 train_time:4680ms step_avg:126.50ms
step:38/1770 train_time:4811ms step_avg:126.62ms
step:39/1770 train_time:4947ms step_avg:126.85ms
step:40/1770 train_time:5084ms step_avg:127.09ms
step:41/1770 train_time:5214ms step_avg:127.16ms
step:42/1770 train_time:5342ms step_avg:127.20ms
step:43/1770 train_time:5467ms step_avg:127.14ms
step:44/1770 train_time:5602ms step_avg:127.32ms
step:45/1770 train_time:5736ms step_avg:127.47ms
step:46/1770 train_time:5871ms step_avg:127.62ms
step:47/1770 train_time:6006ms step_avg:127.79ms
step:48/1770 train_time:6136ms step_avg:127.83ms
step:49/1770 train_time:6274ms step_avg:128.04ms
step:50/1770 train_time:6414ms step_avg:128.27ms
step:50/1770 val_loss:8.2242 train_time:6416ms step_avg:128.31ms
step:51/1770 train_time:6560ms step_avg:128.62ms
step:52/1770 train_time:6696ms step_avg:128.76ms
step:53/1770 train_time:6829ms step_avg:128.85ms
step:54/1770 train_time:6969ms step_avg:129.05ms
step:55/1770 train_time:7101ms step_avg:129.10ms
step:56/1770 train_time:7231ms step_avg:129.12ms
step:57/1770 train_time:7366ms step_avg:129.24ms
step:58/1770 train_time:7499ms step_avg:129.29ms
step:59/1770 train_time:7635ms step_avg:129.40ms
step:60/1770 train_time:7775ms step_avg:129.58ms
step:61/1770 train_time:7908ms step_avg:129.63ms
step:62/1770 train_time:8038ms step_avg:129.65ms
step:63/1770 train_time:8171ms step_avg:129.70ms
step:64/1770 train_time:8302ms step_avg:129.72ms
step:65/1770 train_time:8434ms step_avg:129.76ms
step:66/1770 train_time:8565ms step_avg:129.77ms
step:67/1770 train_time:8704ms step_avg:129.91ms
step:68/1770 train_time:8832ms step_avg:129.88ms
step:69/1770 train_time:8958ms step_avg:129.83ms
step:70/1770 train_time:9088ms step_avg:129.83ms
step:71/1770 train_time:9222ms step_avg:129.89ms
step:72/1770 train_time:9356ms step_avg:129.94ms
step:73/1770 train_time:9490ms step_avg:130.00ms
step:74/1770 train_time:9623ms step_avg:130.04ms
step:75/1770 train_time:9755ms step_avg:130.07ms
step:76/1770 train_time:9887ms step_avg:130.10ms
step:77/1770 train_time:10020ms step_avg:130.14ms
step:78/1770 train_time:10155ms step_avg:130.19ms
step:79/1770 train_time:10287ms step_avg:130.22ms
step:80/1770 train_time:10424ms step_avg:130.29ms
step:81/1770 train_time:10563ms step_avg:130.40ms
step:82/1770 train_time:10704ms step_avg:130.54ms
step:83/1770 train_time:10851ms step_avg:130.74ms
step:84/1770 train_time:10984ms step_avg:130.76ms
step:85/1770 train_time:11115ms step_avg:130.76ms
step:86/1770 train_time:11247ms step_avg:130.78ms
step:87/1770 train_time:11377ms step_avg:130.77ms
step:88/1770 train_time:11514ms step_avg:130.84ms
step:89/1770 train_time:11652ms step_avg:130.92ms
step:90/1770 train_time:11794ms step_avg:131.05ms
step:91/1770 train_time:11925ms step_avg:131.04ms
step:92/1770 train_time:12059ms step_avg:131.08ms
step:93/1770 train_time:12190ms step_avg:131.08ms
step:94/1770 train_time:12320ms step_avg:131.07ms
step:95/1770 train_time:12447ms step_avg:131.02ms
step:96/1770 train_time:12579ms step_avg:131.03ms
step:97/1770 train_time:12703ms step_avg:130.96ms
step:98/1770 train_time:12832ms step_avg:130.94ms
step:99/1770 train_time:12959ms step_avg:130.90ms
step:100/1770 train_time:13087ms step_avg:130.87ms
step:100/1770 val_loss:7.1198 train_time:13092ms step_avg:130.92ms
step:101/1770 train_time:13230ms step_avg:130.99ms
step:102/1770 train_time:13363ms step_avg:131.01ms
step:103/1770 train_time:13494ms step_avg:131.01ms
step:104/1770 train_time:13624ms step_avg:131.00ms
step:105/1770 train_time:13762ms step_avg:131.07ms
step:106/1770 train_time:13894ms step_avg:131.08ms
step:107/1770 train_time:14030ms step_avg:131.13ms
step:108/1770 train_time:14165ms step_avg:131.16ms
step:109/1770 train_time:14306ms step_avg:131.25ms
step:110/1770 train_time:14438ms step_avg:131.25ms
step:111/1770 train_time:14565ms step_avg:131.22ms
step:112/1770 train_time:14699ms step_avg:131.24ms
