logs/75d8b839-1b36-4d00-b1e4-2fa5a4ea33ab.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:18<04:07,  7.04it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:0.88ms
step:1/1770 train_time:207ms step_avg:206.88ms
step:2/1770 train_time:345ms step_avg:172.29ms
step:3/1770 train_time:481ms step_avg:160.29ms
step:4/1770 train_time:612ms step_avg:152.96ms
step:5/1770 train_time:746ms step_avg:149.28ms
step:6/1770 train_time:885ms step_avg:147.43ms
step:7/1770 train_time:1025ms step_avg:146.42ms
step:8/1770 train_time:1165ms step_avg:145.57ms
step:9/1770 train_time:1296ms step_avg:143.99ms
step:10/1770 train_time:1432ms step_avg:143.17ms
step:11/1770 train_time:1573ms step_avg:143.02ms
step:12/1770 train_time:1708ms step_avg:142.34ms
step:13/1770 train_time:1842ms step_avg:141.69ms
step:14/1770 train_time:1984ms step_avg:141.70ms
step:15/1770 train_time:2122ms step_avg:141.44ms
step:16/1770 train_time:2258ms step_avg:141.14ms
step:17/1770 train_time:2401ms step_avg:141.22ms
step:18/1770 train_time:2541ms step_avg:141.17ms
step:19/1770 train_time:2686ms step_avg:141.35ms
step:20/1770 train_time:2823ms step_avg:141.16ms
step:21/1770 train_time:2963ms step_avg:141.12ms
step:22/1770 train_time:3105ms step_avg:141.13ms
step:23/1770 train_time:3243ms step_avg:141.00ms
step:24/1770 train_time:3384ms step_avg:141.02ms
step:25/1770 train_time:3528ms step_avg:141.12ms
step:26/1770 train_time:3668ms step_avg:141.07ms
step:27/1770 train_time:3811ms step_avg:141.13ms
step:28/1770 train_time:3955ms step_avg:141.24ms
step:29/1770 train_time:4096ms step_avg:141.23ms
step:30/1770 train_time:4238ms step_avg:141.26ms
step:31/1770 train_time:4376ms step_avg:141.16ms
step:32/1770 train_time:4521ms step_avg:141.29ms
step:33/1770 train_time:4663ms step_avg:141.31ms
step:34/1770 train_time:4800ms step_avg:141.17ms
step:35/1770 train_time:4946ms step_avg:141.30ms
step:36/1770 train_time:5085ms step_avg:141.25ms
step:37/1770 train_time:5222ms step_avg:141.13ms
step:38/1770 train_time:5360ms step_avg:141.05ms
step:39/1770 train_time:5507ms step_avg:141.21ms
step:40/1770 train_time:5646ms step_avg:141.15ms
step:41/1770 train_time:5784ms step_avg:141.08ms
step:42/1770 train_time:5922ms step_avg:141.01ms
step:43/1770 train_time:6064ms step_avg:141.03ms
step:44/1770 train_time:6208ms step_avg:141.09ms
step:45/1770 train_time:6349ms step_avg:141.08ms
step:46/1770 train_time:6485ms step_avg:140.97ms
step:47/1770 train_time:6627ms step_avg:141.00ms
step:48/1770 train_time:6767ms step_avg:140.99ms
step:49/1770 train_time:6907ms step_avg:140.96ms
step:50/1770 train_time:7053ms step_avg:141.06ms
step:50/1770 val_loss:8.1905 train_time:7055ms step_avg:141.11ms
step:51/1770 train_time:7187ms step_avg:140.92ms
step:52/1770 train_time:7316ms step_avg:140.69ms
step:53/1770 train_time:7445ms step_avg:140.48ms
step:54/1770 train_time:7585ms step_avg:140.47ms
step:55/1770 train_time:7726ms step_avg:140.47ms
step:56/1770 train_time:7864ms step_avg:140.43ms
step:57/1770 train_time:8003ms step_avg:140.40ms
step:58/1770 train_time:8146ms step_avg:140.45ms
step:59/1770 train_time:8286ms step_avg:140.44ms
step:60/1770 train_time:8424ms step_avg:140.41ms
step:61/1770 train_time:8560ms step_avg:140.32ms
step:62/1770 train_time:8701ms step_avg:140.33ms
step:63/1770 train_time:8838ms step_avg:140.28ms
step:64/1770 train_time:8977ms step_avg:140.26ms
step:65/1770 train_time:9119ms step_avg:140.28ms
step:66/1770 train_time:9250ms step_avg:140.15ms
step:67/1770 train_time:9386ms step_avg:140.09ms
step:68/1770 train_time:9518ms step_avg:139.97ms
step:69/1770 train_time:9649ms step_avg:139.83ms
step:70/1770 train_time:9778ms step_avg:139.68ms
step:71/1770 train_time:9910ms step_avg:139.57ms
step:72/1770 train_time:10040ms step_avg:139.45ms
step:73/1770 train_time:10170ms step_avg:139.31ms
step:74/1770 train_time:10302ms step_avg:139.21ms
step:75/1770 train_time:10440ms step_avg:139.21ms
step:76/1770 train_time:10584ms step_avg:139.26ms
step:77/1770 train_time:10724ms step_avg:139.28ms
step:78/1770 train_time:10864ms step_avg:139.28ms
step:79/1770 train_time:11001ms step_avg:139.25ms
step:80/1770 train_time:11140ms step_avg:139.25ms
step:81/1770 train_time:11277ms step_avg:139.22ms
step:82/1770 train_time:11414ms step_avg:139.19ms
step:83/1770 train_time:11546ms step_avg:139.11ms
