logs/6529bad1-1999-45c6-a7b9-14e2aa6e8083.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:17<03:46,  7.67it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:1.24ms
step:1/1770 train_time:192ms step_avg:192.11ms
step:2/1770 train_time:321ms step_avg:160.68ms
step:3/1770 train_time:449ms step_avg:149.63ms
step:4/1770 train_time:579ms step_avg:144.65ms
step:5/1770 train_time:708ms step_avg:141.58ms
step:6/1770 train_time:841ms step_avg:140.16ms
step:7/1770 train_time:970ms step_avg:138.59ms
step:8/1770 train_time:1104ms step_avg:137.96ms
step:9/1770 train_time:1235ms step_avg:137.24ms
step:10/1770 train_time:1368ms step_avg:136.82ms
step:11/1770 train_time:1502ms step_avg:136.52ms
step:12/1770 train_time:1632ms step_avg:136.00ms
step:13/1770 train_time:1765ms step_avg:135.78ms
step:14/1770 train_time:1895ms step_avg:135.34ms
step:15/1770 train_time:2023ms step_avg:134.85ms
step:16/1770 train_time:2149ms step_avg:134.28ms
step:17/1770 train_time:2281ms step_avg:134.18ms
step:18/1770 train_time:2414ms step_avg:134.10ms
step:19/1770 train_time:2539ms step_avg:133.65ms
step:20/1770 train_time:2663ms step_avg:133.13ms
step:21/1770 train_time:2787ms step_avg:132.74ms
step:22/1770 train_time:2914ms step_avg:132.46ms
step:23/1770 train_time:3040ms step_avg:132.20ms
step:24/1770 train_time:3175ms step_avg:132.27ms
step:25/1770 train_time:3303ms step_avg:132.12ms
step:26/1770 train_time:3436ms step_avg:132.17ms
step:27/1770 train_time:3566ms step_avg:132.07ms
step:28/1770 train_time:3700ms step_avg:132.14ms
step:29/1770 train_time:3832ms step_avg:132.13ms
step:30/1770 train_time:3959ms step_avg:131.98ms
step:31/1770 train_time:4089ms step_avg:131.92ms
step:32/1770 train_time:4220ms step_avg:131.89ms
step:33/1770 train_time:4360ms step_avg:132.12ms
step:34/1770 train_time:4493ms step_avg:132.16ms
step:35/1770 train_time:4627ms step_avg:132.20ms
step:36/1770 train_time:4754ms step_avg:132.05ms
step:37/1770 train_time:4884ms step_avg:132.00ms
step:38/1770 train_time:5012ms step_avg:131.89ms
step:39/1770 train_time:5146ms step_avg:131.94ms
step:40/1770 train_time:5279ms step_avg:131.97ms
step:41/1770 train_time:5407ms step_avg:131.87ms
step:42/1770 train_time:5538ms step_avg:131.85ms
