logs/017ab1e0-3357-465d-93b6-17db3b795598.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:17<03:58,  7.31it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:1.19ms
step:1/1770 train_time:202ms step_avg:202.26ms
step:2/1770 train_time:338ms step_avg:169.10ms
step:3/1770 train_time:473ms step_avg:157.66ms
step:4/1770 train_time:604ms step_avg:151.02ms
step:5/1770 train_time:738ms step_avg:147.53ms
step:6/1770 train_time:868ms step_avg:144.62ms
step:7/1770 train_time:1000ms step_avg:142.80ms
step:8/1770 train_time:1126ms step_avg:140.79ms
step:9/1770 train_time:1257ms step_avg:139.61ms
step:10/1770 train_time:1389ms step_avg:138.90ms
step:11/1770 train_time:1521ms step_avg:138.31ms
step:12/1770 train_time:1653ms step_avg:137.74ms
step:13/1770 train_time:1785ms step_avg:137.30ms
step:14/1770 train_time:1916ms step_avg:136.88ms
step:15/1770 train_time:2050ms step_avg:136.68ms
step:16/1770 train_time:2180ms step_avg:136.27ms
step:17/1770 train_time:2309ms step_avg:135.80ms
step:18/1770 train_time:2443ms step_avg:135.72ms
step:19/1770 train_time:2578ms step_avg:135.70ms
step:20/1770 train_time:2707ms step_avg:135.34ms
step:21/1770 train_time:2837ms step_avg:135.11ms
step:22/1770 train_time:2964ms step_avg:134.75ms
step:23/1770 train_time:3098ms step_avg:134.72ms
step:24/1770 train_time:3234ms step_avg:134.75ms
step:25/1770 train_time:3375ms step_avg:134.98ms
step:26/1770 train_time:3511ms step_avg:135.05ms
step:27/1770 train_time:3647ms step_avg:135.07ms
step:28/1770 train_time:3777ms step_avg:134.88ms
step:29/1770 train_time:3917ms step_avg:135.07ms
step:30/1770 train_time:4056ms step_avg:135.20ms
step:31/1770 train_time:4187ms step_avg:135.06ms
step:32/1770 train_time:4320ms step_avg:135.00ms
step:33/1770 train_time:4451ms step_avg:134.89ms
step:34/1770 train_time:4580ms step_avg:134.69ms
step:35/1770 train_time:4716ms step_avg:134.74ms
step:36/1770 train_time:4849ms step_avg:134.69ms
step:37/1770 train_time:4980ms step_avg:134.59ms
step:38/1770 train_time:5116ms step_avg:134.63ms
step:39/1770 train_time:5247ms step_avg:134.53ms
step:40/1770 train_time:5384ms step_avg:134.60ms
step:41/1770 train_time:5515ms step_avg:134.51ms
step:42/1770 train_time:5651ms step_avg:134.56ms
step:43/1770 train_time:5784ms step_avg:134.50ms
step:44/1770 train_time:5914ms step_avg:134.42ms
step:45/1770 train_time:6050ms step_avg:134.44ms
step:46/1770 train_time:6178ms step_avg:134.30ms
step:47/1770 train_time:6308ms step_avg:134.22ms
step:48/1770 train_time:6442ms step_avg:134.21ms
step:49/1770 train_time:6575ms step_avg:134.18ms
step:50/1770 train_time:6710ms step_avg:134.20ms
step:50/1770 val_loss:8.2282 train_time:6712ms step_avg:134.24ms
step:51/1770 train_time:6846ms step_avg:134.24ms
step:52/1770 train_time:6977ms step_avg:134.18ms
step:53/1770 train_time:7112ms step_avg:134.18ms
step:54/1770 train_time:7245ms step_avg:134.17ms
step:55/1770 train_time:7378ms step_avg:134.15ms
step:56/1770 train_time:7513ms step_avg:134.16ms
step:57/1770 train_time:7646ms step_avg:134.14ms
step:58/1770 train_time:7774ms step_avg:134.04ms
step:59/1770 train_time:7902ms step_avg:133.93ms
step:60/1770 train_time:8033ms step_avg:133.89ms
step:61/1770 train_time:8175ms step_avg:134.02ms
step:62/1770 train_time:8304ms step_avg:133.94ms
step:63/1770 train_time:8430ms step_avg:133.82ms
step:64/1770 train_time:8564ms step_avg:133.82ms
step:65/1770 train_time:8693ms step_avg:133.74ms
step:66/1770 train_time:8820ms step_avg:133.64ms
step:67/1770 train_time:8953ms step_avg:133.63ms
step:68/1770 train_time:9092ms step_avg:133.71ms
step:69/1770 train_time:9223ms step_avg:133.67ms
step:70/1770 train_time:9352ms step_avg:133.61ms
step:71/1770 train_time:9486ms step_avg:133.60ms
step:72/1770 train_time:9619ms step_avg:133.60ms
step:73/1770 train_time:9749ms step_avg:133.54ms
step:74/1770 train_time:9881ms step_avg:133.53ms
step:75/1770 train_time:10015ms step_avg:133.53ms
step:76/1770 train_time:10143ms step_avg:133.46ms
step:77/1770 train_time:10271ms step_avg:133.39ms
step:78/1770 train_time:10404ms step_avg:133.38ms
step:79/1770 train_time:10531ms step_avg:133.31ms
step:80/1770 train_time:10667ms step_avg:133.34ms
step:81/1770 train_time:10800ms step_avg:133.34ms
step:82/1770 train_time:10932ms step_avg:133.32ms
step:83/1770 train_time:11062ms step_avg:133.28ms
step:84/1770 train_time:11199ms step_avg:133.32ms
step:85/1770 train_time:11345ms step_avg:133.47ms
step:86/1770 train_time:11477ms step_avg:133.45ms
step:87/1770 train_time:11608ms step_avg:133.43ms
step:88/1770 train_time:11743ms step_avg:133.44ms
step:89/1770 train_time:11877ms step_avg:133.45ms
step:90/1770 train_time:12013ms step_avg:133.48ms
step:91/1770 train_time:12151ms step_avg:133.52ms
step:92/1770 train_time:12287ms step_avg:133.56ms
step:93/1770 train_time:12424ms step_avg:133.59ms
step:94/1770 train_time:12559ms step_avg:133.60ms
step:95/1770 train_time:12694ms step_avg:133.62ms
step:96/1770 train_time:12829ms step_avg:133.63ms
step:97/1770 train_time:12965ms step_avg:133.66ms
step:98/1770 train_time:13098ms step_avg:133.66ms
step:99/1770 train_time:13234ms step_avg:133.68ms
step:100/1770 train_time:13363ms step_avg:133.63ms
step:100/1770 val_loss:7.1232 train_time:13363ms step_avg:133.63ms
step:101/1770 train_time:13500ms step_avg:133.67ms
step:102/1770 train_time:13631ms step_avg:133.64ms
step:103/1770 train_time:13761ms step_avg:133.60ms
step:104/1770 train_time:13891ms step_avg:133.57ms
step:105/1770 train_time:14028ms step_avg:133.60ms
step:106/1770 train_time:14159ms step_avg:133.57ms
step:107/1770 train_time:14288ms step_avg:133.53ms
step:108/1770 train_time:14423ms step_avg:133.54ms
step:109/1770 train_time:14553ms step_avg:133.52ms
step:110/1770 train_time:14686ms step_avg:133.51ms
step:111/1770 train_time:14815ms step_avg:133.47ms
step:112/1770 train_time:14947ms step_avg:133.46ms
step:113/1770 train_time:15077ms step_avg:133.42ms
step:114/1770 train_time:15207ms step_avg:133.40ms
step:115/1770 train_time:15341ms step_avg:133.40ms
step:116/1770 train_time:15477ms step_avg:133.42ms
step:117/1770 train_time:15609ms step_avg:133.41ms
step:118/1770 train_time:15738ms step_avg:133.37ms
step:119/1770 train_time:15874ms step_avg:133.40ms
step:120/1770 train_time:15999ms step_avg:133.33ms
step:121/1770 train_time:16132ms step_avg:133.32ms
step:122/1770 train_time:16263ms step_avg:133.30ms
step:123/1770 train_time:16398ms step_avg:133.31ms
step:124/1770 train_time:16533ms step_avg:133.33ms
step:125/1770 train_time:16667ms step_avg:133.34ms
step:126/1770 train_time:16808ms step_avg:133.40ms
step:127/1770 train_time:16943ms step_avg:133.41ms
step:128/1770 train_time:17073ms step_avg:133.38ms
step:129/1770 train_time:17207ms step_avg:133.39ms
step:130/1770 train_time:17337ms step_avg:133.37ms
step:131/1770 train_time:17474ms step_avg:133.39ms
step:132/1770 train_time:17606ms step_avg:133.38ms
step:133/1770 train_time:17743ms step_avg:133.40ms
step:134/1770 train_time:17874ms step_avg:133.39ms
step:135/1770 train_time:18010ms step_avg:133.41ms
step:136/1770 train_time:18147ms step_avg:133.44ms
step:137/1770 train_time:18284ms step_avg:133.46ms
step:138/1770 train_time:18419ms step_avg:133.47ms
step:139/1770 train_time:18550ms step_avg:133.46ms
step:140/1770 train_time:18680ms step_avg:133.43ms
step:141/1770 train_time:18814ms step_avg:133.43ms
step:142/1770 train_time:18940ms step_avg:133.38ms
step:143/1770 train_time:19075ms step_avg:133.39ms
step:144/1770 train_time:19209ms step_avg:133.39ms
step:145/1770 train_time:19343ms step_avg:133.40ms
step:146/1770 train_time:19477ms step_avg:133.40ms
step:147/1770 train_time:19605ms step_avg:133.37ms
step:148/1770 train_time:19740ms step_avg:133.38ms
step:149/1770 train_time:19873ms step_avg:133.38ms
step:150/1770 train_time:20011ms step_avg:133.41ms
step:150/1770 val_loss:6.9352 train_time:20012ms step_avg:133.42ms
step:151/1770 train_time:20146ms step_avg:133.42ms
step:152/1770 train_time:20274ms step_avg:133.38ms
step:153/1770 train_time:20404ms step_avg:133.36ms
step:154/1770 train_time:20535ms step_avg:133.34ms
step:155/1770 train_time:20668ms step_avg:133.34ms
step:156/1770 train_time:20802ms step_avg:133.34ms
step:157/1770 train_time:20932ms step_avg:133.33ms
step:158/1770 train_time:21061ms step_avg:133.30ms
step:159/1770 train_time:21193ms step_avg:133.29ms
step:160/1770 train_time:21328ms step_avg:133.30ms
step:161/1770 train_time:21459ms step_avg:133.28ms
step:162/1770 train_time:21596ms step_avg:133.31ms
step:163/1770 train_time:21728ms step_avg:133.30ms
step:164/1770 train_time:21858ms step_avg:133.28ms
step:165/1770 train_time:21982ms step_avg:133.22ms
step:166/1770 train_time:22107ms step_avg:133.17ms
step:167/1770 train_time:22231ms step_avg:133.12ms
step:168/1770 train_time:22362ms step_avg:133.11ms
step:169/1770 train_time:22494ms step_avg:133.10ms
step:170/1770 train_time:22625ms step_avg:133.09ms
step:171/1770 train_time:22755ms step_avg:133.07ms
step:172/1770 train_time:22887ms step_avg:133.06ms
step:173/1770 train_time:23016ms step_avg:133.04ms
step:174/1770 train_time:23144ms step_avg:133.01ms
step:175/1770 train_time:23274ms step_avg:132.99ms
step:176/1770 train_time:23406ms step_avg:132.99ms
step:177/1770 train_time:23544ms step_avg:133.01ms
step:178/1770 train_time:23676ms step_avg:133.01ms
step:179/1770 train_time:23806ms step_avg:132.99ms
step:180/1770 train_time:23943ms step_avg:133.02ms
step:181/1770 train_time:24076ms step_avg:133.02ms
step:182/1770 train_time:24208ms step_avg:133.01ms
step:183/1770 train_time:24340ms step_avg:133.00ms
step:184/1770 train_time:24478ms step_avg:133.03ms
step:185/1770 train_time:24615ms step_avg:133.05ms
step:186/1770 train_time:24747ms step_avg:133.05ms
step:187/1770 train_time:24887ms step_avg:133.09ms
step:188/1770 train_time:25025ms step_avg:133.11ms
step:189/1770 train_time:25158ms step_avg:133.11ms
step:190/1770 train_time:25291ms step_avg:133.11ms
step:191/1770 train_time:25426ms step_avg:133.12ms
step:192/1770 train_time:25564ms step_avg:133.15ms
step:193/1770 train_time:25695ms step_avg:133.13ms
step:194/1770 train_time:25828ms step_avg:133.14ms
step:195/1770 train_time:25960ms step_avg:133.13ms
step:196/1770 train_time:26093ms step_avg:133.13ms
step:197/1770 train_time:26229ms step_avg:133.14ms
step:198/1770 train_time:26359ms step_avg:133.13ms
step:199/1770 train_time:26489ms step_avg:133.11ms
step:200/1770 train_time:26619ms step_avg:133.09ms
step:200/1770 val_loss:6.7210 train_time:26621ms step_avg:133.11ms
step:201/1770 train_time:26759ms step_avg:133.13ms
step:202/1770 train_time:26897ms step_avg:133.15ms
step:203/1770 train_time:27027ms step_avg:133.14ms
step:204/1770 train_time:27159ms step_avg:133.13ms
step:205/1770 train_time:27290ms step_avg:133.12ms
step:206/1770 train_time:27424ms step_avg:133.13ms
step:207/1770 train_time:27556ms step_avg:133.12ms
step:208/1770 train_time:27683ms step_avg:133.09ms
step:209/1770 train_time:27817ms step_avg:133.09ms
step:210/1770 train_time:27951ms step_avg:133.10ms
step:211/1770 train_time:28081ms step_avg:133.08ms
step:212/1770 train_time:28215ms step_avg:133.09ms
step:213/1770 train_time:28347ms step_avg:133.09ms
step:214/1770 train_time:28481ms step_avg:133.09ms
step:215/1770 train_time:28616ms step_avg:133.10ms
step:216/1770 train_time:28751ms step_avg:133.11ms
step:217/1770 train_time:28883ms step_avg:133.10ms
step:218/1770 train_time:29021ms step_avg:133.12ms
step:219/1770 train_time:29152ms step_avg:133.11ms
step:220/1770 train_time:29286ms step_avg:133.12ms
step:221/1770 train_time:29414ms step_avg:133.09ms
step:222/1770 train_time:29551ms step_avg:133.11ms
step:223/1770 train_time:29689ms step_avg:133.13ms
step:224/1770 train_time:29821ms step_avg:133.13ms
step:225/1770 train_time:29954ms step_avg:133.13ms
step:226/1770 train_time:30086ms step_avg:133.12ms
step:227/1770 train_time:30224ms step_avg:133.15ms
step:228/1770 train_time:30359ms step_avg:133.15ms
step:229/1770 train_time:30491ms step_avg:133.15ms
step:230/1770 train_time:30621ms step_avg:133.14ms
step:231/1770 train_time:30761ms step_avg:133.16ms
step:232/1770 train_time:30886ms step_avg:133.13ms
step:233/1770 train_time:31025ms step_avg:133.16ms
step:234/1770 train_time:31158ms step_avg:133.15ms
step:235/1770 train_time:31292ms step_avg:133.16ms
step:236/1770 train_time:31431ms step_avg:133.18ms
step:237/1770 train_time:31564ms step_avg:133.18ms
step:238/1770 train_time:31697ms step_avg:133.18ms
step:239/1770 train_time:31842ms step_avg:133.23ms
step:240/1770 train_time:31978ms step_avg:133.24ms
step:241/1770 train_time:32107ms step_avg:133.22ms
step:242/1770 train_time:32242ms step_avg:133.23ms
step:243/1770 train_time:32372ms step_avg:133.22ms
step:244/1770 train_time:32497ms step_avg:133.19ms
step:245/1770 train_time:32624ms step_avg:133.16ms
step:246/1770 train_time:32761ms step_avg:133.18ms
step:247/1770 train_time:32896ms step_avg:133.18ms
step:248/1770 train_time:33034ms step_avg:133.20ms
step:249/1770 train_time:33168ms step_avg:133.20ms
step:250/1770 train_time:33309ms step_avg:133.24ms
step:250/1770 val_loss:6.6010 train_time:33311ms step_avg:133.24ms
step:251/1770 train_time:33449ms step_avg:133.26ms
step:252/1770 train_time:33590ms step_avg:133.29ms
step:253/1770 train_time:33730ms step_avg:133.32ms
step:254/1770 train_time:33869ms step_avg:133.34ms
step:255/1770 train_time:34006ms step_avg:133.36ms
step:256/1770 train_time:34144ms step_avg:133.38ms
step:257/1770 train_time:34286ms step_avg:133.41ms
step:258/1770 train_time:34429ms step_avg:133.45ms
step:259/1770 train_time:34568ms step_avg:133.47ms
step:260/1770 train_time:34711ms step_avg:133.50ms
step:261/1770 train_time:34849ms step_avg:133.52ms
step:262/1770 train_time:34991ms step_avg:133.55ms
step:263/1770 train_time:35136ms step_avg:133.60ms
step:264/1770 train_time:35283ms step_avg:133.65ms
step:265/1770 train_time:35420ms step_avg:133.66ms
step:266/1770 train_time:35564ms step_avg:133.70ms
step:267/1770 train_time:35709ms step_avg:133.74ms
step:268/1770 train_time:35857ms step_avg:133.80ms
step:269/1770 train_time:35998ms step_avg:133.82ms
step:270/1770 train_time:36135ms step_avg:133.84ms
step:271/1770 train_time:36277ms step_avg:133.86ms
step:272/1770 train_time:36414ms step_avg:133.87ms
step:273/1770 train_time:36547ms step_avg:133.87ms
step:274/1770 train_time:36683ms step_avg:133.88ms
step:275/1770 train_time:36822ms step_avg:133.90ms
step:276/1770 train_time:36960ms step_avg:133.91ms
step:277/1770 train_time:37101ms step_avg:133.94ms
step:278/1770 train_time:37240ms step_avg:133.96ms
step:279/1770 train_time:37378ms step_avg:133.97ms
step:280/1770 train_time:37515ms step_avg:133.98ms
step:281/1770 train_time:37652ms step_avg:133.99ms
step:282/1770 train_time:37785ms step_avg:133.99ms
step:283/1770 train_time:37933ms step_avg:134.04ms
step:284/1770 train_time:38076ms step_avg:134.07ms
step:285/1770 train_time:38210ms step_avg:134.07ms
step:286/1770 train_time:38350ms step_avg:134.09ms
step:287/1770 train_time:38481ms step_avg:134.08ms
step:288/1770 train_time:38625ms step_avg:134.12ms
step:289/1770 train_time:38765ms step_avg:134.13ms
step:290/1770 train_time:38908ms step_avg:134.16ms
step:291/1770 train_time:39049ms step_avg:134.19ms
step:292/1770 train_time:39189ms step_avg:134.21ms
step:293/1770 train_time:39326ms step_avg:134.22ms
step:294/1770 train_time:39469ms step_avg:134.25ms
step:295/1770 train_time:39614ms step_avg:134.29ms
step:296/1770 train_time:39752ms step_avg:134.30ms
step:297/1770 train_time:39883ms step_avg:134.29ms
step:298/1770 train_time:40016ms step_avg:134.28ms
step:299/1770 train_time:40158ms step_avg:134.31ms
step:300/1770 train_time:40287ms step_avg:134.29ms
step:300/1770 val_loss:6.5014 train_time:40292ms step_avg:134.31ms
step:301/1770 train_time:40425ms step_avg:134.30ms
step:302/1770 train_time:40557ms step_avg:134.30ms
step:303/1770 train_time:40685ms step_avg:134.27ms
step:304/1770 train_time:40820ms step_avg:134.28ms
step:305/1770 train_time:40949ms step_avg:134.26ms
step:306/1770 train_time:41077ms step_avg:134.24ms
step:307/1770 train_time:41206ms step_avg:134.22ms
step:308/1770 train_time:41331ms step_avg:134.19ms
step:309/1770 train_time:41458ms step_avg:134.17ms
step:310/1770 train_time:41592ms step_avg:134.17ms
step:311/1770 train_time:41725ms step_avg:134.16ms
step:312/1770 train_time:41864ms step_avg:134.18ms
step:313/1770 train_time:41994ms step_avg:134.17ms
step:314/1770 train_time:42127ms step_avg:134.16ms
step:315/1770 train_time:42256ms step_avg:134.15ms
step:316/1770 train_time:42383ms step_avg:134.12ms
step:317/1770 train_time:42518ms step_avg:134.13ms
