logs/8883bdc0-d24a-4e18-9913-4e2e00e7b6de.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:17<03:56,  7.38it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:1.04ms
step:1/1770 train_time:202ms step_avg:202.20ms
step:2/1770 train_time:333ms step_avg:166.65ms
step:3/1770 train_time:468ms step_avg:156.09ms
step:4/1770 train_time:607ms step_avg:151.79ms
step:5/1770 train_time:736ms step_avg:147.28ms
step:6/1770 train_time:875ms step_avg:145.75ms
step:7/1770 train_time:1003ms step_avg:143.34ms
step:8/1770 train_time:1137ms step_avg:142.09ms
step:9/1770 train_time:1271ms step_avg:141.28ms
step:10/1770 train_time:1408ms step_avg:140.76ms
step:11/1770 train_time:1542ms step_avg:140.16ms
step:12/1770 train_time:1678ms step_avg:139.82ms
step:13/1770 train_time:1827ms step_avg:140.55ms
step:14/1770 train_time:1960ms step_avg:139.97ms
step:15/1770 train_time:2093ms step_avg:139.52ms
step:16/1770 train_time:2227ms step_avg:139.16ms
step:17/1770 train_time:2360ms step_avg:138.84ms
step:18/1770 train_time:2517ms step_avg:139.81ms
step:19/1770 train_time:2660ms step_avg:140.00ms
step:20/1770 train_time:2805ms step_avg:140.24ms
step:21/1770 train_time:2937ms step_avg:139.88ms
step:22/1770 train_time:3067ms step_avg:139.42ms
step:23/1770 train_time:3205ms step_avg:139.35ms
step:24/1770 train_time:3348ms step_avg:139.48ms
step:25/1770 train_time:3493ms step_avg:139.70ms
step:26/1770 train_time:3625ms step_avg:139.42ms
step:27/1770 train_time:3758ms step_avg:139.17ms
step:28/1770 train_time:3892ms step_avg:139.00ms
step:29/1770 train_time:4032ms step_avg:139.03ms
step:30/1770 train_time:4164ms step_avg:138.79ms
step:31/1770 train_time:4298ms step_avg:138.64ms
step:32/1770 train_time:4432ms step_avg:138.50ms
step:33/1770 train_time:4565ms step_avg:138.32ms
step:34/1770 train_time:4693ms step_avg:138.04ms
step:35/1770 train_time:4831ms step_avg:138.03ms
step:36/1770 train_time:4962ms step_avg:137.84ms
step:37/1770 train_time:5096ms step_avg:137.72ms
step:38/1770 train_time:5228ms step_avg:137.59ms
step:39/1770 train_time:5380ms step_avg:137.96ms
step:40/1770 train_time:5530ms step_avg:138.25ms
step:41/1770 train_time:5660ms step_avg:138.06ms
step:42/1770 train_time:5791ms step_avg:137.87ms
step:43/1770 train_time:5923ms step_avg:137.74ms
step:44/1770 train_time:6058ms step_avg:137.67ms
step:45/1770 train_time:6188ms step_avg:137.50ms
step:46/1770 train_time:6315ms step_avg:137.28ms
step:47/1770 train_time:6448ms step_avg:137.19ms
step:48/1770 train_time:6581ms step_avg:137.10ms
step:49/1770 train_time:6715ms step_avg:137.04ms
step:50/1770 train_time:6857ms step_avg:137.14ms
step:50/1770 val_loss:8.2112 train_time:6858ms step_avg:137.16ms
step:51/1770 train_time:6995ms step_avg:137.16ms
step:52/1770 train_time:7129ms step_avg:137.10ms
step:53/1770 train_time:7265ms step_avg:137.07ms
step:54/1770 train_time:7396ms step_avg:136.96ms
step:55/1770 train_time:7538ms step_avg:137.06ms
step:56/1770 train_time:7669ms step_avg:136.94ms
step:57/1770 train_time:7799ms step_avg:136.83ms
step:58/1770 train_time:7932ms step_avg:136.76ms
step:59/1770 train_time:8063ms step_avg:136.66ms
step:60/1770 train_time:8193ms step_avg:136.55ms
step:61/1770 train_time:8331ms step_avg:136.58ms
step:62/1770 train_time:8464ms step_avg:136.52ms
step:63/1770 train_time:8602ms step_avg:136.54ms
step:64/1770 train_time:8734ms step_avg:136.46ms
step:65/1770 train_time:8862ms step_avg:136.33ms
step:66/1770 train_time:8999ms step_avg:136.34ms
step:67/1770 train_time:9133ms step_avg:136.32ms
step:68/1770 train_time:9268ms step_avg:136.30ms
step:69/1770 train_time:9403ms step_avg:136.27ms
step:70/1770 train_time:9535ms step_avg:136.21ms
step:71/1770 train_time:9668ms step_avg:136.18ms
step:72/1770 train_time:9808ms step_avg:136.22ms
step:73/1770 train_time:9936ms step_avg:136.11ms
step:74/1770 train_time:10073ms step_avg:136.12ms
step:75/1770 train_time:10211ms step_avg:136.15ms
step:76/1770 train_time:10343ms step_avg:136.09ms
step:77/1770 train_time:10485ms step_avg:136.16ms
step:78/1770 train_time:10628ms step_avg:136.26ms
step:79/1770 train_time:10768ms step_avg:136.30ms
step:80/1770 train_time:10902ms step_avg:136.28ms
step:81/1770 train_time:11041ms step_avg:136.31ms
step:82/1770 train_time:11177ms step_avg:136.30ms
step:83/1770 train_time:11313ms step_avg:136.30ms
step:84/1770 train_time:11450ms step_avg:136.30ms
step:85/1770 train_time:11579ms step_avg:136.22ms
step:86/1770 train_time:11716ms step_avg:136.23ms
step:87/1770 train_time:11856ms step_avg:136.28ms
step:88/1770 train_time:11982ms step_avg:136.16ms
step:89/1770 train_time:12119ms step_avg:136.17ms
step:90/1770 train_time:12256ms step_avg:136.17ms
step:91/1770 train_time:12394ms step_avg:136.20ms
step:92/1770 train_time:12528ms step_avg:136.17ms
step:93/1770 train_time:12661ms step_avg:136.14ms
step:94/1770 train_time:12792ms step_avg:136.09ms
step:95/1770 train_time:12927ms step_avg:136.07ms
step:96/1770 train_time:13053ms step_avg:135.97ms
step:97/1770 train_time:13189ms step_avg:135.97ms
step:98/1770 train_time:13323ms step_avg:135.95ms
step:99/1770 train_time:13446ms step_avg:135.82ms
step:100/1770 train_time:13576ms step_avg:135.76ms
step:100/1770 val_loss:7.1537 train_time:13581ms step_avg:135.81ms
step:101/1770 train_time:13712ms step_avg:135.76ms
step:102/1770 train_time:13845ms step_avg:135.73ms
step:103/1770 train_time:13978ms step_avg:135.71ms
step:104/1770 train_time:14107ms step_avg:135.64ms
step:105/1770 train_time:14239ms step_avg:135.61ms
step:106/1770 train_time:14369ms step_avg:135.56ms
step:107/1770 train_time:14500ms step_avg:135.51ms
step:108/1770 train_time:14633ms step_avg:135.49ms
step:109/1770 train_time:14766ms step_avg:135.47ms
step:110/1770 train_time:14897ms step_avg:135.43ms
step:111/1770 train_time:15028ms step_avg:135.39ms
step:112/1770 train_time:15163ms step_avg:135.38ms
step:113/1770 train_time:15304ms step_avg:135.43ms
step:114/1770 train_time:15435ms step_avg:135.40ms
step:115/1770 train_time:15570ms step_avg:135.39ms
step:116/1770 train_time:15706ms step_avg:135.39ms
step:117/1770 train_time:15843ms step_avg:135.41ms
step:118/1770 train_time:15975ms step_avg:135.38ms
step:119/1770 train_time:16100ms step_avg:135.29ms
step:120/1770 train_time:16236ms step_avg:135.30ms
step:121/1770 train_time:16366ms step_avg:135.26ms
step:122/1770 train_time:16503ms step_avg:135.27ms
step:123/1770 train_time:16638ms step_avg:135.27ms
step:124/1770 train_time:16773ms step_avg:135.26ms
step:125/1770 train_time:16907ms step_avg:135.25ms
step:126/1770 train_time:17040ms step_avg:135.24ms
step:127/1770 train_time:17174ms step_avg:135.23ms
step:128/1770 train_time:17308ms step_avg:135.22ms
step:129/1770 train_time:17437ms step_avg:135.17ms
step:130/1770 train_time:17567ms step_avg:135.13ms
step:131/1770 train_time:17696ms step_avg:135.09ms
step:132/1770 train_time:17825ms step_avg:135.04ms
step:133/1770 train_time:17955ms step_avg:135.00ms
step:134/1770 train_time:18082ms step_avg:134.94ms
step:135/1770 train_time:18216ms step_avg:134.93ms
step:136/1770 train_time:18348ms step_avg:134.91ms
step:137/1770 train_time:18487ms step_avg:134.94ms
step:138/1770 train_time:18620ms step_avg:134.93ms
step:139/1770 train_time:18756ms step_avg:134.93ms
step:140/1770 train_time:18893ms step_avg:134.95ms
step:141/1770 train_time:19029ms step_avg:134.96ms
step:142/1770 train_time:19162ms step_avg:134.94ms
step:143/1770 train_time:19292ms step_avg:134.91ms
step:144/1770 train_time:19425ms step_avg:134.89ms
step:145/1770 train_time:19553ms step_avg:134.85ms
step:146/1770 train_time:19688ms step_avg:134.85ms
step:147/1770 train_time:19820ms step_avg:134.83ms
step:148/1770 train_time:19956ms step_avg:134.84ms
step:149/1770 train_time:20085ms step_avg:134.80ms
step:150/1770 train_time:20216ms step_avg:134.78ms
step:150/1770 val_loss:6.9542 train_time:20217ms step_avg:134.78ms
step:151/1770 train_time:20349ms step_avg:134.76ms
step:152/1770 train_time:20480ms step_avg:134.74ms
step:153/1770 train_time:20611ms step_avg:134.71ms
step:154/1770 train_time:20747ms step_avg:134.72ms
step:155/1770 train_time:20881ms step_avg:134.72ms
step:156/1770 train_time:21011ms step_avg:134.69ms
step:157/1770 train_time:21144ms step_avg:134.68ms
step:158/1770 train_time:21281ms step_avg:134.69ms
step:159/1770 train_time:21411ms step_avg:134.66ms
step:160/1770 train_time:21546ms step_avg:134.66ms
step:161/1770 train_time:21677ms step_avg:134.64ms
step:162/1770 train_time:21808ms step_avg:134.62ms
step:163/1770 train_time:21945ms step_avg:134.63ms
step:164/1770 train_time:22082ms step_avg:134.65ms
step:165/1770 train_time:22212ms step_avg:134.62ms
step:166/1770 train_time:22344ms step_avg:134.60ms
step:167/1770 train_time:22478ms step_avg:134.60ms
step:168/1770 train_time:22613ms step_avg:134.60ms
step:169/1770 train_time:22748ms step_avg:134.60ms
step:170/1770 train_time:22881ms step_avg:134.59ms
step:171/1770 train_time:23015ms step_avg:134.59ms
step:172/1770 train_time:23145ms step_avg:134.57ms
step:173/1770 train_time:23281ms step_avg:134.57ms
step:174/1770 train_time:23412ms step_avg:134.55ms
step:175/1770 train_time:23542ms step_avg:134.53ms
step:176/1770 train_time:23674ms step_avg:134.51ms
step:177/1770 train_time:23809ms step_avg:134.51ms
step:178/1770 train_time:23937ms step_avg:134.47ms
step:179/1770 train_time:24068ms step_avg:134.46ms
step:180/1770 train_time:24211ms step_avg:134.51ms
step:181/1770 train_time:24349ms step_avg:134.52ms
step:182/1770 train_time:24482ms step_avg:134.51ms
step:183/1770 train_time:24622ms step_avg:134.55ms
step:184/1770 train_time:24757ms step_avg:134.55ms
step:185/1770 train_time:24887ms step_avg:134.53ms
step:186/1770 train_time:25022ms step_avg:134.53ms
step:187/1770 train_time:25159ms step_avg:134.54ms
step:188/1770 train_time:25292ms step_avg:134.53ms
step:189/1770 train_time:25423ms step_avg:134.51ms
step:190/1770 train_time:25560ms step_avg:134.53ms
step:191/1770 train_time:25699ms step_avg:134.55ms
step:192/1770 train_time:25836ms step_avg:134.56ms
step:193/1770 train_time:25976ms step_avg:134.59ms
step:194/1770 train_time:26117ms step_avg:134.63ms
step:195/1770 train_time:26251ms step_avg:134.62ms
step:196/1770 train_time:26386ms step_avg:134.62ms
step:197/1770 train_time:26527ms step_avg:134.66ms
step:198/1770 train_time:26671ms step_avg:134.70ms
step:199/1770 train_time:26810ms step_avg:134.73ms
step:200/1770 train_time:26944ms step_avg:134.72ms
step:200/1770 val_loss:6.7456 train_time:26948ms step_avg:134.74ms
step:201/1770 train_time:27079ms step_avg:134.72ms
step:202/1770 train_time:27211ms step_avg:134.71ms
step:203/1770 train_time:27342ms step_avg:134.69ms
step:204/1770 train_time:27469ms step_avg:134.65ms
step:205/1770 train_time:27591ms step_avg:134.59ms
step:206/1770 train_time:27730ms step_avg:134.61ms
step:207/1770 train_time:27861ms step_avg:134.60ms
step:208/1770 train_time:27989ms step_avg:134.56ms
step:209/1770 train_time:28124ms step_avg:134.56ms
step:210/1770 train_time:28255ms step_avg:134.55ms
step:211/1770 train_time:28383ms step_avg:134.52ms
step:212/1770 train_time:28515ms step_avg:134.51ms
step:213/1770 train_time:28647ms step_avg:134.49ms
step:214/1770 train_time:28773ms step_avg:134.45ms
step:215/1770 train_time:28898ms step_avg:134.41ms
step:216/1770 train_time:29027ms step_avg:134.38ms
step:217/1770 train_time:29155ms step_avg:134.36ms
step:218/1770 train_time:29286ms step_avg:134.34ms
step:219/1770 train_time:29411ms step_avg:134.29ms
step:220/1770 train_time:29541ms step_avg:134.28ms
step:221/1770 train_time:29676ms step_avg:134.28ms
step:222/1770 train_time:29806ms step_avg:134.26ms
step:223/1770 train_time:29937ms step_avg:134.24ms
