logs/769fd472-4545-4682-b8b8-63c2b26d2e18.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:17<03:37,  7.99it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:1.29ms
step:1/1770 train_time:188ms step_avg:188.23ms
step:2/1770 train_time:311ms step_avg:155.38ms
step:3/1770 train_time:433ms step_avg:144.46ms
step:4/1770 train_time:558ms step_avg:139.40ms
step:5/1770 train_time:684ms step_avg:136.77ms
step:6/1770 train_time:807ms step_avg:134.42ms
step:7/1770 train_time:933ms step_avg:133.33ms
step:8/1770 train_time:1057ms step_avg:132.13ms
step:9/1770 train_time:1179ms step_avg:130.96ms
step:10/1770 train_time:1305ms step_avg:130.48ms
step:11/1770 train_time:1431ms step_avg:130.12ms
step:12/1770 train_time:1559ms step_avg:129.90ms
step:13/1770 train_time:1688ms step_avg:129.83ms
step:14/1770 train_time:1810ms step_avg:129.26ms
step:15/1770 train_time:1937ms step_avg:129.10ms
step:16/1770 train_time:2062ms step_avg:128.88ms
step:17/1770 train_time:2191ms step_avg:128.88ms
step:18/1770 train_time:2318ms step_avg:128.76ms
step:19/1770 train_time:2440ms step_avg:128.40ms
step:20/1770 train_time:2569ms step_avg:128.43ms
step:21/1770 train_time:2695ms step_avg:128.31ms
step:22/1770 train_time:2824ms step_avg:128.35ms
step:23/1770 train_time:2951ms step_avg:128.31ms
step:24/1770 train_time:3081ms step_avg:128.38ms
step:25/1770 train_time:3203ms step_avg:128.13ms
step:26/1770 train_time:3329ms step_avg:128.03ms
step:27/1770 train_time:3457ms step_avg:128.03ms
step:28/1770 train_time:3581ms step_avg:127.88ms
step:29/1770 train_time:3704ms step_avg:127.72ms
step:30/1770 train_time:3829ms step_avg:127.63ms
step:31/1770 train_time:3963ms step_avg:127.82ms
step:32/1770 train_time:4097ms step_avg:128.03ms
step:33/1770 train_time:4228ms step_avg:128.11ms
step:34/1770 train_time:4361ms step_avg:128.27ms
step:35/1770 train_time:4483ms step_avg:128.09ms
step:36/1770 train_time:4616ms step_avg:128.23ms
step:37/1770 train_time:4741ms step_avg:128.14ms
step:38/1770 train_time:4869ms step_avg:128.13ms
step:39/1770 train_time:4997ms step_avg:128.12ms
step:40/1770 train_time:5125ms step_avg:128.13ms
step:41/1770 train_time:5251ms step_avg:128.06ms
step:42/1770 train_time:5375ms step_avg:127.97ms
step:43/1770 train_time:5499ms step_avg:127.87ms
step:44/1770 train_time:5625ms step_avg:127.85ms
step:45/1770 train_time:5748ms step_avg:127.73ms
step:46/1770 train_time:5876ms step_avg:127.73ms
step:47/1770 train_time:6003ms step_avg:127.72ms
step:48/1770 train_time:6130ms step_avg:127.71ms
step:49/1770 train_time:6256ms step_avg:127.68ms
step:50/1770 train_time:6382ms step_avg:127.65ms
step:50/1770 val_loss:8.2181 train_time:6389ms step_avg:127.77ms
step:51/1770 train_time:6512ms step_avg:127.68ms
step:52/1770 train_time:6640ms step_avg:127.69ms
step:53/1770 train_time:6766ms step_avg:127.67ms
step:54/1770 train_time:6894ms step_avg:127.67ms
step:55/1770 train_time:7024ms step_avg:127.71ms
step:56/1770 train_time:7159ms step_avg:127.84ms
step:57/1770 train_time:7289ms step_avg:127.88ms
step:58/1770 train_time:7415ms step_avg:127.84ms
step:59/1770 train_time:7553ms step_avg:128.02ms
step:60/1770 train_time:7685ms step_avg:128.09ms
step:61/1770 train_time:7817ms step_avg:128.15ms
step:62/1770 train_time:7951ms step_avg:128.24ms
step:63/1770 train_time:8072ms step_avg:128.12ms
step:64/1770 train_time:8191ms step_avg:127.99ms
step:65/1770 train_time:8314ms step_avg:127.90ms
step:66/1770 train_time:8437ms step_avg:127.83ms
step:67/1770 train_time:8564ms step_avg:127.82ms
