logs/c43f9c2e-019c-45a0-a91c-e64f82cabee9.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:17<03:32,  8.17it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:1.45ms
step:1/1770 train_time:197ms step_avg:196.75ms
step:2/1770 train_time:320ms step_avg:160.06ms
step:3/1770 train_time:447ms step_avg:149.05ms
step:4/1770 train_time:567ms step_avg:141.83ms
step:5/1770 train_time:691ms step_avg:138.22ms
step:6/1770 train_time:814ms step_avg:135.70ms
step:7/1770 train_time:941ms step_avg:134.44ms
step:8/1770 train_time:1068ms step_avg:133.50ms
step:9/1770 train_time:1190ms step_avg:132.27ms
step:10/1770 train_time:1318ms step_avg:131.83ms
step:11/1770 train_time:1448ms step_avg:131.66ms
step:12/1770 train_time:1573ms step_avg:131.10ms
step:13/1770 train_time:1700ms step_avg:130.80ms
step:14/1770 train_time:1830ms step_avg:130.72ms
step:15/1770 train_time:1954ms step_avg:130.30ms
step:16/1770 train_time:2078ms step_avg:129.86ms
step:17/1770 train_time:2206ms step_avg:129.75ms
step:18/1770 train_time:2334ms step_avg:129.66ms
step:19/1770 train_time:2449ms step_avg:128.89ms
step:20/1770 train_time:2575ms step_avg:128.76ms
step:21/1770 train_time:2698ms step_avg:128.47ms
step:22/1770 train_time:2818ms step_avg:128.10ms
step:23/1770 train_time:2940ms step_avg:127.82ms
step:24/1770 train_time:3065ms step_avg:127.71ms
step:25/1770 train_time:3186ms step_avg:127.44ms
step:26/1770 train_time:3310ms step_avg:127.31ms
step:27/1770 train_time:3431ms step_avg:127.07ms
step:28/1770 train_time:3554ms step_avg:126.94ms
step:29/1770 train_time:3679ms step_avg:126.86ms
step:30/1770 train_time:3799ms step_avg:126.63ms
step:31/1770 train_time:3918ms step_avg:126.40ms
step:32/1770 train_time:4036ms step_avg:126.12ms
step:33/1770 train_time:4157ms step_avg:125.96ms
step:34/1770 train_time:4277ms step_avg:125.79ms
step:35/1770 train_time:4404ms step_avg:125.82ms
step:36/1770 train_time:4530ms step_avg:125.83ms
step:37/1770 train_time:4656ms step_avg:125.82ms
step:38/1770 train_time:4778ms step_avg:125.74ms
step:39/1770 train_time:4905ms step_avg:125.77ms
step:40/1770 train_time:5028ms step_avg:125.70ms
step:41/1770 train_time:5148ms step_avg:125.56ms
step:42/1770 train_time:5272ms step_avg:125.53ms
step:43/1770 train_time:5401ms step_avg:125.60ms
