logs/741c6153-bb22-422e-b018-3445cecb1d56.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:17<04:04,  7.11it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:1.21ms
step:1/1770 train_time:196ms step_avg:195.74ms
step:2/1770 train_time:329ms step_avg:164.30ms
step:3/1770 train_time:465ms step_avg:155.13ms
step:4/1770 train_time:597ms step_avg:149.30ms
step:5/1770 train_time:735ms step_avg:146.96ms
step:6/1770 train_time:863ms step_avg:143.80ms
step:7/1770 train_time:1001ms step_avg:143.03ms
step:8/1770 train_time:1133ms step_avg:141.58ms
step:9/1770 train_time:1265ms step_avg:140.52ms
step:10/1770 train_time:1394ms step_avg:139.39ms
step:11/1770 train_time:1528ms step_avg:138.93ms
step:12/1770 train_time:1663ms step_avg:138.56ms
step:13/1770 train_time:1799ms step_avg:138.35ms
step:14/1770 train_time:1929ms step_avg:137.79ms
step:15/1770 train_time:2063ms step_avg:137.52ms
step:16/1770 train_time:2197ms step_avg:137.31ms
step:17/1770 train_time:2334ms step_avg:137.30ms
step:18/1770 train_time:2470ms step_avg:137.25ms
step:19/1770 train_time:2611ms step_avg:137.41ms
step:20/1770 train_time:2749ms step_avg:137.44ms
step:21/1770 train_time:2892ms step_avg:137.71ms
step:22/1770 train_time:3033ms step_avg:137.87ms
step:23/1770 train_time:3171ms step_avg:137.87ms
step:24/1770 train_time:3300ms step_avg:137.49ms
step:25/1770 train_time:3436ms step_avg:137.45ms
step:26/1770 train_time:3572ms step_avg:137.38ms
step:27/1770 train_time:3704ms step_avg:137.19ms
step:28/1770 train_time:3846ms step_avg:137.36ms
step:29/1770 train_time:3982ms step_avg:137.32ms
step:30/1770 train_time:4131ms step_avg:137.70ms
step:31/1770 train_time:4268ms step_avg:137.69ms
step:32/1770 train_time:4402ms step_avg:137.57ms
step:33/1770 train_time:4539ms step_avg:137.53ms
step:34/1770 train_time:4673ms step_avg:137.44ms
step:35/1770 train_time:4809ms step_avg:137.40ms
step:36/1770 train_time:4947ms step_avg:137.42ms
step:37/1770 train_time:5085ms step_avg:137.44ms
step:38/1770 train_time:5223ms step_avg:137.44ms
step:39/1770 train_time:5357ms step_avg:137.36ms
step:40/1770 train_time:5493ms step_avg:137.31ms
step:41/1770 train_time:5622ms step_avg:137.12ms
step:42/1770 train_time:5756ms step_avg:137.04ms
step:43/1770 train_time:5892ms step_avg:137.01ms
step:44/1770 train_time:6025ms step_avg:136.93ms
step:45/1770 train_time:6160ms step_avg:136.89ms
step:46/1770 train_time:6295ms step_avg:136.86ms
step:47/1770 train_time:6429ms step_avg:136.80ms
step:48/1770 train_time:6560ms step_avg:136.67ms
step:49/1770 train_time:6694ms step_avg:136.61ms
step:50/1770 train_time:6833ms step_avg:136.66ms
step:50/1770 val_loss:8.2101 train_time:6834ms step_avg:136.67ms
step:51/1770 train_time:6977ms step_avg:136.80ms
step:52/1770 train_time:7108ms step_avg:136.69ms
step:53/1770 train_time:7242ms step_avg:136.64ms
step:54/1770 train_time:7372ms step_avg:136.53ms
step:55/1770 train_time:7506ms step_avg:136.47ms
step:56/1770 train_time:7637ms step_avg:136.38ms
step:57/1770 train_time:7768ms step_avg:136.29ms
step:58/1770 train_time:7909ms step_avg:136.35ms
step:59/1770 train_time:8043ms step_avg:136.32ms
step:60/1770 train_time:8181ms step_avg:136.34ms
step:61/1770 train_time:8313ms step_avg:136.27ms
step:62/1770 train_time:8446ms step_avg:136.23ms
step:63/1770 train_time:8585ms step_avg:136.27ms
step:64/1770 train_time:8713ms step_avg:136.14ms
step:65/1770 train_time:8855ms step_avg:136.23ms
step:66/1770 train_time:8994ms step_avg:136.28ms
step:67/1770 train_time:9128ms step_avg:136.24ms
step:68/1770 train_time:9260ms step_avg:136.18ms
step:69/1770 train_time:9400ms step_avg:136.23ms
step:70/1770 train_time:9537ms step_avg:136.24ms
step:71/1770 train_time:9673ms step_avg:136.24ms
step:72/1770 train_time:9811ms step_avg:136.26ms
step:73/1770 train_time:9944ms step_avg:136.22ms
step:74/1770 train_time:10076ms step_avg:136.16ms
step:75/1770 train_time:10218ms step_avg:136.24ms
step:76/1770 train_time:10354ms step_avg:136.24ms
step:77/1770 train_time:10488ms step_avg:136.21ms
step:78/1770 train_time:10621ms step_avg:136.17ms
step:79/1770 train_time:10757ms step_avg:136.17ms
step:80/1770 train_time:10893ms step_avg:136.16ms
step:81/1770 train_time:11026ms step_avg:136.12ms
step:82/1770 train_time:11161ms step_avg:136.11ms
step:83/1770 train_time:11298ms step_avg:136.12ms
step:84/1770 train_time:11437ms step_avg:136.16ms
step:85/1770 train_time:11572ms step_avg:136.14ms
step:86/1770 train_time:11715ms step_avg:136.23ms
step:87/1770 train_time:11854ms step_avg:136.25ms
step:88/1770 train_time:11992ms step_avg:136.27ms
step:89/1770 train_time:12129ms step_avg:136.28ms
step:90/1770 train_time:12270ms step_avg:136.34ms
step:91/1770 train_time:12401ms step_avg:136.28ms
step:92/1770 train_time:12535ms step_avg:136.25ms
step:93/1770 train_time:12674ms step_avg:136.28ms
step:94/1770 train_time:12810ms step_avg:136.27ms
step:95/1770 train_time:12944ms step_avg:136.26ms
step:96/1770 train_time:13080ms step_avg:136.25ms
step:97/1770 train_time:13216ms step_avg:136.25ms
step:98/1770 train_time:13350ms step_avg:136.23ms
step:99/1770 train_time:13492ms step_avg:136.28ms
step:100/1770 train_time:13628ms step_avg:136.28ms
step:100/1770 val_loss:7.1262 train_time:13632ms step_avg:136.32ms
step:101/1770 train_time:13773ms step_avg:136.37ms
step:102/1770 train_time:13910ms step_avg:136.37ms
step:103/1770 train_time:14044ms step_avg:136.35ms
step:104/1770 train_time:14176ms step_avg:136.30ms
step:105/1770 train_time:14303ms step_avg:136.22ms
step:106/1770 train_time:14441ms step_avg:136.24ms
step:107/1770 train_time:14582ms step_avg:136.28ms
step:108/1770 train_time:14716ms step_avg:136.26ms
step:109/1770 train_time:14854ms step_avg:136.27ms
step:110/1770 train_time:14988ms step_avg:136.25ms
step:111/1770 train_time:15125ms step_avg:136.26ms
step:112/1770 train_time:15257ms step_avg:136.22ms
step:113/1770 train_time:15398ms step_avg:136.26ms
step:114/1770 train_time:15525ms step_avg:136.19ms
step:115/1770 train_time:15659ms step_avg:136.16ms
step:116/1770 train_time:15797ms step_avg:136.18ms
step:117/1770 train_time:15935ms step_avg:136.20ms
step:118/1770 train_time:16073ms step_avg:136.21ms
step:119/1770 train_time:16212ms step_avg:136.23ms
step:120/1770 train_time:16356ms step_avg:136.30ms
step:121/1770 train_time:16498ms step_avg:136.34ms
step:122/1770 train_time:16633ms step_avg:136.33ms
step:123/1770 train_time:16769ms step_avg:136.34ms
step:124/1770 train_time:16909ms step_avg:136.36ms
step:125/1770 train_time:17037ms step_avg:136.30ms
step:126/1770 train_time:17172ms step_avg:136.29ms
step:127/1770 train_time:17304ms step_avg:136.25ms
step:128/1770 train_time:17445ms step_avg:136.29ms
step:129/1770 train_time:17576ms step_avg:136.25ms
step:130/1770 train_time:17712ms step_avg:136.24ms
step:131/1770 train_time:17851ms step_avg:136.26ms
step:132/1770 train_time:17988ms step_avg:136.27ms
step:133/1770 train_time:18123ms step_avg:136.26ms
step:134/1770 train_time:18261ms step_avg:136.28ms
step:135/1770 train_time:18394ms step_avg:136.25ms
step:136/1770 train_time:18530ms step_avg:136.25ms
step:137/1770 train_time:18667ms step_avg:136.25ms
step:138/1770 train_time:18802ms step_avg:136.25ms
step:139/1770 train_time:18936ms step_avg:136.23ms
step:140/1770 train_time:19070ms step_avg:136.21ms
step:141/1770 train_time:19202ms step_avg:136.19ms
step:142/1770 train_time:19342ms step_avg:136.21ms
step:143/1770 train_time:19480ms step_avg:136.23ms
step:144/1770 train_time:19619ms step_avg:136.25ms
step:145/1770 train_time:19764ms step_avg:136.30ms
step:146/1770 train_time:19907ms step_avg:136.35ms
step:147/1770 train_time:20050ms step_avg:136.39ms
step:148/1770 train_time:20190ms step_avg:136.42ms
step:149/1770 train_time:20331ms step_avg:136.45ms
step:150/1770 train_time:20471ms step_avg:136.47ms
step:150/1770 val_loss:6.9328 train_time:20472ms step_avg:136.48ms
step:151/1770 train_time:20605ms step_avg:136.46ms
step:152/1770 train_time:20738ms step_avg:136.43ms
step:153/1770 train_time:20870ms step_avg:136.40ms
step:154/1770 train_time:21000ms step_avg:136.37ms
step:155/1770 train_time:21134ms step_avg:136.35ms
step:156/1770 train_time:21273ms step_avg:136.36ms
step:157/1770 train_time:21413ms step_avg:136.39ms
step:158/1770 train_time:21548ms step_avg:136.38ms
step:159/1770 train_time:21684ms step_avg:136.38ms
step:160/1770 train_time:21821ms step_avg:136.38ms
step:161/1770 train_time:21955ms step_avg:136.37ms
step:162/1770 train_time:22092ms step_avg:136.37ms
step:163/1770 train_time:22225ms step_avg:136.35ms
step:164/1770 train_time:22360ms step_avg:136.34ms
step:165/1770 train_time:22496ms step_avg:136.34ms
step:166/1770 train_time:22632ms step_avg:136.33ms
step:167/1770 train_time:22766ms step_avg:136.33ms
step:168/1770 train_time:22900ms step_avg:136.31ms
step:169/1770 train_time:23038ms step_avg:136.32ms
step:170/1770 train_time:23175ms step_avg:136.32ms
step:171/1770 train_time:23307ms step_avg:136.30ms
step:172/1770 train_time:23452ms step_avg:136.35ms
step:173/1770 train_time:23594ms step_avg:136.38ms
step:174/1770 train_time:23722ms step_avg:136.33ms
step:175/1770 train_time:23868ms step_avg:136.39ms
step:176/1770 train_time:24013ms step_avg:136.44ms
step:177/1770 train_time:24168ms step_avg:136.54ms
step:178/1770 train_time:24313ms step_avg:136.59ms
step:179/1770 train_time:24455ms step_avg:136.62ms
step:180/1770 train_time:24584ms step_avg:136.58ms
step:181/1770 train_time:24721ms step_avg:136.58ms
step:182/1770 train_time:24857ms step_avg:136.58ms
step:183/1770 train_time:24989ms step_avg:136.55ms
step:184/1770 train_time:25131ms step_avg:136.58ms
step:185/1770 train_time:25265ms step_avg:136.57ms
step:186/1770 train_time:25396ms step_avg:136.54ms
step:187/1770 train_time:25531ms step_avg:136.53ms
step:188/1770 train_time:25670ms step_avg:136.54ms
step:189/1770 train_time:25799ms step_avg:136.51ms
step:190/1770 train_time:25941ms step_avg:136.53ms
step:191/1770 train_time:26074ms step_avg:136.51ms
step:192/1770 train_time:26206ms step_avg:136.49ms
step:193/1770 train_time:26344ms step_avg:136.50ms
step:194/1770 train_time:26484ms step_avg:136.52ms
step:195/1770 train_time:26617ms step_avg:136.50ms
step:196/1770 train_time:26755ms step_avg:136.50ms
step:197/1770 train_time:26890ms step_avg:136.50ms
step:198/1770 train_time:27025ms step_avg:136.49ms
step:199/1770 train_time:27160ms step_avg:136.48ms
step:200/1770 train_time:27291ms step_avg:136.46ms
step:200/1770 val_loss:6.7597 train_time:27294ms step_avg:136.47ms
