logs/70b65313-bf38-42d2-bafd-a146215bc04c.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:17<03:34,  8.13it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:1.03ms
step:1/1770 train_time:191ms step_avg:191.27ms
step:2/1770 train_time:313ms step_avg:156.72ms
step:3/1770 train_time:432ms step_avg:144.16ms
step:4/1770 train_time:557ms step_avg:139.36ms
step:5/1770 train_time:678ms step_avg:135.59ms
step:6/1770 train_time:803ms step_avg:133.82ms
step:7/1770 train_time:923ms step_avg:131.82ms
step:8/1770 train_time:1053ms step_avg:131.68ms
step:9/1770 train_time:1178ms step_avg:130.87ms
step:10/1770 train_time:1310ms step_avg:130.97ms
step:11/1770 train_time:1424ms step_avg:129.49ms
step:12/1770 train_time:1551ms step_avg:129.25ms
step:13/1770 train_time:1668ms step_avg:128.27ms
step:14/1770 train_time:1792ms step_avg:128.00ms
step:15/1770 train_time:1912ms step_avg:127.46ms
step:16/1770 train_time:2039ms step_avg:127.45ms
step:17/1770 train_time:2162ms step_avg:127.19ms
step:18/1770 train_time:2291ms step_avg:127.29ms
step:19/1770 train_time:2416ms step_avg:127.17ms
step:20/1770 train_time:2544ms step_avg:127.19ms
step:21/1770 train_time:2665ms step_avg:126.92ms
step:22/1770 train_time:2790ms step_avg:126.81ms
step:23/1770 train_time:2918ms step_avg:126.85ms
step:24/1770 train_time:3040ms step_avg:126.68ms
step:25/1770 train_time:3164ms step_avg:126.57ms
step:26/1770 train_time:3291ms step_avg:126.59ms
step:27/1770 train_time:3420ms step_avg:126.65ms
step:28/1770 train_time:3539ms step_avg:126.38ms
step:29/1770 train_time:3661ms step_avg:126.25ms
step:30/1770 train_time:3782ms step_avg:126.07ms
step:31/1770 train_time:3912ms step_avg:126.21ms
step:32/1770 train_time:4034ms step_avg:126.05ms
step:33/1770 train_time:4156ms step_avg:125.93ms
step:34/1770 train_time:4279ms step_avg:125.84ms
step:35/1770 train_time:4403ms step_avg:125.79ms
step:36/1770 train_time:4522ms step_avg:125.62ms
step:37/1770 train_time:4645ms step_avg:125.55ms
step:38/1770 train_time:4774ms step_avg:125.62ms
step:39/1770 train_time:4900ms step_avg:125.63ms
step:40/1770 train_time:5021ms step_avg:125.54ms
step:41/1770 train_time:5152ms step_avg:125.66ms
step:42/1770 train_time:5277ms step_avg:125.63ms
step:43/1770 train_time:5399ms step_avg:125.55ms
step:44/1770 train_time:5526ms step_avg:125.59ms
step:45/1770 train_time:5644ms step_avg:125.42ms
step:46/1770 train_time:5764ms step_avg:125.30ms
step:47/1770 train_time:5890ms step_avg:125.33ms
step:48/1770 train_time:6010ms step_avg:125.20ms
step:49/1770 train_time:6132ms step_avg:125.15ms
step:50/1770 train_time:6258ms step_avg:125.17ms
step:50/1770 val_loss:8.1546 train_time:6259ms step_avg:125.19ms
step:51/1770 train_time:6384ms step_avg:125.18ms
step:52/1770 train_time:6512ms step_avg:125.23ms
step:53/1770 train_time:6631ms step_avg:125.10ms
step:54/1770 train_time:6756ms step_avg:125.11ms
step:55/1770 train_time:6875ms step_avg:125.01ms
step:56/1770 train_time:7006ms step_avg:125.11ms
step:57/1770 train_time:7130ms step_avg:125.08ms
step:58/1770 train_time:7252ms step_avg:125.04ms
step:59/1770 train_time:7373ms step_avg:124.97ms
step:60/1770 train_time:7491ms step_avg:124.86ms
step:61/1770 train_time:7613ms step_avg:124.80ms
step:62/1770 train_time:7737ms step_avg:124.79ms
step:63/1770 train_time:7864ms step_avg:124.82ms
step:64/1770 train_time:7992ms step_avg:124.88ms
step:65/1770 train_time:8123ms step_avg:124.96ms
step:66/1770 train_time:8255ms step_avg:125.08ms
step:67/1770 train_time:8392ms step_avg:125.25ms
step:68/1770 train_time:8519ms step_avg:125.28ms
step:69/1770 train_time:8649ms step_avg:125.35ms
step:70/1770 train_time:8778ms step_avg:125.41ms
step:71/1770 train_time:8900ms step_avg:125.36ms
step:72/1770 train_time:9018ms step_avg:125.25ms
step:73/1770 train_time:9138ms step_avg:125.18ms
step:74/1770 train_time:9262ms step_avg:125.16ms
step:75/1770 train_time:9376ms step_avg:125.01ms
step:76/1770 train_time:9498ms step_avg:124.97ms
step:77/1770 train_time:9615ms step_avg:124.87ms
step:78/1770 train_time:9731ms step_avg:124.76ms
step:79/1770 train_time:9852ms step_avg:124.71ms
step:80/1770 train_time:9969ms step_avg:124.61ms
step:81/1770 train_time:10087ms step_avg:124.53ms
step:82/1770 train_time:10206ms step_avg:124.47ms
step:83/1770 train_time:10324ms step_avg:124.39ms
step:84/1770 train_time:10440ms step_avg:124.29ms
step:85/1770 train_time:10560ms step_avg:124.23ms
step:86/1770 train_time:10682ms step_avg:124.20ms
step:87/1770 train_time:10807ms step_avg:124.21ms
step:88/1770 train_time:10940ms step_avg:124.31ms
step:89/1770 train_time:11061ms step_avg:124.28ms
step:90/1770 train_time:11184ms step_avg:124.27ms
step:91/1770 train_time:11309ms step_avg:124.27ms
step:92/1770 train_time:11442ms step_avg:124.37ms
