logs/ce79ce7e-bf62-4686-a59c-e056a753e4c6.txt
begin training
  2%|█▉                                                                                                                   | 30/1771 [00:17<03:56,  7.37it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:1.27ms
step:1/1770 train_time:218ms step_avg:217.90ms
step:2/1770 train_time:358ms step_avg:179.04ms
step:3/1770 train_time:501ms step_avg:166.94ms
step:4/1770 train_time:645ms step_avg:161.32ms
step:5/1770 train_time:791ms step_avg:158.17ms
step:6/1770 train_time:928ms step_avg:154.73ms
step:7/1770 train_time:1074ms step_avg:153.43ms
step:8/1770 train_time:1214ms step_avg:151.72ms
step:9/1770 train_time:1354ms step_avg:150.49ms
step:10/1770 train_time:1497ms step_avg:149.66ms
step:11/1770 train_time:1639ms step_avg:149.00ms
step:12/1770 train_time:1778ms step_avg:148.14ms
step:13/1770 train_time:1914ms step_avg:147.22ms
step:14/1770 train_time:2054ms step_avg:146.74ms
step:15/1770 train_time:2190ms step_avg:146.02ms
step:16/1770 train_time:2326ms step_avg:145.39ms
step:17/1770 train_time:2468ms step_avg:145.16ms
step:18/1770 train_time:2606ms step_avg:144.75ms
step:19/1770 train_time:2744ms step_avg:144.42ms
step:20/1770 train_time:2887ms step_avg:144.36ms
step:21/1770 train_time:3034ms step_avg:144.48ms
step:22/1770 train_time:3176ms step_avg:144.36ms
step:23/1770 train_time:3310ms step_avg:143.89ms
step:24/1770 train_time:3453ms step_avg:143.89ms
step:25/1770 train_time:3587ms step_avg:143.48ms
step:26/1770 train_time:3718ms step_avg:143.00ms
step:27/1770 train_time:3852ms step_avg:142.66ms
step:28/1770 train_time:3989ms step_avg:142.46ms
step:29/1770 train_time:4127ms step_avg:142.29ms
step:30/1770 train_time:4260ms step_avg:142.00ms
step:31/1770 train_time:4398ms step_avg:141.87ms
step:32/1770 train_time:4535ms step_avg:141.72ms
step:33/1770 train_time:4676ms step_avg:141.71ms
step:34/1770 train_time:4815ms step_avg:141.61ms
step:35/1770 train_time:4970ms step_avg:141.99ms
step:36/1770 train_time:5108ms step_avg:141.90ms
step:37/1770 train_time:5251ms step_avg:141.92ms
step:38/1770 train_time:5400ms step_avg:142.10ms
step:39/1770 train_time:5540ms step_avg:142.04ms
step:40/1770 train_time:5677ms step_avg:141.94ms
step:41/1770 train_time:5824ms step_avg:142.05ms
step:42/1770 train_time:5969ms step_avg:142.11ms
step:43/1770 train_time:6109ms step_avg:142.08ms
step:44/1770 train_time:6256ms step_avg:142.18ms
step:45/1770 train_time:6398ms step_avg:142.17ms
step:46/1770 train_time:6540ms step_avg:142.18ms
step:47/1770 train_time:6682ms step_avg:142.17ms
step:48/1770 train_time:6827ms step_avg:142.23ms
step:49/1770 train_time:6965ms step_avg:142.14ms
step:50/1770 train_time:7106ms step_avg:142.13ms
step:50/1770 val_loss:8.2498 train_time:7107ms step_avg:142.15ms
step:51/1770 train_time:7248ms step_avg:142.12ms
step:52/1770 train_time:7394ms step_avg:142.19ms
step:53/1770 train_time:7531ms step_avg:142.10ms
step:54/1770 train_time:7667ms step_avg:141.98ms
step:55/1770 train_time:7809ms step_avg:141.97ms
step:56/1770 train_time:7948ms step_avg:141.92ms
step:57/1770 train_time:8088ms step_avg:141.89ms
step:58/1770 train_time:8230ms step_avg:141.89ms
step:59/1770 train_time:8368ms step_avg:141.83ms
step:60/1770 train_time:8513ms step_avg:141.88ms
step:61/1770 train_time:8659ms step_avg:141.95ms
step:62/1770 train_time:8798ms step_avg:141.91ms
step:63/1770 train_time:8943ms step_avg:141.96ms
step:64/1770 train_time:9094ms step_avg:142.09ms
step:65/1770 train_time:9231ms step_avg:142.02ms
step:66/1770 train_time:9372ms step_avg:142.00ms
step:67/1770 train_time:9508ms step_avg:141.92ms
step:68/1770 train_time:9644ms step_avg:141.82ms
step:69/1770 train_time:9777ms step_avg:141.69ms
step:70/1770 train_time:9915ms step_avg:141.65ms
step:71/1770 train_time:10069ms step_avg:141.82ms
step:72/1770 train_time:10219ms step_avg:141.93ms
step:73/1770 train_time:10370ms step_avg:142.05ms
step:74/1770 train_time:10512ms step_avg:142.06ms
step:75/1770 train_time:10655ms step_avg:142.06ms
step:76/1770 train_time:10795ms step_avg:142.04ms
step:77/1770 train_time:10943ms step_avg:142.11ms
step:78/1770 train_time:11086ms step_avg:142.12ms
step:79/1770 train_time:11224ms step_avg:142.07ms
step:80/1770 train_time:11367ms step_avg:142.08ms
step:81/1770 train_time:11502ms step_avg:142.00ms
step:82/1770 train_time:11648ms step_avg:142.05ms
step:83/1770 train_time:11788ms step_avg:142.03ms
step:84/1770 train_time:11928ms step_avg:142.00ms
step:85/1770 train_time:12071ms step_avg:142.02ms
step:86/1770 train_time:12215ms step_avg:142.03ms
step:87/1770 train_time:12353ms step_avg:141.99ms
step:88/1770 train_time:12494ms step_avg:141.98ms
step:89/1770 train_time:12637ms step_avg:141.98ms
step:90/1770 train_time:12782ms step_avg:142.02ms
step:91/1770 train_time:12926ms step_avg:142.04ms
step:92/1770 train_time:13067ms step_avg:142.04ms
step:93/1770 train_time:13210ms step_avg:142.04ms
step:94/1770 train_time:13354ms step_avg:142.06ms
step:95/1770 train_time:13490ms step_avg:142.00ms
step:96/1770 train_time:13638ms step_avg:142.06ms
step:97/1770 train_time:13779ms step_avg:142.05ms
step:98/1770 train_time:13921ms step_avg:142.05ms
step:99/1770 train_time:14056ms step_avg:141.98ms
step:100/1770 train_time:14202ms step_avg:142.02ms
step:100/1770 val_loss:7.0877 train_time:14203ms step_avg:142.03ms
step:101/1770 train_time:14345ms step_avg:142.03ms
step:102/1770 train_time:14479ms step_avg:141.95ms
step:103/1770 train_time:14613ms step_avg:141.87ms
step:104/1770 train_time:14752ms step_avg:141.85ms
step:105/1770 train_time:14896ms step_avg:141.87ms
step:106/1770 train_time:15043ms step_avg:141.91ms
step:107/1770 train_time:15181ms step_avg:141.88ms
step:108/1770 train_time:15321ms step_avg:141.86ms
step:109/1770 train_time:15464ms step_avg:141.87ms
step:110/1770 train_time:15599ms step_avg:141.81ms
step:111/1770 train_time:15740ms step_avg:141.81ms
step:112/1770 train_time:15882ms step_avg:141.80ms
step:113/1770 train_time:16022ms step_avg:141.79ms
step:114/1770 train_time:16165ms step_avg:141.80ms
step:115/1770 train_time:16316ms step_avg:141.87ms
step:116/1770 train_time:16462ms step_avg:141.92ms
step:117/1770 train_time:16612ms step_avg:141.98ms
step:118/1770 train_time:16763ms step_avg:142.06ms
step:119/1770 train_time:16910ms step_avg:142.10ms
step:120/1770 train_time:17055ms step_avg:142.13ms
step:121/1770 train_time:17193ms step_avg:142.09ms
step:122/1770 train_time:17335ms step_avg:142.09ms
step:123/1770 train_time:17471ms step_avg:142.04ms
step:124/1770 train_time:17610ms step_avg:142.02ms
step:125/1770 train_time:17752ms step_avg:142.01ms
step:126/1770 train_time:17894ms step_avg:142.02ms
