logs/2848dc83-6487-4b0f-b835-8595b940a3a8.txt
begin training
  2%|█▉                                                                                                                   | 30/1771 [00:18<04:04,  7.11it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:1.27ms
step:1/1770 train_time:212ms step_avg:211.57ms
step:2/1770 train_time:346ms step_avg:173.13ms
step:3/1770 train_time:488ms step_avg:162.71ms
step:4/1770 train_time:629ms step_avg:157.31ms
step:5/1770 train_time:766ms step_avg:153.14ms
step:6/1770 train_time:906ms step_avg:150.98ms
step:7/1770 train_time:1046ms step_avg:149.40ms
step:8/1770 train_time:1178ms step_avg:147.23ms
step:9/1770 train_time:1315ms step_avg:146.14ms
step:10/1770 train_time:1457ms step_avg:145.69ms
step:11/1770 train_time:1598ms step_avg:145.26ms
step:12/1770 train_time:1736ms step_avg:144.66ms
step:13/1770 train_time:1876ms step_avg:144.27ms
step:14/1770 train_time:2013ms step_avg:143.75ms
step:15/1770 train_time:2148ms step_avg:143.20ms
step:16/1770 train_time:2285ms step_avg:142.79ms
step:17/1770 train_time:2433ms step_avg:143.09ms
step:18/1770 train_time:2577ms step_avg:143.19ms
step:19/1770 train_time:2718ms step_avg:143.05ms
step:20/1770 train_time:2861ms step_avg:143.07ms
step:21/1770 train_time:3001ms step_avg:142.89ms
step:22/1770 train_time:3138ms step_avg:142.62ms
step:23/1770 train_time:3277ms step_avg:142.49ms
step:24/1770 train_time:3422ms step_avg:142.60ms
step:25/1770 train_time:3567ms step_avg:142.69ms
step:26/1770 train_time:3708ms step_avg:142.62ms
step:27/1770 train_time:3843ms step_avg:142.32ms
step:28/1770 train_time:3988ms step_avg:142.41ms
step:29/1770 train_time:4131ms step_avg:142.44ms
step:30/1770 train_time:4268ms step_avg:142.27ms
step:31/1770 train_time:4412ms step_avg:142.31ms
step:32/1770 train_time:4550ms step_avg:142.18ms
step:33/1770 train_time:4690ms step_avg:142.12ms
step:34/1770 train_time:4825ms step_avg:141.92ms
step:35/1770 train_time:4961ms step_avg:141.73ms
step:36/1770 train_time:5099ms step_avg:141.65ms
step:37/1770 train_time:5232ms step_avg:141.41ms
step:38/1770 train_time:5376ms step_avg:141.47ms
step:39/1770 train_time:5516ms step_avg:141.42ms
step:40/1770 train_time:5661ms step_avg:141.52ms
step:41/1770 train_time:5798ms step_avg:141.42ms
step:42/1770 train_time:5942ms step_avg:141.47ms
step:43/1770 train_time:6079ms step_avg:141.37ms
step:44/1770 train_time:6219ms step_avg:141.34ms
step:45/1770 train_time:6357ms step_avg:141.27ms
step:46/1770 train_time:6490ms step_avg:141.08ms
step:47/1770 train_time:6631ms step_avg:141.09ms
step:48/1770 train_time:6765ms step_avg:140.93ms
step:49/1770 train_time:6903ms step_avg:140.87ms
step:50/1770 train_time:7036ms step_avg:140.72ms
step:50/1770 val_loss:8.4296 train_time:7037ms step_avg:140.74ms
step:51/1770 train_time:7177ms step_avg:140.73ms
step:52/1770 train_time:7318ms step_avg:140.73ms
step:53/1770 train_time:7458ms step_avg:140.72ms
step:54/1770 train_time:7597ms step_avg:140.69ms
step:55/1770 train_time:7733ms step_avg:140.60ms
step:56/1770 train_time:7872ms step_avg:140.57ms
step:57/1770 train_time:8008ms step_avg:140.48ms
step:58/1770 train_time:8143ms step_avg:140.39ms
step:59/1770 train_time:8277ms step_avg:140.28ms
step:60/1770 train_time:8408ms step_avg:140.14ms
step:61/1770 train_time:8547ms step_avg:140.12ms
step:62/1770 train_time:8689ms step_avg:140.15ms
step:63/1770 train_time:8828ms step_avg:140.13ms
step:64/1770 train_time:8966ms step_avg:140.10ms
step:65/1770 train_time:9104ms step_avg:140.07ms
step:66/1770 train_time:9237ms step_avg:139.96ms
step:67/1770 train_time:9378ms step_avg:139.97ms
step:68/1770 train_time:9510ms step_avg:139.85ms
step:69/1770 train_time:9648ms step_avg:139.83ms
step:70/1770 train_time:9784ms step_avg:139.78ms
step:71/1770 train_time:9920ms step_avg:139.72ms
step:72/1770 train_time:10056ms step_avg:139.66ms
step:73/1770 train_time:10191ms step_avg:139.61ms
step:74/1770 train_time:10330ms step_avg:139.60ms
step:75/1770 train_time:10467ms step_avg:139.56ms
step:76/1770 train_time:10605ms step_avg:139.54ms
step:77/1770 train_time:10743ms step_avg:139.52ms
step:78/1770 train_time:10879ms step_avg:139.47ms
step:79/1770 train_time:11026ms step_avg:139.57ms
step:80/1770 train_time:11161ms step_avg:139.51ms
step:81/1770 train_time:11298ms step_avg:139.48ms
step:82/1770 train_time:11434ms step_avg:139.44ms
step:83/1770 train_time:11567ms step_avg:139.36ms
step:84/1770 train_time:11707ms step_avg:139.37ms
step:85/1770 train_time:11843ms step_avg:139.33ms
step:86/1770 train_time:11977ms step_avg:139.26ms
step:87/1770 train_time:12116ms step_avg:139.27ms
step:88/1770 train_time:12254ms step_avg:139.25ms
step:89/1770 train_time:12390ms step_avg:139.22ms
step:90/1770 train_time:12531ms step_avg:139.24ms
step:91/1770 train_time:12668ms step_avg:139.21ms
step:92/1770 train_time:12801ms step_avg:139.14ms
