logs/7d961999-fb9f-4660-8fe1-4f1cef4b2576.txt
begin training
  2%|█▉                                                                                                                   | 30/1771 [00:17<03:45,  7.72it/s]
step:0/1770 val_loss:10.8258 train_time:2ms step_avg:1.58ms
step:1/1770 train_time:184ms step_avg:183.57ms
step:2/1770 train_time:309ms step_avg:154.31ms
step:3/1770 train_time:438ms step_avg:146.11ms
step:4/1770 train_time:563ms step_avg:140.75ms
step:5/1770 train_time:694ms step_avg:138.73ms
step:6/1770 train_time:823ms step_avg:137.17ms
step:7/1770 train_time:949ms step_avg:135.61ms
step:8/1770 train_time:1082ms step_avg:135.22ms
step:9/1770 train_time:1216ms step_avg:135.15ms
step:10/1770 train_time:1347ms step_avg:134.74ms
step:11/1770 train_time:1479ms step_avg:134.50ms
step:12/1770 train_time:1607ms step_avg:133.88ms
step:13/1770 train_time:1744ms step_avg:134.17ms
step:14/1770 train_time:1873ms step_avg:133.79ms
step:15/1770 train_time:2005ms step_avg:133.66ms
step:16/1770 train_time:2133ms step_avg:133.29ms
step:17/1770 train_time:2263ms step_avg:133.12ms
step:18/1770 train_time:2396ms step_avg:133.09ms
step:19/1770 train_time:2527ms step_avg:133.01ms
step:20/1770 train_time:2655ms step_avg:132.74ms
step:21/1770 train_time:2787ms step_avg:132.70ms
step:22/1770 train_time:2912ms step_avg:132.36ms
step:23/1770 train_time:3048ms step_avg:132.51ms
step:24/1770 train_time:3172ms step_avg:132.18ms
step:25/1770 train_time:3303ms step_avg:132.10ms
step:26/1770 train_time:3430ms step_avg:131.92ms
step:27/1770 train_time:3560ms step_avg:131.85ms
step:28/1770 train_time:3688ms step_avg:131.72ms
step:29/1770 train_time:3822ms step_avg:131.79ms
step:30/1770 train_time:3949ms step_avg:131.63ms
step:31/1770 train_time:4079ms step_avg:131.59ms
step:32/1770 train_time:4213ms step_avg:131.64ms
step:33/1770 train_time:4342ms step_avg:131.59ms
step:34/1770 train_time:4476ms step_avg:131.64ms
step:35/1770 train_time:4599ms step_avg:131.40ms
step:36/1770 train_time:4729ms step_avg:131.37ms
step:37/1770 train_time:4855ms step_avg:131.21ms
step:38/1770 train_time:4985ms step_avg:131.19ms
step:39/1770 train_time:5112ms step_avg:131.08ms
step:40/1770 train_time:5237ms step_avg:130.93ms
step:41/1770 train_time:5374ms step_avg:131.06ms
step:42/1770 train_time:5500ms step_avg:130.94ms
step:43/1770 train_time:5623ms step_avg:130.78ms
step:44/1770 train_time:5751ms step_avg:130.70ms
step:45/1770 train_time:5878ms step_avg:130.63ms
step:46/1770 train_time:6005ms step_avg:130.54ms
step:47/1770 train_time:6133ms step_avg:130.49ms
step:48/1770 train_time:6261ms step_avg:130.45ms
step:49/1770 train_time:6391ms step_avg:130.44ms
step:50/1770 train_time:6528ms step_avg:130.56ms
step:50/1770 val_loss:8.4513 train_time:6529ms step_avg:130.59ms
step:51/1770 train_time:6661ms step_avg:130.62ms
step:52/1770 train_time:6795ms step_avg:130.68ms
step:53/1770 train_time:6921ms step_avg:130.58ms
step:54/1770 train_time:7049ms step_avg:130.54ms
step:55/1770 train_time:7180ms step_avg:130.54ms
step:56/1770 train_time:7309ms step_avg:130.52ms
step:57/1770 train_time:7439ms step_avg:130.51ms
step:58/1770 train_time:7569ms step_avg:130.49ms
step:59/1770 train_time:7699ms step_avg:130.50ms
step:60/1770 train_time:7827ms step_avg:130.45ms
step:61/1770 train_time:7958ms step_avg:130.46ms
step:62/1770 train_time:8089ms step_avg:130.46ms
step:63/1770 train_time:8214ms step_avg:130.38ms
step:64/1770 train_time:8343ms step_avg:130.36ms
step:65/1770 train_time:8469ms step_avg:130.29ms
step:66/1770 train_time:8595ms step_avg:130.23ms
step:67/1770 train_time:8725ms step_avg:130.23ms
step:68/1770 train_time:8850ms step_avg:130.15ms
step:69/1770 train_time:8975ms step_avg:130.07ms
step:70/1770 train_time:9098ms step_avg:129.97ms
step:71/1770 train_time:9224ms step_avg:129.92ms
step:72/1770 train_time:9357ms step_avg:129.96ms
step:73/1770 train_time:9487ms step_avg:129.96ms
step:74/1770 train_time:9619ms step_avg:129.98ms
step:75/1770 train_time:9755ms step_avg:130.06ms
step:76/1770 train_time:9890ms step_avg:130.13ms
step:77/1770 train_time:10016ms step_avg:130.07ms
step:78/1770 train_time:10148ms step_avg:130.10ms
step:79/1770 train_time:10271ms step_avg:130.01ms
step:80/1770 train_time:10409ms step_avg:130.12ms
step:81/1770 train_time:10534ms step_avg:130.04ms
step:82/1770 train_time:10658ms step_avg:129.97ms
step:83/1770 train_time:10785ms step_avg:129.94ms
step:84/1770 train_time:10914ms step_avg:129.93ms
step:85/1770 train_time:11036ms step_avg:129.83ms
step:86/1770 train_time:11165ms step_avg:129.82ms
step:87/1770 train_time:11290ms step_avg:129.78ms
step:88/1770 train_time:11422ms step_avg:129.79ms
step:89/1770 train_time:11548ms step_avg:129.75ms
step:90/1770 train_time:11674ms step_avg:129.71ms
step:91/1770 train_time:11806ms step_avg:129.74ms
step:92/1770 train_time:11933ms step_avg:129.71ms
step:93/1770 train_time:12056ms step_avg:129.63ms
step:94/1770 train_time:12183ms step_avg:129.61ms
step:95/1770 train_time:12316ms step_avg:129.65ms
step:96/1770 train_time:12440ms step_avg:129.58ms
step:97/1770 train_time:12565ms step_avg:129.54ms
step:98/1770 train_time:12693ms step_avg:129.53ms
step:99/1770 train_time:12830ms step_avg:129.60ms
step:100/1770 train_time:12956ms step_avg:129.56ms
step:100/1770 val_loss:7.0956 train_time:12962ms step_avg:129.62ms
step:101/1770 train_time:13090ms step_avg:129.60ms
step:102/1770 train_time:13216ms step_avg:129.57ms
step:103/1770 train_time:13349ms step_avg:129.60ms
step:104/1770 train_time:13481ms step_avg:129.63ms
step:105/1770 train_time:13613ms step_avg:129.65ms
step:106/1770 train_time:13745ms step_avg:129.67ms
step:107/1770 train_time:13872ms step_avg:129.64ms
step:108/1770 train_time:14001ms step_avg:129.64ms
step:109/1770 train_time:14133ms step_avg:129.66ms
step:110/1770 train_time:14263ms step_avg:129.67ms
step:111/1770 train_time:14389ms step_avg:129.63ms
step:112/1770 train_time:14515ms step_avg:129.60ms
step:113/1770 train_time:14640ms step_avg:129.56ms
step:114/1770 train_time:14766ms step_avg:129.53ms
step:115/1770 train_time:14896ms step_avg:129.53ms
step:116/1770 train_time:15025ms step_avg:129.53ms
step:117/1770 train_time:15153ms step_avg:129.51ms
step:118/1770 train_time:15280ms step_avg:129.49ms
step:119/1770 train_time:15407ms step_avg:129.47ms
step:120/1770 train_time:15535ms step_avg:129.46ms
step:121/1770 train_time:15661ms step_avg:129.43ms
step:122/1770 train_time:15789ms step_avg:129.42ms
step:123/1770 train_time:15918ms step_avg:129.41ms
step:124/1770 train_time:16047ms step_avg:129.41ms
step:125/1770 train_time:16184ms step_avg:129.47ms
step:126/1770 train_time:16311ms step_avg:129.45ms
step:127/1770 train_time:16441ms step_avg:129.46ms
step:128/1770 train_time:16571ms step_avg:129.46ms
step:129/1770 train_time:16701ms step_avg:129.47ms
step:130/1770 train_time:16828ms step_avg:129.45ms
step:131/1770 train_time:16956ms step_avg:129.43ms
step:132/1770 train_time:17077ms step_avg:129.37ms
step:133/1770 train_time:17204ms step_avg:129.36ms
step:134/1770 train_time:17339ms step_avg:129.40ms
step:135/1770 train_time:17472ms step_avg:129.42ms
step:136/1770 train_time:17598ms step_avg:129.40ms
step:137/1770 train_time:17731ms step_avg:129.43ms
step:138/1770 train_time:17864ms step_avg:129.45ms
step:139/1770 train_time:17997ms step_avg:129.47ms
step:140/1770 train_time:18133ms step_avg:129.52ms
step:141/1770 train_time:18264ms step_avg:129.53ms
step:142/1770 train_time:18400ms step_avg:129.58ms
step:143/1770 train_time:18530ms step_avg:129.58ms
step:144/1770 train_time:18663ms step_avg:129.60ms
step:145/1770 train_time:18792ms step_avg:129.60ms
step:146/1770 train_time:18924ms step_avg:129.62ms
step:147/1770 train_time:19056ms step_avg:129.63ms
step:148/1770 train_time:19185ms step_avg:129.63ms
step:149/1770 train_time:19310ms step_avg:129.60ms
step:150/1770 train_time:19444ms step_avg:129.62ms
step:150/1770 val_loss:6.9268 train_time:19445ms step_avg:129.63ms
step:151/1770 train_time:19571ms step_avg:129.61ms
step:152/1770 train_time:19701ms step_avg:129.61ms
step:153/1770 train_time:19827ms step_avg:129.59ms
step:154/1770 train_time:19960ms step_avg:129.61ms
