logs/a34619a9-a157-44e5-a9b2-e8ed84d39a6e.txt
begin training
  2%|█▉                                                                                                                   | 30/1771 [00:17<03:53,  7.45it/s]
step:0/1770 val_loss:10.8258 train_time:2ms step_avg:1.70ms
step:1/1770 train_time:199ms step_avg:198.71ms
step:2/1770 train_time:327ms step_avg:163.67ms
step:3/1770 train_time:453ms step_avg:150.96ms
step:4/1770 train_time:580ms step_avg:145.01ms
step:5/1770 train_time:704ms step_avg:140.83ms
step:6/1770 train_time:834ms step_avg:139.02ms
step:7/1770 train_time:967ms step_avg:138.09ms
step:8/1770 train_time:1091ms step_avg:136.36ms
step:9/1770 train_time:1226ms step_avg:136.25ms
step:10/1770 train_time:1362ms step_avg:136.25ms
step:11/1770 train_time:1493ms step_avg:135.77ms
step:12/1770 train_time:1627ms step_avg:135.55ms
step:13/1770 train_time:1753ms step_avg:134.88ms
step:14/1770 train_time:1890ms step_avg:134.98ms
step:15/1770 train_time:2037ms step_avg:135.78ms
step:16/1770 train_time:2181ms step_avg:136.33ms
step:17/1770 train_time:2315ms step_avg:136.15ms
step:18/1770 train_time:2451ms step_avg:136.17ms
step:19/1770 train_time:2595ms step_avg:136.58ms
step:20/1770 train_time:2735ms step_avg:136.74ms
step:21/1770 train_time:2878ms step_avg:137.07ms
step:22/1770 train_time:3018ms step_avg:137.18ms
step:23/1770 train_time:3168ms step_avg:137.72ms
step:24/1770 train_time:3302ms step_avg:137.60ms
step:25/1770 train_time:3438ms step_avg:137.52ms
step:26/1770 train_time:3574ms step_avg:137.46ms
step:27/1770 train_time:3707ms step_avg:137.28ms
step:28/1770 train_time:3840ms step_avg:137.16ms
step:29/1770 train_time:3978ms step_avg:137.17ms
step:30/1770 train_time:4107ms step_avg:136.91ms
step:31/1770 train_time:4244ms step_avg:136.89ms
step:32/1770 train_time:4379ms step_avg:136.84ms
step:33/1770 train_time:4503ms step_avg:136.46ms
step:34/1770 train_time:4631ms step_avg:136.22ms
step:35/1770 train_time:4763ms step_avg:136.09ms
step:36/1770 train_time:4894ms step_avg:135.96ms
step:37/1770 train_time:5025ms step_avg:135.81ms
step:38/1770 train_time:5155ms step_avg:135.65ms
step:39/1770 train_time:5282ms step_avg:135.44ms
step:40/1770 train_time:5411ms step_avg:135.27ms
step:41/1770 train_time:5543ms step_avg:135.18ms
step:42/1770 train_time:5670ms step_avg:134.99ms
step:43/1770 train_time:5805ms step_avg:134.99ms
step:44/1770 train_time:5934ms step_avg:134.86ms
step:45/1770 train_time:6065ms step_avg:134.77ms
step:46/1770 train_time:6193ms step_avg:134.63ms
step:47/1770 train_time:6331ms step_avg:134.71ms
step:48/1770 train_time:6465ms step_avg:134.69ms
step:49/1770 train_time:6591ms step_avg:134.52ms
step:50/1770 train_time:6718ms step_avg:134.37ms
step:50/1770 val_loss:8.4750 train_time:6723ms step_avg:134.46ms
step:51/1770 train_time:6869ms step_avg:134.68ms
step:52/1770 train_time:7001ms step_avg:134.64ms
step:53/1770 train_time:7130ms step_avg:134.52ms
step:54/1770 train_time:7263ms step_avg:134.50ms
step:55/1770 train_time:7400ms step_avg:134.54ms
step:56/1770 train_time:7537ms step_avg:134.59ms
step:57/1770 train_time:7668ms step_avg:134.53ms
step:58/1770 train_time:7798ms step_avg:134.44ms
step:59/1770 train_time:7932ms step_avg:134.43ms
step:60/1770 train_time:8063ms step_avg:134.39ms
step:61/1770 train_time:8196ms step_avg:134.36ms
step:62/1770 train_time:8331ms step_avg:134.37ms
step:63/1770 train_time:8464ms step_avg:134.34ms
step:64/1770 train_time:8592ms step_avg:134.25ms
step:65/1770 train_time:8721ms step_avg:134.17ms
step:66/1770 train_time:8846ms step_avg:134.03ms
step:67/1770 train_time:8974ms step_avg:133.94ms
step:68/1770 train_time:9110ms step_avg:133.97ms
step:69/1770 train_time:9243ms step_avg:133.96ms
step:70/1770 train_time:9377ms step_avg:133.96ms
step:71/1770 train_time:9506ms step_avg:133.89ms
step:72/1770 train_time:9648ms step_avg:134.00ms
step:73/1770 train_time:9781ms step_avg:133.99ms
step:74/1770 train_time:9913ms step_avg:133.96ms
step:75/1770 train_time:10052ms step_avg:134.03ms
step:76/1770 train_time:10181ms step_avg:133.96ms
step:77/1770 train_time:10316ms step_avg:133.97ms
step:78/1770 train_time:10456ms step_avg:134.05ms
step:79/1770 train_time:10586ms step_avg:134.00ms
step:80/1770 train_time:10720ms step_avg:134.00ms
step:81/1770 train_time:10858ms step_avg:134.05ms
step:82/1770 train_time:10993ms step_avg:134.07ms
step:83/1770 train_time:11123ms step_avg:134.01ms
step:84/1770 train_time:11254ms step_avg:133.98ms
step:85/1770 train_time:11393ms step_avg:134.03ms
step:86/1770 train_time:11526ms step_avg:134.03ms
step:87/1770 train_time:11659ms step_avg:134.01ms
step:88/1770 train_time:11795ms step_avg:134.03ms
step:89/1770 train_time:11930ms step_avg:134.05ms
step:90/1770 train_time:12065ms step_avg:134.05ms
step:91/1770 train_time:12198ms step_avg:134.04ms
step:92/1770 train_time:12334ms step_avg:134.07ms
step:93/1770 train_time:12466ms step_avg:134.04ms
step:94/1770 train_time:12599ms step_avg:134.03ms
step:95/1770 train_time:12726ms step_avg:133.96ms
step:96/1770 train_time:12859ms step_avg:133.95ms
step:97/1770 train_time:12992ms step_avg:133.94ms
step:98/1770 train_time:13123ms step_avg:133.91ms
step:99/1770 train_time:13253ms step_avg:133.87ms
step:100/1770 train_time:13384ms step_avg:133.84ms
step:100/1770 val_loss:7.1400 train_time:13387ms step_avg:133.87ms
step:101/1770 train_time:13520ms step_avg:133.86ms
step:102/1770 train_time:13659ms step_avg:133.92ms
step:103/1770 train_time:13792ms step_avg:133.90ms
step:104/1770 train_time:13923ms step_avg:133.88ms
step:105/1770 train_time:14055ms step_avg:133.86ms
step:106/1770 train_time:14190ms step_avg:133.87ms
step:107/1770 train_time:14319ms step_avg:133.82ms
step:108/1770 train_time:14447ms step_avg:133.77ms
step:109/1770 train_time:14585ms step_avg:133.81ms
step:110/1770 train_time:14720ms step_avg:133.82ms
step:111/1770 train_time:14855ms step_avg:133.83ms
step:112/1770 train_time:14991ms step_avg:133.85ms
step:113/1770 train_time:15122ms step_avg:133.83ms
step:114/1770 train_time:15257ms step_avg:133.83ms
step:115/1770 train_time:15387ms step_avg:133.80ms
step:116/1770 train_time:15520ms step_avg:133.79ms
step:117/1770 train_time:15655ms step_avg:133.80ms
step:118/1770 train_time:15787ms step_avg:133.79ms
step:119/1770 train_time:15922ms step_avg:133.80ms
step:120/1770 train_time:16055ms step_avg:133.79ms
step:121/1770 train_time:16188ms step_avg:133.78ms
step:122/1770 train_time:16317ms step_avg:133.74ms
step:123/1770 train_time:16445ms step_avg:133.70ms
step:124/1770 train_time:16578ms step_avg:133.70ms
step:125/1770 train_time:16708ms step_avg:133.66ms
step:126/1770 train_time:16842ms step_avg:133.67ms
step:127/1770 train_time:16978ms step_avg:133.69ms
step:128/1770 train_time:17113ms step_avg:133.70ms
step:129/1770 train_time:17250ms step_avg:133.72ms
step:130/1770 train_time:17383ms step_avg:133.72ms
step:131/1770 train_time:17524ms step_avg:133.77ms
step:132/1770 train_time:17658ms step_avg:133.77ms
step:133/1770 train_time:17790ms step_avg:133.76ms
step:134/1770 train_time:17924ms step_avg:133.76ms
step:135/1770 train_time:18060ms step_avg:133.78ms
step:136/1770 train_time:18192ms step_avg:133.76ms
step:137/1770 train_time:18320ms step_avg:133.72ms
step:138/1770 train_time:18455ms step_avg:133.73ms
step:139/1770 train_time:18589ms step_avg:133.74ms
step:140/1770 train_time:18722ms step_avg:133.73ms
step:141/1770 train_time:18855ms step_avg:133.72ms
step:142/1770 train_time:18983ms step_avg:133.68ms
step:143/1770 train_time:19116ms step_avg:133.68ms
step:144/1770 train_time:19253ms step_avg:133.70ms
step:145/1770 train_time:19386ms step_avg:133.69ms
step:146/1770 train_time:19524ms step_avg:133.73ms
step:147/1770 train_time:19651ms step_avg:133.68ms
step:148/1770 train_time:19784ms step_avg:133.68ms
step:149/1770 train_time:19916ms step_avg:133.66ms
step:150/1770 train_time:20048ms step_avg:133.65ms
step:150/1770 val_loss:6.9246 train_time:20050ms step_avg:133.67ms
step:151/1770 train_time:20193ms step_avg:133.73ms
step:152/1770 train_time:20322ms step_avg:133.70ms
step:153/1770 train_time:20448ms step_avg:133.65ms
step:154/1770 train_time:20590ms step_avg:133.70ms
step:155/1770 train_time:20720ms step_avg:133.68ms
step:156/1770 train_time:20853ms step_avg:133.67ms
step:157/1770 train_time:20978ms step_avg:133.62ms
step:158/1770 train_time:21107ms step_avg:133.59ms
step:159/1770 train_time:21236ms step_avg:133.56ms
step:160/1770 train_time:21374ms step_avg:133.59ms
step:161/1770 train_time:21511ms step_avg:133.61ms
step:162/1770 train_time:21652ms step_avg:133.66ms
step:163/1770 train_time:21806ms step_avg:133.78ms
step:164/1770 train_time:21944ms step_avg:133.81ms
step:165/1770 train_time:22081ms step_avg:133.82ms
step:166/1770 train_time:22218ms step_avg:133.84ms
step:167/1770 train_time:22357ms step_avg:133.87ms
step:168/1770 train_time:22490ms step_avg:133.87ms
step:169/1770 train_time:22638ms step_avg:133.95ms
step:170/1770 train_time:22778ms step_avg:133.99ms
step:171/1770 train_time:22911ms step_avg:133.98ms
step:172/1770 train_time:23047ms step_avg:133.99ms
step:173/1770 train_time:23188ms step_avg:134.04ms
step:174/1770 train_time:23324ms step_avg:134.05ms
step:175/1770 train_time:23458ms step_avg:134.05ms
step:176/1770 train_time:23600ms step_avg:134.09ms
step:177/1770 train_time:23735ms step_avg:134.10ms
step:178/1770 train_time:23865ms step_avg:134.07ms
step:179/1770 train_time:24000ms step_avg:134.08ms
step:180/1770 train_time:24130ms step_avg:134.06ms
step:181/1770 train_time:24267ms step_avg:134.07ms
step:182/1770 train_time:24399ms step_avg:134.06ms
step:183/1770 train_time:24532ms step_avg:134.06ms
step:184/1770 train_time:24667ms step_avg:134.06ms
step:185/1770 train_time:24798ms step_avg:134.04ms
step:186/1770 train_time:24931ms step_avg:134.04ms
step:187/1770 train_time:25066ms step_avg:134.04ms
step:188/1770 train_time:25197ms step_avg:134.02ms
step:189/1770 train_time:25325ms step_avg:133.99ms
step:190/1770 train_time:25453ms step_avg:133.96ms
step:191/1770 train_time:25589ms step_avg:133.97ms
step:192/1770 train_time:25722ms step_avg:133.97ms
step:193/1770 train_time:25860ms step_avg:133.99ms
step:194/1770 train_time:25996ms step_avg:134.00ms
step:195/1770 train_time:26134ms step_avg:134.02ms
step:196/1770 train_time:26265ms step_avg:134.00ms
step:197/1770 train_time:26401ms step_avg:134.01ms
step:198/1770 train_time:26538ms step_avg:134.03ms
step:199/1770 train_time:26666ms step_avg:134.00ms
step:200/1770 train_time:26803ms step_avg:134.01ms
step:200/1770 val_loss:6.7470 train_time:26806ms step_avg:134.03ms
step:201/1770 train_time:26938ms step_avg:134.02ms
step:202/1770 train_time:27073ms step_avg:134.03ms
step:203/1770 train_time:27209ms step_avg:134.03ms
step:204/1770 train_time:27338ms step_avg:134.01ms
step:205/1770 train_time:27474ms step_avg:134.02ms
step:206/1770 train_time:27608ms step_avg:134.02ms
step:207/1770 train_time:27741ms step_avg:134.01ms
step:208/1770 train_time:27869ms step_avg:133.98ms
step:209/1770 train_time:28004ms step_avg:133.99ms
step:210/1770 train_time:28141ms step_avg:134.01ms
step:211/1770 train_time:28277ms step_avg:134.01ms
step:212/1770 train_time:28410ms step_avg:134.01ms
step:213/1770 train_time:28549ms step_avg:134.03ms
step:214/1770 train_time:28680ms step_avg:134.02ms
step:215/1770 train_time:28816ms step_avg:134.03ms
step:216/1770 train_time:28950ms step_avg:134.03ms
step:217/1770 train_time:29085ms step_avg:134.03ms
step:218/1770 train_time:29216ms step_avg:134.02ms
step:219/1770 train_time:29353ms step_avg:134.03ms
step:220/1770 train_time:29485ms step_avg:134.02ms
step:221/1770 train_time:29619ms step_avg:134.02ms
step:222/1770 train_time:29751ms step_avg:134.01ms
step:223/1770 train_time:29888ms step_avg:134.03ms
step:224/1770 train_time:30025ms step_avg:134.04ms
step:225/1770 train_time:30154ms step_avg:134.02ms
step:226/1770 train_time:30285ms step_avg:134.01ms
step:227/1770 train_time:30416ms step_avg:133.99ms
step:228/1770 train_time:30544ms step_avg:133.96ms
step:229/1770 train_time:30672ms step_avg:133.94ms
step:230/1770 train_time:30803ms step_avg:133.93ms
step:231/1770 train_time:30933ms step_avg:133.91ms
step:232/1770 train_time:31063ms step_avg:133.89ms
step:233/1770 train_time:31201ms step_avg:133.91ms
step:234/1770 train_time:31328ms step_avg:133.88ms
step:235/1770 train_time:31458ms step_avg:133.86ms
step:236/1770 train_time:31592ms step_avg:133.86ms
step:237/1770 train_time:31718ms step_avg:133.83ms
step:238/1770 train_time:31846ms step_avg:133.81ms
step:239/1770 train_time:31985ms step_avg:133.83ms
step:240/1770 train_time:32121ms step_avg:133.84ms
step:241/1770 train_time:32254ms step_avg:133.84ms
step:242/1770 train_time:32389ms step_avg:133.84ms
step:243/1770 train_time:32527ms step_avg:133.86ms
step:244/1770 train_time:32660ms step_avg:133.85ms
step:245/1770 train_time:32801ms step_avg:133.88ms
step:246/1770 train_time:32937ms step_avg:133.89ms
step:247/1770 train_time:33064ms step_avg:133.86ms
step:248/1770 train_time:33202ms step_avg:133.88ms
step:249/1770 train_time:33335ms step_avg:133.88ms
step:250/1770 train_time:33468ms step_avg:133.87ms
step:250/1770 val_loss:6.6299 train_time:33470ms step_avg:133.88ms
step:251/1770 train_time:33605ms step_avg:133.88ms
step:252/1770 train_time:33736ms step_avg:133.87ms
step:253/1770 train_time:33871ms step_avg:133.88ms
step:254/1770 train_time:34002ms step_avg:133.87ms
step:255/1770 train_time:34142ms step_avg:133.89ms
step:256/1770 train_time:34276ms step_avg:133.89ms
step:257/1770 train_time:34408ms step_avg:133.88ms
step:258/1770 train_time:34542ms step_avg:133.88ms
step:259/1770 train_time:34672ms step_avg:133.87ms
step:260/1770 train_time:34801ms step_avg:133.85ms
step:261/1770 train_time:34936ms step_avg:133.85ms
step:262/1770 train_time:35073ms step_avg:133.87ms
step:263/1770 train_time:35204ms step_avg:133.86ms
step:264/1770 train_time:35335ms step_avg:133.84ms
step:265/1770 train_time:35466ms step_avg:133.83ms
step:266/1770 train_time:35604ms step_avg:133.85ms
step:267/1770 train_time:35730ms step_avg:133.82ms
step:268/1770 train_time:35860ms step_avg:133.81ms
step:269/1770 train_time:35995ms step_avg:133.81ms
step:270/1770 train_time:36124ms step_avg:133.79ms
step:271/1770 train_time:36254ms step_avg:133.78ms
step:272/1770 train_time:36384ms step_avg:133.77ms
step:273/1770 train_time:36516ms step_avg:133.76ms
step:274/1770 train_time:36647ms step_avg:133.75ms
step:275/1770 train_time:36779ms step_avg:133.74ms
step:276/1770 train_time:36909ms step_avg:133.73ms
step:277/1770 train_time:37043ms step_avg:133.73ms
step:278/1770 train_time:37185ms step_avg:133.76ms
step:279/1770 train_time:37316ms step_avg:133.75ms
step:280/1770 train_time:37450ms step_avg:133.75ms
step:281/1770 train_time:37583ms step_avg:133.75ms
step:282/1770 train_time:37718ms step_avg:133.75ms
step:283/1770 train_time:37849ms step_avg:133.74ms
step:284/1770 train_time:37979ms step_avg:133.73ms
step:285/1770 train_time:38118ms step_avg:133.75ms
step:286/1770 train_time:38247ms step_avg:133.73ms
step:287/1770 train_time:38375ms step_avg:133.71ms
step:288/1770 train_time:38504ms step_avg:133.69ms
step:289/1770 train_time:38638ms step_avg:133.70ms
step:290/1770 train_time:38779ms step_avg:133.72ms
step:291/1770 train_time:38911ms step_avg:133.72ms
step:292/1770 train_time:39039ms step_avg:133.70ms
step:293/1770 train_time:39168ms step_avg:133.68ms
step:294/1770 train_time:39305ms step_avg:133.69ms
step:295/1770 train_time:39438ms step_avg:133.69ms
step:296/1770 train_time:39574ms step_avg:133.70ms
step:297/1770 train_time:39712ms step_avg:133.71ms
step:298/1770 train_time:39846ms step_avg:133.71ms
step:299/1770 train_time:39975ms step_avg:133.70ms
step:300/1770 train_time:40109ms step_avg:133.70ms
step:300/1770 val_loss:6.5260 train_time:40113ms step_avg:133.71ms
step:301/1770 train_time:40250ms step_avg:133.72ms
step:302/1770 train_time:40383ms step_avg:133.72ms
step:303/1770 train_time:40519ms step_avg:133.73ms
step:304/1770 train_time:40651ms step_avg:133.72ms
step:305/1770 train_time:40784ms step_avg:133.72ms
step:306/1770 train_time:40917ms step_avg:133.72ms
step:307/1770 train_time:41054ms step_avg:133.73ms
step:308/1770 train_time:41187ms step_avg:133.73ms
step:309/1770 train_time:41327ms step_avg:133.74ms
step:310/1770 train_time:41462ms step_avg:133.75ms
step:311/1770 train_time:41594ms step_avg:133.74ms
step:312/1770 train_time:41743ms step_avg:133.79ms
step:313/1770 train_time:41881ms step_avg:133.80ms
step:314/1770 train_time:42022ms step_avg:133.83ms
step:315/1770 train_time:42155ms step_avg:133.83ms
step:316/1770 train_time:42288ms step_avg:133.82ms
step:317/1770 train_time:42431ms step_avg:133.85ms
step:318/1770 train_time:42573ms step_avg:133.88ms
step:319/1770 train_time:42701ms step_avg:133.86ms
step:320/1770 train_time:42831ms step_avg:133.85ms
step:321/1770 train_time:42969ms step_avg:133.86ms
step:322/1770 train_time:43103ms step_avg:133.86ms
step:323/1770 train_time:43247ms step_avg:133.89ms
step:324/1770 train_time:43385ms step_avg:133.90ms
step:325/1770 train_time:43518ms step_avg:133.90ms
step:326/1770 train_time:43649ms step_avg:133.89ms
step:327/1770 train_time:43778ms step_avg:133.88ms
step:328/1770 train_time:43910ms step_avg:133.87ms
step:329/1770 train_time:44038ms step_avg:133.86ms
step:330/1770 train_time:44168ms step_avg:133.84ms
step:331/1770 train_time:44298ms step_avg:133.83ms
step:332/1770 train_time:44430ms step_avg:133.83ms
step:333/1770 train_time:44567ms step_avg:133.83ms
step:334/1770 train_time:44698ms step_avg:133.83ms
step:335/1770 train_time:44837ms step_avg:133.84ms
step:336/1770 train_time:44970ms step_avg:133.84ms
step:337/1770 train_time:45097ms step_avg:133.82ms
step:338/1770 train_time:45228ms step_avg:133.81ms
step:339/1770 train_time:45355ms step_avg:133.79ms
step:340/1770 train_time:45487ms step_avg:133.79ms
step:341/1770 train_time:45622ms step_avg:133.79ms
step:342/1770 train_time:45751ms step_avg:133.78ms
step:343/1770 train_time:45881ms step_avg:133.76ms
step:344/1770 train_time:46016ms step_avg:133.77ms
step:345/1770 train_time:46149ms step_avg:133.77ms
step:346/1770 train_time:46285ms step_avg:133.77ms
step:347/1770 train_time:46412ms step_avg:133.75ms
step:348/1770 train_time:46538ms step_avg:133.73ms
step:349/1770 train_time:46668ms step_avg:133.72ms
step:350/1770 train_time:46803ms step_avg:133.72ms
step:350/1770 val_loss:6.4635 train_time:46804ms step_avg:133.73ms
step:351/1770 train_time:46933ms step_avg:133.71ms
step:352/1770 train_time:47059ms step_avg:133.69ms
step:353/1770 train_time:47187ms step_avg:133.67ms
step:354/1770 train_time:47331ms step_avg:133.70ms
step:355/1770 train_time:47461ms step_avg:133.69ms
step:356/1770 train_time:47593ms step_avg:133.69ms
step:357/1770 train_time:47727ms step_avg:133.69ms
