logs/d9154a8c-f68e-4a27-8178-9ce09043fe96.txt
begin training
  2%|█▉                                                                                                                   | 30/1771 [00:17<03:43,  7.79it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:1.17ms
step:1/1770 train_time:193ms step_avg:193.28ms
step:2/1770 train_time:332ms step_avg:166.16ms
step:3/1770 train_time:461ms step_avg:153.70ms
step:4/1770 train_time:596ms step_avg:149.02ms
step:5/1770 train_time:729ms step_avg:145.72ms
step:6/1770 train_time:859ms step_avg:143.18ms
step:7/1770 train_time:988ms step_avg:141.18ms
step:8/1770 train_time:1123ms step_avg:140.43ms
step:9/1770 train_time:1248ms step_avg:138.71ms
step:10/1770 train_time:1384ms step_avg:138.44ms
step:11/1770 train_time:1510ms step_avg:137.30ms
step:12/1770 train_time:1639ms step_avg:136.57ms
step:13/1770 train_time:1771ms step_avg:136.20ms
step:14/1770 train_time:1904ms step_avg:135.99ms
step:15/1770 train_time:2038ms step_avg:135.84ms
step:16/1770 train_time:2172ms step_avg:135.75ms
step:17/1770 train_time:2307ms step_avg:135.72ms
step:18/1770 train_time:2449ms step_avg:136.03ms
step:19/1770 train_time:2577ms step_avg:135.62ms
step:20/1770 train_time:2703ms step_avg:135.16ms
step:21/1770 train_time:2830ms step_avg:134.75ms
step:22/1770 train_time:2959ms step_avg:134.49ms
step:23/1770 train_time:3088ms step_avg:134.27ms
step:24/1770 train_time:3220ms step_avg:134.17ms
step:25/1770 train_time:3348ms step_avg:133.90ms
step:26/1770 train_time:3479ms step_avg:133.80ms
step:27/1770 train_time:3608ms step_avg:133.63ms
step:28/1770 train_time:3741ms step_avg:133.62ms
step:29/1770 train_time:3871ms step_avg:133.47ms
step:30/1770 train_time:3994ms step_avg:133.14ms
step:31/1770 train_time:4121ms step_avg:132.95ms
step:32/1770 train_time:4251ms step_avg:132.84ms
step:33/1770 train_time:4377ms step_avg:132.65ms
step:34/1770 train_time:4509ms step_avg:132.63ms
step:35/1770 train_time:4644ms step_avg:132.67ms
step:36/1770 train_time:4771ms step_avg:132.53ms
step:37/1770 train_time:4912ms step_avg:132.74ms
step:38/1770 train_time:5047ms step_avg:132.81ms
step:39/1770 train_time:5173ms step_avg:132.64ms
step:40/1770 train_time:5304ms step_avg:132.59ms
step:41/1770 train_time:5436ms step_avg:132.58ms
step:42/1770 train_time:5565ms step_avg:132.50ms
step:43/1770 train_time:5696ms step_avg:132.47ms
step:44/1770 train_time:5824ms step_avg:132.36ms
step:45/1770 train_time:5962ms step_avg:132.48ms
step:46/1770 train_time:6092ms step_avg:132.45ms
step:47/1770 train_time:6223ms step_avg:132.40ms
step:48/1770 train_time:6351ms step_avg:132.31ms
step:49/1770 train_time:6479ms step_avg:132.23ms
step:50/1770 train_time:6615ms step_avg:132.31ms
step:50/1770 val_loss:8.2645 train_time:6616ms step_avg:132.33ms
step:51/1770 train_time:6754ms step_avg:132.44ms
step:52/1770 train_time:6884ms step_avg:132.39ms
step:53/1770 train_time:7025ms step_avg:132.55ms
step:54/1770 train_time:7155ms step_avg:132.50ms
step:55/1770 train_time:7288ms step_avg:132.52ms
step:56/1770 train_time:7423ms step_avg:132.55ms
step:57/1770 train_time:7553ms step_avg:132.51ms
step:58/1770 train_time:7683ms step_avg:132.47ms
step:59/1770 train_time:7812ms step_avg:132.40ms
step:60/1770 train_time:7944ms step_avg:132.39ms
step:61/1770 train_time:8074ms step_avg:132.37ms
step:62/1770 train_time:8205ms step_avg:132.33ms
step:63/1770 train_time:8334ms step_avg:132.29ms
step:64/1770 train_time:8467ms step_avg:132.29ms
step:65/1770 train_time:8594ms step_avg:132.22ms
step:66/1770 train_time:8728ms step_avg:132.25ms
step:67/1770 train_time:8862ms step_avg:132.27ms
step:68/1770 train_time:8992ms step_avg:132.24ms
step:69/1770 train_time:9123ms step_avg:132.22ms
step:70/1770 train_time:9259ms step_avg:132.27ms
step:71/1770 train_time:9383ms step_avg:132.16ms
step:72/1770 train_time:9509ms step_avg:132.07ms
step:73/1770 train_time:9638ms step_avg:132.03ms
step:74/1770 train_time:9762ms step_avg:131.92ms
