logs/a5dbc312-d71e-4af0-8277-dcebca49f6fa.txt
begin training
  2%|█▉                                                                                                                   | 30/1771 [00:18<03:55,  7.41it/s]
step:0/1770 val_loss:10.8258 train_time:2ms step_avg:2.02ms
step:1/1770 train_time:199ms step_avg:198.72ms
step:2/1770 train_time:332ms step_avg:166.07ms
step:3/1770 train_time:464ms step_avg:154.64ms
step:4/1770 train_time:600ms step_avg:149.95ms
step:5/1770 train_time:739ms step_avg:147.89ms
step:6/1770 train_time:880ms step_avg:146.67ms
step:7/1770 train_time:1015ms step_avg:145.04ms
step:8/1770 train_time:1151ms step_avg:143.93ms
step:9/1770 train_time:1293ms step_avg:143.71ms
step:10/1770 train_time:1428ms step_avg:142.78ms
step:11/1770 train_time:1575ms step_avg:143.19ms
step:12/1770 train_time:1706ms step_avg:142.16ms
step:13/1770 train_time:1843ms step_avg:141.78ms
step:14/1770 train_time:1981ms step_avg:141.49ms
step:15/1770 train_time:2119ms step_avg:141.25ms
step:16/1770 train_time:2260ms step_avg:141.26ms
step:17/1770 train_time:2397ms step_avg:141.03ms
step:18/1770 train_time:2538ms step_avg:141.00ms
step:19/1770 train_time:2682ms step_avg:141.18ms
step:20/1770 train_time:2824ms step_avg:141.19ms
step:21/1770 train_time:2977ms step_avg:141.74ms
step:22/1770 train_time:3132ms step_avg:142.36ms
step:23/1770 train_time:3260ms step_avg:141.74ms
step:24/1770 train_time:3396ms step_avg:141.48ms
step:25/1770 train_time:3527ms step_avg:141.08ms
step:26/1770 train_time:3661ms step_avg:140.80ms
step:27/1770 train_time:3795ms step_avg:140.55ms
step:28/1770 train_time:3923ms step_avg:140.12ms
step:29/1770 train_time:4056ms step_avg:139.85ms
step:30/1770 train_time:4195ms step_avg:139.82ms
step:31/1770 train_time:4326ms step_avg:139.54ms
step:32/1770 train_time:4460ms step_avg:139.37ms
step:33/1770 train_time:4588ms step_avg:139.03ms
step:34/1770 train_time:4718ms step_avg:138.75ms
step:35/1770 train_time:4852ms step_avg:138.63ms
step:36/1770 train_time:4982ms step_avg:138.40ms
step:37/1770 train_time:5112ms step_avg:138.17ms
step:38/1770 train_time:5251ms step_avg:138.19ms
step:39/1770 train_time:5382ms step_avg:138.00ms
step:40/1770 train_time:5511ms step_avg:137.77ms
step:41/1770 train_time:5640ms step_avg:137.57ms
step:42/1770 train_time:5772ms step_avg:137.43ms
step:43/1770 train_time:5909ms step_avg:137.41ms
step:44/1770 train_time:6045ms step_avg:137.38ms
step:45/1770 train_time:6174ms step_avg:137.19ms
step:46/1770 train_time:6310ms step_avg:137.17ms
step:47/1770 train_time:6441ms step_avg:137.04ms
step:48/1770 train_time:6576ms step_avg:137.01ms
step:49/1770 train_time:6719ms step_avg:137.12ms
step:50/1770 train_time:6851ms step_avg:137.02ms
step:50/1770 val_loss:8.2410 train_time:6856ms step_avg:137.12ms
step:51/1770 train_time:7001ms step_avg:137.28ms
step:52/1770 train_time:7135ms step_avg:137.21ms
step:53/1770 train_time:7268ms step_avg:137.14ms
step:54/1770 train_time:7405ms step_avg:137.13ms
step:55/1770 train_time:7537ms step_avg:137.03ms
step:56/1770 train_time:7676ms step_avg:137.07ms
step:57/1770 train_time:7810ms step_avg:137.01ms
step:58/1770 train_time:7948ms step_avg:137.04ms
step:59/1770 train_time:8086ms step_avg:137.04ms
