logs/78f5febb-fe96-483e-836b-dcf04aa0e1d3.txt
begin training
  2%|█▉                                                                                                                   | 30/1771 [00:17<03:57,  7.32it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:1.33ms
step:1/1770 train_time:184ms step_avg:183.92ms
step:2/1770 train_time:314ms step_avg:156.92ms
step:3/1770 train_time:439ms step_avg:146.17ms
step:4/1770 train_time:573ms step_avg:143.28ms
step:5/1770 train_time:704ms step_avg:140.88ms
step:6/1770 train_time:828ms step_avg:137.93ms
step:7/1770 train_time:956ms step_avg:136.54ms
step:8/1770 train_time:1082ms step_avg:135.24ms
step:9/1770 train_time:1219ms step_avg:135.48ms
step:10/1770 train_time:1346ms step_avg:134.58ms
step:11/1770 train_time:1480ms step_avg:134.57ms
step:12/1770 train_time:1607ms step_avg:133.93ms
step:13/1770 train_time:1733ms step_avg:133.30ms
step:14/1770 train_time:1865ms step_avg:133.23ms
step:15/1770 train_time:1993ms step_avg:132.85ms
step:16/1770 train_time:2122ms step_avg:132.61ms
step:17/1770 train_time:2248ms step_avg:132.25ms
step:18/1770 train_time:2378ms step_avg:132.13ms
step:19/1770 train_time:2506ms step_avg:131.89ms
step:20/1770 train_time:2635ms step_avg:131.77ms
step:21/1770 train_time:2786ms step_avg:132.65ms
step:22/1770 train_time:2920ms step_avg:132.72ms
step:23/1770 train_time:3053ms step_avg:132.76ms
step:24/1770 train_time:3188ms step_avg:132.84ms
step:25/1770 train_time:3319ms step_avg:132.76ms
step:26/1770 train_time:3454ms step_avg:132.86ms
step:27/1770 train_time:3600ms step_avg:133.35ms
step:28/1770 train_time:3740ms step_avg:133.57ms
step:29/1770 train_time:3874ms step_avg:133.60ms
step:30/1770 train_time:4010ms step_avg:133.66ms
step:31/1770 train_time:4140ms step_avg:133.56ms
step:32/1770 train_time:4268ms step_avg:133.37ms
step:33/1770 train_time:4398ms step_avg:133.28ms
step:34/1770 train_time:4528ms step_avg:133.18ms
step:35/1770 train_time:4669ms step_avg:133.40ms
step:36/1770 train_time:4806ms step_avg:133.50ms
step:37/1770 train_time:4938ms step_avg:133.45ms
step:38/1770 train_time:5070ms step_avg:133.41ms
step:39/1770 train_time:5202ms step_avg:133.38ms
step:40/1770 train_time:5338ms step_avg:133.46ms
step:41/1770 train_time:5471ms step_avg:133.43ms
step:42/1770 train_time:5617ms step_avg:133.73ms
step:43/1770 train_time:5746ms step_avg:133.63ms
step:44/1770 train_time:5880ms step_avg:133.64ms
step:45/1770 train_time:6016ms step_avg:133.68ms
