logs/b7b46dd2-9eb4-4480-8551-bcc43e64e700.txt
begin training
  2%|█▉                                                                                                                   | 30/1771 [00:17<03:57,  7.32it/s]
step:0/1770 val_loss:10.8258 train_time:2ms step_avg:2.23ms
step:1/1770 train_time:208ms step_avg:208.30ms
step:2/1770 train_time:347ms step_avg:173.67ms
step:3/1770 train_time:478ms step_avg:159.25ms
step:4/1770 train_time:612ms step_avg:153.11ms
step:5/1770 train_time:739ms step_avg:147.84ms
step:6/1770 train_time:876ms step_avg:145.96ms
step:7/1770 train_time:1009ms step_avg:144.15ms
step:8/1770 train_time:1139ms step_avg:142.35ms
step:9/1770 train_time:1275ms step_avg:141.72ms
step:10/1770 train_time:1410ms step_avg:141.02ms
step:11/1770 train_time:1546ms step_avg:140.54ms
step:12/1770 train_time:1682ms step_avg:140.20ms
step:13/1770 train_time:1826ms step_avg:140.42ms
step:14/1770 train_time:1955ms step_avg:139.62ms
step:15/1770 train_time:2086ms step_avg:139.08ms
step:16/1770 train_time:2223ms step_avg:138.91ms
step:17/1770 train_time:2356ms step_avg:138.59ms
step:18/1770 train_time:2494ms step_avg:138.58ms
step:19/1770 train_time:2633ms step_avg:138.58ms
step:20/1770 train_time:2771ms step_avg:138.53ms
step:21/1770 train_time:2907ms step_avg:138.42ms
step:22/1770 train_time:3046ms step_avg:138.44ms
step:23/1770 train_time:3179ms step_avg:138.20ms
step:24/1770 train_time:3322ms step_avg:138.42ms
step:25/1770 train_time:3456ms step_avg:138.24ms
step:26/1770 train_time:3588ms step_avg:137.99ms
step:27/1770 train_time:3723ms step_avg:137.88ms
step:28/1770 train_time:3859ms step_avg:137.83ms
step:29/1770 train_time:3997ms step_avg:137.83ms
step:30/1770 train_time:4134ms step_avg:137.81ms
step:31/1770 train_time:4269ms step_avg:137.70ms
step:32/1770 train_time:4406ms step_avg:137.69ms
step:33/1770 train_time:4542ms step_avg:137.65ms
step:34/1770 train_time:4674ms step_avg:137.48ms
step:35/1770 train_time:4805ms step_avg:137.28ms
step:36/1770 train_time:4937ms step_avg:137.14ms
step:37/1770 train_time:5073ms step_avg:137.11ms
step:38/1770 train_time:5206ms step_avg:137.00ms
step:39/1770 train_time:5342ms step_avg:136.98ms
step:40/1770 train_time:5479ms step_avg:136.97ms
step:41/1770 train_time:5614ms step_avg:136.92ms
step:42/1770 train_time:5749ms step_avg:136.89ms
step:43/1770 train_time:5882ms step_avg:136.79ms
step:44/1770 train_time:6020ms step_avg:136.82ms
step:45/1770 train_time:6154ms step_avg:136.76ms
step:46/1770 train_time:6291ms step_avg:136.76ms
step:47/1770 train_time:6429ms step_avg:136.80ms
step:48/1770 train_time:6567ms step_avg:136.82ms
step:49/1770 train_time:6704ms step_avg:136.81ms
step:50/1770 train_time:6843ms step_avg:136.86ms
step:50/1770 val_loss:8.2430 train_time:6844ms step_avg:136.88ms
step:51/1770 train_time:6982ms step_avg:136.89ms
step:52/1770 train_time:7116ms step_avg:136.85ms
step:53/1770 train_time:7250ms step_avg:136.78ms
step:54/1770 train_time:7386ms step_avg:136.77ms
step:55/1770 train_time:7520ms step_avg:136.73ms
step:56/1770 train_time:7650ms step_avg:136.61ms
step:57/1770 train_time:7790ms step_avg:136.67ms
step:58/1770 train_time:7925ms step_avg:136.64ms
step:59/1770 train_time:8065ms step_avg:136.70ms
step:60/1770 train_time:8199ms step_avg:136.65ms
step:61/1770 train_time:8336ms step_avg:136.66ms
step:62/1770 train_time:8475ms step_avg:136.69ms
step:63/1770 train_time:8614ms step_avg:136.73ms
step:64/1770 train_time:8752ms step_avg:136.75ms
