logs/1326d1ba-43ce-452c-9470-de519582cd00.txt
begin training
  2%|█▉                                                                                                                   | 30/1771 [00:17<03:50,  7.56it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:0.90ms
step:1/1770 train_time:191ms step_avg:190.96ms
step:2/1770 train_time:319ms step_avg:159.65ms
step:3/1770 train_time:446ms step_avg:148.69ms
step:4/1770 train_time:576ms step_avg:144.11ms
step:5/1770 train_time:723ms step_avg:144.57ms
step:6/1770 train_time:857ms step_avg:142.75ms
step:7/1770 train_time:991ms step_avg:141.54ms
step:8/1770 train_time:1123ms step_avg:140.43ms
step:9/1770 train_time:1258ms step_avg:139.82ms
step:10/1770 train_time:1386ms step_avg:138.63ms
step:11/1770 train_time:1524ms step_avg:138.58ms
step:12/1770 train_time:1654ms step_avg:137.81ms
step:13/1770 train_time:1784ms step_avg:137.21ms
step:14/1770 train_time:1913ms step_avg:136.61ms
step:15/1770 train_time:2043ms step_avg:136.20ms
step:16/1770 train_time:2174ms step_avg:135.85ms
step:17/1770 train_time:2301ms step_avg:135.36ms
step:18/1770 train_time:2430ms step_avg:135.00ms
step:19/1770 train_time:2557ms step_avg:134.57ms
step:20/1770 train_time:2687ms step_avg:134.33ms
step:21/1770 train_time:2821ms step_avg:134.34ms
step:22/1770 train_time:2959ms step_avg:134.49ms
step:23/1770 train_time:3089ms step_avg:134.31ms
step:24/1770 train_time:3223ms step_avg:134.30ms
step:25/1770 train_time:3352ms step_avg:134.10ms
step:26/1770 train_time:3487ms step_avg:134.10ms
step:27/1770 train_time:3613ms step_avg:133.80ms
step:28/1770 train_time:3744ms step_avg:133.71ms
step:29/1770 train_time:3875ms step_avg:133.62ms
step:30/1770 train_time:4010ms step_avg:133.68ms
step:31/1770 train_time:4140ms step_avg:133.56ms
step:32/1770 train_time:4271ms step_avg:133.48ms
step:33/1770 train_time:4403ms step_avg:133.43ms
step:34/1770 train_time:4533ms step_avg:133.33ms
step:35/1770 train_time:4666ms step_avg:133.31ms
step:36/1770 train_time:4794ms step_avg:133.16ms
step:37/1770 train_time:4925ms step_avg:133.11ms
step:38/1770 train_time:5056ms step_avg:133.06ms
step:39/1770 train_time:5190ms step_avg:133.07ms
step:40/1770 train_time:5317ms step_avg:132.93ms
step:41/1770 train_time:5451ms step_avg:132.94ms
