logs/9667c3ff-8063-4e5f-9562-40748ddfa0a2.txt
begin training
  2%|█▉                                                                                                                   | 30/1771 [00:17<03:48,  7.62it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:1.13ms
step:1/1770 train_time:202ms step_avg:201.96ms
step:2/1770 train_time:336ms step_avg:168.05ms
step:3/1770 train_time:469ms step_avg:156.32ms
step:4/1770 train_time:602ms step_avg:150.57ms
step:5/1770 train_time:747ms step_avg:149.39ms
step:6/1770 train_time:893ms step_avg:148.91ms
step:7/1770 train_time:1030ms step_avg:147.15ms
step:8/1770 train_time:1170ms step_avg:146.26ms
step:9/1770 train_time:1309ms step_avg:145.48ms
step:10/1770 train_time:1451ms step_avg:145.13ms
step:11/1770 train_time:1596ms step_avg:145.11ms
step:12/1770 train_time:1732ms step_avg:144.29ms
step:13/1770 train_time:1881ms step_avg:144.67ms
step:14/1770 train_time:2017ms step_avg:144.11ms
step:15/1770 train_time:2150ms step_avg:143.30ms
step:16/1770 train_time:2296ms step_avg:143.47ms
step:17/1770 train_time:2427ms step_avg:142.76ms
step:18/1770 train_time:2566ms step_avg:142.57ms
step:19/1770 train_time:2709ms step_avg:142.60ms
step:20/1770 train_time:2843ms step_avg:142.15ms
step:21/1770 train_time:2977ms step_avg:141.76ms
step:22/1770 train_time:3107ms step_avg:141.23ms
step:23/1770 train_time:3242ms step_avg:140.94ms
step:24/1770 train_time:3371ms step_avg:140.47ms
step:25/1770 train_time:3497ms step_avg:139.86ms
step:26/1770 train_time:3626ms step_avg:139.48ms
step:27/1770 train_time:3755ms step_avg:139.09ms
step:28/1770 train_time:3889ms step_avg:138.90ms
step:29/1770 train_time:4020ms step_avg:138.61ms
step:30/1770 train_time:4151ms step_avg:138.37ms
step:31/1770 train_time:4281ms step_avg:138.10ms
step:32/1770 train_time:4418ms step_avg:138.07ms
step:33/1770 train_time:4553ms step_avg:137.98ms
step:34/1770 train_time:4688ms step_avg:137.87ms
step:35/1770 train_time:4822ms step_avg:137.76ms
step:36/1770 train_time:4956ms step_avg:137.66ms
step:37/1770 train_time:5085ms step_avg:137.44ms
step:38/1770 train_time:5218ms step_avg:137.30ms
step:39/1770 train_time:5352ms step_avg:137.23ms
step:40/1770 train_time:5487ms step_avg:137.18ms
step:41/1770 train_time:5623ms step_avg:137.15ms
step:42/1770 train_time:5756ms step_avg:137.04ms
step:43/1770 train_time:5889ms step_avg:136.95ms
step:44/1770 train_time:6022ms step_avg:136.87ms
step:45/1770 train_time:6154ms step_avg:136.76ms
step:46/1770 train_time:6289ms step_avg:136.72ms
step:47/1770 train_time:6421ms step_avg:136.61ms
step:48/1770 train_time:6544ms step_avg:136.34ms
step:49/1770 train_time:6675ms step_avg:136.22ms
step:50/1770 train_time:6821ms step_avg:136.41ms
step:50/1770 val_loss:8.2463 train_time:6822ms step_avg:136.44ms
step:51/1770 train_time:6955ms step_avg:136.37ms
step:52/1770 train_time:7086ms step_avg:136.26ms
step:53/1770 train_time:7219ms step_avg:136.21ms
step:54/1770 train_time:7351ms step_avg:136.13ms
step:55/1770 train_time:7483ms step_avg:136.06ms
step:56/1770 train_time:7613ms step_avg:135.94ms
step:57/1770 train_time:7751ms step_avg:135.99ms
step:58/1770 train_time:7884ms step_avg:135.94ms
step:59/1770 train_time:8021ms step_avg:135.95ms
step:60/1770 train_time:8155ms step_avg:135.92ms
step:61/1770 train_time:8290ms step_avg:135.91ms
step:62/1770 train_time:8425ms step_avg:135.89ms
step:63/1770 train_time:8562ms step_avg:135.90ms
step:64/1770 train_time:8698ms step_avg:135.90ms
step:65/1770 train_time:8829ms step_avg:135.84ms
step:66/1770 train_time:8965ms step_avg:135.83ms
step:67/1770 train_time:9103ms step_avg:135.87ms
step:68/1770 train_time:9235ms step_avg:135.81ms
step:69/1770 train_time:9366ms step_avg:135.74ms
step:70/1770 train_time:9501ms step_avg:135.73ms
step:71/1770 train_time:9638ms step_avg:135.75ms
step:72/1770 train_time:9767ms step_avg:135.65ms
step:73/1770 train_time:9904ms step_avg:135.66ms
step:74/1770 train_time:10035ms step_avg:135.61ms
step:75/1770 train_time:10167ms step_avg:135.56ms
step:76/1770 train_time:10300ms step_avg:135.52ms
step:77/1770 train_time:10432ms step_avg:135.48ms
step:78/1770 train_time:10563ms step_avg:135.43ms
step:79/1770 train_time:10701ms step_avg:135.45ms
step:80/1770 train_time:10832ms step_avg:135.40ms
step:81/1770 train_time:10968ms step_avg:135.41ms
step:82/1770 train_time:11101ms step_avg:135.37ms
step:83/1770 train_time:11236ms step_avg:135.37ms
step:84/1770 train_time:11370ms step_avg:135.35ms
step:85/1770 train_time:11502ms step_avg:135.32ms
step:86/1770 train_time:11640ms step_avg:135.34ms
step:87/1770 train_time:11771ms step_avg:135.30ms
step:88/1770 train_time:11904ms step_avg:135.27ms
step:89/1770 train_time:12032ms step_avg:135.19ms
step:90/1770 train_time:12158ms step_avg:135.09ms
step:91/1770 train_time:12289ms step_avg:135.05ms
step:92/1770 train_time:12413ms step_avg:134.93ms
step:93/1770 train_time:12541ms step_avg:134.85ms
step:94/1770 train_time:12666ms step_avg:134.75ms
step:95/1770 train_time:12795ms step_avg:134.68ms
step:96/1770 train_time:12931ms step_avg:134.70ms
step:97/1770 train_time:13062ms step_avg:134.66ms
step:98/1770 train_time:13193ms step_avg:134.63ms
step:99/1770 train_time:13320ms step_avg:134.55ms
step:100/1770 train_time:13446ms step_avg:134.46ms
step:100/1770 val_loss:7.0941 train_time:13451ms step_avg:134.51ms
step:101/1770 train_time:13581ms step_avg:134.47ms
step:102/1770 train_time:13714ms step_avg:134.45ms
step:103/1770 train_time:13859ms step_avg:134.56ms
step:104/1770 train_time:13998ms step_avg:134.60ms
step:105/1770 train_time:14135ms step_avg:134.62ms
step:106/1770 train_time:14273ms step_avg:134.65ms
step:107/1770 train_time:14416ms step_avg:134.73ms
step:108/1770 train_time:14555ms step_avg:134.77ms
step:109/1770 train_time:14691ms step_avg:134.78ms
step:110/1770 train_time:14831ms step_avg:134.83ms
step:111/1770 train_time:14967ms step_avg:134.83ms
step:112/1770 train_time:15102ms step_avg:134.84ms
step:113/1770 train_time:15235ms step_avg:134.82ms
step:114/1770 train_time:15371ms step_avg:134.84ms
step:115/1770 train_time:15505ms step_avg:134.82ms
step:116/1770 train_time:15645ms step_avg:134.87ms
step:117/1770 train_time:15787ms step_avg:134.93ms
step:118/1770 train_time:15924ms step_avg:134.95ms
step:119/1770 train_time:16059ms step_avg:134.95ms
step:120/1770 train_time:16193ms step_avg:134.94ms
step:121/1770 train_time:16327ms step_avg:134.94ms
step:122/1770 train_time:16466ms step_avg:134.97ms
step:123/1770 train_time:16597ms step_avg:134.93ms
step:124/1770 train_time:16739ms step_avg:134.99ms
step:125/1770 train_time:16878ms step_avg:135.02ms
step:126/1770 train_time:17011ms step_avg:135.01ms
step:127/1770 train_time:17147ms step_avg:135.02ms
step:128/1770 train_time:17283ms step_avg:135.02ms
step:129/1770 train_time:17423ms step_avg:135.06ms
step:130/1770 train_time:17561ms step_avg:135.09ms
step:131/1770 train_time:17705ms step_avg:135.15ms
step:132/1770 train_time:17834ms step_avg:135.11ms
step:133/1770 train_time:17967ms step_avg:135.09ms
step:134/1770 train_time:18102ms step_avg:135.09ms
step:135/1770 train_time:18231ms step_avg:135.04ms
step:136/1770 train_time:18369ms step_avg:135.07ms
step:137/1770 train_time:18500ms step_avg:135.04ms
step:138/1770 train_time:18631ms step_avg:135.01ms
step:139/1770 train_time:18765ms step_avg:135.00ms
step:140/1770 train_time:18896ms step_avg:134.97ms
step:141/1770 train_time:19034ms step_avg:134.99ms
step:142/1770 train_time:19169ms step_avg:135.00ms
step:143/1770 train_time:19308ms step_avg:135.02ms
step:144/1770 train_time:19445ms step_avg:135.03ms
step:145/1770 train_time:19583ms step_avg:135.06ms
step:146/1770 train_time:19720ms step_avg:135.07ms
step:147/1770 train_time:19861ms step_avg:135.11ms
step:148/1770 train_time:19999ms step_avg:135.13ms
step:149/1770 train_time:20136ms step_avg:135.14ms
step:150/1770 train_time:20275ms step_avg:135.17ms
step:150/1770 val_loss:6.8846 train_time:20276ms step_avg:135.18ms
step:151/1770 train_time:20413ms step_avg:135.18ms
step:152/1770 train_time:20547ms step_avg:135.18ms
step:153/1770 train_time:20676ms step_avg:135.14ms
step:154/1770 train_time:20814ms step_avg:135.15ms
step:155/1770 train_time:20946ms step_avg:135.13ms
step:156/1770 train_time:21081ms step_avg:135.13ms
step:157/1770 train_time:21214ms step_avg:135.12ms
step:158/1770 train_time:21351ms step_avg:135.14ms
step:159/1770 train_time:21487ms step_avg:135.14ms
step:160/1770 train_time:21623ms step_avg:135.14ms
step:161/1770 train_time:21758ms step_avg:135.15ms
step:162/1770 train_time:21893ms step_avg:135.14ms
step:163/1770 train_time:22028ms step_avg:135.14ms
step:164/1770 train_time:22166ms step_avg:135.16ms
step:165/1770 train_time:22303ms step_avg:135.17ms
step:166/1770 train_time:22437ms step_avg:135.16ms
step:167/1770 train_time:22569ms step_avg:135.14ms
step:168/1770 train_time:22706ms step_avg:135.15ms
step:169/1770 train_time:22840ms step_avg:135.15ms
step:170/1770 train_time:22972ms step_avg:135.13ms
step:171/1770 train_time:23106ms step_avg:135.12ms
step:172/1770 train_time:23241ms step_avg:135.12ms
step:173/1770 train_time:23380ms step_avg:135.14ms
step:174/1770 train_time:23515ms step_avg:135.14ms
step:175/1770 train_time:23652ms step_avg:135.15ms
step:176/1770 train_time:23790ms step_avg:135.17ms
step:177/1770 train_time:23923ms step_avg:135.16ms
step:178/1770 train_time:24061ms step_avg:135.18ms
step:179/1770 train_time:24197ms step_avg:135.18ms
step:180/1770 train_time:24333ms step_avg:135.19ms
step:181/1770 train_time:24468ms step_avg:135.18ms
step:182/1770 train_time:24601ms step_avg:135.17ms
step:183/1770 train_time:24733ms step_avg:135.15ms
step:184/1770 train_time:24870ms step_avg:135.16ms
step:185/1770 train_time:25002ms step_avg:135.14ms
step:186/1770 train_time:25133ms step_avg:135.13ms
step:187/1770 train_time:25264ms step_avg:135.10ms
step:188/1770 train_time:25402ms step_avg:135.12ms
step:189/1770 train_time:25544ms step_avg:135.16ms
step:190/1770 train_time:25683ms step_avg:135.17ms
step:191/1770 train_time:25819ms step_avg:135.18ms
step:192/1770 train_time:25956ms step_avg:135.19ms
step:193/1770 train_time:26089ms step_avg:135.18ms
step:194/1770 train_time:26224ms step_avg:135.17ms
step:195/1770 train_time:26363ms step_avg:135.19ms
step:196/1770 train_time:26502ms step_avg:135.22ms
step:197/1770 train_time:26641ms step_avg:135.24ms
step:198/1770 train_time:26777ms step_avg:135.24ms
step:199/1770 train_time:26912ms step_avg:135.24ms
step:200/1770 train_time:27049ms step_avg:135.24ms
step:200/1770 val_loss:6.6905 train_time:27052ms step_avg:135.26ms
step:201/1770 train_time:27190ms step_avg:135.28ms
step:202/1770 train_time:27334ms step_avg:135.32ms
step:203/1770 train_time:27468ms step_avg:135.31ms
step:204/1770 train_time:27606ms step_avg:135.32ms
step:205/1770 train_time:27747ms step_avg:135.35ms
step:206/1770 train_time:27880ms step_avg:135.34ms
step:207/1770 train_time:28013ms step_avg:135.33ms
step:208/1770 train_time:28146ms step_avg:135.32ms
step:209/1770 train_time:28281ms step_avg:135.32ms
step:210/1770 train_time:28418ms step_avg:135.32ms
step:211/1770 train_time:28558ms step_avg:135.34ms
step:212/1770 train_time:28704ms step_avg:135.39ms
step:213/1770 train_time:28846ms step_avg:135.43ms
step:214/1770 train_time:28979ms step_avg:135.42ms
step:215/1770 train_time:29114ms step_avg:135.41ms
step:216/1770 train_time:29249ms step_avg:135.41ms
step:217/1770 train_time:29390ms step_avg:135.44ms
step:218/1770 train_time:29525ms step_avg:135.44ms
step:219/1770 train_time:29659ms step_avg:135.43ms
step:220/1770 train_time:29802ms step_avg:135.46ms
step:221/1770 train_time:29942ms step_avg:135.48ms
step:222/1770 train_time:30075ms step_avg:135.48ms
step:223/1770 train_time:30213ms step_avg:135.48ms
step:224/1770 train_time:30348ms step_avg:135.48ms
step:225/1770 train_time:30484ms step_avg:135.48ms
step:226/1770 train_time:30618ms step_avg:135.48ms
step:227/1770 train_time:30753ms step_avg:135.48ms
step:228/1770 train_time:30890ms step_avg:135.48ms
step:229/1770 train_time:31034ms step_avg:135.52ms
step:230/1770 train_time:31171ms step_avg:135.53ms
step:231/1770 train_time:31305ms step_avg:135.52ms
step:232/1770 train_time:31441ms step_avg:135.52ms
step:233/1770 train_time:31578ms step_avg:135.53ms
step:234/1770 train_time:31715ms step_avg:135.54ms
step:235/1770 train_time:31847ms step_avg:135.52ms
step:236/1770 train_time:31979ms step_avg:135.50ms
step:237/1770 train_time:32111ms step_avg:135.49ms
step:238/1770 train_time:32245ms step_avg:135.48ms
step:239/1770 train_time:32374ms step_avg:135.46ms
step:240/1770 train_time:32507ms step_avg:135.45ms
step:241/1770 train_time:32637ms step_avg:135.42ms
step:242/1770 train_time:32774ms step_avg:135.43ms
step:243/1770 train_time:32912ms step_avg:135.44ms
step:244/1770 train_time:33044ms step_avg:135.43ms
step:245/1770 train_time:33179ms step_avg:135.42ms
step:246/1770 train_time:33310ms step_avg:135.41ms
step:247/1770 train_time:33446ms step_avg:135.41ms
step:248/1770 train_time:33585ms step_avg:135.42ms
step:249/1770 train_time:33723ms step_avg:135.43ms
step:250/1770 train_time:33855ms step_avg:135.42ms
step:250/1770 val_loss:6.5648 train_time:33858ms step_avg:135.43ms
step:251/1770 train_time:34000ms step_avg:135.46ms
step:252/1770 train_time:34140ms step_avg:135.47ms
step:253/1770 train_time:34275ms step_avg:135.47ms
step:254/1770 train_time:34412ms step_avg:135.48ms
step:255/1770 train_time:34551ms step_avg:135.49ms
step:256/1770 train_time:34696ms step_avg:135.53ms
step:257/1770 train_time:34839ms step_avg:135.56ms
step:258/1770 train_time:34981ms step_avg:135.59ms
step:259/1770 train_time:35123ms step_avg:135.61ms
step:260/1770 train_time:35260ms step_avg:135.62ms
step:261/1770 train_time:35394ms step_avg:135.61ms
step:262/1770 train_time:35529ms step_avg:135.61ms
step:263/1770 train_time:35666ms step_avg:135.61ms
step:264/1770 train_time:35806ms step_avg:135.63ms
step:265/1770 train_time:35947ms step_avg:135.65ms
step:266/1770 train_time:36080ms step_avg:135.64ms
step:267/1770 train_time:36214ms step_avg:135.63ms
step:268/1770 train_time:36355ms step_avg:135.65ms
step:269/1770 train_time:36488ms step_avg:135.64ms
step:270/1770 train_time:36618ms step_avg:135.62ms
step:271/1770 train_time:36753ms step_avg:135.62ms
step:272/1770 train_time:36885ms step_avg:135.61ms
step:273/1770 train_time:37019ms step_avg:135.60ms
step:274/1770 train_time:37151ms step_avg:135.59ms
step:275/1770 train_time:37289ms step_avg:135.60ms
step:276/1770 train_time:37422ms step_avg:135.59ms
step:277/1770 train_time:37557ms step_avg:135.59ms
step:278/1770 train_time:37691ms step_avg:135.58ms
step:279/1770 train_time:37823ms step_avg:135.57ms
step:280/1770 train_time:37954ms step_avg:135.55ms
step:281/1770 train_time:38085ms step_avg:135.53ms
step:282/1770 train_time:38218ms step_avg:135.53ms
step:283/1770 train_time:38349ms step_avg:135.51ms
step:284/1770 train_time:38487ms step_avg:135.52ms
step:285/1770 train_time:38624ms step_avg:135.52ms
step:286/1770 train_time:38759ms step_avg:135.52ms
step:287/1770 train_time:38890ms step_avg:135.50ms
step:288/1770 train_time:39027ms step_avg:135.51ms
step:289/1770 train_time:39159ms step_avg:135.50ms
step:290/1770 train_time:39297ms step_avg:135.51ms
step:291/1770 train_time:39431ms step_avg:135.50ms
step:292/1770 train_time:39566ms step_avg:135.50ms
step:293/1770 train_time:39694ms step_avg:135.47ms
step:294/1770 train_time:39831ms step_avg:135.48ms
step:295/1770 train_time:39967ms step_avg:135.48ms
step:296/1770 train_time:40099ms step_avg:135.47ms
step:297/1770 train_time:40235ms step_avg:135.47ms
step:298/1770 train_time:40366ms step_avg:135.45ms
step:299/1770 train_time:40502ms step_avg:135.46ms
step:300/1770 train_time:40638ms step_avg:135.46ms
step:300/1770 val_loss:6.4576 train_time:40643ms step_avg:135.48ms
step:301/1770 train_time:40775ms step_avg:135.46ms
step:302/1770 train_time:40905ms step_avg:135.45ms
step:303/1770 train_time:41033ms step_avg:135.42ms
step:304/1770 train_time:41167ms step_avg:135.42ms
step:305/1770 train_time:41298ms step_avg:135.40ms
step:306/1770 train_time:41432ms step_avg:135.40ms
step:307/1770 train_time:41577ms step_avg:135.43ms
step:308/1770 train_time:41711ms step_avg:135.42ms
step:309/1770 train_time:41846ms step_avg:135.42ms
step:310/1770 train_time:41980ms step_avg:135.42ms
step:311/1770 train_time:42115ms step_avg:135.42ms
step:312/1770 train_time:42250ms step_avg:135.42ms
step:313/1770 train_time:42385ms step_avg:135.42ms
step:314/1770 train_time:42517ms step_avg:135.40ms
step:315/1770 train_time:42649ms step_avg:135.39ms
step:316/1770 train_time:42789ms step_avg:135.41ms
step:317/1770 train_time:42922ms step_avg:135.40ms
