logs/17da71da-a94a-416b-a96c-5c852c4018b6.txt
begin training
  2%|█▉                                                                                                                   | 30/1771 [00:17<03:21,  8.64it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:1.08ms
step:1/1770 train_time:189ms step_avg:188.82ms
step:2/1770 train_time:310ms step_avg:155.07ms
step:3/1770 train_time:435ms step_avg:145.10ms
step:4/1770 train_time:554ms step_avg:138.56ms
step:5/1770 train_time:680ms step_avg:136.02ms
step:6/1770 train_time:801ms step_avg:133.49ms
step:7/1770 train_time:923ms step_avg:131.80ms
step:8/1770 train_time:1052ms step_avg:131.51ms
step:9/1770 train_time:1178ms step_avg:130.88ms
step:10/1770 train_time:1301ms step_avg:130.09ms
step:11/1770 train_time:1423ms step_avg:129.33ms
step:12/1770 train_time:1541ms step_avg:128.38ms
step:13/1770 train_time:1660ms step_avg:127.71ms
step:14/1770 train_time:1779ms step_avg:127.10ms
step:15/1770 train_time:1900ms step_avg:126.70ms
step:16/1770 train_time:2025ms step_avg:126.56ms
step:17/1770 train_time:2143ms step_avg:126.08ms
step:18/1770 train_time:2271ms step_avg:126.15ms
step:19/1770 train_time:2411ms step_avg:126.89ms
step:20/1770 train_time:2549ms step_avg:127.46ms
step:21/1770 train_time:2668ms step_avg:127.06ms
step:22/1770 train_time:2800ms step_avg:127.29ms
step:23/1770 train_time:2920ms step_avg:126.94ms
step:24/1770 train_time:3038ms step_avg:126.57ms
step:25/1770 train_time:3160ms step_avg:126.40ms
step:26/1770 train_time:3277ms step_avg:126.05ms
step:27/1770 train_time:3393ms step_avg:125.65ms
step:28/1770 train_time:3506ms step_avg:125.23ms
step:29/1770 train_time:3618ms step_avg:124.74ms
step:30/1770 train_time:3733ms step_avg:124.42ms
step:31/1770 train_time:3847ms step_avg:124.09ms
step:32/1770 train_time:3969ms step_avg:124.02ms
step:33/1770 train_time:4083ms step_avg:123.73ms
step:34/1770 train_time:4200ms step_avg:123.53ms
step:35/1770 train_time:4315ms step_avg:123.28ms
step:36/1770 train_time:4433ms step_avg:123.13ms
step:37/1770 train_time:4551ms step_avg:123.01ms
step:38/1770 train_time:4681ms step_avg:123.17ms
step:39/1770 train_time:4798ms step_avg:123.02ms
step:40/1770 train_time:4917ms step_avg:122.91ms
step:41/1770 train_time:5038ms step_avg:122.88ms
step:42/1770 train_time:5161ms step_avg:122.89ms
step:43/1770 train_time:5282ms step_avg:122.83ms
step:44/1770 train_time:5405ms step_avg:122.84ms
step:45/1770 train_time:5528ms step_avg:122.85ms
step:46/1770 train_time:5650ms step_avg:122.83ms
step:47/1770 train_time:5767ms step_avg:122.70ms
step:48/1770 train_time:5889ms step_avg:122.68ms
step:49/1770 train_time:6013ms step_avg:122.71ms
step:50/1770 train_time:6136ms step_avg:122.72ms
step:50/1770 val_loss:8.2575 train_time:6139ms step_avg:122.77ms
step:51/1770 train_time:6270ms step_avg:122.94ms
step:52/1770 train_time:6396ms step_avg:123.01ms
step:53/1770 train_time:6515ms step_avg:122.93ms
step:54/1770 train_time:6633ms step_avg:122.83ms
step:55/1770 train_time:6756ms step_avg:122.85ms
step:56/1770 train_time:6880ms step_avg:122.86ms
step:57/1770 train_time:7002ms step_avg:122.84ms
step:58/1770 train_time:7122ms step_avg:122.80ms
step:59/1770 train_time:7244ms step_avg:122.79ms
step:60/1770 train_time:7364ms step_avg:122.73ms
step:61/1770 train_time:7483ms step_avg:122.67ms
step:62/1770 train_time:7599ms step_avg:122.56ms
step:63/1770 train_time:7720ms step_avg:122.54ms
step:64/1770 train_time:7836ms step_avg:122.44ms
step:65/1770 train_time:7959ms step_avg:122.44ms
step:66/1770 train_time:8078ms step_avg:122.39ms
step:67/1770 train_time:8198ms step_avg:122.35ms
step:68/1770 train_time:8316ms step_avg:122.29ms
step:69/1770 train_time:8428ms step_avg:122.15ms
step:70/1770 train_time:8548ms step_avg:122.11ms
step:71/1770 train_time:8666ms step_avg:122.05ms
step:72/1770 train_time:8785ms step_avg:122.01ms
step:73/1770 train_time:8906ms step_avg:122.00ms
step:74/1770 train_time:9030ms step_avg:122.02ms
step:75/1770 train_time:9144ms step_avg:121.92ms
step:76/1770 train_time:9261ms step_avg:121.85ms
step:77/1770 train_time:9394ms step_avg:122.00ms
step:78/1770 train_time:9517ms step_avg:122.02ms
step:79/1770 train_time:9636ms step_avg:121.97ms
step:80/1770 train_time:9759ms step_avg:121.98ms
step:81/1770 train_time:9880ms step_avg:121.97ms
step:82/1770 train_time:10002ms step_avg:121.97ms
step:83/1770 train_time:10121ms step_avg:121.94ms
step:84/1770 train_time:10239ms step_avg:121.90ms
step:85/1770 train_time:10360ms step_avg:121.88ms
step:86/1770 train_time:10479ms step_avg:121.85ms
step:87/1770 train_time:10597ms step_avg:121.81ms
step:88/1770 train_time:10722ms step_avg:121.84ms
step:89/1770 train_time:10841ms step_avg:121.81ms
step:90/1770 train_time:10965ms step_avg:121.83ms
step:91/1770 train_time:11084ms step_avg:121.80ms
step:92/1770 train_time:11201ms step_avg:121.75ms
step:93/1770 train_time:11325ms step_avg:121.78ms
step:94/1770 train_time:11448ms step_avg:121.79ms
step:95/1770 train_time:11568ms step_avg:121.77ms
step:96/1770 train_time:11692ms step_avg:121.79ms
step:97/1770 train_time:11809ms step_avg:121.74ms
step:98/1770 train_time:11929ms step_avg:121.72ms
step:99/1770 train_time:12049ms step_avg:121.71ms
step:100/1770 train_time:12168ms step_avg:121.68ms
step:100/1770 val_loss:7.0810 train_time:12175ms step_avg:121.75ms
step:101/1770 train_time:12308ms step_avg:121.86ms
step:102/1770 train_time:12435ms step_avg:121.92ms
step:103/1770 train_time:12554ms step_avg:121.89ms
step:104/1770 train_time:12678ms step_avg:121.90ms
step:105/1770 train_time:12806ms step_avg:121.96ms
step:106/1770 train_time:12933ms step_avg:122.01ms
step:107/1770 train_time:13059ms step_avg:122.04ms
step:108/1770 train_time:13183ms step_avg:122.06ms
step:109/1770 train_time:13305ms step_avg:122.07ms
step:110/1770 train_time:13436ms step_avg:122.14ms
step:111/1770 train_time:13562ms step_avg:122.18ms
step:112/1770 train_time:13688ms step_avg:122.22ms
step:113/1770 train_time:13817ms step_avg:122.28ms
step:114/1770 train_time:13941ms step_avg:122.29ms
step:115/1770 train_time:14070ms step_avg:122.35ms
step:116/1770 train_time:14195ms step_avg:122.37ms
step:117/1770 train_time:14319ms step_avg:122.39ms
step:118/1770 train_time:14447ms step_avg:122.43ms
step:119/1770 train_time:14578ms step_avg:122.50ms
step:120/1770 train_time:14703ms step_avg:122.52ms
step:121/1770 train_time:14830ms step_avg:122.56ms
step:122/1770 train_time:14957ms step_avg:122.60ms
